"symbol","date","open","high","low","close","adjclose","volume"
"IVZ","12/31/2013",36.4,36.69,36.33,36.4,31.49285,1593900
"IVZ","12/30/2013",36.44,36.79,36.3,36.35,31.44959,1477900
"IVZ","12/27/2013",36.52,36.7,36.36,36.49,31.57072,1324800
"IVZ","12/26/2013",36.44,36.73,36.4,36.55,31.62262,1712800
"IVZ","12/24/2013",36.25,36.51,36.21,36.43,31.5188,1197300
"IVZ","12/23/2013",36,36.32,35.88,36.25,31.36307,2536300
"IVZ","12/20/2013",35.28,35.89,35.28,35.83,30.99969,3999700
"IVZ","12/19/2013",35.34,35.54,35.09,35.25,30.49788,2539200
"IVZ","12/18/2013",34.55,35.37,33.94,35.36,30.59305,4845000
"IVZ","12/17/2013",35.1,35.22,34.46,34.47,29.82303,4234400
"IVZ","12/16/2013",34.82,35.24,34.77,35.07,30.34214,2792800
"IVZ","12/13/2013",34.62,34.83,34.39,34.58,29.9182,2947100
"IVZ","12/12/2013",34.66,34.77,34.28,34.39,29.75381,3086900
"IVZ","12/11/2013",35.48,35.5,34.57,34.64,29.97011,3780900
"IVZ","12/10/2013",35.51,35.66,35.23,35.38,30.61036,2435000
"IVZ","12/09/2013",35.53,35.86,35.34,35.67,30.86125,2683300
"IVZ","12/06/2013",34.94,35.7,34.94,35.46,30.67957,4503300
"IVZ","12/05/2013",34.63,34.85,34.35,34.39,29.75381,4365900
"IVZ","12/04/2013",34.73,35.21,34.55,34.92,30.21237,4479300
"IVZ","12/03/2013",34.91,35.03,34.73,34.99,30.27293,3861700
"IVZ","12/02/2013",34.86,35.48,34.81,35.14,30.40271,3833400
"IVZ","11/29/2013",35.1,35.26,34.8,34.85,30.15181,1569700
"IVZ","11/27/2013",34.59,35.23,34.49,35.03,30.30754,4264800
"IVZ","11/26/2013",34.37,34.65,34.21,34.52,29.86629,4263700
"IVZ","11/25/2013",34.02,34.39,33.8,34.26,29.64134,2982200
"IVZ","11/22/2013",33.84,34.05,33.55,33.9,29.32987,3271200
"IVZ","11/21/2013",33.55,33.85,33.36,33.78,29.22605,3163900
"IVZ","11/20/2013",33.75,33.94,33.38,33.48,28.96649,3539900
"IVZ","11/19/2013",33.73,33.84,33.47,33.6,29.07031,3909700
"IVZ","11/18/2013",33.85,34.05,33.61,33.71,29.16549,2625200
"IVZ","11/15/2013",33.77,34.07,33.63,33.84,29.27796,2881800
"IVZ","11/15/2013",0,0,0,0,0,0
"IVZ","11/14/2013",34.18,34.32,33.77,34.07,29.28229,4619100
"IVZ","11/13/2013",32.94,33.41,32.73,33.28,28.6033,4955200
"IVZ","11/12/2013",33.56,33.68,33.06,33.21,28.54314,3528700
"IVZ","11/11/2013",33.66,33.89,33.33,33.57,28.85255,2544700
"IVZ","11/08/2013",32.25,33.32,32.25,33.32,28.63768,4124500
"IVZ","11/07/2013",33.18,33.32,32.34,32.37,27.82118,4543400
"IVZ","11/06/2013",33.05,33.38,32.75,33.06,28.41422,3293000
"IVZ","11/05/2013",33.25,33.34,32.73,32.91,28.2853,4654000
"IVZ","11/04/2013",34.03,34.03,33.33,33.36,28.67207,4525800
"IVZ","11/01/2013",33.91,34.16,33.68,33.84,29.08461,4096200
"IVZ","10/31/2013",33.65,34.25,33.32,33.75,29.00725,8799300
"IVZ","10/30/2013",33.47,33.52,32.83,32.91,28.2853,3296100
"IVZ","10/29/2013",32.8,33.37,32.78,33.36,28.67207,4672300
"IVZ","10/28/2013",32.79,32.86,32.42,32.75,28.14779,2659200
"IVZ","10/25/2013",32.73,32.93,32.62,32.87,28.25092,2567200
"IVZ","10/24/2013",32.59,32.69,32.41,32.65,28.06184,3464500
"IVZ","10/23/2013",32.42,32.53,32.11,32.46,27.89853,3765600
"IVZ","10/22/2013",32.75,32.83,32.25,32.5,27.93291,4121700
"IVZ","10/21/2013",32.9,32.92,32.5,32.53,27.9587,3073200
"IVZ","10/18/2013",32.64,32.93,32.46,32.77,28.16497,5755400
"IVZ","10/17/2013",31.87,32.78,31.87,32.46,27.89853,9351100
"IVZ","10/16/2013",32.17,32.32,31.5,32.07,27.56334,15398100
"IVZ","10/15/2013",34.54,34.63,32.08,32.42,27.86416,22098900
"IVZ","10/14/2013",34.01,34.73,33.93,34.65,29.78079,3070200
"IVZ","10/11/2013",33.9,34.64,33.78,34.35,29.52294,3749600
"IVZ","10/10/2013",32.93,33.93,32.93,33.92,29.15337,6236400
"IVZ","10/09/2013",31.7,32.36,31.54,32.16,27.64069,4228100
"IVZ","10/08/2013",32.02,32.28,31.5,31.5,27.07344,3565200
"IVZ","10/07/2013",32.07,32.3,31.92,31.92,27.43442,1931400
"IVZ","10/04/2013",32.04,32.46,32.01,32.38,27.82978,1506500
"IVZ","10/03/2013",32.29,32.35,31.63,32.04,27.53756,2973500
"IVZ","10/02/2013",31.92,32.36,31.8,32.36,27.81259,3136800
"IVZ","10/01/2013",32.01,32.32,31.77,32.22,27.69226,3407200
