"symbol","date","open","high","low","close","adjclose","volume"
"JCI","12/31/2013",43.13089,43.26702,42.57592,42.97382,32.97,2503100
"JCI","12/30/2013",43.07853,43.37173,42.97382,43.12042,33.08246,2051300
"JCI","12/27/2013",42.57592,43.39267,42.57592,43.15183,33.10658,4193500
"JCI","12/26/2013",41.25655,42.63874,41.25655,42.53403,32.63259,1469000
"JCI","12/24/2013",41.95811,42.15707,41.93717,42.1466,32.33533,944200
"JCI","12/23/2013",41.9267,42.16754,41.67539,42.06283,32.27107,2758200
"JCI","12/20/2013",40.78534,41.57068,40.71204,41.46597,31.81316,3806200
"JCI","12/19/2013",40.74345,40.78534,40.36649,40.74345,31.25883,2094600
"JCI","12/18/2013",39.67539,40.98429,39.49738,40.911,31.38737,3097200
"JCI","12/17/2013",39.74869,39.9267,39.61256,39.73822,30.48762,2122200
"JCI","12/16/2013",39.24607,39.91623,39.12042,39.71728,30.47154,2646500
"JCI","12/13/2013",39.5288,39.5288,38.84817,39.10995,30.00559,2788300
"JCI","12/12/2013",38.93194,39.70681,38.86911,39.57068,30.35907,3241600
"JCI","12/12/2013",0,0,0,0,0,0
"JCI","12/11/2013",39.2356,39.48691,38.87958,38.93194,29.70024,2368500
"JCI","12/10/2013",39.48691,39.91623,39.27749,39.29843,29.97982,2118400
"JCI","12/09/2013",39.78011,39.79058,39.28796,39.51833,30.14757,2107900
"JCI","12/06/2013",38.95288,39.68586,38.89005,39.5288,30.15557,2879500
"JCI","12/05/2013",39.27749,39.46597,38.92147,39.00523,29.75615,2503200
"JCI","12/04/2013",39.43456,39.75916,38.84817,39.27749,29.96385,3876500
"JCI","12/03/2013",39.26702,39.72775,39.17278,39.64398,30.24344,3773900
"JCI","12/02/2013",40,40.26178,39.40314,39.47644,30.11562,2404400
"JCI","11/29/2013",39.95811,40.34555,39.62304,39.93717,30.4671,1298400
"JCI","11/27/2013",39.87434,40.17801,39.64398,39.79058,30.35527,2694700
"JCI","11/26/2013",40.17801,40.59686,39.83246,39.86387,30.41118,3413000
"JCI","11/25/2013",40.24084,40.58639,40.13613,40.24084,30.69877,3158100
"JCI","11/22/2013",39.35078,40.25131,39.20419,40.24084,30.69877,4866500
"JCI","11/21/2013",38.8377,39.5288,38.7644,39.4555,30.09965,2929100
"JCI","11/20/2013",39.29843,39.41361,38.84817,38.90052,29.67627,2576800
"JCI","11/19/2013",39.32984,39.70681,39.15183,39.32984,30.00379,2084700
"JCI","11/18/2013",38.81675,39.57068,38.80628,39.37173,30.03575,3225700
"JCI","11/15/2013",39.39267,39.39267,38.65969,38.86911,29.6523,5303800
"JCI","11/14/2013",38.86911,39.79058,38.74345,39.37173,30.03575,6723800
"JCI","11/13/2013",37.80105,38.5445,37.79058,38.46073,29.34076,4319500
