"symbol","date","open","high","low","close","adjclose","volume"
"KMB","12/31/2013",101.371,101.3806,99.86577,100.1534,88.62102,1377800
"KMB","12/30/2013",100.767,101.6012,100.6232,101.5628,89.86813,1049600
"KMB","12/27/2013",100.8821,101.4382,100.6711,100.767,89.16399,698000
"KMB","12/26/2013",100.4794,100.7958,100.1055,100.6616,89.07065,670600
"KMB","12/24/2013",100.3835,100.8437,100.1438,100.4698,88.90099,403400
"KMB","12/23/2013",100.9492,101.0451,100.1246,100.2301,88.6889,1124800
"KMB","12/20/2013",100.3547,101.256,99.87536,100.8437,89.23185,2106500
"KMB","12/19/2013",100.0288,100.7478,99.75072,100.0767,88.55315,1619300
"KMB","12/18/2013",98.99329,100.8437,98.47555,100.8054,89.19791,1855800
"KMB","12/17/2013",99.50144,99.70278,98.30297,98.5139,87.1703,1846000
"KMB","12/16/2013",100.0863,100.5657,99.56855,99.74113,88.25623,1505300
"KMB","12/13/2013",99.73154,100.0384,99.09875,99.63567,88.1629,1031800
"KMB","12/12/2013",100.7862,100.9204,99.46309,99.54938,88.08656,1616900
"KMB","12/11/2013",100.8245,101.7929,100.6424,101.0355,89.40154,1721200
"KMB","12/10/2013",101.0738,101.1505,100.2685,100.5849,89.0028,1690100
"KMB","12/09/2013",101.4861,101.8504,101.0355,101.4669,89.78329,1345200
"KMB","12/06/2013",100.4314,101.2464,100.4123,101.2272,89.5712,1930200
"KMB","12/05/2013",99.74113,100,99.15628,99.61649,88.14593,2164100
"KMB","12/04/2013",100.6711,100.7958,99.75072,99.90412,88.40043,2809800
"KMB","12/04/2013",0,0,0,0,0,0
"KMB","12/03/2013",102.1956,102.3394,101.1601,102.0901,89.64754,3130300
"KMB","12/02/2013",104.372,104.8897,102.627,102.7325,90.21164,2423000
"KMB","11/29/2013",103.7872,105.024,103.6817,104.6596,91.90388,1545200
"KMB","11/27/2013",103.7584,103.9214,103.0777,103.7584,91.11249,1262200
