"symbol","date","open","high","low","close","adjclose","volume"
"LB","12/31/2013",61.32,61.97,61.29,61.85,51.05012,799900
"LB","12/30/2013",61.07,61.3,60.76,61.1,50.43108,759200
"LB","12/27/2013",61.78,61.85,60.68,60.87,50.24125,779600
"LB","12/26/2013",62.59,62.83,61.26,61.88,51.07489,802700
"LB","12/24/2013",62.13,63.68,61.04,61.25,50.5549,661600
"LB","12/23/2013",61.5,61.5,60.78,60.98,50.33204,1250500
"LB","12/20/2013",61,61.52,60.91,61.04,50.38157,1866400
"LB","12/19/2013",61.59,61.65,60.92,60.92,50.28252,1004200
"LB","12/18/2013",60.81,61.64,60.51,61.57,50.81901,1342600
"LB","12/17/2013",61.02,61.31,60.58,60.76,50.15046,1048000
"LB","12/16/2013",55.68,62.04,55.68,60.51,49.94411,1283300
"LB","12/13/2013",61.07,61.53,60.63,61.17,50.48886,1290900
"LB","12/12/2013",61.14,61.2,60.15,60.8,50.18347,1536300
"LB","12/11/2013",61.62,62.2,60.85,60.99,50.3403,1389100
"LB","12/10/2013",62.23,62.47,61.53,61.78,50.99235,1492100
"LB","12/09/2013",63.4,63.67,61.98,62.09,51.24822,1550100
"LB","12/06/2013",63.65,63.65,62.47,63.34,52.27995,915400
"LB","12/05/2013",61.79,63.01,61.49,62.18,51.3225,2476300
"LB","12/04/2013",64.03,64.38,62.71,63.25,52.20566,2084100
"LB","12/03/2013",65.35,65.71,63.14,65.6,54.14533,961800
"LB","12/02/2013",64.82,67.12,64.82,65.46,54.02977,932100
"LB","11/29/2013",65.6,66.16,64.79,64.99,53.64184,693000
"LB","11/27/2013",64.9,65.4,64.57,65.26,53.86469,901100
"LB","11/26/2013",64.5,65.49,64.45,64.98,53.63359,1244100
"LB","11/25/2013",64.27,64.75,64.04,64.28,53.05582,1001900
"LB","11/22/2013",64.59,64.73,63.27,63.94,52.77518,1609800
"LB","11/21/2013",63.59,65.01,62.91,64.78,53.46851,1925300
"LB","11/21/2013",0,0,0,0,0,0
"LB","11/20/2013",64.04,64.98,63.53,64.41,52.9155,2415000
"LB","11/19/2013",64,64.24,63.76,64.02,52.59509,1867000
"LB","11/18/2013",64.97,65.36,63.99,64.3,52.82513,1414700
"LB","11/15/2013",64.64,65.09,64.28,64.66,53.12088,1353400
"LB","11/14/2013",64.25,65.37,64,64.83,53.26055,1753100
"LB","11/13/2013",62.96,64.42,62.96,64.25,52.78405,1331400
"LB","11/12/2013",63.61,63.72,62.5,63.05,51.7982,1634900
"LB","11/11/2013",62.89,64.02,62.53,63.66,52.29934,1377000
"LB","11/08/2013",62,63.08,62,62.93,51.69962,1461500
"LB","11/07/2013",63.77,64.24,61.68,61.81,50.7795,2311300
"LB","11/06/2013",62.94,63.14,62.18,63.03,51.78177,1700600
"LB","11/05/2013",62.95,63.52,62.55,62.89,51.66675,1842000
"LB","11/04/2013",62.67,63.27,62.65,63.03,51.78177,1425700
"LB","11/01/2013",62.77,63.05,62.08,62.56,51.39565,1432500
"LB","10/31/2013",62.04,62.93,61.73,62.61,51.43672,2259100
"LB","10/30/2013",61.87,62.66,61.77,62.14,51.05059,1668200
"LB","10/29/2013",61.37,61.96,61.01,61.96,50.90272,1035400
