"symbol","date","open","high","low","close","adjclose","volume"
"LOW","12/31/2013",49.22,49.61,49.18,49.55,46.28841,3457300
"LOW","12/30/2013",48.98,49.43,48.91,49.25,46.00814,3202800
"LOW","12/27/2013",49.15,49.45,48.65,48.83,45.61579,3828600
"LOW","12/26/2013",48.83,49.23,48.73,49.03,45.80263,3124500
"LOW","12/24/2013",48.43,48.95,48.28,48.7,45.49436,2281800
"LOW","12/23/2013",47.96,48.79,47.96,48.4,45.2141,4715100
"LOW","12/20/2013",48.58,48.92,47.92,47.97,44.8124,8169900
"LOW","12/19/2013",48.06,48.92,47.75,48.39,45.20475,7668100
"LOW","12/18/2013",46.7,48.48,46.62,48.32,45.13937,10359700
"LOW","12/17/2013",47.16,47.23,46.44,46.65,43.5793,5502000
"LOW","12/16/2013",47.47,47.72,47.08,47.13,44.02769,4228200
"LOW","12/13/2013",46.9,47.38,46.9,47.11,44.00901,3815800
"LOW","12/12/2013",47.31,47.39,46.82,46.89,43.80349,4552400
"LOW","12/11/2013",47.34,47.8,47.22,47.31,44.19585,5307800
"LOW","12/10/2013",47.68,47.97,47.32,47.36,44.24256,5477500
"LOW","12/09/2013",47.89,48.18,47.69,47.76,44.61623,6269600
"LOW","12/06/2013",47.19,48.48,47.14,47.98,44.82175,8217900
"LOW","12/05/2013",46.7,47.08,46.55,46.61,43.54193,5232900
"LOW","12/04/2013",46.19,47.04,46.08,46.86,43.77547,8019100
"LOW","12/03/2013",45.82,46.55,45.75,46.5,43.43917,11475200
"LOW","12/02/2013",47.58,47.6,46.72,46.83,43.74745,6834800
"LOW","11/29/2013",47.89,47.97,47.45,47.48,44.35466,3343900
"LOW","11/27/2013",47.98,48.21,47.61,47.89,44.73767,4561900
"LOW","11/26/2013",47.86,48.32,47.84,48.01,44.84977,6901400
"LOW","11/25/2013",48.05,48.29,47.51,47.75,44.60688,6472200
"LOW","11/22/2013",48.22,48.24,47.68,47.9,44.74702,6142600
"LOW","11/21/2013",47.54,48.79,47.17,48.2,45.02726,11977200
"LOW","11/20/2013",48.5,48.9,47.16,47.33,44.21453,26083700
"LOW","11/19/2013",51.5,51.85,50.18,50.44,47.11982,12070900
"LOW","11/18/2013",51.74,51.77,50.77,50.89,47.5402,8655100
"LOW","11/15/2013",52.05,52.08,51.53,51.77,48.36227,10833100
"LOW","11/14/2013",51.44,52.03,51.38,51.95,48.53042,9024800
"LOW","11/13/2013",49.81,51.28,49.81,51.28,47.90453,7433500
"LOW","11/12/2013",49.37,50.39,49.37,50.12,46.82088,10150000
"LOW","11/11/2013",48.82,49.44,48.72,49.1,45.86802,5530100
"LOW","11/08/2013",49.01,49.26,48.48,48.72,45.51304,8931200
"LOW","11/07/2013",50.11,50.43,49.03,49.07,45.84,4694500
"LOW","11/06/2013",50.42,50.5,49.82,49.97,46.68077,4104400
"LOW","11/05/2013",49.54,50.42,49.4,50.18,46.87694,5153500
"LOW","11/04/2013",49.49,49.82,49.48,49.77,46.49392,5592500
"LOW","11/01/2013",49.83,49.99,49.15,49.18,45.94275,9961600
"LOW","10/31/2013",50.25,50.34,49.66,49.78,46.50326,7212200
"LOW","10/30/2013",50.67,50.74,49.77,50.15,46.8489,6991100
"LOW","10/29/2013",50.29,50.71,50.19,50.61,47.27863,8843200
"LOW","10/28/2013",50.49,50.52,49.83,50.11,46.81154,5916400
"LOW","10/25/2013",50.25,50.63,49.93,50.59,47.25995,6014300
"LOW","10/24/2013",49.29,50.48,49.22,50.44,47.11982,8420900
"LOW","10/23/2013",48.17,49.31,48.12,49.25,46.00814,9541700
"LOW","10/22/2013",48.19,48.53,48.12,48.19,45.01793,7711400
"LOW","10/21/2013",47.59,48.03,47.4,48.02,44.85912,6482500
"LOW","10/21/2013",0,0,0,0,0,0
"LOW","10/18/2013",48.48,48.48,47.58,47.66,44.35466,12981900
"LOW","10/17/2013",48.32,49.12,48.31,49.02,45.62034,6769800
"LOW","10/16/2013",48.72,48.79,47.84,48.47,45.10848,9179900
"LOW","10/15/2013",48.84,48.84,47.95,48.45,45.08987,7282700
"LOW","10/14/2013",48.45,48.97,48.36,48.88,45.49005,4959300
"LOW","10/11/2013",47.96,48.81,47.93,48.8,45.4156,6949900
"LOW","10/10/2013",47.27,47.89,47.16,47.82,44.50357,5738400
"LOW","10/09/2013",46.53,47.07,46.1,46.6,43.36817,6652000
"LOW","10/08/2013",47.25,47.6,46.49,46.53,43.30303,7306200
"LOW","10/07/2013",47.54,47.82,47.26,47.26,43.98239,6404200
"LOW","10/04/2013",47.97,48.22,47.85,48.14,44.80138,5518600
"LOW","10/03/2013",48.54,48.8,47.55,47.93,44.60593,7403300
"LOW","10/02/2013",47.85,48.48,47.66,48.41,45.05265,5951600
"LOW","10/01/2013",47.64,48.38,47.5,48.19,44.8479,6662500
"LOW","09/30/2013",47.31,47.96,47.2,47.61,44.30812,5846500
"LOW","09/27/2013",47.79,48.02,47.63,47.77,44.45702,4107600
"LOW","09/26/2013",47.73,48.16,47.73,47.89,44.56871,4354400
"LOW","09/25/2013",48.02,48.02,47.34,47.54,44.24298,5916600
"LOW","09/24/2013",47.19,48.43,47.02,48.04,44.70832,7195300
"LOW","09/23/2013",47.66,47.74,47.19,47.27,43.99171,7187300
"LOW","09/20/2013",49.07,49.14,47.84,47.84,44.52217,11704700
"LOW","09/19/2013",48,49.17,48,48.98,45.58312,11076500
"LOW","09/18/2013",46.77,48.02,46.42,47.75,44.43842,7535200
"LOW","09/17/2013",46.76,47.05,46.6,46.85,43.60083,5347900
"LOW","09/16/2013",47.3,47.46,46.48,46.84,43.59153,6485000
"LOW","09/13/2013",47.15,47.29,46.59,46.86,43.61015,6199800
"LOW","09/12/2013",47.28,47.38,46.63,46.99,43.73114,7086100
"LOW","09/11/2013",47.29,47.58,46.96,47.37,44.08477,4680700
"LOW","09/10/2013",46.8,47.18,46.64,47.15,43.88003,5887700
"LOW","09/09/2013",45.82,46.8,45.8,46.63,43.3961,5714200
"LOW","09/06/2013",46.07,46.2,45.25,45.6,42.43753,5596100
"LOW","09/05/2013",45.88,46.22,45.78,45.86,42.67949,4558000
"LOW","09/04/2013",45.72,46.02,45.63,45.97,42.78187,5468500
"LOW","09/03/2013",46.25,46.49,45.17,45.61,42.44683,7003400
"LOW","08/30/2013",46.5,46.62,45.65,45.82,42.64227,5610200
"LOW","08/29/2013",46.28,46.77,46,46.42,43.20066,4470600
"LOW","08/28/2013",45.88,46.67,45.86,46.38,43.16343,7153900
"LOW","08/27/2013",46.39,46.7,45.95,46,42.80978,7316000
"LOW","08/26/2013",47.01,47.44,46.83,46.99,43.73114,6085100
"LOW","08/23/2013",47.24,47.5,46.57,46.98,43.72183,8124400
"LOW","08/22/2013",45.97,47.51,45.92,47.39,44.10339,10274400
"LOW","08/21/2013",45.61,47.25,45.52,45.81,42.63296,30111000
"LOW","08/20/2013",44.38,44.52,43.52,44.08,41.02295,10291200
"LOW","08/19/2013",44.07,44.19,43.55,43.67,40.64137,6126100
"LOW","08/16/2013",43.86,44.64,43.79,43.96,40.91127,8342100
"LOW","08/15/2013",44.46,44.56,43.76,43.85,40.80889,8911900
"LOW","08/14/2013",46.11,46.15,44.96,45,41.87914,8957600
"LOW","08/13/2013",45.78,46.23,45.36,46.13,42.93077,5708400
"LOW","08/12/2013",45.59,46.25,45.59,45.8,42.62365,5075200
"LOW","08/09/2013",46.03,46.04,45.53,45.68,42.51199,6613800
"LOW","08/08/2013",45.27,46.25,45.2,46.16,42.95869,11217200
"LOW","08/07/2013",44.75,44.81,44.17,44.3,41.22768,6507900
"LOW","08/06/2013",45.37,45.46,44.69,44.87,41.75815,7986700
"LOW","08/05/2013",44.81,45.49,44.77,45.47,42.31655,4488300
"LOW","08/02/2013",44.97,45.27,44.69,44.99,41.86983,6763600
"LOW","08/01/2013",44.94,45.19,44.76,45.04,41.91637,5794500
"LOW","07/31/2013",44.01,45.03,44,44.58,41.48827,6857900
"LOW","07/30/2013",43.79,44.31,43.79,44.04,40.98571,7083400
"LOW","07/29/2013",43.95,44.09,43.38,43.44,40.42732,6020700
"LOW","07/26/2013",43.87,44.04,43.61,43.97,40.92057,5130800
"LOW","07/25/2013",44.6,44.7,43.78,44.13,41.06948,8425800
"LOW","07/24/2013",45.26,45.3,44.59,44.75,41.64647,5612800
"LOW","07/23/2013",44.76,45.16,44.74,45.1,41.97221,6578200
"LOW","07/22/2013",44.15,44.72,43.95,44.68,41.58133,5506600
"LOW","07/22/2013",0,0,0,0,0,0
"LOW","07/19/2013",44.32,44.37,43.9,44.27,41.03225,4335500
"LOW","07/18/2013",44.27,44.55,44.07,44.29,41.05078,5431500
"LOW","07/17/2013",44.05,44.51,43.95,44.26,41.02298,5563200
"LOW","07/16/2013",43.65,44.09,43.5,43.79,40.58736,4093700
"LOW","07/15/2013",44,44.42,43.75,43.75,40.55028,8203400
"LOW","07/12/2013",43.39,43.86,43.35,43.83,40.62443,4507900
"LOW","07/11/2013",44.02,44.2,43.28,43.37,40.19807,7224800
"LOW","07/10/2013",43.74,43.82,43.17,43.39,40.21661,5247600
"LOW","07/09/2013",43.56,43.98,43.41,43.81,40.6059,5482000
"LOW","07/08/2013",42.88,43.55,42.87,43.5,40.31857,5727200
"LOW","07/05/2013",42.5,42.89,42.3,42.78,39.65122,4048600
"LOW","07/03/2013",42.1,42.5,41.94,42.32,39.22487,4074000
"LOW","07/02/2013",41.45,42.84,41.34,42.37,39.27121,12271900
"LOW","07/01/2013",41.19,41.43,40.95,41.06,38.05702,5924500
"LOW","06/28/2013",41.08,41.3,40.7,40.9,37.90872,12195300
"LOW","06/27/2013",40.75,41.38,40.69,41.15,38.14043,7787200
"LOW","06/26/2013",39.95,40.66,39.95,40.53,37.56579,9528600
"LOW","06/25/2013",39.8,39.92,39.48,39.51,36.62038,9647300
"LOW","06/24/2013",39.05,39.82,38.87,39.45,36.56477,8683000
"LOW","06/21/2013",40.24,40.27,39.27,39.55,36.65746,16890200
"LOW","06/20/2013",40.59,40.63,39.81,39.82,36.9077,12013600
"LOW","06/19/2013",41.59,41.65,40.99,41.03,38.02922,7614100
"LOW","06/18/2013",41.41,41.6,41.15,41.46,38.42776,4486900
"LOW","06/17/2013",41.38,41.79,41.08,41.37,38.34435,5958300
"LOW","06/14/2013",41.04,41.84,41,41.16,38.1497,7450400
"LOW","06/13/2013",40.6,41.35,40.52,41.18,38.16824,5622400
"LOW","06/12/2013",41.3,41.52,40.58,40.61,37.63992,6525200
"LOW","06/11/2013",40.64,41.35,40.6,40.89,37.89946,4589200
"LOW","06/10/2013",41.58,41.77,40.98,41.18,38.16824,7370100
"LOW","06/07/2013",41.01,41.67,40.89,41.6,38.55753,10925100
"LOW","06/06/2013",39.79,40.7,39.56,40.7,37.72335,9583100
"LOW","06/05/2013",40.83,40.85,39.59,39.6,36.7038,12360700
"LOW","06/04/2013",42.17,42.46,40.97,40.99,37.99215,9221300
"LOW","06/03/2013",42.12,42.36,41.62,42.36,39.26193,6169800
"LOW","05/31/2013",42.44,43.26,42.11,42.11,39.03022,7494500
"LOW","05/30/2013",43.24,43.49,42.63,42.66,39.54,6775400
"LOW","05/29/2013",42.56,43.27,42.43,43.09,39.93855,7309000
"LOW","05/28/2013",43.12,43.42,42.71,42.86,39.72537,6755800
"LOW","05/24/2013",42.13,42.71,42.06,42.64,39.52146,7603100
"LOW","05/23/2013",42.44,42.79,42.15,42.69,39.5678,8272600
"LOW","05/22/2013",43.3,43.84,42.46,42.97,39.82733,19588200
"LOW","05/21/2013",43.08,43.4,42.18,42.45,39.34535,10779500
"LOW","05/20/2013",42.26,42.77,42.16,42.38,39.28048,7161200
"LOW","05/17/2013",42.81,42.97,42.39,42.67,39.54926,7812700
"LOW","05/16/2013",43.17,43.55,42.72,42.76,39.63269,7490700
"LOW","05/15/2013",42.74,43.28,42.74,43.23,40.06831,6682500
"LOW","05/14/2013",42.21,42.9,42.21,42.78,39.65122,6416800
"LOW","05/13/2013",41.88,42.29,41.88,42.09,39.01169,3863200
"LOW","05/10/2013",41.89,42.08,41.63,42.07,38.99315,4584900
"LOW","05/09/2013",42.13,42.29,41.55,41.77,38.7151,9947700
"LOW","05/08/2013",40.7,42.4,40.22,42.35,39.25266,14062900
"LOW","05/07/2013",40.87,41.14,40.12,40.29,37.34334,8953600
"LOW","05/06/2013",39.54,40.88,39.5,40.81,37.82531,10498100
"LOW","05/03/2013",39.15,39.61,39.05,39.59,36.69452,6987500
"LOW","05/02/2013",38.29,38.87,38.12,38.87,36.02719,5687700
"LOW","05/01/2013",38.34,38.52,37.98,38.18,35.38765,7105500
"LOW","04/30/2013",38.19,38.58,38.06,38.42,35.6101,5850700
"LOW","04/29/2013",37.78,38.45,37.56,38.25,35.45253,10374100
