"symbol","date","open","high","low","close","adjclose","volume"
"M","12/31/2013",53.63,53.73,53.04,53.4,46.14796,2546700
"M","12/30/2013",52.78,53.86,52.78,53.67,46.38129,3054400
"M","12/27/2013",53.01,53.14,52.65,52.7,45.54302,1421900
"M","12/26/2013",52.84,53.22,52.75,52.83,45.65537,2280300
"M","12/24/2013",52.64,53,52.31,52.71,45.55166,1789000
"M","12/23/2013",52.43,53.24,52.41,52.85,45.67265,2823200
"M","12/20/2013",52.39,52.72,52.14,52.27,45.17142,5740800
"M","12/19/2013",52.06,52.49,51.85,52.23,45.13685,2954400
"M","12/18/2013",51.67,52.18,51,52.14,45.05907,3471100
"M","12/17/2013",51.81,51.87,51.29,51.67,44.65291,3392700
"M","12/16/2013",51.56,51.97,51.46,51.61,44.60106,2743900
"M","12/13/2013",51.86,52.42,51.3,51.41,44.42821,4020800
"M","12/12/2013",52.15,52.24,51.52,51.65,44.63562,3293800
"M","12/11/2013",51.79,53.03,51.7,52.08,45.00722,5502600
"M","12/11/2013",0,0,0,0,0,0
"M","12/10/2013",52.14,52.23,51.46,51.78,44.53191,3150300
"M","12/09/2013",51.9,52.58,51.86,52.19,44.88452,3852700
"M","12/06/2013",51.92,52.2,51.14,51.83,44.57492,4606300
"M","12/05/2013",52.13,52.15,51.26,51.54,44.32552,4089500
"M","12/04/2013",52.6,52.78,51.37,52.04,44.75553,5641000
"M","12/03/2013",52.29,52.88,52.21,52.81,45.41774,4483400
"M","12/02/2013",52.99,53.46,52.21,52.44,45.09953,6345500
"M","11/29/2013",54.07,54.07,53.08,53.26,45.80476,3532100
"M","11/27/2013",53.07,53.64,52.91,53.54,46.04556,5095400
"M","11/26/2013",52.3,53.14,52.3,52.94,45.52954,6408900
"M","11/25/2013",51.54,52.43,51.4,52.28,44.96193,5529000
"M","11/22/2013",50.96,51.37,50.63,51.26,44.08471,4121600
"M","11/21/2013",50.89,51.06,50.54,50.81,43.69769,4171600
"M","11/20/2013",50.84,51,50.47,50.96,43.8267,5262600
"M","11/19/2013",50.44,50.69,50.14,50.41,43.35368,4136400
