"symbol","date","open","high","low","close","adjclose","volume"
"MET","12/31/2013",47.95009,48.18182,47.70945,48.05704,42.17269,3261200
"MET","12/30/2013",48.11052,48.21747,47.54011,47.68271,41.84419,3730100
"MET","12/27/2013",48.24421,48.41355,47.99465,48.09269,42.20398,4546100
"MET","12/26/2013",47.87879,48.27095,47.77184,48.14617,42.2509,4667700
"MET","12/24/2013",47.31729,47.85205,47.30838,47.83422,41.97716,1955500
"MET","12/23/2013",47.56684,47.83422,47.27273,47.38859,41.58609,5787500
"MET","12/20/2013",46.5508,47.52228,46.41711,47.34403,41.54699,11353300
"MET","12/19/2013",46.43494,46.72905,46.09626,46.58645,40.88217,5943900
"MET","12/18/2013",45.48129,46.37255,44.67915,46.25668,40.59277,14360300
"MET","12/17/2013",45.76649,45.79323,45.09804,45.22282,39.6855,7363900
"MET","12/16/2013",45.85561,46.07843,45.66845,45.73084,40.13132,6846000
"MET","12/13/2013",45.918,45.96257,45.40107,45.62389,40.03747,7151300
"MET","12/12/2013",45.81105,46.07843,45.50802,45.62389,40.03747,5401900
"MET","12/11/2013",46.16756,46.36364,45.71301,45.83779,40.22517,6599400
"MET","12/10/2013",45.83779,46.4082,45.59715,46.21212,40.55367,5253000
"MET","12/09/2013",46.24777,46.55972,45.89127,46.07843,40.43635,8006000
"MET","12/06/2013",46.07843,46.56863,45.80214,46.05169,40.41289,5825300
"MET","12/05/2013",45.65954,46.01604,45.40998,45.49911,39.92796,5372200
"MET","12/04/2013",45.68628,46.39929,45.40107,45.69519,40.10004,6591200
"MET","12/03/2013",46.41711,46.43494,45.50802,45.75758,40.15479,6393400
"MET","12/02/2013",46.72014,47.30838,46.45276,46.53298,40.83524,5282700
"MET","11/29/2013",46.71123,46.97861,46.46167,46.51515,40.8196,2957900
"MET","11/27/2013",46.87166,46.96078,46.46167,46.70232,40.98385,3628000
"MET","11/26/2013",46.83601,47.1836,46.79144,46.81818,41.08552,4858600
"MET","11/25/2013",47.19251,47.21925,46.52406,46.73797,41.01513,6347900
"MET","11/22/2013",47.16578,47.22816,46.65775,46.92513,41.17939,5573300
"MET","11/21/2013",46.63993,47.20143,46.31016,47.19251,41.41402,6334600
"MET","11/20/2013",47.22816,47.33512,46.31907,46.38146,40.70228,6649300
"MET","11/19/2013",46.50624,46.83601,46.24777,46.63102,40.92128,6574700
"MET","11/18/2013",46.31907,47.2549,46.2656,46.50624,40.81177,9548100
"MET","11/15/2013",45.67736,46.42603,45.67736,46.35472,40.67881,8984200
"MET","11/14/2013",44.84848,45.97148,44.72371,45.80214,40.19389,12519300
"MET","11/13/2013",43.76114,44.64349,43.57397,44.59002,39.13019,7627000
