"symbol","date","open","high","low","close","adjclose","volume"
"MPC","12/31/2013",44.59,45.975,44.565,45.865,40.81797,6417400
"MPC","12/30/2013",44.54,44.735,43.745,44.25,39.38067,3245200
"MPC","12/27/2013",44.94,44.94,43.885,44.565,39.661,3128800
"MPC","12/26/2013",44.57,44.905,44.465,44.77,39.84345,2618400
"MPC","12/24/2013",44.36,44.69,44.03,44.675,39.75891,1793400
"MPC","12/23/2013",44.095,44.975,43.92,44.385,39.50082,4906600
"MPC","12/20/2013",42.75,44.035,42.725,43.63,38.8289,11507400
"MPC","12/19/2013",43.57,43.9,42.755,42.855,38.13918,6993000
"MPC","12/18/2013",43.235,44.125,42.715,43.71,38.90009,7972000
"MPC","12/17/2013",43.165,43.49,42.69,43.045,38.30827,5612200
"MPC","12/16/2013",42.72,43.675,42.72,43.175,38.42397,9189200
"MPC","12/13/2013",42.9,43.005,41.76,42.605,37.91668,7480600
"MPC","12/12/2013",43.055,43.42,42.225,42.85,38.13472,6871000
"MPC","12/11/2013",43.6,43.745,42.58,42.99,38.25932,6899400
"MPC","12/10/2013",42.665,44.03,41.62,43.755,38.94014,10819000
"MPC","12/09/2013",43.885,44.405,42.71,42.775,38.06799,12114400
"MPC","12/06/2013",42.35,44.43,42.33,43.6,38.8022,12492600
"MPC","12/05/2013",42.235,42.7,41.41,41.925,37.31152,10253600
"MPC","12/04/2013",42.045,42.92,41.12,41.63,37.04898,14658200
"MPC","12/03/2013",43.46,44.145,43.195,43.495,38.70875,9649200
"MPC","12/02/2013",41.92,44.12,41.71,43.705,38.89565,12023200
"MPC","11/29/2013",42.32,42.32,41.31,41.37,36.8176,3893800
"MPC","11/27/2013",40.775,42.825,40.775,42.17,37.52956,11929200
"MPC","11/26/2013",41.095,41.66,40.765,40.775,36.28807,9426600
"MPC","11/25/2013",40.275,41.05,39.87,40.89,36.39042,9178400
"MPC","11/22/2013",39.65,40.215,39.64,40.125,35.70959,6741200
"MPC","11/21/2013",38.61,39.485,38.41,39.39,35.05547,5360400
"MPC","11/20/2013",39.505,39.58,38.425,38.7,34.4414,5748000
"MPC","11/19/2013",38.74,39.875,38.365,39.415,35.07772,10812800
"MPC","11/18/2013",39.37,39.63,38.595,38.715,34.45475,6683200
"MPC","11/18/2013",0,0,0,0,0,0
"MPC","11/15/2013",39.455,39.75,38.87,39.42,34.89528,9410800
"MPC","11/14/2013",37.69,39.7,37.69,39.43,34.90413,13853000
"MPC","11/13/2013",36.875,37.585,36.62,37.55,33.23992,5727200
"MPC","11/12/2013",36.15,37.21,36.025,37.005,32.75748,6765200
"MPC","11/11/2013",35.83,36.125,35.4,36.1,31.95636,3816200
"MPC","11/08/2013",35.2,35.94,34.895,35.825,31.71292,5051400
"MPC","11/07/2013",35.03,35.54,34.69,35.215,31.17294,8184800
"MPC","11/06/2013",35.595,35.98,35.06,35.2,31.15967,5263000
"MPC","11/05/2013",35.6,35.745,35.215,35.36,31.3013,5071600
"MPC","11/04/2013",35.485,35.88,35.09,35.845,31.73062,4843800
"MPC","11/01/2013",35.92,36.025,35.075,35.43,31.36327,7031600
"MPC","10/31/2013",36.18,37.5,35.79,35.83,31.71735,9671400
"MPC","10/30/2013",35.49,36.29,35.005,36.255,32.09357,7796200
"MPC","10/29/2013",35.635,36.23,35.295,35.41,31.34556,3768000
"MPC","10/28/2013",35.19,36.295,35.15,35.6,31.51375,5972400
"MPC","10/25/2013",34.71,35.135,34.21,34.945,30.93393,6272800
"MPC","10/24/2013",36,36,34.515,34.605,30.63295,10597800
"MPC","10/23/2013",36.15,37.575,35.99,36.045,31.90767,10102400
"MPC","10/22/2013",35.695,36.6,35.695,36.25,32.08914,7307200
"MPC","10/21/2013",35.495,35.775,35.215,35.465,31.39424,4219200
"MPC","10/18/2013",35.34,35.37,34.945,35.37,31.31014,5053200
"MPC","10/17/2013",34.375,35.195,34.26,35.09,31.06229,6378600
"MPC","10/16/2013",34.68,34.68,34.105,34.475,30.51788,6075200
"MPC","10/15/2013",33.855,34.565,33.76,34.22,30.29215,9239200
"MPC","10/14/2013",33.26,33.69,32.945,33.595,29.73889,4481800
"MPC","10/11/2013",32.65,33.945,32.515,33.625,29.76544,8977200
"MPC","10/10/2013",31.69,32.955,31.505,32.655,28.90679,8428400
"MPC","10/09/2013",31.265,31.265,30.66,31.05,27.48601,7422000
"MPC","10/08/2013",31.94,31.99,31.25,31.25,27.66305,6700600
