"symbol","date","open","high","low","close","adjclose","volume"
"MRK","12/31/2013",49.74,50.08,49.53,50.05,44.17416,8474900
"MRK","12/30/2013",49.74,49.94,49.33,49.94,44.07707,6321900
"MRK","12/27/2013",49.77,49.9,49.53,49.79,43.94468,4244300
"MRK","12/26/2013",49.44,49.75,49.36,49.72,43.8829,5069800
"MRK","12/24/2013",49.43,49.67,49.23,49.41,43.6093,4252900
"MRK","12/23/2013",49.44,49.7,49.25,49.36,43.56516,8263900
"MRK","12/20/2013",48.86,49.45,48.63,49.32,43.52986,16805100
"MRK","12/19/2013",48.75,48.95,48.53,48.79,43.06208,8762400
"MRK","12/18/2013",47.87,48.93,47.65,48.9,43.15916,13549700
"MRK","12/17/2013",47.93,48,47.61,47.9,42.27656,13900000
"MRK","12/16/2013",48.3,48.59,47.89,48.09,42.44426,11349200
"MRK","12/13/2013",48.74,48.9,48.06,48.38,42.70021,8396300
"MRK","12/12/2013",48.57,48.78,48.03,48.32,42.64726,11611700
"MRK","12/12/2013",0,0,0,0,0,0
"MRK","12/11/2013",49.51,49.53,48.75,48.95,42.81495,14504000
"MRK","12/10/2013",49.28,49.55,49.1,49.43,43.23479,10236400
"MRK","12/09/2013",49.38,49.85,49.2,49.56,43.34851,9331500
"MRK","12/06/2013",49.13,49.57,48.96,49.39,43.19981,7403200
"MRK","12/05/2013",48.91,49.25,48.77,48.81,42.6925,8721900
"MRK","12/04/2013",49.6,49.65,48.82,49.31,43.12984,11451600
"MRK","12/03/2013",49.82,50.06,49.38,49.76,43.52343,13604400
"MRK","12/02/2013",49.74,50.42,49.74,50.18,43.8908,14829900
"MRK","11/29/2013",49.79,49.95,49.48,49.83,43.58466,6900000
"MRK","11/27/2013",49.59,49.91,49.56,49.83,43.58466,11565500
"MRK","11/26/2013",49.66,49.75,49.16,49.58,43.36599,22939300
"MRK","11/25/2013",48.95,49.84,48.94,49.66,43.43597,18282100
"MRK","11/22/2013",48.49,49.04,48.44,48.94,42.8062,13967900
"MRK","11/21/2013",48.22,48.7,48.16,48.62,42.52631,12837100
"MRK","11/20/2013",47.98,48.42,47.75,48.13,42.09773,8251900
"MRK","11/19/2013",48.05,48.17,47.65,48.07,42.04525,8345300
"MRK","11/18/2013",48.04,48.26,47.78,48.01,41.99276,7930100
"MRK","11/15/2013",47.63,48.28,47.63,48.07,42.04525,11991500
"MRK","11/14/2013",47.52,47.87,47.5,47.82,41.82658,11280600
"MRK","11/13/2013",46.74,47.37,46.65,47.34,41.40674,14157400
"MRK","11/12/2013",46.95,47.63,46.8,47.59,41.62541,13950600
"MRK","11/11/2013",46.91,47.15,46.88,47,41.10935,7533400
"MRK","11/08/2013",45.93,46.87,45.86,46.8,40.93442,17423800
"MRK","11/07/2013",46.15,46.24,45.78,45.82,40.07725,11675400
"MRK","11/06/2013",45.56,46.02,45.34,45.96,40.1997,12361300
"MRK","11/05/2013",45.59,45.78,45.32,45.36,39.6749,10420500
"MRK","11/04/2013",45.92,46.27,45.66,45.72,39.98978,16177500
"MRK","11/01/2013",44.87,45.35,44.62,45.23,39.5612,20893500
"MRK","10/31/2013",45.31,45.46,45.09,45.09,39.43874,14994200
"MRK","10/30/2013",45.75,45.76,45.11,45.24,39.56994,9958500
"MRK","10/29/2013",45.41,45.67,45.08,45.58,39.86732,15890000
"MRK","10/28/2013",45.57,45.82,45.21,45.35,39.66615,27297600
"MRK","10/25/2013",46.25,46.58,45.85,46.54,40.70701,17894000
"MRK","10/24/2013",46.8,46.86,46.19,46.22,40.42712,11201100
"MRK","10/23/2013",46.6,46.72,46.48,46.56,40.7245,9650700
"MRK","10/22/2013",46.31,46.72,46.14,46.47,40.64578,15841500
"MRK","10/21/2013",46.7,46.72,46.08,46.51,40.68076,16678000
"MRK","10/18/2013",47.37,47.45,46.47,46.61,40.76823,20632400
"MRK","10/17/2013",47.13,47.28,46.89,47.11,41.20557,13878500
"MRK","10/16/2013",46.61,47.17,46.57,47.17,41.25805,11102700
"MRK","10/15/2013",46.52,46.83,46.42,46.57,40.73325,14161000
"MRK","10/14/2013",46.8,47.08,46.44,46.75,40.89069,20674500
"MRK","10/11/2013",47.42,47.49,47.15,47.29,41.36301,10253500
"MRK","10/10/2013",47.6,47.63,46.96,47.49,41.53794,17262400
"MRK","10/09/2013",47.69,47.82,47.14,47.27,41.34552,15353400
"MRK","10/08/2013",47.84,48.15,47.64,47.75,41.76535,14020700
"MRK","10/07/2013",47.92,48.23,47.68,47.89,41.88781,9195800
"MRK","10/04/2013",48.27,48.36,47.94,48.23,42.18519,11570800
"MRK","10/03/2013",48.22,48.75,48,48.36,42.2989,17900500
"MRK","10/02/2013",48.45,48.55,48.12,48.37,42.30765,13975300
