"symbol","date","open","high","low","close","adjclose","volume"
"MS","12/31/2013",30.89,31.42,30.87,31.36,29.24577,8457100
"MS","12/30/2013",31.07,31.25,30.74,30.85,28.77015,6201200
"MS","12/27/2013",31.12,31.22,30.95,31.06,28.96599,4116200
"MS","12/26/2013",31.03,31.25,30.95,31.1,29.0033,5408700
"MS","12/24/2013",31.09,31.17,30.73,31.01,28.91936,4545700
"MS","12/23/2013",31.15,31.24,31,31.11,29.01263,7199500
"MS","12/20/2013",30.98,31.19,30.82,30.93,28.84476,14922700
"MS","12/19/2013",31.5,31.54,30.81,30.86,28.77948,20841100
"MS","12/18/2013",30.68,31.65,30.44,31.62,29.48824,18392200
"MS","12/17/2013",30.96,31.03,30.37,30.52,28.4624,10009200
"MS","12/16/2013",31.27,31.43,30.85,30.92,28.83544,8646700
"MS","12/13/2013",30.57,31.17,30.53,31.09,28.99397,12345400
"MS","12/12/2013",30.18,30.64,30.15,30.48,28.4251,10114700
"MS","12/11/2013",30.79,30.79,30.04,30.12,28.08937,10097200
"MS","12/10/2013",30.5,31.05,30.37,30.77,28.69555,13249000
"MS","12/09/2013",30.69,30.74,30.29,30.39,28.34117,8486800
"MS","12/06/2013",30.76,30.8,30.31,30.46,28.40644,12761400
"MS","12/05/2013",30.74,30.84,30.13,30.21,28.1733,14406800
"MS","12/04/2013",30.75,31.29,30.69,31.13,29.03127,7967000
"MS","12/03/2013",31.27,31.43,30.78,30.97,28.88206,11249500
"MS","12/02/2013",31.52,31.85,31.29,31.43,29.31105,9975700
"MS","11/29/2013",31.51,31.57,31.28,31.3,29.18981,5445900
"MS","11/27/2013",31.4,31.52,31.25,31.41,29.2924,5116400
"MS","11/26/2013",31.54,31.77,31.39,31.39,29.27374,9192700
"MS","11/25/2013",31.38,31.8,31.34,31.54,29.41363,13062400
"MS","11/22/2013",30.92,31.35,30.77,31.34,29.22712,10565400
"MS","11/21/2013",30.5,31.03,30.43,30.89,28.80746,10493200
"MS","11/20/2013",30.48,30.72,30.21,30.27,28.22926,11529700
"MS","11/19/2013",30.36,30.75,30.19,30.34,28.29454,10027100
"MS","11/18/2013",30.44,30.78,30.22,30.33,28.2852,11378200
"MS","11/15/2013",30.26,30.52,30.23,30.3,28.25723,10581700
"MS","11/14/2013",29.99,30.37,29.92,30.34,28.29454,10196200
"MS","11/13/2013",29.44,30.06,29.4,30.05,28.02409,9418300
"MS","11/12/2013",29.97,30.23,29.46,29.76,27.75364,14450800
"MS","11/11/2013",29.4,30.1,29.27,30.09,28.06139,13978000
"MS","11/08/2013",28.79,29.59,28.77,29.44,27.45521,16730400
"MS","11/07/2013",29.21,29.3,28.69,28.72,26.78375,14274200
"MS","11/06/2013",29.14,29.22,28.94,29.13,27.16611,8972300
"MS","11/05/2013",29.06,29.16,28.97,28.99,27.03555,11053100
"MS","11/04/2013",29.23,29.36,29.08,29.34,27.36195,12224300
"MS","11/01/2013",28.89,29.55,28.85,29.2,27.23139,14964200
"MS","10/31/2013",29.08,29.24,28.73,28.73,26.79308,10357500
"MS","10/30/2013",29.42,29.46,28.99,29.11,27.14746,9718200
"MS","10/29/2013",29.04,29.36,28.97,29.36,27.3806,12035000
"MS","10/29/2013",0,0,0,0,0,0
"MS","10/28/2013",29.23,29.25,28.95,28.97,26.97027,10599400
"MS","10/25/2013",29.33,29.41,29.15,29.23,27.21232,13311400
"MS","10/24/2013",29.16,29.43,29.12,29.39,27.36127,8932200
"MS","10/23/2013",29.22,29.29,28.92,29.08,27.07267,13240400
"MS","10/22/2013",29.59,29.65,29.13,29.46,27.42645,13076100
"MS","10/21/2013",29.54,29.67,29.28,29.43,27.39852,14547200
"MS","10/18/2013",29.92,29.97,29.21,29.69,27.64057,32411500
"MS","10/17/2013",28.36,28.96,28.15,28.93,26.93303,19157100
