"symbol","date","open","high","low","close","adjclose","volume"
"MSI","12/31/2013",67.18,67.64,67.15,67.5,61.85809,647800
"MSI","12/30/2013",67.11,67.67,67.11,67.25,61.62898,590900
"MSI","12/27/2013",67.12,67.61,67.03,67.33,61.70229,599800
"MSI","12/26/2013",67.09,67.49,66.94,67.18,61.56483,861100
"MSI","12/24/2013",66.53,67.28,66.5,67.1,61.49152,538500
"MSI","12/23/2013",66,66.88,65.66,66.78,61.19826,1744500
"MSI","12/20/2013",65.65,66.08,65.59,65.61,60.12606,3196500
"MSI","12/19/2013",66.06,66.35,65.82,65.85,60.346,2152300
"MSI","12/18/2013",65.44,66.17,64.99,66.16,60.63008,1015300
"MSI","12/17/2013",65.09,65.79,64.84,65.52,60.04358,1175100
"MSI","12/16/2013",65.05,65.5,64.84,65.36,59.89694,1154900
"MSI","12/13/2013",64.85,65.23,64.61,65.05,59.61286,1233600
"MSI","12/12/2013",64.4,65.1,64.21,64.86,59.43875,1334700
"MSI","12/11/2013",64.83,65.42,64.55,64.6,59.20047,1150900
"MSI","12/11/2013",0,0,0,0,0,0
"MSI","12/10/2013",65.51,66.09,65.13,65.41,59.6587,1431100
"MSI","12/09/2013",66.02,66.26,65.65,65.79,60.00528,923100
"MSI","12/06/2013",65.59,66.33,65.41,66.18,60.36098,1131900
"MSI","12/05/2013",64.75,65.57,64.7,65.23,59.49451,1084800
"MSI","12/04/2013",65.37,65.7,64.63,64.93,59.22089,1357400
"MSI","12/03/2013",65.38,65.84,65,65.79,60.00528,927600
"MSI","12/02/2013",65.75,66.13,65.43,65.66,59.8867,928600
"MSI","11/29/2013",65.59,66.29,65.33,65.88,60.08735,764600
"MSI","11/27/2013",65.65,65.96,65.34,65.5,59.74077,1204600
"MSI","11/26/2013",65.85,65.99,65.22,65.57,59.80462,1914700
"MSI","11/25/2013",65.83,66.14,65.6,65.79,60.00528,721200
"MSI","11/22/2013",65.39,65.95,65.16,65.88,60.08735,743900
"MSI","11/21/2013",64.85,65.46,64.69,65.41,59.6587,1468500
"MSI","11/20/2013",64.79,65.07,64.51,64.58,58.90166,1300300
"MSI","11/19/2013",65.3,65.5,64.55,64.61,58.92902,1120000
"MSI","11/18/2013",65.49,65.79,65.19,65.42,59.66779,1208600
"MSI","11/15/2013",64.81,65.79,64.73,65.57,59.80462,1500800
"MSI","11/14/2013",64.41,64.97,64.27,64.58,58.90166,1086500
"MSI","11/13/2013",64,64.48,63.8,64.45,58.78309,1213200
"MSI","11/12/2013",63.51,64.25,63.42,64.24,58.59156,1192000
"MSI","11/11/2013",63,63.69,62.94,63.51,57.92574,1031900
"MSI","11/08/2013",62.6,63.17,62.6,63.12,57.57003,1172000
"MSI","11/07/2013",62.85,63.42,62.44,62.49,56.99543,1602100
"MSI","11/06/2013",62.89,63.2,62.61,62.65,57.14135,1144500
"MSI","11/05/2013",62.58,63,62.52,62.68,57.16872,807400
"MSI","11/04/2013",62.4,62.88,62.4,62.71,57.19609,1125300
"MSI","11/01/2013",62.68,62.85,61.99,62.39,56.90422,1199100
"MSI","10/31/2013",62.31,62.98,62.08,62.52,57.02279,1167700
"MSI","10/30/2013",62.69,62.79,61.95,62.25,56.77653,1121200
"MSI","10/29/2013",62.79,63.06,62.52,62.73,57.21432,930000
"MSI","10/28/2013",63,63.11,62.33,62.44,56.94982,1261600
"MSI","10/25/2013",62.65,63.06,62.42,62.99,57.45147,1523800
"MSI","10/24/2013",62.3,62.8,62.08,62.51,57.01367,1802000
"MSI","10/23/2013",61.68,66.39,60.68,62.4,56.91334,8847300
"MSI","10/22/2013",61,61.19,60.21,60.43,55.11656,3228100
"MSI","10/21/2013",60.88,61.2,60.82,61.18,55.80062,1885700
"MSI","10/18/2013",60.99,61.09,60.65,60.81,55.46315,2562300
"MSI","10/17/2013",60.4,60.97,60.25,60.92,55.56347,1988900
"MSI","10/16/2013",60.73,61,60.43,60.71,55.37194,2014900
"MSI","10/15/2013",60.71,61,60.46,60.49,55.17128,1677900
"MSI","10/14/2013",60.26,61.13,59.95,61.03,55.6638,1405400
"MSI","10/11/2013",60.38,60.84,60.31,60.52,55.19865,1046200
"MSI","10/10/2013",59.95,60.61,59.85,60.61,55.28074,1133300
"MSI","10/09/2013",59.82,59.89,58.93,59.39,54.16799,1362400
"MSI","10/08/2013",60.87,60.91,59.57,59.62,54.37777,1569900
"MSI","10/07/2013",60.66,61.57,60.53,60.89,55.53612,1531300
"MSI","10/04/2013",60.37,61.24,60.16,61.14,55.76413,1978700
"MSI","10/03/2013",60.48,60.79,60.34,60.56,55.23513,1954300
"MSI","10/02/2013",60.52,60.72,60.15,60.7,55.36282,2405500
"MSI","10/01/2013",59.42,60.89,59.24,60.89,55.53612,2788000
"MSI","09/30/2013",59.29,59.61,59.15,59.38,54.15889,1420600
"MSI","09/27/2013",59.74,59.92,59.55,59.75,54.49635,838700
"MSI","09/26/2013",59.87,60.1,59.71,59.87,54.6058,990700
"MSI","09/25/2013",59.8,60.12,59.53,59.85,54.58755,1617800
"MSI","09/24/2013",60.23,60.23,59.92,59.99,54.71525,2714000
"MSI","09/23/2013",60.16,60.39,60.05,60.37,55.06184,1655200
"MSI","09/20/2013",59.93,60.77,59.88,60.39,55.08008,8420000
"MSI","09/19/2013",59.22,59.92,59.2,59.69,54.44162,2588000
"MSI","09/18/2013",58.25,59.38,58.1,59.26,54.04943,2663700
"MSI","09/17/2013",57.76,58.29,57.76,58.28,53.1556,1547200
"MSI","09/16/2013",58.06,58.16,57.77,57.81,52.72693,2050300
"MSI","09/13/2013",57.44,57.53,57.15,57.46,52.4077,1042300
"MSI","09/12/2013",57.35,58,57.29,57.5,52.44418,2043800
"MSI","09/11/2013",56.99,57.32,56.64,57.25,52.21617,1096500
"MSI","09/11/2013",0,0,0,0,0,0
"MSI","09/10/2013",57.76,58,57.14,57.37,52.04288,1794000
"MSI","09/09/2013",56.63,58,56.63,57.59,52.24245,2370800
"MSI","09/06/2013",56.17,56.81,55.8,56.47,51.22644,1894600
"MSI","09/05/2013",55.93,56.59,55.93,56.17,50.9543,1457900
"MSI","09/04/2013",56.22,56.38,55.96,56.08,50.87266,2384900
"MSI","09/03/2013",56.38,57,56.04,56.28,51.05408,1749400
"MSI","08/30/2013",56.16,56.21,55.85,56.01,50.80916,1408800
"MSI","08/29/2013",56.26,56.43,55.97,56.19,50.97245,1372400
"MSI","08/28/2013",56.12,56.6,56.12,56.39,51.15387,1308900
"MSI","08/27/2013",56.03,56.35,55.7,56.12,50.90894,1720600
"MSI","08/26/2013",56.59,57.06,56.53,56.55,51.29902,1001500
"MSI","08/23/2013",56.49,56.84,56.31,56.74,51.47137,1100300
"MSI","08/22/2013",56.05,56.45,55.94,56.33,51.09945,1435500
"MSI","08/21/2013",56.86,57,55.78,56.06,50.85452,3258900
"MSI","08/20/2013",56.96,57.14,56.85,57.05,51.75259,1913300
"MSI","08/19/2013",56.97,57.52,56.94,57.09,51.78888,1518600
"MSI","08/16/2013",57.31,57.46,56.9,57.15,51.8433,2011800
"MSI","08/15/2013",57.1,57.1,56.52,56.96,51.67095,3299600
"MSI","08/14/2013",57.68,57.96,57.62,57.71,52.35131,1392900
"MSI","08/13/2013",57.39,57.94,57.32,57.84,52.46923,1406500
"MSI","08/12/2013",57.05,57.56,56.8,57.44,52.10638,1898100
"MSI","08/09/2013",56.84,57.54,56.84,57.36,52.03381,1534500
"MSI","08/08/2013",56.6,57.16,56.26,57.13,51.82516,1721100
"MSI","08/07/2013",56.19,56.52,56.05,56.48,51.23551,1679100
"MSI","08/06/2013",55.92,56.52,55.84,56.4,51.16294,1656500
"MSI","08/05/2013",55.8,56.12,55.64,56.1,50.89079,1190600
"MSI","08/02/2013",55.32,56.13,55.15,56.02,50.81822,1742500
"MSI","08/01/2013",55.07,55.4,54.92,55.32,50.18323,1417200
"MSI","07/31/2013",54.56,55.26,54.13,54.83,49.73873,2434000
"MSI","07/30/2013",54.23,54.63,53.9,54.35,49.3033,2568400
"MSI","07/29/2013",54.02,54.46,53.74,54.01,48.99487,2143500
"MSI","07/26/2013",53.92,54.34,53.62,54.26,49.22166,3245000
"MSI","07/25/2013",55.95,55.98,54.19,54.25,49.21259,5029600
"MSI","07/24/2013",56.41,56.88,53.88,56.04,50.83637,7396700
"MSI","07/23/2013",59.75,60.69,59.75,59.98,54.41051,2138100
"MSI","07/22/2013",59.73,59.95,59.42,59.87,54.31073,2566900
"MSI","07/19/2013",59.46,60.08,59.24,59.85,54.29259,2248800
"MSI","07/18/2013",59.37,59.5,59,59.36,53.84809,1222700
"MSI","07/17/2013",59.33,59.59,59.1,59.42,53.90251,894100
"MSI","07/16/2013",59.1,59.58,59.03,59.32,53.81181,1448700
"MSI","07/15/2013",59.49,59.62,59.13,59.17,53.67574,1353600
"MSI","07/12/2013",59.05,59.75,58.86,59.54,54.01139,1353300
"MSI","07/11/2013",58.91,59.43,58.85,59.05,53.56687,1836100
"MSI","07/10/2013",58.03,58.53,57.94,58.43,53.00444,2120700
"MSI","07/09/2013",58.08,58.46,57.71,58.03,52.64159,1134800
"MSI","07/08/2013",58.04,58.59,57.85,57.86,52.48738,1180100
"MSI","07/05/2013",57.58,57.97,57.33,57.93,52.55088,1097400
"MSI","07/03/2013",57.12,57.63,57.02,57.26,51.94308,894900
"MSI","07/02/2013",57.75,57.88,57.22,57.49,52.15174,1890000
"MSI","07/01/2013",57.81,58.43,57.81,57.98,52.59623,1227500
"MSI","06/28/2013",57.72,58.33,57.46,57.73,52.36944,4738700
"MSI","06/27/2013",57.68,58.2,57.42,57.84,52.46923,1510500
"MSI","06/26/2013",56.66,57.68,56.54,57.49,52.15174,2791700
"MSI","06/25/2013",55.98,56.42,55.55,56.35,51.11759,2740900
"MSI","06/24/2013",55.33,55.8,54.64,55.59,50.42816,2335500
"MSI","06/21/2013",55.97,56.03,55.17,55.82,50.6368,4309300
"MSI","06/20/2013",56.53,56.84,55.36,55.5,50.34652,2725500
"MSI","06/19/2013",57.33,57.42,56.75,56.78,51.50766,2196700
"MSI","06/18/2013",57.44,57.63,57.17,57.35,52.02473,1119000
"MSI","06/17/2013",57.17,57.5,57.08,57.33,52.00659,1618200
"MSI","06/14/2013",57.11,57.53,56.92,56.93,51.64373,1518500
"MSI","06/13/2013",56.25,57.29,56.04,57.19,51.87959,1659600
"MSI","06/12/2013",56.59,56.68,56.03,56.26,51.03594,1499900
"MSI","06/12/2013",0,0,0,0,0,0
"MSI","06/11/2013",56.28,57.08,55.97,56.38,50.90895,1547800
"MSI","06/10/2013",57,57.1,56.34,56.61,51.11662,2161200
"MSI","06/07/2013",57.12,57.42,56.74,56.94,51.4146,1581700
"MSI","06/06/2013",56.29,56.92,56.15,56.92,51.39654,2383600
"MSI","06/05/2013",57.18,57.31,56.25,56.27,50.80962,2017400
"MSI","06/04/2013",57.7,58.05,57.38,57.41,51.839,2068800
"MSI","06/03/2013",58.12,58.58,57.43,57.83,52.21824,2204900
"MSI","05/31/2013",58.31,59.04,57.95,57.96,52.33562,2196900
"MSI","05/30/2013",58.46,58.93,58.26,58.54,52.85934,1414000
"MSI","05/29/2013",58.29,58.53,58,58.32,52.66069,1739000
"MSI","05/28/2013",58.06,59.03,58.04,58.53,52.85032,2529300
"MSI","05/24/2013",57.3,58.03,56.86,57.81,52.20018,3077400
"MSI","05/23/2013",57.05,57.85,57,57.48,51.90221,3855300
"MSI","05/22/2013",57.71,58.21,57.19,57.3,51.73966,2517200
"MSI","05/21/2013",58.68,59.07,57.66,57.77,52.16405,2686500
"MSI","05/20/2013",57.62,58.83,57.62,58.25,52.59748,3507500
"MSI","05/17/2013",57.51,57.92,57.34,57.84,52.22727,2294000
"MSI","05/16/2013",57.1,57.88,56.89,57.53,51.94735,3030500
"MSI","05/15/2013",56.68,57.23,56.63,57.1,51.55907,2239900
"MSI","05/14/2013",56.01,56.94,56.01,56.89,51.36946,2239000
"MSI","05/13/2013",56.23,56.53,56.07,56.17,50.71931,2247400
"MSI","05/10/2013",56.44,56.78,56.09,56.48,50.99924,2332000
"MSI","05/09/2013",56.8,57.08,56.13,56.78,51.27013,2676700
"MSI","05/08/2013",56.81,57.36,56.43,57,51.46878,2639500
"MSI","05/07/2013",56.9,57.06,56.6,56.79,51.27916,2605400
"MSI","05/06/2013",57.03,57.6,56.91,56.95,51.42364,1940300
"MSI","05/03/2013",57.23,57.7,57.16,57.29,51.73064,1766000
"MSI","05/02/2013",56.42,57.02,56.25,56.89,51.36946,1842300
"MSI","05/01/2013",57,57.48,56.36,56.37,50.89991,2176100
"MSI","04/30/2013",57.4,57.41,56.55,57.2,51.64938,2716800
"MSI","04/29/2013",57.01,57.79,56.85,57.44,51.86607,2360100
"MSI","04/26/2013",56.31,57.19,56.31,56.8,51.28819,3534600
"MSI","04/25/2013",56.06,56.76,55.33,56.39,50.91797,3657400
"MSI","04/24/2013",54.74,57.1,53.28,56.02,50.58388,8367400
"MSI","04/23/2013",61.88,62,60.74,61.75,55.75785,2326400
"MSI","04/22/2013",61.84,62.06,61.31,61.78,55.78493,839700
"MSI","04/19/2013",61.55,62.25,61.02,61.72,55.73076,1486100
"MSI","04/18/2013",62.39,62.4,61.06,61.15,55.21607,1727900
"MSI","04/17/2013",62.67,62.76,61.97,62.13,56.10097,1361100
"MSI","04/16/2013",62.31,63.11,62.02,62.96,56.85042,1218200
"MSI","04/15/2013",63.38,63.44,61.82,61.83,55.83009,1611600
"MSI","04/12/2013",64.22,64.58,63.31,63.87,57.67212,1181600
"MSI","04/11/2013",64.56,64.72,64.15,64.63,58.35837,1109400
"MSI","04/10/2013",63.73,64.72,63.44,64.69,58.41255,1012400
"MSI","04/09/2013",63.3,63.93,63.08,63.64,57.46444,991000
"MSI","04/08/2013",62.59,63.2,62.34,63.17,57.04004,1155200
"MSI","04/05/2013",62.36,62.83,62.07,62.67,56.58857,1056800
"MSI","04/04/2013",62.68,63.19,62.56,62.99,56.87753,1246200
"MSI","04/03/2013",63.58,63.63,62.62,62.8,56.70596,1611300
"MSI","04/02/2013",64,64.2,63.47,63.7,57.51862,650400
"MSI","04/01/2013",63.97,64.23,63.56,63.7,57.51862,748000
"MSI","03/28/2013",63.46,64.1,63.31,64.03,57.8166,1352000
"MSI","03/27/2013",63.18,63.77,63.01,63.56,57.3922,900500
