"symbol","date","open","high","low","close","adjclose","volume"
"OMC","12/31/2013",74,74.5,73.96,74.37,67.31419,890700
"OMC","12/30/2013",73.19,74.04,72.82,73.99,66.97025,880700
"OMC","12/27/2013",73.41,73.79,73.1,73.42,66.45432,757900
"OMC","12/26/2013",71.83,72.76,71.65,72.74,65.83884,481400
"OMC","12/24/2013",71.35,72.11,71.35,71.83,65.01518,373600
"OMC","12/23/2013",72,72.04,71.09,71.21,64.454,1437800
"OMC","12/20/2013",72.37,72.5,71.38,71.48,64.69839,2411000
"OMC","12/19/2013",71.8,73.19,71.8,72.6,65.71213,2242200
"OMC","12/18/2013",69.84,70.55,68.79,70.55,63.85662,1182400
"OMC","12/18/2013",0,0,0,0,0,0
"OMC","12/17/2013",69.5,70.44,69.5,69.84,62.85192,1654500
"OMC","12/16/2013",69,69.82,69,69.63,62.66294,1053900
"OMC","12/13/2013",68.95,69.67,68.79,68.82,61.93398,875200
"OMC","12/12/2013",69.46,69.8,68.8,68.9,62.00599,1384300
"OMC","12/11/2013",71.27,71.55,69.53,69.81,62.82493,1504000
"OMC","12/10/2013",70.79,71.36,70.63,70.65,63.58089,751600
"OMC","12/09/2013",71.3,71.78,70.95,71.11,63.99485,824800
"OMC","12/06/2013",70.79,71.56,70.71,71.3,64.16583,1149700
"OMC","12/05/2013",70.93,71.16,70.05,70.42,63.3739,1777700
"OMC","12/04/2013",70.28,70.7,69.32,69.43,62.48295,1937700
"OMC","12/03/2013",70.7,71.11,70.35,70.68,63.60788,2126200
"OMC","12/02/2013",71.37,72.29,71.16,71.98,64.7778,1297000
"OMC","11/29/2013",72.21,72.49,71.08,71.45,64.30083,706000
"OMC","11/27/2013",71.81,71.98,71.28,71.52,64.36383,551600
"OMC","11/26/2013",71.5,72.39,71.08,71.76,64.57982,1081300
"OMC","11/25/2013",71.41,71.51,70.8,70.91,63.81487,726800
"OMC","11/22/2013",71.62,72.16,71.53,71.74,64.56181,992200
"OMC","11/21/2013",70.93,71.16,70.7,70.74,63.66187,1674800
"OMC","11/20/2013",70.16,70.59,69.95,70.35,63.3109,949700
"OMC","11/19/2013",69.68,70.31,69.5,70.16,63.13992,815100
"OMC","11/18/2013",70.2,70.74,69.6,69.93,62.93293,1321500
"OMC","11/15/2013",70.29,70.73,69.81,69.95,62.95093,2230200
"OMC","11/14/2013",69.57,69.7,69.07,69.08,62.16798,1071200
"OMC","11/13/2013",68.99,70.05,68.61,69.77,62.78893,1449000
"OMC","11/12/2013",70.11,70.69,69.77,69.99,62.98693,664400
"OMC","11/11/2013",70.55,70.95,70.42,70.56,63.49989,692400
"OMC","11/08/2013",70.14,70.62,69.85,70.4,63.3559,1000600
"OMC","11/07/2013",70.84,71,70.22,70.38,63.33789,1066000
"OMC","11/06/2013",71.42,71.83,70.25,70.51,63.45489,1784700
"OMC","11/05/2013",69.88,70.53,69.65,70.28,63.24791,1053700
"OMC","11/04/2013",69.28,70.11,68.75,69.91,62.91492,1126000
"OMC","11/01/2013",68.19,69.11,68.14,68.98,62.07799,1546000
"OMC","10/31/2013",68,68.78,67.72,68.11,61.29502,1410000
"OMC","10/30/2013",68.96,68.96,67.88,67.99,61.18703,1233500
"OMC","10/29/2013",68.01,68.88,68.01,68.88,61.98799,1346500
"OMC","10/28/2013",67.44,68.79,67.41,68.37,61.52901,1590700
"OMC","10/25/2013",67.15,67.91,67.15,67.46,60.71006,1535500
"OMC","10/24/2013",66.8,67.14,66.48,66.49,59.83712,2180900
"OMC","10/23/2013",67.35,67.82,65.87,66,59.39615,1695700
"OMC","10/22/2013",66.6,68.06,66.58,67.84,61.05204,1641200
"OMC","10/21/2013",66.01,66.22,65.56,66.16,59.54015,810900
"OMC","10/18/2013",65.53,66.3,65.53,65.66,59.09017,1912900
"OMC","10/17/2013",64.57,65.25,64.45,65.16,58.64021,1388100
"OMC","10/16/2013",63.5,65.01,63.41,64.61,58.14524,2165000
"OMC","10/15/2013",64.76,65.69,64.36,64.96,58.46022,1586200
"OMC","10/14/2013",63.33,64.21,63.15,63.95,57.55128,1270600
"OMC","10/11/2013",63.71,63.84,63.33,63.7,57.32629,1269400
