"symbol","date","open","high","low","close","adjclose","volume"
"PCG","12/31/2013",40.33,40.47,40.13,40.28,35.43734,1925500
"PCG","12/30/2013",40.22,40.42,40.07,40.27,35.42854,2151200
"PCG","12/27/2013",40.28,40.56,40.15,40.28,35.43734,1334800
"PCG","12/27/2013",0,0,0,0,0,0
"PCG","12/26/2013",41.12,41.18,40.48,40.56,35.28338,1925200
"PCG","12/24/2013",40.98,41.23,40.91,41.03,35.69224,1053800
"PCG","12/23/2013",40.8,41.19,40.73,40.98,35.64874,2317700
"PCG","12/20/2013",40.17,40.94,40.14,40.56,35.28338,5428300
"PCG","12/19/2013",40.57,40.57,40.04,40.22,34.98762,3901200
"PCG","12/18/2013",40.7,41.01,40.11,40.95,35.62264,3941000
"PCG","12/17/2013",40.95,41.09,40.56,40.64,35.35297,4126700
"PCG","12/16/2013",40.66,41.16,40.64,40.98,35.64874,4383400
"PCG","12/13/2013",40.34,40.49,40.22,40.42,35.16159,2025800
"PCG","12/12/2013",40.17,40.49,40.16,40.2,34.97021,3367600
"PCG","12/11/2013",40.25,40.57,40.17,40.26,35.02241,2640800
"PCG","12/10/2013",41.09,41.2,40.18,40.32,35.0746,3349800
"PCG","12/09/2013",41.06,41.46,41,41.16,35.80532,2569700
"PCG","12/06/2013",40.53,41.23,40.43,41.11,35.76183,2854100
"PCG","12/05/2013",40.66,40.66,40.05,40.36,35.1094,3130000
"PCG","12/04/2013",40.57,40.91,40.33,40.71,35.41387,2394800
"PCG","12/03/2013",40.34,40.83,40.17,40.8,35.49216,2891400
"PCG","12/02/2013",40.44,40.72,40.22,40.46,35.19639,3254600
"PCG","11/29/2013",40,40.61,40,40.37,35.1181,1377800
"PCG","11/27/2013",40.28,40.34,40.07,40.26,35.02241,2515200
"PCG","11/26/2013",40.57,40.6,39.91,40.25,35.01371,4406500
"PCG","11/25/2013",40.74,40.96,40.57,40.57,35.29207,2399500
"PCG","11/22/2013",40.49,40.81,40.47,40.63,35.34428,2883100
"PCG","11/21/2013",40.7,40.81,40.13,40.52,35.24859,2299800
"PCG","11/20/2013",40.88,41.11,40.55,40.55,35.27468,2082900
"PCG","11/19/2013",41.09,41.21,40.82,40.93,35.60525,2065900
"PCG","11/18/2013",41.2,41.25,40.75,41.02,35.68354,3635900
"PCG","11/15/2013",40.87,41.2,40.85,41.16,35.80532,2298100
"PCG","11/14/2013",41.09,41.34,40.94,41.01,35.67484,2200900
"PCG","11/13/2013",40.32,41.09,40.2,40.97,35.64004,4012500
"PCG","11/12/2013",40.67,40.99,40.02,40.49,35.22249,8906200
"PCG","11/11/2013",41.75,41.87,41.34,41.42,36.03149,1806600
"PCG","11/08/2013",41.92,41.92,41.37,41.77,36.33596,3834300
"PCG","11/07/2013",42.81,42.95,41.99,42.05,36.57955,2718200
"PCG","11/06/2013",42,42.79,42,42.75,37.18848,2017400
"PCG","11/05/2013",42.14,42.7,41.99,42.01,36.54474,2260000
