"symbol","date","open","high","low","close","adjclose","volume"
"PNR","12/31/2013",77.69,77.9,77.1,77.67,71.51881,704500
"PNR","12/30/2013",77.57,77.91,77.19,77.39,71.26099,507300
"PNR","12/27/2013",77.65,77.97,77.39,77.57,71.42675,699000
"PNR","12/26/2013",76.47,77.59,76.31,77.39,71.26099,616400
"PNR","12/24/2013",76.12,76.75,76.03,76.55,70.48753,376700
"PNR","12/23/2013",76.06,76.26,75.27,75.92,69.90742,1332800
"PNR","12/20/2013",74.92,75.91,74.82,75.4,69.42858,1503900
"PNR","12/19/2013",74.89,75.05,74.24,74.89,68.95897,1005700
"PNR","12/18/2013",73.08,75.14,72.54,75.09,69.14316,1089500
"PNR","12/17/2013",72.74,73.47,71.97,72.83,67.06213,1414500
"PNR","12/16/2013",70.75,71.78,69.76,71.6,65.92953,1460100
"PNR","12/13/2013",70.25,70.65,69.71,70.01,64.46545,784300
"PNR","12/12/2013",70.08,70.39,69.41,69.97,64.42863,1030200
"PNR","12/11/2013",71.6,71.83,70.12,70.25,64.68645,953800
"PNR","12/10/2013",70.87,72.3,70.68,71.64,65.96637,902400
"PNR","12/09/2013",70.81,71.47,70.6,71.24,65.59806,640900
"PNR","12/06/2013",70.79,71.16,70.26,70.95,65.33101,755000
"PNR","12/05/2013",69.63,70.13,69.32,69.75,64.22607,599800
"PNR","12/04/2013",69.55,70.28,68.92,69.78,64.25368,547500
"PNR","12/03/2013",69.97,70.25,69.35,69.99,64.44702,789400
"PNR","12/02/2013",70.6,70.98,70.12,70.43,64.8522,771700
"PNR","11/29/2013",71.28,71.35,70.7,70.72,65.11922,362000
"PNR","11/27/2013",71,71.42,70.41,71.27,65.62567,616600
"PNR","11/26/2013",70.77,71.3,70.67,70.94,65.32181,836200
"PNR","11/25/2013",70.5,71.06,70.49,70.8,65.1929,597900
"PNR","11/22/2013",70.33,70.6,69.34,70.37,64.79696,900500
"PNR","11/21/2013",69.85,70.5,69.6,70.42,64.84299,885900
"PNR","11/20/2013",70,70.4,69.51,69.64,64.12478,942100
"PNR","11/19/2013",70.33,70.55,69.32,69.6,64.08794,758700
