"symbol","date","open","high","low","close","adjclose","volume"
"PX","12/31/2013",130.44,130.58,129.47,130.03,118.2757,597600
"PX","12/30/2013",129.68,130.39,129.52,130.01,118.2575,453100
"PX","12/27/2013",130,130.4,129.67,130.01,118.2575,486500
"PX","12/26/2013",128.92,129.62,128.26,129.57,117.8573,326800
"PX","12/24/2013",127.91,129.12,127.72,128.97,117.3115,316900
"PX","12/23/2013",128.14,128.14,127.38,127.96,116.3928,804800
"PX","12/20/2013",126.96,127.88,126.82,127.54,116.0108,1055800
"PX","12/19/2013",126.23,127.17,125.69,127.15,115.6561,1108700
"PX","12/18/2013",125.37,126.73,123.76,126.66,115.2103,1133900
"PX","12/17/2013",125,125.75,124.8,125.24,113.9187,930600
"PX","12/16/2013",124.6,125.73,124.5,125.02,113.7186,1017400
"PX","12/13/2013",124.81,125.1,124.06,124.25,113.0182,727200
"PX","12/12/2013",123.65,125.06,122.86,124.68,113.4093,1218500
"PX","12/11/2013",125.68,126.11,123.95,124.12,112.8999,1307700
"PX","12/10/2013",128.2,128.62,125.64,125.94,114.5554,2042000
"PX","12/09/2013",125.93,125.98,124.69,125.41,114.0733,1095100
"PX","12/06/2013",123.89,125.56,123.44,125.46,114.1188,810100
"PX","12/05/2013",122.99,123.54,122.34,122.49,111.4173,1217400
"PX","12/04/2013",122.79,123.98,122.39,123.62,112.4451,822500
"PX","12/04/2013",0,0,0,0,0,0
"PX","12/03/2013",124.13,125.05,123.58,124.24,112.4633,1154700
"PX","12/02/2013",126.11,127.38,124.65,124.78,112.9521,1161700
"PX","11/29/2013",126.5,127.09,125.96,126.26,114.2919,568300
"PX","11/27/2013",125.82,126.86,125.7,126.58,114.5815,512300
"PX","11/26/2013",126.01,126.25,125.6,126.07,114.1199,1604800
"PX","11/25/2013",126.51,127.07,125.95,126.07,114.1199,699700
"PX","11/22/2013",125.43,126.71,124.92,126.57,114.5725,725600
"PX","11/21/2013",124.86,125.59,124.19,125.42,113.5315,632300
"PX","11/20/2013",125.92,126.37,124.35,124.5,112.6987,812500
"PX","11/19/2013",125.98,127,125.7,126.24,114.2738,693800
"PX","11/18/2013",127.3,127.34,125.88,126.29,114.319,688300
"PX","11/15/2013",125.88,126.83,125.14,126.8,114.7807,827800
"PX","11/14/2013",124.99,126.01,124.69,125.62,113.7125,543300
"PX","11/13/2013",123.84,124.55,123.49,124.54,112.7349,893100
"PX","11/12/2013",124.35,124.55,123.52,124.05,112.2913,938300
"PX","11/11/2013",124.7,124.92,124.04,124.68,112.8616,607700
"PX","11/08/2013",124.18,124.5,123.4,124.49,112.6896,1047400
"PX","11/07/2013",125.94,126.23,123.98,124.18,112.409,1067300
"PX","11/06/2013",125.17,126.19,125.02,125.89,113.9569,784300
"PX","11/05/2013",124,125.04,123.27,125.01,113.1603,1323800
"PX","11/04/2013",124.45,124.46,123.34,123.73,112.0017,887100
"PX","11/01/2013",125.17,125.39,123.81,124.09,112.3275,1065400
"PX","10/31/2013",124.72,125.41,124.2,124.71,112.8888,1262300
"PX","10/30/2013",124.71,128.12,124.3,124.5,112.6987,1487600
"PX","10/29/2013",124.02,124.67,123.26,124.66,112.8435,939500
"PX","10/28/2013",124.94,125.23,123.54,124.04,112.2823,590300
"PX","10/25/2013",124.28,125.26,123.72,125.24,113.3685,642600
"PX","10/24/2013",123.79,124.35,123.45,124.02,112.2642,865200
"PX","10/23/2013",125.66,125.66,123.65,123.83,112.0922,822400
"PX","10/22/2013",125,125.94,124.72,125.81,113.8845,963300
"PX","10/21/2013",125,125,124.02,124.79,112.9612,595600
"PX","10/18/2013",124.63,125,124.01,124.94,113.097,763400
"PX","10/17/2013",122.52,124.47,122.51,124.4,112.6082,700700
"PX","10/16/2013",121.66,123.2,121.66,123.17,111.4948,769700
"PX","10/15/2013",122.03,122.67,120.98,121.1,109.621,525800
"PX","10/14/2013",121.23,122.36,121,122.25,110.662,445300
"PX","10/11/2013",121.4,121.86,120.22,121.71,110.1731,590200
"PX","10/10/2013",119.99,121.35,119.97,121.31,109.8111,704400
"PX","10/09/2013",118.5,119.27,117.54,119.02,107.7381,1023100
"PX","10/08/2013",119.65,119.65,117.7,117.75,106.5885,781700
"PX","10/07/2013",120.25,120.69,119.76,119.78,108.4261,627700
"PX","10/04/2013",120.01,121.6,119.86,121.41,109.9016,659200
"PX","10/03/2013",120.94,121.07,119.72,120.1,108.7158,797100
"PX","10/02/2013",120.44,121.48,119.84,121.43,109.9197,895800
"PX","10/01/2013",119.88,120.97,119.27,120.83,109.3766,905000
"PX","09/30/2013",119.42,120.22,118.62,120.21,108.8153,1270000
"PX","09/27/2013",120.23,120.67,119.73,119.86,108.4985,871900
"PX","09/26/2013",119.88,120.76,119.59,120.19,108.7972,1368000
"PX","09/25/2013",120.74,121,119.31,119.52,108.1907,2020800
"PX","09/24/2013",120.58,121,120,120.51,109.0869,1189400
"PX","09/23/2013",121.2,122.06,120.6,120.85,109.3947,1251900
"PX","09/20/2013",122.78,123.76,121.73,121.73,110.1913,1730000
"PX","09/19/2013",123.87,124.41,122.48,122.78,111.1417,1083800
"PX","09/18/2013",121.45,123.77,121.01,123.73,112.0017,1574500
"PX","09/17/2013",122.46,122.46,121.07,121.39,109.8835,977900
"PX","09/16/2013",121.48,122.48,121.26,122.21,110.6258,971900
"PX","09/13/2013",120.37,121,119.93,120.47,109.0507,649300
"PX","09/12/2013",120.7,120.94,120.06,120.24,108.8425,655200
"PX","09/11/2013",119.99,121.34,119.52,121.1,109.621,758000
"PX","09/10/2013",119.73,120.91,119.47,119.93,108.5619,898500
"PX","09/09/2013",118.18,119.25,118.18,119.25,107.9463,776500
"PX","09/06/2013",118.25,119.21,117.7,118.11,106.9144,986600
"PX","09/05/2013",117.85,118.47,117.57,117.92,106.7424,639300
"PX","09/04/2013",117.24,118.03,116.38,117.79,106.6247,700700
"PX","09/04/2013",0,0,0,0,0,0
"PX","09/03/2013",118.76,118.92,117.19,117.47,105.7919,824800
"PX","08/30/2013",116.5,117.6,116.43,117.4,105.7289,1211700
"PX","08/29/2013",116.12,116.78,115.89,116.25,104.6932,848400
"PX","08/28/2013",116.65,116.69,115.79,116.41,104.8373,753000
"PX","08/27/2013",117.25,117.51,116.52,116.83,105.2156,850200
"PX","08/26/2013",119,119.68,117.85,117.94,106.2152,763200
"PX","08/23/2013",118.31,118.85,117.44,118.71,106.9087,608700
"PX","08/22/2013",117.57,118.67,116.97,118.21,106.4584,1131400
"PX","08/21/2013",117.4,118.54,117.23,117.52,105.837,1120200
"PX","08/20/2013",117.3,117.82,116.68,117.47,105.7919,748500
"PX","08/19/2013",117.54,117.99,117.12,117.24,105.5848,1004600
"PX","08/16/2013",117.96,118.36,117.48,117.89,106.1702,1240800
"PX","08/15/2013",118.49,118.83,117.67,118.24,106.4854,883600
"PX","08/14/2013",120.21,120.53,119.1,119.23,107.377,703400
"PX","08/13/2013",120.13,120.66,119.92,120.27,108.3136,919300
"PX","08/12/2013",120.29,120.77,119.62,119.82,107.9083,959100
"PX","08/09/2013",121.06,121.86,120.72,121.06,109.025,648400
"PX","08/08/2013",120.95,121.77,120.92,121.31,109.2502,913200
"PX","08/07/2013",120.15,120.76,120.01,120.35,108.3856,1326200
"PX","08/06/2013",120.13,121.07,119.52,120.48,108.5027,1152200
"PX","08/05/2013",120.31,120.41,119.55,120.1,108.1605,759900
"PX","08/02/2013",119.81,120.47,119.37,120.31,108.3496,1232400
"PX","08/01/2013",121.62,121.86,119.72,120.04,108.1064,1370800
"PX","07/31/2013",121.45,121.82,120.02,120.17,108.2235,2009100
"PX","07/30/2013",119.15,121.04,118.91,120.68,108.6828,1872200
"PX","07/29/2013",118.92,119.62,118.17,119.46,107.5841,1491100
"PX","07/26/2013",118.75,119.29,117.89,119,107.1698,1966100
"PX","07/25/2013",117.76,119.39,117.23,119.2,107.35,2371800
"PX","07/24/2013",117.7,119.41,117.09,118.06,106.3233,1985500
"PX","07/23/2013",116.56,117.77,116.56,117,105.3686,1179800
"PX","07/22/2013",117.17,117.79,116.62,117.01,105.3777,1088900
"PX","07/19/2013",116.81,117.34,116.14,117.14,105.4947,1252400
