"symbol","date","open","high","low","close","adjclose","volume"
"RL","12/31/2013",175.91,177.2,175.6,176.57,165.0399,330300
"RL","12/30/2013",175.69,176.89,175.67,176.34,164.8249,257800
"RL","12/27/2013",176.04,176.62,175.21,175.97,164.4791,286900
"RL","12/26/2013",176.36,176.78,175.42,175.97,164.4791,274200
"RL","12/24/2013",175,176.86,174.89,176.03,164.5352,320700
"RL","12/24/2013",0,0,0,0,0,0
"RL","12/23/2013",175.54,175.99,174.22,174.87,163.0303,504400
"RL","12/20/2013",175.74,176.41,174.94,175.05,163.1981,657100
"RL","12/19/2013",178.37,178.37,175.02,175.14,163.2821,651900
"RL","12/18/2013",174.87,177.25,172.67,177.09,165.1,818800
"RL","12/17/2013",175.3,175.33,173.5,174.35,162.5455,646400
"RL","12/16/2013",175.42,176.87,174.26,175.56,163.6736,829400
"RL","12/13/2013",173.02,175.35,173.02,175.19,163.3287,1000700
"RL","12/12/2013",170.59,173.39,169.86,173.02,161.3056,921200
"RL","12/11/2013",172.23,173.14,170.95,171.09,159.5062,723200
"RL","12/10/2013",170.73,172.52,170.73,171.73,160.1029,697100
"RL","12/09/2013",172.64,174.52,171.01,171.18,159.5901,596700
"RL","12/06/2013",174.74,174.74,171.93,172.29,160.625,705800
"RL","12/05/2013",172.89,173.84,172.02,173.5,161.7531,613200
"RL","12/04/2013",172.37,174.2,172.37,173.63,161.8743,602100
"RL","12/03/2013",173.79,174.84,171.84,173.15,161.4268,710900
"RL","12/02/2013",175.08,175.28,173.18,174.05,162.2659,414000
"RL","11/29/2013",174.9,175.71,173.74,175.23,163.3659,265300
"RL","11/27/2013",175.69,175.69,173.81,174.31,162.5082,325300
"RL","11/26/2013",175.57,177,175.29,175.36,163.4872,508000
"RL","11/25/2013",175.42,175.98,174.6,175.51,163.627,507200
"RL","11/22/2013",172.21,175.12,172.19,175.02,163.1702,667100
"RL","11/21/2013",172.42,172.93,170.8,171.98,160.336,663400
"RL","11/20/2013",173.91,174.68,171.81,172,160.3546,606000
