"symbol","date","open","high","low","close","adjclose","volume"
"SBUX","12/31/2013",39.215,39.39,39.005,39.195,36.74153,6016200
"SBUX","12/30/2013",39.395,39.415,38.93,39.275,36.81652,4733400
"SBUX","12/27/2013",39.645,39.65,39.23,39.285,36.8259,4505000
"SBUX","12/26/2013",39.365,39.515,39.22,39.44,36.97118,4391400
"SBUX","12/24/2013",39.05,39.375,38.975,39.285,36.8259,3896600
"SBUX","12/23/2013",38.985,39.17,38.675,39.16,36.70871,7621600
"SBUX","12/20/2013",38.76,38.99,38.62,38.83,36.39937,12707400
"SBUX","12/19/2013",39.12,39.25,38.51,38.575,36.16033,11402200
"SBUX","12/18/2013",38.065,38.845,38.05,38.84,36.40875,10252000
"SBUX","12/17/2013",38.29,38.29,37.955,38.045,35.66352,7003600
"SBUX","12/16/2013",38.015,38.49,37.955,38.23,35.83693,9345400
"SBUX","12/13/2013",38.415,38.465,38.045,38.175,35.78537,8041000
"SBUX","12/12/2013",38.14,38.545,38,38.24,35.84631,9651000
"SBUX","12/11/2013",38.8,39,38.145,38.2,35.8088,15752000
"SBUX","12/10/2013",39.495,39.535,38.34,38.69,36.26814,26320600
"SBUX","12/09/2013",40.13,40.23,39.805,39.865,37.36958,7920600
"SBUX","12/06/2013",40.3,40.375,39.855,39.97,37.46802,6721200
"SBUX","12/05/2013",39.78,40.125,39.665,39.86,37.36491,6569200
"SBUX","12/04/2013",40.195,40.36,39.72,39.75,37.26178,10204600
"SBUX","12/03/2013",40.37,40.58,40.145,40.275,37.75392,7893200
"SBUX","12/02/2013",40.745,40.845,40.455,40.535,37.99765,5773200
"SBUX","11/29/2013",40.925,41.185,40.685,40.73,38.18045,4387200
"SBUX","11/27/2013",40.695,40.955,40.6,40.81,38.25544,4752000
"SBUX","11/26/2013",40.43,40.825,40.205,40.755,38.20388,8767800
"SBUX","11/25/2013",40.685,40.74,40.255,40.355,37.82891,9001200
"SBUX","11/22/2013",40.85,40.85,40.55,40.675,38.12888,7919200
"SBUX","11/21/2013",39.9,40.825,39.875,40.765,38.21325,13131800
"SBUX","11/20/2013",40.065,40.125,39.66,39.845,37.35084,8733800
"SBUX","11/19/2013",40.005,40.46,39.93,39.96,37.45864,8726000
"SBUX","11/18/2013",40.51,40.67,40.105,40.27,37.74924,8316400
"SBUX","11/15/2013",40.625,40.725,40.39,40.595,38.05389,6445400
"SBUX","11/14/2013",40.765,40.77,40.395,40.57,38.03046,7647600
"SBUX","11/13/2013",39.62,40.75,39.595,40.73,38.18045,12519000
"SBUX","11/12/2013",40.38,40.525,40.06,40.305,37.78205,6613000
"SBUX","11/12/2013",0,0,0,0,0,0
"SBUX","11/11/2013",40.6,40.71,40.49,40.495,37.83829,5133600
"SBUX","11/08/2013",39.755,40.625,39.7,40.6,37.93639,11487800
"SBUX","11/07/2013",40.65,40.675,39.5,39.535,36.94127,13283200
"SBUX","11/06/2013",41.195,41.25,40.485,40.565,37.9037,8562200
"SBUX","11/05/2013",40.18,41.17,40.075,40.995,38.30548,10090200
"SBUX","11/04/2013",40.375,40.39,40.105,40.185,37.54863,8283800
"SBUX","11/01/2013",40.77,40.77,39.835,40.185,37.54863,12005200
"SBUX","10/31/2013",39.345,40.81,39.285,40.525,37.86632,20491600
"SBUX","10/30/2013",40.315,40.425,39.88,40.415,37.76354,17518800
"SBUX","10/29/2013",39.605,39.81,39.525,39.81,37.19823,7898400
"SBUX","10/28/2013",40.1,40.215,39.265,39.355,36.77308,11242800
"SBUX","10/25/2013",39.735,40,39.635,39.98,37.35707,7251800
"SBUX","10/24/2013",39.68,39.72,39.255,39.525,36.93193,13504600
"SBUX","10/23/2013",40.225,40.425,39.945,40.025,37.39913,7892200
"SBUX","10/22/2013",39.95,40.54,39.8,40.45,37.79624,8419600
"SBUX","10/21/2013",39.555,39.955,39.335,39.73,37.12347,6770200
"SBUX","10/18/2013",39.635,39.835,39.485,39.655,37.05339,9050000
"SBUX","10/17/2013",38.835,39.425,38.725,39.37,36.78709,6551000
"SBUX","10/16/2013",38.6,39.11,38.445,39.02,36.46006,10104000
"SBUX","10/15/2013",38.915,38.95,38.3,38.355,35.83869,8135200
"SBUX","10/14/2013",38.77,39.16,38.625,39.05,36.4881,5986600
"SBUX","10/11/2013",38.61,38.92,38.44,38.91,36.35728,5530400
"SBUX","10/10/2013",38.145,38.655,38.065,38.56,36.03024,6625800
"SBUX","10/09/2013",37.695,37.9,37.225,37.63,35.16125,9482000
"SBUX","10/08/2013",38.555,39.015,37.72,37.765,35.2874,12637800
"SBUX","10/07/2013",38.3,38.695,38.205,38.43,35.90876,5106800
"SBUX","10/04/2013",38.4,38.73,38.255,38.7,36.16105,5226600
"SBUX","10/03/2013",38.48,38.73,38.16,38.435,35.91344,8266400
"SBUX","10/02/2013",38.295,38.615,38.105,38.595,36.06294,6088400
"SBUX","10/01/2013",38.49,38.67,38.28,38.58,36.04892,5205200
"SBUX","09/30/2013",38.25,38.54,38.025,38.485,35.96015,8861200
"SBUX","09/27/2013",38.455,38.74,38.2,38.665,36.12835,6200200
"SBUX","09/26/2013",38.32,38.64,38.16,38.59,36.05827,4988800
"SBUX","09/25/2013",38.42,38.505,38.035,38.17,35.66582,7251800
"SBUX","09/24/2013",37.765,38.655,37.74,38.275,35.76394,7736000
"SBUX","09/23/2013",38.055,38.19,37.535,37.68,35.20797,6783800
"SBUX","09/20/2013",38.13,38.5,38.035,38.06,35.56304,9635400
"SBUX","09/19/2013",38.76,38.92,38.15,38.175,35.6705,8041600
"SBUX","09/18/2013",37.94,38.81,37.775,38.665,36.12835,9487000
"SBUX","09/17/2013",37.63,38.12,37.585,38.02,35.52567,6660600
"SBUX","09/16/2013",38.285,38.3,37.43,37.62,35.15191,8708400
"SBUX","09/13/2013",37.795,37.85,37.325,37.785,35.30608,5767400
"SBUX","09/12/2013",37.75,37.955,37.56,37.835,35.3528,7628600
"SBUX","09/11/2013",37.165,37.75,37.165,37.695,35.22199,9982400
"SBUX","09/10/2013",36.49,37.16,36.465,37.11,34.67536,11779000
"SBUX","09/09/2013",35.84,36.245,35.835,36.22,33.84375,4936800
"SBUX","09/06/2013",36.185,36.325,35.465,35.785,33.43729,6356600
"SBUX","09/05/2013",36.125,36.38,36.005,36.025,33.66155,4931200
"SBUX","09/04/2013",35.71,36.135,35.545,36.07,33.70359,6502200
"SBUX","09/03/2013",35.85,36.07,35.595,35.8,33.45132,7249400
"SBUX","08/30/2013",35.69,35.7,35.165,35.26,32.94673,5665000
"SBUX","08/29/2013",35.365,35.92,35.25,35.59,33.25509,5510000
"SBUX","08/28/2013",35.045,35.66,34.93,35.48,33.15231,6249800
"SBUX","08/27/2013",35.45,35.685,35.055,35.08,32.77855,8025200
"SBUX","08/26/2013",36.035,36.105,35.8,35.94,33.58213,4929400
"SBUX","08/23/2013",36.03,36.095,35.79,35.985,33.62418,5869800
"SBUX","08/22/2013",35.54,36.13,35.505,35.95,33.59148,5399600
"SBUX","08/21/2013",35.21,35.7,35.14,35.355,33.03551,6917000
"SBUX","08/20/2013",35.18,35.515,35.055,35.33,33.01215,6045000
"SBUX","08/19/2013",35.29,35.65,35.09,35.145,32.83928,6349200
"SBUX","08/16/2013",35.49,35.695,35.275,35.355,33.03551,6929800
"SBUX","08/15/2013",35.655,35.675,35.155,35.37,33.04952,7198800
"SBUX","08/14/2013",36.29,36.29,35.895,35.925,33.5681,4932000
"SBUX","08/13/2013",36.545,36.545,35.965,36.32,33.93719,5377800
"SBUX","08/12/2013",36.14,36.565,36.125,36.465,34.07268,5472400
"SBUX","08/09/2013",36.295,36.615,36.26,36.4,34.01195,5366400
"SBUX","08/08/2013",36.385,36.7,36.2,36.47,34.07736,5923800
"SBUX","08/07/2013",36.18,36.575,36.085,36.095,33.72696,7066000
"SBUX","08/06/2013",36.83,36.925,36.39,36.4,34.01195,7956000
"SBUX","08/06/2013",0,0,0,0,0,0
"SBUX","08/05/2013",37.11,37.135,36.855,36.985,34.46046,7606200
"SBUX","08/02/2013",36.75,37.135,36.58,37.115,34.58159,9416800
"SBUX","08/01/2013",36.135,36.865,36.04,36.74,34.23217,12854600
"SBUX","07/31/2013",36.07,36.25,35.61,35.645,33.21192,11248400
"SBUX","07/30/2013",36.45,36.49,35.855,35.965,33.51008,9808800
"SBUX","07/29/2013",36.375,36.54,36.05,36.225,33.75234,12800800
"SBUX","07/26/2013",36.3,36.76,35.925,36.68,34.17628,32293400
"SBUX","07/25/2013",33.47,34.15,33.365,34.085,31.7584,15978400
"SBUX","07/24/2013",34.06,34.215,33.15,33.305,31.03165,14034200
"SBUX","07/23/2013",34.62,34.66,33.725,33.83,31.52082,8466200
"SBUX","07/22/2013",34.54,34.605,34.275,34.51,32.1544,6559800
"SBUX","07/19/2013",34.285,34.555,34.2,34.395,32.04725,7197000
"SBUX","07/18/2013",34.225,34.505,34.02,34.24,31.90283,8537800
"SBUX","07/17/2013",34.87,34.91,33.945,34.1,31.77238,12147400
"SBUX","07/16/2013",34.82,34.86,34.54,34.76,32.38733,6068200
"SBUX","07/15/2013",34.845,34.95,34.765,34.83,32.45255,6180600
"SBUX","07/12/2013",34.62,34.86,34.39,34.86,32.48051,9706600
"SBUX","07/11/2013",34.34,34.76,34.175,34.67,32.30347,8385800
"SBUX","07/10/2013",33.935,34.06,33.725,34.05,31.7258,8090800
"SBUX","07/09/2013",34.45,34.5,33.995,34.065,31.73977,7460000
"SBUX","07/08/2013",33.97,34.41,33.94,34.145,31.81431,8030000
"SBUX","07/05/2013",33.935,34,33.45,33.86,31.54876,5189400
"SBUX","07/03/2013",33.215,33.84,33.2,33.65,31.3531,5616400
"SBUX","07/02/2013",33.12,33.6,33.04,33.395,31.11551,6765600
"SBUX","07/01/2013",33.045,33.245,32.91,33.12,30.85928,6692200
"SBUX","06/28/2013",32.755,33.125,32.7,32.755,30.51919,10836600
"SBUX","06/27/2013",33.135,33.25,32.825,32.845,30.60305,6296000
"SBUX","06/26/2013",32.685,33.355,32.445,32.9,30.65429,9545800
"SBUX","06/25/2013",32.265,32.68,32.22,32.37,30.16047,9857000
"SBUX","06/24/2013",32,32.29,31.59,32.005,29.82038,9913200
"SBUX","06/21/2013",32.855,32.96,32.115,32.345,30.13717,14709600
"SBUX","06/20/2013",32.91,33.16,32.52,32.61,30.38409,11606600
"SBUX","06/19/2013",33.51,33.74,33.205,33.205,30.93847,10647200
"SBUX","06/18/2013",33,33.565,32.975,33.55,31.25992,7453600
"SBUX","06/17/2013",33.095,33.28,32.855,33.015,30.76144,8115800
"SBUX","06/14/2013",32.975,33.335,32.725,32.8,30.56112,9854600
"SBUX","06/13/2013",32.27,33.095,32.035,32.985,30.73349,11909800
"SBUX","06/12/2013",32.91,33,32.13,32.225,30.02537,10070000
"SBUX","06/11/2013",32.735,33.055,32.655,32.71,30.47727,7897600
"SBUX","06/10/2013",32.83,33.155,32.74,33.055,30.79872,12412400
"SBUX","06/07/2013",31.705,32.545,31.705,32.52,30.30024,13753000
"SBUX","06/06/2013",31.175,31.53,31.16,31.51,29.35917,8625400
"SBUX","06/05/2013",31.52,31.65,31.155,31.17,29.04238,8408600
