"symbol","date","open","high","low","close","adjclose","volume"
"SCG","12/31/2013",47.07,47.14,46.77,46.93,40.1869,734000
"SCG","12/30/2013",47.02,47.32,46.83,46.9,40.16121,632200
"SCG","12/27/2013",47.14,47.27,46.87,46.96,40.21258,529900
"SCG","12/26/2013",47.34,47.4,46.85,47.05,40.28965,451100
"SCG","12/24/2013",47.12,47.46,46.93,47.28,40.48662,177700
"SCG","12/23/2013",47.37,47.64,47.07,47.11,40.34103,721800
"SCG","12/20/2013",47.1,47.51,46.99,47.25,40.46092,2157400
"SCG","12/19/2013",47.31,47.34,46.69,47.02,40.26396,829500
"SCG","12/18/2013",46.64,47.5,46.25,47.45,40.63218,1059500
"SCG","12/17/2013",46.74,46.9,46.55,46.62,39.92144,801700
"SCG","12/16/2013",46.74,47.19,46.72,46.8,40.07557,1081200
"SCG","12/13/2013",46.54,46.76,46.37,46.54,39.85292,830200
"SCG","12/12/2013",46.29,46.73,46.26,46.42,39.75018,1186100
"SCG","12/11/2013",46.75,47.04,46.24,46.29,39.63886,1013700
"SCG","12/10/2013",47.3,47.56,46.76,46.83,40.10126,1680700
"SCG","12/09/2013",47.49,47.69,47.25,47.37,40.56367,977300
"SCG","12/06/2013",47.04,47.64,46.74,47.64,40.79488,723700
"SCG","12/06/2013",0,0,0,0,0,0
"SCG","12/05/2013",47.49,47.67,47.13,47.35,40.1124,906100
"SCG","12/04/2013",47.09,47.75,46.85,47.61,40.33265,989800
"SCG","12/03/2013",46.9,47.38,46.81,47.32,40.08699,810800
"SCG","12/02/2013",47.16,47.46,46.73,47.05,39.85825,986200
"SCG","11/29/2013",47.32,47.54,47.16,47.17,39.95991,290800
"SCG","11/27/2013",47.1,47.43,46.92,47.27,40.04462,971300
"SCG","11/26/2013",47.34,47.48,46.8,47.12,39.91755,1008200
"SCG","11/25/2013",47.57,47.7,47.32,47.34,40.10393,782300
"SCG","11/22/2013",47.22,47.68,47.14,47.55,40.28183,888000
"SCG","11/21/2013",47.08,47.61,46.91,47.3,40.07004,813500
"SCG","11/20/2013",47.34,47.48,46.89,46.92,39.74812,691400
"SCG","11/19/2013",47.29,47.41,47.14,47.27,40.04462,716600
"SCG","11/18/2013",47.25,47.4,47.04,47.29,40.06157,830600
"SCG","11/15/2013",46.97,47.22,46.64,47.21,39.99379,641000
"SCG","11/14/2013",46.65,47.12,46.46,46.9,39.73119,603700
"SCG","11/13/2013",46.05,46.51,45.73,46.5,39.39232,758700
"SCG","11/12/2013",46.86,46.97,46,46.17,39.11276,663400
"SCG","11/11/2013",46.9,47.13,46.59,46.85,39.68882,463200
"SCG","11/08/2013",47,47.02,46.18,46.9,39.73119,804400
"SCG","11/07/2013",47.99,48.15,47.09,47.17,39.95991,645800
"SCG","11/06/2013",47.4,47.86,47.35,47.86,40.54445,504400
"SCG","11/05/2013",47.57,47.92,47.26,47.33,40.09546,788400
"SCG","11/04/2013",47.33,47.75,46.98,47.71,40.41737,604600
"SCG","11/01/2013",46.94,47.32,46.62,47.21,39.99379,813900
"SCG","10/31/2013",46.76,47.43,45.96,46.63,39.50245,676600
"SCG","10/30/2013",47.19,47.41,46.67,46.7,39.56175,682500
"SCG","10/29/2013",47.54,47.6,47.07,47.18,39.96838,518600
"SCG","10/28/2013",47.47,47.79,47.22,47.43,40.18016,520300
"SCG","10/25/2013",47.04,47.66,46.89,47.62,40.34113,464700
"SCG","10/24/2013",47.43,47.43,46.88,47.02,39.83284,505900
"SCG","10/23/2013",47.16,47.89,47.08,47.22,40.00228,675400
"SCG","10/22/2013",46.52,47.33,46.43,47.2,39.98532,648100
"SCG","10/21/2013",46.52,46.73,46.19,46.43,39.33302,435700
"SCG","10/18/2013",46.61,46.86,46.44,46.58,39.46009,669500
"SCG","10/17/2013",45.48,46.43,45.24,46.4,39.30761,892200
"SCG","10/16/2013",45.16,45.56,45.05,45.55,38.58753,670900
"SCG","10/15/2013",45.66,45.94,44.98,45.04,38.15548,505200
"SCG","10/14/2013",46.17,46.17,45.21,45.79,38.79085,634800
"SCG","10/11/2013",45.99,46.21,45.88,46.14,39.08735,878700
"SCG","10/10/2013",45.57,46.08,45.09,45.97,38.94334,720200
"SCG","10/09/2013",45.15,45.95,45,45.25,38.33339,1096000
"SCG","10/08/2013",44.91,45.53,44.76,45.03,38.14701,799600
"SCG","10/07/2013",44.79,45.25,44.75,44.86,38.003,618100
"SCG","10/04/2013",45.27,45.49,44.96,45,38.1216,842800
"SCG","10/03/2013",45.7,45.7,45.02,45.38,38.44352,1310700
"SCG","10/02/2013",45.86,45.96,45.54,45.85,38.84168,887000
"SCG","10/01/2013",46.24,46.27,45.8,46.01,38.97722,862900
"SCG","09/30/2013",45.78,46.22,45.77,46.04,39.00264,794400
"SCG","09/27/2013",46.29,46.41,45.93,46.03,38.99415,777400
"SCG","09/26/2013",46.66,46.84,46.33,46.43,39.33302,722200
"SCG","09/25/2013",47.25,47.25,46.5,46.51,39.40079,1095400
"SCG","09/24/2013",47.24,47.36,46.98,47.18,39.96838,799400
"SCG","09/23/2013",46.51,47.5,46.25,47.23,40.01073,627400
"SCG","09/20/2013",47.35,47.39,46.51,46.51,39.40079,988400
"SCG","09/19/2013",47.82,47.97,47.21,47.34,40.10393,664500
"SCG","09/18/2013",46.34,47.98,46.07,47.79,40.48515,887500
"SCG","09/17/2013",46.29,46.72,46.29,46.43,39.33302,452700
"SCG","09/16/2013",46.75,47.08,46.2,46.29,39.21442,839200
"SCG","09/13/2013",45.93,46.35,45.91,46.24,39.17207,604000
"SCG","09/12/2013",46.25,46.39,45.72,45.73,38.74002,751800
"SCG","09/11/2013",46.59,46.62,45.81,46.04,39.00264,833900
"SCG","09/10/2013",46.47,46.6,46.2,46.54,39.42621,585800
"SCG","09/09/2013",46.31,46.5,46.04,46.3,39.22289,621800
"SCG","09/06/2013",46.24,46.67,46.05,46.17,39.11276,853100
"SCG","09/06/2013",0,0,0,0,0,0
"SCG","09/05/2013",47,47.06,46.45,46.49,38.95351,593200
"SCG","09/04/2013",47.29,47.54,46.7,47.03,39.40596,802300
"SCG","09/03/2013",48.14,48.59,47.23,47.3,39.63219,933500
"SCG","08/30/2013",48.3,48.4,47.91,48.12,40.31927,640500
"SCG","08/29/2013",48.32,48.52,48.03,48.2,40.38629,340200
"SCG","08/28/2013",48.46,48.63,48.19,48.45,40.59576,495700
"SCG","08/27/2013",48.2,48.82,48.2,48.46,40.60414,502700
"SCG","08/26/2013",48.92,49.05,48.55,48.57,40.69631,307200
"SCG","08/23/2013",48.56,49.06,48.37,48.92,40.98958,294700
"SCG","08/22/2013",48.22,48.76,48.1,48.53,40.66279,323000
"SCG","08/21/2013",48.75,49.02,48.1,48.22,40.40305,403400
"SCG","08/20/2013",48.4,49.3,48.25,48.91,40.98119,450400
"SCG","08/19/2013",48.82,49.1,48.36,48.41,40.56225,396000
"SCG","08/16/2013",49.5,49.66,48.61,48.92,40.98958,582400
"SCG","08/15/2013",50.14,50.25,49.61,49.65,41.60123,394100
"SCG","08/14/2013",50.74,50.84,50.26,50.45,42.27155,362900
"SCG","08/13/2013",51.19,51.19,50.73,50.8,42.5648,318700
"SCG","08/12/2013",51.27,51.36,50.9,51.18,42.8832,456900
"SCG","08/09/2013",51.58,51.77,51.24,51.46,43.11781,483400
"SCG","08/08/2013",51.35,51.67,51.01,51.57,43.20998,488100
"SCG","08/07/2013",51.1,51.37,50.9,51.18,42.8832,621900
"SCG","08/06/2013",51.96,52.44,51.24,51.31,42.99213,482100
"SCG","08/05/2013",52.03,52.36,51.85,51.95,43.52839,460000
"SCG","08/02/2013",52.37,52.57,51.93,52.22,43.7546,344800
"SCG","08/01/2013",52.22,52.91,51.91,52.34,43.85515,639800
"SCG","07/31/2013",52.25,52.51,51.65,51.91,43.49487,645300
"SCG","07/30/2013",52.37,52.53,51.93,52.22,43.7546,560500
"SCG","07/29/2013",51.92,52.25,51.91,52.13,43.6792,610400
"SCG","07/26/2013",51.96,52.3,51.73,52.15,43.69595,551700
"SCG","07/25/2013",51.88,52.33,51.78,52.27,43.7965,287000
"SCG","07/24/2013",52.75,52.8,51.63,51.87,43.46135,425200
"SCG","07/23/2013",52.52,52.93,52.39,52.78,44.22382,285200
"SCG","07/22/2013",52.39,52.78,52.23,52.5,43.98921,393300
"SCG","07/19/2013",52.45,52.54,52.13,52.48,43.97247,416500
"SCG","07/18/2013",51.76,52.46,51.49,52.36,43.87191,423400
"SCG","07/17/2013",51.98,52.08,51.49,51.62,43.25188,373400
"SCG","07/16/2013",51.81,51.9,51.39,51.76,43.36918,497100
"SCG","07/15/2013",50.89,51.87,50.73,51.82,43.41946,595300
"SCG","07/12/2013",50.85,51.1,50.47,51.04,42.7659,437800
"SCG","07/11/2013",50.71,50.94,50.44,50.89,42.64022,473300
"SCG","07/10/2013",49.97,50.35,49.73,50.25,42.10397,634100
"SCG","07/09/2013",49.65,50.12,49.42,50.11,41.98666,693200
"SCG","07/08/2013",48.71,49.4,48.44,49.37,41.36662,639600
"SCG","07/05/2013",48.65,48.87,47.84,48.51,40.64603,404900
"SCG","07/03/2013",48.6,48.83,48.38,48.56,40.68793,251900
"SCG","07/02/2013",48.78,49.17,48.56,48.79,40.88065,507800
"SCG","07/01/2013",49.58,49.63,48.77,48.84,40.92254,812000
"SCG","06/28/2013",48.73,49.61,48.56,49.1,41.14039,1375700
"SCG","06/27/2013",49.05,49.53,48.74,48.84,40.92254,1024800
"SCG","06/26/2013",48.85,49.21,48.56,48.85,40.93092,629800
"SCG","06/25/2013",48.27,48.65,47.76,48.48,40.6209,565000
"SCG","06/24/2013",47.7,48.29,47.24,47.96,40.1852,817900
"SCG","06/21/2013",47.87,48.31,47.22,48.15,40.3444,1220600
"SCG","06/20/2013",48.3,48.3,47.4,47.5,39.79977,1004100
"SCG","06/19/2013",49.93,50.02,48.62,48.62,40.7382,907700
"SCG","06/18/2013",49.67,50.05,49.4,49.97,41.86935,565600
"SCG","06/17/2013",49.75,49.96,49.34,49.64,41.59285,884600
"SCG","06/14/2013",48.72,49.88,48.72,49.46,41.44203,772800
"SCG","06/13/2013",48.58,49.55,48.51,49.46,41.44203,618900
"SCG","06/12/2013",49.41,49.58,48.53,48.57,40.69631,671700
"SCG","06/11/2013",49.26,49.65,49.09,49.15,41.18228,812100
"SCG","06/10/2013",49.99,50.21,49.47,49.59,41.55096,745200
"SCG","06/07/2013",49.85,50.07,49.2,49.87,41.78556,628700
"SCG","06/06/2013",49.12,49.65,48.84,49.65,41.60123,701000
"SCG","06/06/2013",0,0,0,0,0,0
"SCG","06/05/2013",50.28,50.28,49.37,49.63,41.15966,968200
"SCG","06/04/2013",50.37,50.71,49.98,50.32,41.7319,543500
"SCG","06/03/2013",50.49,50.91,49.76,50.51,41.88947,712000
"SCG","05/31/2013",50.85,51.43,50.42,50.44,41.83142,675500
"SCG","05/30/2013",50.57,51.38,50.57,50.96,42.26268,1169900
"SCG","05/29/2013",51.07,51.14,50.07,50.43,41.82313,883000
"SCG","05/28/2013",51.67,51.88,51.13,51.42,42.64416,1157900
"SCG","05/24/2013",51.71,51.72,51.08,51.33,42.56953,464500
"SCG","05/23/2013",52.05,52.08,51.09,51.87,43.01737,694600
"SCG","05/22/2013",53.45,54.05,52.17,52.37,43.43203,660400
"SCG","05/21/2013",53.36,53.59,52.89,53.49,44.36089,680300
"SCG","05/20/2013",53.42,53.55,53.28,53.36,44.25306,418200
"SCG","05/17/2013",52.96,53.55,52.88,53.48,44.35258,775700
"SCG","05/16/2013",53.23,53.43,52.82,52.92,43.88817,299000
"SCG","05/15/2013",53,53.56,52.75,53.31,44.2116,624200
"SCG","05/14/2013",52.4,53.11,52.3,53,43.95451,699600
"SCG","05/13/2013",52.34,52.62,52.02,52.61,43.63107,580100
"SCG","05/10/2013",52.2,52.55,52.01,52.55,43.5813,409500
"SCG","05/09/2013",53.17,53.24,52.04,52.16,43.25787,576300
"SCG","05/08/2013",53.53,53.93,52.94,53.18,44.10379,490400
"SCG","05/07/2013",53.45,53.81,53.3,53.7,44.53504,539200
"SCG","05/06/2013",53.82,53.96,53.3,53.53,44.39405,696600
"SCG","05/03/2013",53.97,54.41,53.59,53.91,44.7092,754800
"SCG","05/02/2013",53.91,54.06,53.51,53.68,44.51844,402500
"SCG","05/01/2013",54.23,54.38,53.82,53.85,44.65944,706700
"SCG","04/30/2013",54.05,54.27,53.72,54.2,44.94971,971000
"SCG","04/29/2013",53.4,54.21,53.27,54.07,44.84188,782000
"SCG","04/26/2013",52.92,53.71,52.92,53.2,44.12037,566600
"SCG","04/25/2013",53.08,53.67,52.79,53.29,44.19502,655600
"SCG","04/24/2013",52.63,52.99,52.25,52.75,43.74718,1125900
"SCG","04/23/2013",52.77,52.77,52.1,52.52,43.55643,503500
"SCG","04/22/2013",52.8,53,52.41,52.65,43.66424,488600
"SCG","04/19/2013",52.04,52.82,51.89,52.81,43.79694,490500
"SCG","04/18/2013",51.76,52,51.6,51.9,43.04226,565900
"SCG","04/17/2013",51.92,51.95,51.3,51.69,42.8681,396900
"SCG","04/16/2013",51.61,52.11,51.14,52.08,43.19152,370600
"SCG","04/15/2013",52.45,52.5,51.41,51.41,42.63587,555500
"SCG","04/12/2013",52.07,52.6,52.02,52.6,43.62278,794600
"SCG","04/11/2013",52.09,52.25,51.97,52.19,43.28275,482800
"SCG","04/10/2013",51.44,52.17,51.44,52.1,43.20812,780300
"SCG","04/09/2013",52.17,52.21,51.31,51.35,42.58611,758000
"SCG","04/08/2013",51.98,52.14,51.72,52.09,43.19982,702900
"SCG","04/05/2013",51.55,52.23,51.4,52.02,43.14177,1867100
"SCG","04/04/2013",51.47,51.87,51.34,51.82,42.97589,566200
"SCG","04/03/2013",51.14,51.53,51.05,51.31,42.55294,550500
"SCG","04/02/2013",51.18,51.61,51.11,51.27,42.51976,711600
"SCG","04/01/2013",51.25,51.32,50.98,51.09,42.37048,609300
"SCG","03/28/2013",50.25,51.23,50.25,51.16,42.42855,654200
"SCG","03/27/2013",49.78,50.27,49.77,50.25,41.67385,395700
"SCG","03/26/2013",49.55,50.1,49.49,50.05,41.50798,502600
"SCG","03/25/2013",49.81,50.09,49.28,49.41,40.97721,430500
"SCG","03/22/2013",49.47,49.76,49.4,49.67,41.19283,334100
"SCG","03/21/2013",49.37,49.65,49.22,49.46,41.01868,396700
"SCG","03/20/2013",49.47,49.75,49.39,49.51,41.06015,515800
"SCG","03/19/2013",49.38,49.54,48.98,49.23,40.82793,513500
"SCG","03/18/2013",49.22,49.48,49.17,49.27,40.86111,333400
"SCG","03/15/2013",49.28,49.68,49.16,49.6,41.13478,729400
"SCG","03/14/2013",49.43,49.53,49.26,49.47,41.02697,450700
"SCG","03/13/2013",49.13,49.43,48.96,49.42,40.98551,350100
"SCG","03/12/2013",49.46,49.47,49,49.2,40.80305,418800
"SCG","03/11/2013",49.01,49.47,48.98,49.47,41.02697,557400
"SCG","03/08/2013",49.06,49.16,48.72,49.06,40.68695,465200
"SCG","03/07/2013",49.23,49.29,48.82,48.86,40.52108,559700
"SCG","03/07/2013",0,0,0,0,0,0
"SCG","03/06/2013",49.81,49.84,49.4,49.64,40.74749,568800
"SCG","03/05/2013",49.68,50.04,49.64,49.71,40.80495,633500
"SCG","03/04/2013",49.02,49.6,48.86,49.49,40.62436,708900
"SCG","03/01/2013",48.77,49.07,48.49,49.06,40.27138,600600
"SCG","02/28/2013",48.92,49.11,48.72,48.84,40.0908,700700
"SCG","02/27/2013",48.45,49.11,48.45,48.88,40.12364,733800
"SCG","02/26/2013",48.48,49.04,48.31,48.45,39.77066,679400
"SCG","02/25/2013",49.27,49.64,48.49,48.49,39.8035,510300
"SCG","02/22/2013",48.64,49.07,48.54,48.98,40.20573,435100
"SCG","02/21/2013",48.75,49.25,48.25,48.54,39.84454,645300
"SCG","02/20/2013",48.75,49.36,48.61,48.75,40.01692,879200
"SCG","02/19/2013",47.96,48.71,47.96,48.68,39.95947,863500
"SCG","02/15/2013",47.88,48.1,47.79,47.92,39.33561,874000
"SCG","02/14/2013",47.76,47.99,47.58,47.86,39.28636,694500
"SCG","02/13/2013",47.88,48.11,47.75,47.89,39.31098,445600
"SCG","02/12/2013",47.5,47.88,47.3,47.86,39.28636,575700
"SCG","02/11/2013",47.24,47.54,47.2,47.47,38.96622,304900
"SCG","02/08/2013",47.03,47.24,46.78,47.23,38.76921,418400
"SCG","02/07/2013",47.17,47.38,46.79,47,38.58041,610100
"SCG","02/06/2013",46.86,47.17,46.7,47.13,38.68713,455800
"SCG","02/05/2013",46.96,47.31,46.87,47.02,38.59684,641900
"SCG","02/04/2013",46.92,47.02,46.77,46.84,38.44909,537100
"SCG","02/01/2013",47.07,47.2,46.85,47.17,38.71997,572800
"SCG","01/31/2013",46.45,46.86,46.45,46.81,38.42445,679200
"SCG","01/30/2013",46.55,46.71,46.43,46.6,38.25208,472200
"SCG","01/29/2013",46.35,46.58,46.32,46.54,38.20282,591200
"SCG","01/28/2013",46.64,46.72,46.27,46.41,38.09611,453500
"SCG","01/25/2013",46.68,46.72,46.2,46.72,38.35058,413400
"SCG","01/24/2013",46.56,46.78,46.49,46.64,38.28491,368900
"SCG","01/23/2013",46.53,46.64,46.35,46.49,38.16177,380200
"SCG","01/22/2013",46.18,46.81,46.18,46.73,38.35878,460700
"SCG","01/18/2013",45.95,46.34,45.82,46.28,37.98938,737100
"SCG","01/17/2013",46.09,46.13,45.83,45.84,37.62822,652700
"SCG","01/16/2013",46.04,46.21,45.87,45.99,37.75135,411700
"SCG","01/15/2013",46.21,46.29,45.96,46.21,37.93194,390400
"SCG","01/14/2013",46.47,46.58,46.24,46.31,38.01402,261200
"SCG","01/11/2013",46.73,46.77,46.26,46.49,38.16177,374600
"SCG","01/10/2013",46.46,46.69,46.01,46.52,38.1864,690200
"SCG","01/09/2013",46.22,46.26,45.95,46.16,37.89089,499200
"SCG","01/08/2013",45.8,46.13,45.57,46.13,37.86627,947900
"SCG","01/07/2013",46.38,46.65,45.9,45.91,37.68569,737500
"SCG","01/04/2013",46.58,46.73,46.47,46.67,38.30953,687900
"SCG","01/03/2013",46.8,46.98,46.45,46.63,38.2767,607600
"SCG","01/02/2013",46.24,46.81,46.24,46.81,38.42445,794200
