"symbol","date","open","high","low","close","adjclose","volume"
"SEE","12/31/2013",34.27,34.27,33.78,34.05,32.30545,781500
"SEE","12/30/2013",33.75,34.37,33.66,34.13,32.38136,853900
"SEE","12/27/2013",34.13,34.13,33.65,33.82,32.08723,552200
"SEE","12/26/2013",34.01,34.11,33.62,33.96,32.22006,1115400
"SEE","12/24/2013",33.2,34,33.2,33.99,32.24852,861700
"SEE","12/23/2013",33.13,33.16,32.88,33.09,31.39463,966400
"SEE","12/20/2013",32.79,33.14,32.53,32.95,31.2618,1919900
"SEE","12/19/2013",32.34,32.66,32.21,32.55,30.8823,1069900
"SEE","12/18/2013",31.75,32.49,31.38,32.38,30.72102,1784300
"SEE","12/17/2013",31.84,32.03,31.56,31.73,30.10431,1358600
"SEE","12/16/2013",32.11,32.3,31.74,31.98,30.34151,1800800
"SEE","12/13/2013",31.71,32.24,31.63,31.85,30.21816,1730900
"SEE","12/12/2013",31.39,31.7,31.28,31.55,29.93353,1117200
"SEE","12/11/2013",32.38,32.54,31.29,31.39,29.78173,1789400
"SEE","12/10/2013",32.04,32.79,31.91,32.52,30.85384,1524000
"SEE","12/09/2013",32.52,32.65,31.99,32.13,30.48382,980300
"SEE","12/06/2013",31.8,32.63,31.64,32.52,30.85384,1498300
"SEE","12/05/2013",31.8,31.96,31.35,31.46,29.84815,1383900
"SEE","12/04/2013",31.56,32.03,31.4,31.93,30.29407,1383700
"SEE","12/04/2013",0,0,0,0,0,0
"SEE","12/03/2013",31.85,32.3,31.67,31.91,30.15175,1278600
"SEE","12/02/2013",32.16,32.27,31.73,31.81,30.05726,1607600
"SEE","11/29/2013",32.27,32.4,31.98,32.11,30.34073,516000
"SEE","11/27/2013",32.44,32.47,32.14,32.34,30.55806,981600
"SEE","11/26/2013",32.11,32.4,32.05,32.28,30.50136,1297400
"SEE","11/25/2013",31.91,32.45,31.86,32.17,30.39742,1319800
"SEE","11/22/2013",32.04,32.13,31.7,31.78,30.02892,1252000
"SEE","11/21/2013",30.9,32.25,30.9,32.11,30.34073,1841600
"SEE","11/20/2013",31.44,31.53,30.77,30.81,29.11236,1317300
"SEE","11/19/2013",31.62,31.88,31.27,31.44,29.70765,1089900
"SEE","11/18/2013",31.77,31.99,31.55,31.69,29.94388,1556200
"SEE","11/15/2013",30.94,31.97,30.86,31.73,29.98167,1670800
"SEE","11/14/2013",30.91,31.09,30.61,30.96,29.2541,854500
"SEE","11/13/2013",30.58,31.02,30.45,30.81,29.11236,1288300
"SEE","11/12/2013",31,31.15,30.7,30.9,29.1974,977500
"SEE","11/11/2013",30.82,31.15,30.77,31.1,29.38639,1339700
"SEE","11/08/2013",30.55,30.94,30.53,30.82,29.12181,2074500
"SEE","11/07/2013",31.28,31.41,30.47,30.5,28.81944,1841800
"SEE","11/06/2013",31.29,31.45,30.89,31.1,29.38639,1183000
"SEE","11/05/2013",31.52,31.56,31.04,31.11,29.39583,1530800
"SEE","11/04/2013",31.24,31.64,30.99,31.55,29.81159,1928300
"SEE","11/01/2013",30.33,31.3,30.33,31.21,29.49032,3520500
"SEE","10/31/2013",29.91,30.61,29.91,30.18,28.51708,3622600
"SEE","10/30/2013",29.91,31.29,29.5,30.35,28.67771,4881700
"SEE","10/29/2013",28.14,28.74,28.11,28.52,26.94854,2126800
"SEE","10/28/2013",28.36,28.37,27.9,28.08,26.53279,1220600
"SEE","10/25/2013",28.44,28.6,28.24,28.33,26.76901,1009700
"SEE","10/24/2013",28.14,28.48,27.98,28.45,26.8824,1254500
"SEE","10/23/2013",28.26,28.31,27.8,28.04,26.49499,1191300
"SEE","10/22/2013",28.04,28.59,27.96,28.4,26.83515,1005200
"SEE","10/21/2013",27.92,28.11,27.74,27.94,26.4005,754800
"SEE","10/18/2013",27.96,27.99,27.66,27.93,26.39105,1300800
"SEE","10/17/2013",27.03,27.94,27.03,27.88,26.34381,1808600
"SEE","10/16/2013",27.42,27.46,27.03,27.09,25.59734,1765500
"SEE","10/15/2013",27.21,27.27,26.92,27.16,25.66348,1811400
"SEE","10/14/2013",27.17,27.39,27.09,27.32,25.81466,1230600
"SEE","10/11/2013",27.12,27.6,27.07,27.44,25.92805,1148100
"SEE","10/10/2013",27.03,27.43,27.02,27.39,25.88081,1451700
"SEE","10/09/2013",26.74,26.8,26.13,26.59,25.12489,1887700
"SEE","10/08/2013",26.45,27.47,26.38,26.72,25.24772,2967300
"SEE","10/07/2013",26.68,26.96,26.5,26.56,25.09654,1379900
"SEE","10/04/2013",26.87,27.22,26.62,27.07,25.57844,1097300
"SEE","10/03/2013",27.03,27.08,26.44,26.81,25.33276,2793800
"SEE","10/02/2013",27.2,27.44,26.99,27.12,25.62568,1914000
"SEE","10/01/2013",27.14,27.48,27.14,27.48,25.96585,1654200
"SEE","09/30/2013",26.99,27.53,26.86,27.19,25.69183,2571200
"SEE","09/27/2013",27.54,27.7,27.4,27.49,25.9753,2571000
"SEE","09/26/2013",27.17,27.68,27.17,27.62,26.09813,1727600
"SEE","09/25/2013",27.11,27.46,26.92,27.15,25.65402,1774000
"SEE","09/24/2013",27.01,27.59,26.98,27.25,25.74852,3412900
"SEE","09/23/2013",28.07,28.25,26.55,27.01,25.52174,7505300
"SEE","09/20/2013",30.06,30.42,28.36,28.56,26.98634,7332200
"SEE","09/19/2013",30.35,30.56,29.82,29.83,28.18636,3921000
"SEE","09/18/2013",29.86,30.41,29.56,30.32,28.64936,2262900
"SEE","09/17/2013",30.35,30.42,29.54,29.81,28.16747,2910100
"SEE","09/16/2013",30.6,30.68,30.14,30.37,28.69661,1887700
"SEE","09/13/2013",29.95,30.05,29.61,30.04,28.38479,1203000
"SEE","09/12/2013",30.05,30.13,29.68,29.82,28.17691,1111300
"SEE","09/11/2013",30.57,30.57,29.94,30.14,28.47928,1068000
"SEE","09/10/2013",30.46,30.73,30.24,30.57,28.88558,1193600
"SEE","09/09/2013",29.6,30.34,29.56,30.26,28.59267,1565000
"SEE","09/06/2013",29.6,29.75,29.05,29.52,27.89344,1469900
"SEE","09/05/2013",29.39,29.66,29.27,29.53,27.90289,1355300
"SEE","09/04/2013",28.38,29.57,28.38,29.39,27.77061,2276500
"SEE","09/04/2013",0,0,0,0,0,0
"SEE","09/03/2013",28.85,29,28.31,28.54,26.8446,1624800
"SEE","08/30/2013",28.44,28.52,28.11,28.4,26.71292,1461100
"SEE","08/29/2013",28.07,28.7,27.94,28.41,26.72232,765800
"SEE","08/28/2013",28.19,28.52,27.97,28.11,26.44015,1405800
"SEE","08/27/2013",28.9,28.97,28.01,28.14,26.46836,1386700
"SEE","08/26/2013",29.41,29.7,29.17,29.31,27.56886,725400
"SEE","08/23/2013",29.06,29.46,28.78,29.41,27.66292,862900
"SEE","08/22/2013",29.11,29.16,28.56,28.95,27.23025,918200
"SEE","08/21/2013",28.87,29.2,28.76,28.97,27.24906,1293700
"SEE","08/20/2013",28.8,29,28.65,28.88,27.16441,1239900
"SEE","08/19/2013",29.16,29.23,28.66,28.69,26.98569,1236200
"SEE","08/16/2013",29.55,29.56,29.08,29.16,27.42777,2292100
"SEE","08/15/2013",29.92,30.05,29.53,29.58,27.82282,1882700
"SEE","08/14/2013",30.19,30.65,30.13,30.31,28.50946,1412800
"SEE","08/13/2013",30.35,30.39,29.93,30.27,28.47184,1436900
"SEE","08/12/2013",29.91,30.29,29.81,30.19,28.39659,1475700
"SEE","08/09/2013",29.99,30.49,29.92,30.09,28.30253,1479200
"SEE","08/08/2013",30.26,30.53,30,30.07,28.28372,1596100
"SEE","08/07/2013",29.94,30.28,29.37,30.05,28.2649,1795200
"SEE","08/06/2013",30.15,30.44,29.55,30.04,28.2555,3050400
"SEE","08/05/2013",30.47,31.2,29.95,30.16,28.36837,2452000
"SEE","08/02/2013",28.36,30.66,28.35,30.36,28.55649,6135500
"SEE","08/01/2013",27.52,28.06,27.41,27.88,26.2238,1923600
"SEE","07/31/2013",27.31,27.59,27.16,27.24,25.62183,1802200
"SEE","07/30/2013",26.99,27.28,26.84,27.17,25.55599,1392100
"SEE","07/29/2013",27.03,27.17,26.82,26.9,25.30202,1225200
"SEE","07/26/2013",26.91,27.16,26.74,27.12,25.50896,1016800
"SEE","07/25/2013",26.64,27.16,26.6,27.07,25.46193,1766400
"SEE","07/24/2013",27.15,27.24,26.7,26.73,25.14212,3145200
"SEE","07/23/2013",27.46,27.46,26.86,27.03,25.42431,2342800
"SEE","07/22/2013",27.53,27.76,27.25,27.33,25.70649,1477400
"SEE","07/19/2013",27.36,27.56,27.16,27.55,25.91342,2513800
"SEE","07/18/2013",27.54,27.64,27.29,27.34,25.71589,1824100
"SEE","07/17/2013",27.51,27.66,27.31,27.54,25.90401,1573200
"SEE","07/16/2013",27.58,27.67,27.39,27.51,25.87579,3073000
"SEE","07/15/2013",27.52,27.67,27.43,27.61,25.96985,2117700
"SEE","07/12/2013",27.25,27.65,27.08,27.51,25.87579,3485500
"SEE","07/11/2013",27.14,27.27,26.85,27.26,25.64064,1634300
"SEE","07/10/2013",26.8,26.87,26.23,26.77,25.17975,2952100
"SEE","07/09/2013",26.01,26.17,25.78,26.09,24.54014,1562700
"SEE","07/08/2013",25.75,25.95,25.65,25.84,24.30499,1542400
"SEE","07/05/2013",25.08,25.58,24.89,25.56,24.04163,1503700
"SEE","07/03/2013",24.48,24.96,24.43,24.96,23.47727,2660700
"SEE","07/02/2013",24.48,24.84,24.41,24.65,23.18569,2442700
"SEE","07/01/2013",24.63,24.86,24.31,24.45,22.99756,2033700
"SEE","06/28/2013",23.96,24.11,23.76,23.95,22.52727,3699100
"SEE","06/27/2013",23.75,24.1,23.69,24.04,22.61193,1994300
"SEE","06/26/2013",23.47,23.67,23.21,23.58,22.17925,1914700
"SEE","06/25/2013",23.05,23.33,23,23.26,21.87826,1769900
"SEE","06/24/2013",23.18,23.18,22.69,22.8,21.44559,2254100
"SEE","06/21/2013",23.66,23.84,23.11,23.47,22.07578,1965800
"SEE","06/20/2013",24.01,24.05,23.31,23.53,22.13222,1979800
"SEE","06/19/2013",24.61,24.75,24.25,24.29,22.84707,1448100
"SEE","06/18/2013",24.36,24.74,24.36,24.64,23.17628,1232200
"SEE","06/17/2013",24.12,24.33,23.97,24.3,22.85648,1336900
"SEE","06/14/2013",23.87,23.97,23.68,23.88,22.46143,700800
"SEE","06/13/2013",23.44,23.91,23.3,23.86,22.44262,1142100
"SEE","06/12/2013",24.08,24.08,23.39,23.45,22.05697,992200
"SEE","06/11/2013",23.85,24.03,23.72,23.85,22.43321,1188700
"SEE","06/10/2013",24.5,24.53,24.14,24.14,22.70598,1216200
"SEE","06/07/2013",23.8,24.43,23.62,24.41,22.95994,1619600
"SEE","06/06/2013",23.57,23.87,23.24,23.6,22.19806,1953000
"SEE","06/05/2013",24.33,24.42,23.56,23.6,22.19806,2125400
"SEE","06/05/2013",0,0,0,0,0,0
"SEE","06/04/2013",24.46,24.83,24.27,24.56,22.97876,2070400
"SEE","06/03/2013",24.2,24.54,24.03,24.52,22.94133,2162100
"SEE","05/31/2013",24.08,24.52,24.01,24.02,22.47352,1833600
"SEE","05/30/2013",24.36,24.58,23.67,24.24,22.67936,1815400
"SEE","05/29/2013",24.15,24.42,24.02,24.37,22.80099,2204600
"SEE","05/28/2013",24.09,24.4,24.09,24.34,22.77292,1896900
"SEE","05/24/2013",23.6,23.83,23.48,23.76,22.23026,1043600
"SEE","05/23/2013",23.35,23.96,23.21,23.81,22.27704,1266600
"SEE","05/22/2013",23.84,24.21,23.5,23.65,22.12734,1638200
"SEE","05/21/2013",23.76,23.95,23.65,23.84,22.30511,1786200
"SEE","05/20/2013",23.82,24.04,23.74,23.79,22.25833,1172100
"SEE","05/17/2013",23.67,24.04,23.62,23.86,22.32383,2082200
"SEE","05/16/2013",23.22,23.8,23.22,23.62,22.09928,3255500
"SEE","05/15/2013",23.12,23.43,22.9,23.33,21.82795,1934200
"SEE","05/14/2013",22.82,23.23,22.82,23.19,21.69696,2077100
"SEE","05/13/2013",22.99,23.12,22.7,22.85,21.37885,1327500
"SEE","05/10/2013",22.75,23.17,22.75,23.1,21.61275,2977300
