"symbol","date","open","high","low","close","adjclose","volume"
"SLB","12/31/2013",89.5,90.21,89.07,90.11,81.33733,3397400
"SLB","12/30/2013",89.97,90.26,89.14,89.17,80.48887,4028500
"SLB","12/27/2013",89.54,89.99,89.05,89.9,81.14778,3488600
"SLB","12/26/2013",88.48,89.56,88.4,89.39,80.68743,3640400
"SLB","12/24/2013",87.53,88.5,87.37,88.31,79.71256,1849900
"SLB","12/23/2013",87.88,88.13,87.27,87.32,78.81895,5214500
"SLB","12/20/2013",86.51,87.76,86,87.27,78.77382,9322500
"SLB","12/19/2013",87.04,87.08,85.65,86.47,78.0517,6374800
"SLB","12/18/2013",85.58,87.31,84.91,87.26,78.76481,8990400
"SLB","12/17/2013",87.03,87.52,85.45,85.54,77.21225,7275800
"SLB","12/16/2013",86.99,87.13,86.15,87,78.5301,5083600
"SLB","12/13/2013",87.38,87.51,85.85,86.37,77.96143,6089300
"SLB","12/12/2013",86.23,87.64,85.97,86.96,78.494,5923400
"SLB","12/11/2013",87,87.48,85.9,86.14,77.75384,5387500
"SLB","12/10/2013",87.7,88.1,86.85,87.01,78.53913,4867100
"SLB","12/09/2013",88.52,88.52,86.94,88.03,79.45984,5066900
"SLB","12/06/2013",88.1,88.53,87.77,88.15,79.56816,6102400
"SLB","12/05/2013",86.74,87.91,86.56,86.87,78.41277,5986200
"SLB","12/04/2013",87.37,87.9,86.5,87.28,78.78285,6694500
"SLB","12/03/2013",87.16,88.1,86.38,87.64,79.1078,5831900
"SLB","12/02/2013",88.64,88.99,87.34,87.6,79.0717,4653800
"SLB","12/02/2013",0,0,0,0,0,0
"SLB","11/29/2013",88.13,89.66,87.68,88.42,79.52977,4093900
"SLB","11/27/2013",89.32,89.49,86.79,87.95,79.10705,8571100
"SLB","11/26/2013",89.87,90.01,88.9,89.46,80.4652,6987200
"SLB","11/25/2013",92.46,92.7,89.5,89.81,80.78004,7255000
"SLB","11/22/2013",91.31,92.79,91,92.73,83.40646,5274000
"SLB","11/21/2013",90.81,91.14,90.39,91.01,81.85938,5774700
"SLB","11/20/2013",91.94,91.97,90.31,90.45,81.35569,5554300
"SLB","11/19/2013",91.67,92.2,90.57,91.28,82.10223,6261800
"SLB","11/18/2013",93.21,93.3,91.63,92.02,82.76783,4352100
"SLB","11/15/2013",93.39,93.87,92.33,92.98,83.63132,5056400
"SLB","11/14/2013",93.18,93.5,92.67,93.31,83.92812,4226700
"SLB","11/13/2013",91.66,93.1,90.78,93.08,83.72125,6008000
"SLB","11/12/2013",93.47,93.57,91.29,91.99,82.74083,6598400
"SLB","11/11/2013",93.78,94.81,93.51,93.87,84.43182,3847200
"SLB","11/08/2013",91.87,93.89,91.81,93.79,84.35987,6832400
"SLB","11/07/2013",93.65,93.79,91.84,92.05,82.79482,5349000
"SLB","11/06/2013",93.07,93.88,92.6,93.23,83.85617,4244300
"SLB","11/05/2013",92.97,93.11,91.86,92.39,83.10062,4892700
"SLB","11/04/2013",93.4,93.72,92.83,93.51,84.10801,3841400
"SLB","11/01/2013",93.95,94.1,92.13,93,83.64929,5907400
"SLB","10/31/2013",93.88,94.45,93.27,93.72,84.29691,5305400
"SLB","10/30/2013",94.43,94.77,93.36,93.88,84.4408,5615900
"SLB","10/29/2013",93.24,94.01,92.89,94,84.54873,4078100
"SLB","10/28/2013",92.71,93.14,92.12,92.85,83.51437,4936700
"SLB","10/25/2013",92.47,93.28,92.41,92.9,83.55936,4697700
"SLB","10/24/2013",92.81,93.45,92.31,92.85,83.51437,4376500
"SLB","10/23/2013",93.67,93.75,92.62,92.84,83.50539,7718600
"SLB","10/22/2013",93.39,94.9,93.29,94.46,84.96249,7692500
"SLB","10/21/2013",94.12,94.91,92.91,93.48,84.08102,7325900
"SLB","10/18/2013",93.1,94.88,92.99,93.99,84.53974,11240000
"SLB","10/17/2013",91.83,91.85,90.71,91.43,82.23715,8871400
"SLB","10/16/2013",90.93,92.4,90.85,92.18,82.91174,9084500
"SLB","10/15/2013",90.54,91.26,89.63,90.54,81.43663,6370800
"SLB","10/14/2013",89.33,91.3,89.24,91.17,82.00329,5475000
"SLB","10/11/2013",89.05,90.29,88.52,90.02,80.96893,5335400
"SLB","10/10/2013",87.97,89.44,87.9,89.42,80.42924,6081800
"SLB","10/09/2013",87.95,88.08,86.3,87.04,78.28854,6185100
"SLB","10/08/2013",89.33,89.41,87.84,87.95,79.10705,5902800
"SLB","10/07/2013",89.28,90.1,89.01,89.29,80.31232,4570100
"SLB","10/04/2013",89.56,90.47,89,90.01,80.95994,3983600
"SLB","10/03/2013",89.63,89.98,89,89.44,80.44724,6618300
"SLB","10/02/2013",89,89.9,88.75,89.85,80.81602,7487100
"SLB","10/01/2013",87.99,89.59,87.98,89.05,80.09645,5580200
"SLB","09/30/2013",87.49,88.88,87.16,88.36,79.47583,5597200
"SLB","09/27/2013",88.31,89.1,88.12,88.82,79.88956,4980100
"SLB","09/26/2013",88.77,89.25,88.43,88.83,79.89857,5042900
"SLB","09/25/2013",87.83,89.24,87.51,88.57,79.66472,8082500
"SLB","09/24/2013",87.42,88.52,86.57,87.91,79.07107,5688300
"SLB","09/23/2013",87.16,87.86,87.03,87.04,78.28854,5480900
"SLB","09/20/2013",89.08,89.28,87.44,87.44,78.64833,8555600
"SLB","09/19/2013",88.84,89.72,88.72,88.79,79.86259,6010200
"SLB","09/18/2013",87.64,89.48,86.94,88.95,80.0065,6756500
"SLB","09/17/2013",86.96,88.22,86.66,87.74,78.91817,6074500
"SLB","09/16/2013",87.36,87.61,86.59,87,78.25256,4213300
"SLB","09/13/2013",86.47,86.91,86.08,86.72,78.00072,3874800
"SLB","09/12/2013",86.85,87.18,86,86.58,77.87481,5860700
"SLB","09/11/2013",86.81,87.11,86.19,87.05,78.29754,5414000
"SLB","09/10/2013",86.15,86.9,85.46,86.9,78.16264,10257200
"SLB","09/09/2013",85.18,86.75,85.18,86.45,77.75787,5954500
"SLB","09/06/2013",84.72,85.92,83.72,85.14,76.57961,9117100
"SLB","09/05/2013",83.23,84.55,83,84.22,75.75208,8640500
"SLB","09/04/2013",82.11,83.49,81.86,82.86,74.52882,5521100
"SLB","09/03/2013",81.69,82.83,81.68,82.42,74.13306,5299300
"SLB","08/30/2013",81.56,81.6,80.68,80.94,72.80187,4455500
"SLB","08/30/2013",0,0,0,0,0,0
"SLB","08/29/2013",82.7,82.91,81.48,81.6,73.11443,4834400
"SLB","08/28/2013",81.4,83.33,81.24,82.68,74.08212,5511700
"SLB","08/27/2013",81.1,82.13,80.92,81.17,72.72915,4422500
"SLB","08/26/2013",81.83,82.52,81.74,81.9,73.38323,4677000
"SLB","08/23/2013",82.51,82.51,81.35,81.67,73.17714,5122500
"SLB","08/22/2013",80.77,82.64,80.51,82.21,73.66102,4504300
"SLB","08/21/2013",80.26,80.93,80,80.05,71.72561,4118100
"SLB","08/20/2013",80.47,81.18,80.15,80.62,72.23634,3642200
"SLB","08/19/2013",81.26,81.9,80.3,80.41,72.04817,4684300
"SLB","08/16/2013",81.92,82.33,81.72,81.92,73.40115,4754300
"SLB","08/15/2013",81.62,82.32,81.48,81.99,73.46386,4601100
"SLB","08/14/2013",82.3,82.74,81.99,82.16,73.61621,4401200
"SLB","08/13/2013",80.67,82.5,80.58,82.22,73.66997,7282400
"SLB","08/12/2013",80.03,80.73,79.8,80.25,71.90481,4988700
"SLB","08/09/2013",81.14,81.53,80.26,80.49,72.11987,4523100
"SLB","08/08/2013",81.57,82.03,81.12,81.23,72.78291,3996900
"SLB","08/07/2013",81.64,81.8,80.41,81.05,72.62164,7098700
"SLB","08/06/2013",82.73,82.96,82.1,82.22,73.66997,5372400
"SLB","08/05/2013",82.87,83.01,81.95,82.89,74.2703,4036200
"SLB","08/02/2013",83.49,83.59,82.55,82.89,74.2703,5881400
"SLB","08/01/2013",82.35,83.7,82.35,83.55,74.86166,7005700
"SLB","07/31/2013",81.99,82.13,81.11,81.33,72.8725,5034500
"SLB","07/30/2013",81.48,81.88,81.24,81.43,72.96211,5142600
"SLB","07/29/2013",81.11,81.52,80.8,81.15,72.71125,4867300
"SLB","07/26/2013",82.27,82.27,81.15,81.91,73.3922,5040600
"SLB","07/25/2013",82.52,83.28,82.02,82.57,73.98355,5837900
"SLB","07/24/2013",83.73,83.8,82.33,82.85,74.23443,5378100
"SLB","07/23/2013",83.86,84.47,83.4,83.57,74.87958,6866900
"SLB","07/22/2013",82.36,85.02,82.22,83.81,75.0946,11197700
"SLB","07/19/2013",81.21,83.55,80.89,82.74,74.13586,17430400
"SLB","07/18/2013",77.76,78.85,77.76,78.48,70.3189,6141300
"SLB","07/17/2013",76.76,77.77,76.76,77.61,69.53934,6667600
"SLB","07/16/2013",77.19,77.53,75.94,76.52,68.56269,6037200
"SLB","07/15/2013",76.84,77.31,76.39,77.02,69.0107,3927800
"SLB","07/12/2013",76.42,76.88,76.34,76.84,68.84943,4254400
"SLB","07/11/2013",77.08,77.22,76.01,76.63,68.66124,4889800
"SLB","07/10/2013",76.37,76.54,75.96,76.18,68.25807,4594000
"SLB","07/09/2013",75.23,76.79,75.23,76.54,68.58061,7159600
"SLB","07/08/2013",74.62,75.22,74.31,74.79,67.0126,5457700
"SLB","07/05/2013",73.42,74.38,72.98,74.09,66.3854,3992100
"SLB","07/03/2013",72.49,73.14,71.84,73.01,65.41772,3147100
"SLB","07/02/2013",73.31,73.31,72.25,72.61,65.0593,4931300
"SLB","07/01/2013",72.19,73.34,71.95,72.78,65.2116,6432900
"SLB","06/28/2013",71.81,72.28,71.6,71.66,64.20808,7497100
"SLB","06/27/2013",72.12,72.54,71.85,71.93,64.45002,5951000
"SLB","06/26/2013",72.62,72.73,71.61,71.81,64.34249,5199700
"SLB","06/25/2013",72.04,72.99,71.87,72.09,64.59338,6693400
"SLB","06/24/2013",71.84,71.98,70.25,71.24,63.83176,7984300
"SLB","06/21/2013",72.78,73.13,71.81,72.83,65.25641,9785400
"SLB","06/20/2013",72.61,72.82,71.81,72.14,64.63819,8916000
"SLB","06/19/2013",74.26,74.79,73.4,73.4,65.76714,6332400
"SLB","06/18/2013",73.18,74.6,73.06,74.16,66.44814,5682300
"SLB","06/17/2013",72.4,73.43,72.4,73.1,65.49834,5376400
"SLB","06/14/2013",72.51,72.68,71.55,71.6,64.15434,4937500
"SLB","06/13/2013",71.11,72.57,71,72.46,64.9249,6800300
"SLB","06/12/2013",72.14,72.19,70.88,70.95,63.57193,6256100
"SLB","06/11/2013",72.37,72.61,71.31,71.44,64.01098,8572800
"SLB","06/10/2013",74.11,74.39,73.11,73.3,65.67754,6263700
"SLB","06/07/2013",74.04,74.35,73.29,73.93,66.24203,6703700
"SLB","06/06/2013",72.12,73.3,71.8,73.3,65.67754,7292900
"SLB","06/05/2013",72.6,73.11,72.1,72.18,64.67403,7499400
"SLB","06/04/2013",73.14,73.56,72.57,72.85,65.27435,9450800
"SLB","06/03/2013",73.19,73.53,72.74,73.25,65.63275,8164000
"SLB","06/03/2013",0,0,0,0,0,0
"SLB","05/31/2013",74.39,74.51,73.02,73.03,65.15562,7897400
"SLB","05/30/2013",74.58,75.2,73.95,74.81,66.74368,5747400
"SLB","05/29/2013",74.82,75.32,74.28,74.98,66.89536,4889900
"SLB","05/28/2013",75.87,76.18,75.25,75.4,67.27009,6700100
"SLB","05/24/2013",74.67,74.88,73.66,74.66,66.60988,6632100
"SLB","05/23/2013",74.44,75.45,73.82,75.38,67.25221,6712900
"SLB","05/22/2013",76.95,77.79,75.11,75.58,67.43068,9235500
"SLB","05/21/2013",77.39,77.84,76.67,77.08,68.76891,6334800
"SLB","05/20/2013",75.56,77.49,75.42,77.42,69.07227,9940800
"SLB","05/17/2013",75.9,76.17,74.88,75.74,67.57341,9533300
"SLB","05/16/2013",75.76,76.17,75.07,75.27,67.15409,6200800
"SLB","05/15/2013",75.59,76.23,74.96,75.68,67.51989,9423800
"SLB","05/14/2013",76.73,77.27,76.58,76.86,68.57265,6602300
"SLB","05/13/2013",76.74,77.41,76.6,77.04,68.73325,8105600
"SLB","05/10/2013",76.94,77.04,75.83,76.82,68.53696,6331900
"SLB","05/09/2013",77.48,77.66,76.74,77.25,68.92059,4382700
"SLB","05/08/2013",76.87,77.69,76.53,77.59,69.22392,4793800
"SLB","05/07/2013",76.59,77.45,76.41,76.89,68.59943,5866100
"SLB","05/06/2013",75.72,76.42,75.48,76.16,67.94811,4501800
"SLB","05/03/2013",75.04,76.4,75.01,75.72,67.55558,6582600
"SLB","05/02/2013",73.82,74.58,73.46,74.25,66.24409,4641400
"SLB","05/01/2013",73.93,74.18,73.34,73.79,65.83366,6586500
"SLB","04/30/2013",74.17,74.62,73.34,74.43,66.40467,7392800
"SLB","04/29/2013",73.56,74.28,72.94,74.03,66.04778,5212200
"SLB","04/26/2013",73.32,73.77,72.63,73.34,65.43219,5270100
"SLB","04/25/2013",73.25,74.07,72.8,73.44,65.52142,7380700
