"symbol","date","open","high","low","close","adjclose","volume"
"SNPS","12/31/2013",40.59,40.79,40.42,40.57,40.57,526600
"SNPS","12/30/2013",40.1,40.62,40.1,40.6,40.6,632900
"SNPS","12/27/2013",40,40.3,39.98,40.17,40.17,438100
"SNPS","12/26/2013",40.08,40.25,39.88,39.98,39.98,406800
"SNPS","12/24/2013",39.76,40.19,39.58,40.06,40.06,435100
"SNPS","12/23/2013",39.66,40.2,39.65,40,40,1462900
"SNPS","12/20/2013",39.19,39.69,39.19,39.63,39.63,1436200
"SNPS","12/19/2013",39.26,39.39,39.12,39.14,39.14,869500
"SNPS","12/18/2013",38.91,39.43,38.79,39.42,39.42,788200
"SNPS","12/17/2013",38.5,38.9,38.33,38.81,38.81,932600
"SNPS","12/16/2013",38.2,38.73,38.14,38.46,38.46,771800
"SNPS","12/13/2013",38.1,38.72,38.06,38.14,38.14,906000
"SNPS","12/12/2013",38.01,38.32,37.96,38.07,38.07,950700
"SNPS","12/11/2013",38.21,38.35,37.85,37.96,37.96,1207900
"SNPS","12/10/2013",37.53,38.28,37.5,38.11,38.11,1081400
"SNPS","12/09/2013",37.86,38.2,37.57,37.75,37.75,1688700
"SNPS","12/06/2013",37.72,38.11,37.43,37.94,37.94,910900
"SNPS","12/05/2013",36.38,37.45,36,37.41,37.41,1961900
"SNPS","12/04/2013",36.37,36.76,36.33,36.5,36.5,915000
"SNPS","12/03/2013",36.25,36.77,36.25,36.67,36.67,516600
"SNPS","12/02/2013",36.49,36.91,36.23,36.44,36.44,445900
"SNPS","11/29/2013",36.85,36.85,36.56,36.63,36.63,197000
"SNPS","11/27/2013",36.62,36.89,36.52,36.76,36.76,369400
"SNPS","11/26/2013",36.67,36.87,36.58,36.59,36.59,847500
"SNPS","11/25/2013",36.8,36.8,36.54,36.75,36.75,410800
"SNPS","11/22/2013",36.27,36.66,36.07,36.59,36.59,458700
"SNPS","11/21/2013",36.03,36.25,35.76,36.24,36.24,515400
"SNPS","11/20/2013",35.86,36.01,35.53,35.9,35.9,543400
"SNPS","11/19/2013",36.3,36.39,35.67,35.72,35.72,459700
"SNPS","11/18/2013",36.64,36.88,36.27,36.35,36.35,341300
"SNPS","11/15/2013",36.53,36.87,36.24,36.51,36.51,405500
"SNPS","11/14/2013",36.47,36.71,36.34,36.47,36.47,373100
"SNPS","11/13/2013",36.13,36.58,35.92,36.53,36.53,380800
"SNPS","11/12/2013",36.19,36.6,35.94,36.24,36.24,750500
"SNPS","11/11/2013",36.34,36.47,36.02,36.44,36.44,244100
"SNPS","11/08/2013",36.17,36.94,35.94,36.31,36.31,190300
