"symbol","date","open","high","low","close","adjclose","volume"
"SPGI","12/31/2013",77.87,78.81,77.79,78.2,74.2131,743600
"SPGI","12/30/2013",77.26,77.59,76.8,77.58,73.62471,613500
"SPGI","12/27/2013",77.14,77.59,76.81,77.47,73.52032,722900
"SPGI","12/26/2013",76.77,77.48,76.56,77.19,73.25462,566600
"SPGI","12/24/2013",76.5,76.81,75.81,76.74,72.82755,394000
"SPGI","12/23/2013",76.55,76.79,75.48,76.23,72.34354,910000
"SPGI","12/20/2013",74.11,76.16,73.8,76,72.12526,3826600
"SPGI","12/19/2013",74.2,74.29,73.4,73.82,70.05642,1019800
"SPGI","12/18/2013",73.22,74.31,72.04,74.25,70.46449,1156600
"SPGI","12/17/2013",73.55,73.77,72.83,72.84,69.12637,896200
"SPGI","12/16/2013",71.16,73.89,71.16,73.66,69.90459,1215200
"SPGI","12/13/2013",72.17,72.68,72.05,72.2,68.51901,925200
"SPGI","12/12/2013",73.37,73.37,71.59,72.01,68.3387,1321200
"SPGI","12/11/2013",74.02,74.13,71.75,71.96,68.29124,1527300
"SPGI","12/10/2013",74.08,74.28,73.54,73.81,70.04691,685500
"SPGI","12/09/2013",74.93,75.32,74.12,74.29,70.50245,1025600
"SPGI","12/06/2013",74.26,74.77,73.78,74.73,70.92004,1301700
"SPGI","12/05/2013",73.73,74.08,73.18,73.7,69.94252,1262100
"SPGI","12/04/2013",72.97,74.9,72.44,73.94,70.17031,2478200
"SPGI","12/03/2013",73.97,74.31,73.21,73.4,69.65784,1369300
"SPGI","12/02/2013",74.4,75.79,74.17,74.28,70.49295,1422400
"SPGI","11/29/2013",74.43,74.88,74,74.5,70.70175,523900
"SPGI","11/27/2013",75.85,75.85,73.82,74.58,70.77768,736100
"SPGI","11/26/2013",73.83,74.12,73.54,73.7,69.94252,687700
"SPGI","11/25/2013",74.28,74.49,73.7,73.82,70.05642,505900
"SPGI","11/22/2013",73.36,74.47,73.05,74.28,70.49295,1061300
"SPGI","11/22/2013",0,0,0,0,0,0
"SPGI","11/21/2013",73.65,74,73.37,73.75,69.72426,1516000
"SPGI","11/20/2013",73.5,73.9,72.98,73.29,69.28936,788700
"SPGI","11/19/2013",72.65,73.88,72.49,73.56,69.54462,1141500
"SPGI","11/18/2013",72.48,73.21,72.21,72.84,68.86391,1426400
"SPGI","11/15/2013",72.25,72.61,71.91,72.12,68.18324,1025000
"SPGI","11/14/2013",71.63,72.46,71.47,72.29,68.34396,1195400
"SPGI","11/13/2013",70.89,71.29,70.37,71.23,67.34181,1046300
"SPGI","11/12/2013",71.2,71.56,70.87,71.17,67.28509,907200
"SPGI","11/11/2013",71.52,72,71,71.53,67.62543,773700
"SPGI","11/08/2013",69.98,71.42,69.78,71.42,67.52143,987400
"SPGI","11/07/2013",70.87,71.19,69.83,69.87,66.05606,852400
"SPGI","11/06/2013",71.39,71.62,70.66,70.87,67.00146,753000
"SPGI","11/05/2013",71.26,71.4,70.69,71.03,67.15272,759200
"SPGI","11/04/2013",71.37,71.48,70.85,71.32,67.42689,1233800
"SPGI","11/01/2013",70.11,71.21,70.06,71.08,67.2,1418800
"SPGI","10/31/2013",70.69,70.69,69.19,69.68,65.87643,1472400
"SPGI","10/30/2013",71.54,71.67,70.07,70.61,66.75565,989200
"SPGI","10/29/2013",71.39,71.76,71.01,71.7,67.78616,1930000
"SPGI","10/28/2013",71.24,71.24,70.33,70.43,66.58546,1899300
"SPGI","10/25/2013",68.67,71.37,68.67,71.35,67.45526,1669000
"SPGI","10/24/2013",74.37,74.37,70.84,71.42,67.52143,2410200
"SPGI","10/23/2013",69.99,70.93,69.77,70.77,66.90693,919100
"SPGI","10/22/2013",70.43,70.88,68.7,70.65,66.79347,1657900
"SPGI","10/21/2013",69,69.79,68.65,69.79,65.98042,1290100
"SPGI","10/18/2013",69.32,69.41,68.85,68.93,65.16736,2088200
"SPGI","10/17/2013",68.5,69.47,68.24,69.22,65.44155,1224900
"SPGI","10/16/2013",67.62,68.99,67.62,68.77,65.01611,814500
"SPGI","10/15/2013",67.85,67.89,66.99,67.21,63.54125,714500
"SPGI","10/14/2013",67.19,67.97,66.96,67.89,64.18414,534700
"SPGI","10/11/2013",67.46,67.98,66.98,67.85,64.14632,1070000
"SPGI","10/10/2013",66.5,67.94,66.33,67.9,64.19359,1133300
"SPGI","10/09/2013",65.54,66.11,65.34,66,62.3973,1262800
"SPGI","10/08/2013",65.97,66.94,65.46,65.55,61.97186,1616800
"SPGI","10/07/2013",65.67,66.27,65.61,65.87,62.27441,675400
"SPGI","10/04/2013",65.66,66.59,65.66,66.03,62.42566,860900
"SPGI","10/03/2013",66.53,66.74,65.5,65.79,62.19877,958800
"SPGI","10/02/2013",66.53,66.83,65.81,66.65,63.01181,966300
