"symbol","date","open","high","low","close","adjclose","volume"
"TPR","12/31/2013",56.45,56.67,55.75,56.13,48.7295,2224500
"TPR","12/30/2013",56.14,56.51,55.72,56.39,48.95522,1632700
"TPR","12/27/2013",56.75,56.88,55.99,56.27,48.85104,1225900
"TPR","12/26/2013",4.36,56.88,4.35,56.57,49.11148,1047863
"TPR","12/24/2013",56.3,56.68,56.05,56.43,48.98995,872900
"TPR","12/23/2013",56.14,56.23,55.76,56.11,48.71213,1412500
"TPR","12/20/2013",55.49,56.45,55.41,56.06,48.66873,3186600
"TPR","12/19/2013",55.7,55.89,55.32,55.43,48.12179,1671300
"TPR","12/18/2013",55.41,55.75,54.77,55.72,48.37356,2175300
"TPR","12/17/2013",55.43,55.47,54.93,55.3,48.00893,1960900
"TPR","12/16/2013",55.6,55.83,54.9,55.32,48.0263,2503100
"TPR","12/13/2013",55.52,56.1,55.36,55.5,48.18256,1886700
"TPR","12/12/2013",55.43,56.09,55.18,55.52,48.19993,2635700
"TPR","12/11/2013",55.89,56.13,55.38,55.46,48.14783,2936500
"TPR","12/10/2013",56.13,56.27,55.51,56.15,48.74686,3254000
"TPR","12/09/2013",56.3,56.68,55.97,56.06,48.66873,3047600
"TPR","12/06/2013",56.08,56.37,55.17,55.62,48.28674,2474400
"TPR","12/05/2013",56.3,56.45,55.35,55.72,48.37356,3170900
"TPR","12/04/2013",55.72,56.56,55.61,56.47,49.02467,3336100
"TPR","12/04/2013",0,0,0,0,0,0
"TPR","12/03/2013",56.5,57,56.15,56.65,48.8875,4421100
"TPR","12/02/2013",57.45,57.71,56.39,56.54,48.79258,7634600
"TPR","11/29/2013",4.49,57.95,4.47,57.9,49.96621,2843290
"TPR","11/27/2013",56.28,57.41,56.14,57.13,49.30173,5042300
"TPR","11/26/2013",54.86,57.15,54.76,56.36,48.63724,10365100
"TPR","11/25/2013",54.09,54.63,54.03,54.56,47.08389,2727600
"TPR","11/22/2013",54.2,54.3,53.73,54.22,46.79048,2618300
"TPR","11/21/2013",53.44,54.13,53.21,53.97,46.57473,3211600
"TPR","11/20/2013",54.2,54.74,53.3,53.45,46.12598,5637100
"TPR","11/19/2013",53.93,54.27,53.8,53.95,46.55747,2650200
"TPR","11/18/2013",54.19,54.32,53.91,54.03,46.6265,3676700
"TPR","11/15/2013",53.88,54.37,53.46,54.14,46.72143,5375100
"TPR","11/14/2013",53.37,53.81,53.12,53.65,46.29858,3986600
"TPR","11/13/2013",52.26,53.39,52.25,53.31,46.00517,3910200
"TPR","11/12/2013",52.01,52.66,51.98,52.48,45.28889,3093200
"TPR","11/11/2013",51.69,52.2,51.57,52.03,44.90056,2517600
"TPR","11/08/2013",51.12,51.85,50.96,51.81,44.7107,3375600
"TPR","11/07/2013",52.31,52.49,51.43,51.68,44.59851,4063800
"TPR","11/06/2013",51.77,52.35,51.55,52.31,45.14219,3950300
"TPR","11/05/2013",51,51.98,50.77,51.77,44.67619,4616600
"TPR","11/04/2013",50.5,51.35,50.49,51.06,44.06347,3765300
"TPR","11/01/2013",50.88,51.05,50.16,50.42,43.51117,3464300
"TPR","10/31/2013",51.03,51.12,50.51,50.68,43.73555,3903800
"TPR","10/30/2013",50.92,51.13,50.65,50.83,43.86499,4081700
"TPR","10/29/2013",50.3,50.8,50.28,50.76,43.80458,4346900
"TPR","10/28/2013",49.9,50.29,49.51,50.18,43.30407,4641600
"TPR","10/25/2013",49.49,50.02,49.45,49.89,43.05379,5401300
"TPR","10/24/2013",48.52,49.19,48.25,49.09,42.36341,6640200
"TPR","10/23/2013",49.59,49.61,47.89,48.55,41.8974,15100800
"TPR","10/22/2013",49.8,50.86,49.5,50.1,43.23501,20707100
"TPR","10/21/2013",53.98,54.34,53.19,54.18,46.75595,6048800
"TPR","10/18/2013",54.2,54.38,53.62,53.87,46.48843,4775200
"TPR","10/17/2013",53.91,54.84,53.46,54.14,46.72143,5185100
"TPR","10/16/2013",53.97,54.29,53.62,53.95,46.55747,4328400
"TPR","10/15/2013",54.06,54.07,53.45,53.63,46.28131,4793900
"TPR","10/14/2013",53.57,54.12,53.17,54.12,46.70418,4298100
"TPR","10/11/2013",54.22,54.59,53.94,54.59,47.10978,2547500
"TPR","10/10/2013",54.45,54.76,54.17,54.19,46.76458,2926000
"TPR","10/09/2013",53.49,54.27,53.13,53.86,46.47981,3539800
"TPR","10/08/2013",54.42,54.47,53.3,53.59,46.24679,3811100
"TPR","10/07/2013",54.53,55.24,54.32,54.39,46.93718,2379100
"TPR","10/04/2013",54.34,55.42,54.22,55.03,47.48948,3598200
"TPR","10/03/2013",54.4,55.13,54.07,54.34,46.89403,3746400
"TPR","10/02/2013",54.15,54.34,53.8,54.3,46.85951,2759900
"TPR","10/01/2013",54.64,54.7,54.19,54.35,46.90265,2730800
"TPR","09/30/2013",53.91,54.6,53.59,54.53,47.05799,2004600
"TPR","09/27/2013",54.49,54.6,54.16,54.24,46.80773,2209500
"TPR","09/26/2013",54.49,54.86,54.25,54.5,47.0321,2662500
"TPR","09/25/2013",54.73,54.82,53.79,54.22,46.79048,3179500
"TPR","09/24/2013",54.44,55.09,54.11,54.73,47.23059,2625900
"TPR","09/23/2013",55,55.01,54.16,54.61,47.12704,2428400
"TPR","09/20/2013",55.38,55.42,54.62,55.04,47.49812,3700600
"TPR","09/19/2013",55.5,55.78,55.25,55.38,47.79152,1885600
"TPR","09/18/2013",55.24,55.5,54.1,55.39,47.80016,3149000
"TPR","09/17/2013",54.98,55.43,54.82,55.28,47.70522,3952100
"TPR","09/16/2013",55.19,55.81,54.8,54.98,47.44632,3830100
"TPR","09/13/2013",53.85,54.63,53.83,54.63,47.14429,2959700
"TPR","09/12/2013",54.24,54.32,53.77,53.9,46.51433,2715700
"TPR","09/11/2013",53.8,54.3,53.52,54.18,46.75595,2286500
"TPR","09/10/2013",53.75,53.89,53.2,53.75,46.38488,2143400
"TPR","09/09/2013",53.18,53.61,53.05,53.48,46.15187,2097900
"TPR","09/06/2013",53.62,53.67,52.72,53.08,45.80669,2779800
"TPR","09/05/2013",53.15,53.58,53.07,53.4,46.08284,3647800
"TPR","09/05/2013",0,0,0,0,0,0
"TPR","09/04/2013",53.15,54,53.15,53.41,45.79978,3316000
"TPR","09/03/2013",4.65,53.47,4.63,53.16,45.58541,3319192
"TPR","08/30/2013",52.58,53.03,52.4,52.81,45.28527,2758500
"TPR","08/29/2013",52.27,52.96,52,52.58,45.08804,2304600
"TPR","08/28/2013",51.97,52.59,51.73,52.31,44.85652,2698400
"TPR","08/27/2013",52.04,52.42,51.63,51.99,44.58211,2682900
"TPR","08/26/2013",52.78,53.11,52.54,52.54,45.05374,1953500
"TPR","08/23/2013",52.84,52.9,52.43,52.72,45.2081,2290900
"TPR","08/22/2013",52.59,52.8,52.15,52.7,45.19094,2010500
"TPR","08/21/2013",52.09,52.94,52.01,52.33,44.87366,3391900
"TPR","08/20/2013",51.75,52.83,51.73,52.06,44.64213,2395200
"TPR","08/19/2013",51.8,52.12,51.53,51.85,44.46206,3116200
"TPR","08/16/2013",52.33,52.53,51.85,51.9,44.50494,3463800
"TPR","08/15/2013",52.8,53.15,52.28,52.46,44.98514,2964800
"TPR","08/14/2013",53.29,53.5,52.88,53.23,45.64542,2166700
"TPR","08/13/2013",53.23,53.39,52.89,53.29,45.69687,2357500
"TPR","08/12/2013",53.07,53.55,52.6,53.06,45.49965,3271200
"TPR","08/09/2013",53.97,54.11,53.06,53.37,45.76548,3712700
"TPR","08/08/2013",54.1,54.49,53.84,53.87,46.19424,4099400
"TPR","08/07/2013",53.64,54.01,53.43,53.81,46.14278,3270800
"TPR","08/06/2013",53.87,54.04,53.29,53.94,46.25426,4082900
"TPR","08/05/2013",53.57,54.28,53.52,53.8,46.13421,3979100
"TPR","08/02/2013",53.12,53.78,53.05,53.33,45.73118,3909500
"TPR","08/01/2013",53.62,53.97,52.94,53.32,45.7226,5100900
"TPR","07/31/2013",52.59,53.35,52.4,53.13,45.55968,6794800
"TPR","07/30/2013",52.6,54.07,52.1,53.3,45.70545,16270500
"TPR","07/29/2013",58.8,58.8,57.38,57.85,49.60713,6153700
"TPR","07/26/2013",58.29,59.21,57.85,59.18,50.74763,3123200
"TPR","07/25/2013",59.26,59.57,59.07,59.55,51.06491,1942000
"TPR","07/24/2013",59.5,59.58,58.9,59.36,50.90198,2593300
"TPR","07/23/2013",59.08,59.5,58.98,59.45,50.97916,1682400
"TPR","07/22/2013",59.19,59.32,58.68,59.09,50.67046,1751200
"TPR","07/19/2013",59,59.45,58.73,59.31,50.85911,2878200
"TPR","07/18/2013",58.39,58.89,58.19,58.8,50.42178,2230000
"TPR","07/17/2013",58.3,58.79,57.8,58.07,49.79579,2477600
"TPR","07/16/2013",59.2,59.32,57.83,58.25,49.95015,2986200
"TPR","07/15/2013",58.99,59.3,58.63,59.18,50.74763,1264100
"TPR","07/12/2013",58.99,59.32,58.29,59,50.59328,1667200
"TPR","07/11/2013",59.25,59.36,58.83,59.05,50.63615,1626200
"TPR","07/10/2013",58.81,58.83,58.09,58.6,50.25027,2128800
"TPR","07/09/2013",58.05,58.29,57.69,58.01,49.74434,2270400
"TPR","07/08/2013",57.72,57.99,57.34,57.75,49.52138,2064500
"TPR","07/05/2013",4.82,57.73,4.8,57.45,49.26413,1724773
"TPR","07/03/2013",56.1,56.91,55.84,56.46,48.41519,1096600
"TPR","07/02/2013",56.96,57.32,56.2,56.6,48.53524,2141100
"TPR","07/01/2013",57.35,57.72,56.91,57.02,48.8954,2054800
"TPR","06/28/2013",56.27,57.69,56.24,57.09,48.95543,4641800
"TPR","06/27/2013",56.51,56.68,56.09,56.38,48.34658,1837900
