"symbol","date","open","high","low","close","adjclose","volume"
"UPS","12/31/2013",104.94,105.37,104.67,105.08,93.62177,1778400
"UPS","12/30/2013",104.95,105.06,104.59,104.92,93.47922,1479800
"UPS","12/27/2013",105,105.09,104.58,104.72,93.30102,3433500
"UPS","12/26/2013",104.35,104.9,104.04,104.67,93.25646,2108300
"UPS","12/24/2013",104.13,104.5,103.92,104.46,93.06937,904500
"UPS","12/23/2013",103.8,104.07,103.45,103.96,92.62389,2155500
"UPS","12/20/2013",103.23,104.56,103,103.33,92.0626,8363500
"UPS","12/19/2013",102.73,103.24,102.4,103.18,91.92895,2508600
"UPS","12/18/2013",102.13,103.04,101.24,102.98,91.75076,4224900
"UPS","12/17/2013",102.23,102.6,101.69,101.98,90.8598,3190600
"UPS","12/16/2013",101.64,102.4,101.63,102.13,90.99342,3116600
"UPS","12/13/2013",101.05,101.77,100.65,101.38,90.32521,2712600
"UPS","12/12/2013",100.76,101.49,100.76,100.95,89.94212,2303200
"UPS","12/11/2013",101.95,102.08,100.67,100.87,89.87083,3010000
"UPS","12/10/2013",102.15,102.41,101.55,101.73,90.63706,2199300
"UPS","12/09/2013",103.02,103.04,101.97,102.34,91.18054,2373400
"UPS","12/06/2013",102.38,102.92,101.94,102.43,91.26073,3723900
"UPS","12/05/2013",101.46,102.08,101.46,101.63,90.54795,2230900
"UPS","12/04/2013",101.87,102.24,100.75,101.72,90.62814,2249300
"UPS","12/03/2013",102.45,102.78,101.49,101.9,90.78851,2600100
"UPS","12/02/2013",102.14,102.9,102.13,102.33,91.17165,2336900
"UPS","11/29/2013",102.7,103.04,102.37,102.38,91.21616,1281700
"UPS","11/27/2013",102.3,102.82,102.02,102.54,91.35873,1879700
"UPS","11/26/2013",101.32,102.35,101.32,102.29,91.13599,3997300
"UPS","11/25/2013",102.2,102.23,101.19,101.22,90.18268,2219000
"UPS","11/22/2013",101.44,102,100.86,101.98,90.8598,2014300
"UPS","11/21/2013",100.36,101.27,100.2,101.13,90.10248,2262600
"UPS","11/20/2013",100.84,100.94,100.11,100.13,89.21152,2128400
"UPS","11/19/2013",101.18,101.36,100.5,100.72,89.7372,2447200
"UPS","11/18/2013",101.21,101.75,100.97,101.28,90.23611,2448900
"UPS","11/15/2013",101.1,101.37,100.35,100.94,89.9332,4083600
"UPS","11/14/2013",100.77,101.56,100.27,100.97,89.95993,6082800
"UPS","11/14/2013",0,0,0,0,0,0
"UPS","11/13/2013",99.24,101.06,99.15,101.04,89.46989,3862700
"UPS","11/12/2013",98.94,100.08,98.76,99.82,88.38962,3549900
"UPS","11/11/2013",99.51,99.8,99.09,99.28,87.91145,4214600
"UPS","11/08/2013",98.48,99.87,98.47,99.62,88.21251,3886000
"UPS","11/07/2013",99.52,99.93,98.54,98.59,87.30045,2961400
"UPS","11/06/2013",100.31,100.59,98.78,99.1,87.75205,4088400
"UPS","11/05/2013",99.36,100.67,99.01,100.3,88.81465,3912700
"UPS","11/04/2013",98.77,99.9,98.64,99.88,88.44273,3009600
"UPS","11/01/2013",98.28,98.82,97.75,98.22,86.97282,2944500
"UPS","10/31/2013",97.85,98.99,97.34,98.24,86.99052,4213200
"UPS","10/30/2013",98.21,98.79,98.01,98.28,87.02596,3975200
"UPS","10/29/2013",97.82,98.41,96.66,98.31,87.05251,6452700
"UPS","10/28/2013",95.45,98.78,95.45,97.77,86.57433,5926700
"UPS","10/25/2013",96.67,97,94.16,95.61,84.66171,5203400
"UPS","10/24/2013",94.18,95.4,94.18,94.49,83.66994,4802700
"UPS","10/23/2013",93.52,94.03,93.22,93.95,83.19178,2654400
"UPS","10/22/2013",93.96,94.84,93.65,93.77,83.03239,3000900
