"symbol","date","open","high","low","close","adjclose","volume"
"UTX","12/31/2013",113.16,113.94,113.08,113.8,103.5085,2103200
"UTX","12/30/2013",112.9,112.9,112.1,112.73,102.5353,1614900
"UTX","12/27/2013",112.85,113.04,112.44,112.8,102.5989,1593900
"UTX","12/26/2013",111.61,112.76,111.56,112.69,102.4989,2449400
"UTX","12/24/2013",110.8,111.6,110.68,111.47,101.3892,747900
"UTX","12/23/2013",111.42,111.47,110.57,110.82,100.798,1967500
"UTX","12/20/2013",109.22,111.13,109.07,110.66,100.6525,4618000
"UTX","12/19/2013",109.63,109.99,109.19,109.5,99.59735,2927400
"UTX","12/18/2013",108,109.85,106.95,109.81,99.87932,3715800
"UTX","12/17/2013",108.99,109.13,107.38,107.62,97.88737,3451700
"UTX","12/16/2013",107.81,109.12,107.5,108.53,98.71508,3276700
"UTX","12/13/2013",106.16,107.89,105.9,107.35,97.64178,4519600
"UTX","12/12/2013",108.5,108.93,107.36,108.09,98.31485,3652100
"UTX","12/11/2013",111.08,111.2,108.65,108.66,98.83332,3455900
"UTX","12/10/2013",110.67,111.61,110.09,110.98,100.9435,2809600
"UTX","12/09/2013",111.05,111.55,110.71,111.18,101.1254,2803000
"UTX","12/06/2013",110.24,111.2,110.07,111.12,101.0709,2456500
"UTX","12/05/2013",108.09,109.58,108.09,109.05,99.18806,2024000
"UTX","12/04/2013",109.34,109.56,107.99,108.94,99.08801,2511000
"UTX","12/03/2013",109.92,110.53,109.26,109.69,99.77019,3294200
"UTX","12/02/2013",111.17,111.4,110.11,110.31,100.3341,2091300
"UTX","11/29/2013",111.3,111.61,110.7,110.86,100.8344,1301000
"UTX","11/27/2013",111.23,111.9,111.08,111.51,101.4256,1770500
"UTX","11/26/2013",110.41,111.5,110.25,110.94,100.9071,2825900
"UTX","11/25/2013",110.95,110.99,110.09,110.31,100.3341,2155100
"UTX","11/22/2013",109.74,110.33,109.23,110.2,100.2341,2467300
"UTX","11/21/2013",109.12,109.85,108.99,109.77,99.84295,1964100
"UTX","11/20/2013",109.3,109.67,108.6,108.83,98.98795,2239900
"UTX","11/19/2013",108.92,109.49,108.8,109.1,99.23354,1877700
"UTX","11/18/2013",108.6,109.91,108.6,109.13,99.26082,2415200
"UTX","11/15/2013",108.82,109,108.19,108.59,98.76963,2974400
"UTX","11/14/2013",108.5,108.97,107.48,108.69,98.8606,2561000
"UTX","11/13/2013",106.55,107.54,106.02,107.46,97.74184,2797600
"UTX","11/13/2013",0,0,0,0,0,0
"UTX","11/12/2013",107.89,107.97,107.15,107.45,97.19609,3004400
"UTX","11/11/2013",108.54,108.6,107.78,108.08,97.76599,2409700
"UTX","11/08/2013",107.01,108.59,106.79,108.55,98.19115,2950900
"UTX","11/07/2013",108.78,109.27,107.09,107.27,97.03327,2536000
"UTX","11/06/2013",108.23,108.98,108.1,108.67,98.29969,3150300
"UTX","11/05/2013",107.59,108.26,106.71,107.68,97.40415,2289600
"UTX","11/04/2013",108.31,108.44,107.48,107.98,97.67554,2293700
"UTX","11/01/2013",106.45,107.73,106.41,107.51,97.2504,2511000
"UTX","10/31/2013",105.9,107.24,105.73,106.25,96.11064,2963800
"UTX","10/30/2013",106.59,107.23,105.68,105.95,95.83924,2031400
"UTX","10/29/2013",106.02,106.45,105.76,106.42,96.2644,2246500
"UTX","10/28/2013",107.09,107.24,105.91,105.99,95.87544,3284200
"UTX","10/25/2013",106.91,107.53,106.53,107.52,97.25943,2732500
"UTX","10/24/2013",107.35,107.49,106.21,107.06,96.84332,2654700
"UTX","10/23/2013",106.2,106.92,105.66,106.39,96.23727,3399000
"UTX","10/22/2013",107.62,108.56,105.07,106.13,96.00208,5832200
"UTX","10/21/2013",107.9,107.94,106.95,107.62,97.34989,2958000
"UTX","10/18/2013",108.08,108.44,107.06,107.74,97.45843,2708200
"UTX","10/17/2013",105.98,108.16,105.98,108.02,97.7117,2069500
"UTX","10/16/2013",106.51,107.14,105.97,106.43,96.27345,3246200
"UTX","10/15/2013",106.82,106.91,105.77,105.8,95.70358,2710200
"UTX","10/14/2013",106.03,107.07,105.68,106.9,96.6986,2435300
"UTX","10/11/2013",105.68,107.03,105.37,107.01,96.7981,3201600
"UTX","10/10/2013",104.37,105.92,103.98,105.92,95.81211,3419500
"UTX","10/09/2013",103,103.39,102.21,102.84,93.02605,3548600
"UTX","10/08/2013",104.01,104.48,102.73,102.76,92.95368,2200500
"UTX","10/07/2013",103.44,104.75,103,104.03,94.10249,2164100
"UTX","10/04/2013",103.77,104.62,103.3,104.27,94.31956,2111500
"UTX","10/03/2013",104.83,104.98,102.73,103.69,93.79492,4264800
"UTX","10/02/2013",106.74,106.76,104.55,104.98,94.96182,5604500
"UTX","10/01/2013",108.08,108.48,106.35,107.38,97.13278,4995300
"UTX","09/30/2013",108.86,109.01,107.5,107.82,97.53081,3333000
