"symbol","date","open","high","low","close","adjclose","volume"
"VRSK","12/31/2013",65.35,66.14,65.3,65.72,65.72,723000
"VRSK","12/30/2013",65.91,66.12,65.73,65.81,65.81,374400
"VRSK","12/27/2013",66.25,66.27,65.7,66.05,66.05,432400
"VRSK","12/26/2013",66.19,66.42,65.74,65.98,65.98,290300
"VRSK","12/24/2013",66.23,66.49,65.92,65.97,65.97,202200
"VRSK","12/23/2013",66.42,66.86,65.88,66.03,66.03,440800
"VRSK","12/20/2013",65.57,66.64,65.57,66.56,66.56,879100
"VRSK","12/19/2013",65.51,66.08,65.51,65.85,65.85,516400
"VRSK","12/18/2013",65.42,65.84,64.71,65.75,65.75,503300
"VRSK","12/17/2013",65.09,65.59,64.56,65.22,65.22,665400
"VRSK","12/16/2013",64.64,65.5,64.59,65.22,65.22,665800
"VRSK","12/13/2013",64.6,65.17,64.36,64.63,64.63,1163800
"VRSK","12/12/2013",64.64,64.8,64.04,64.19,64.19,849700
"VRSK","12/11/2013",65.6,65.91,64.56,64.6,64.6,1000000
"VRSK","12/10/2013",66.16,66.36,65.82,66.23,66.23,616400
"VRSK","12/09/2013",67.24,67.34,66.19,66.52,66.52,1323300
"VRSK","12/06/2013",66.33,67.33,65.63,67.33,67.33,1071800
"VRSK","12/05/2013",65.1,65.12,64.71,65.1,65.1,975000
"VRSK","12/04/2013",64.99,65.57,64.72,65.26,65.26,576900
"VRSK","12/03/2013",64.92,65.22,64.73,65.13,65.13,651000
"VRSK","12/02/2013",64.82,65.63,64.73,65.4,65.4,834500
"VRSK","11/29/2013",65.51,65.65,64.83,65.11,65.11,333800
"VRSK","11/27/2013",64.84,65.85,64.63,65.45,65.45,1604500
"VRSK","11/26/2013",64.78,65.11,64.47,64.89,64.89,1047800
"VRSK","11/25/2013",63.7,64.86,63.68,64.53,64.53,860700
"VRSK","11/22/2013",63.18,63.96,63.17,63.91,63.91,562000
"VRSK","11/21/2013",62.63,63.39,62.43,63.27,63.27,776600
"VRSK","11/20/2013",63.12,63.16,62.41,62.63,62.63,1350600
"VRSK","11/19/2013",63.2,63.57,62.91,63.19,63.19,436400
"VRSK","11/18/2013",63.21,63.57,62.8,63.33,63.33,982300
"VRSK","11/15/2013",64,64.43,63.31,64.37,64.37,717700
"VRSK","11/14/2013",63.3,64.09,63.2,63.67,63.67,546000
"VRSK","11/13/2013",62.55,63.43,62.43,63.42,63.42,711300
"VRSK","11/12/2013",62.08,62.86,62,62.85,62.85,905400
"VRSK","11/11/2013",62.57,62.75,62.17,62.31,62.31,832600
"VRSK","11/08/2013",61.45,62.59,61.25,62.47,62.47,935400
"VRSK","11/07/2013",61.68,64.15,61.13,61.27,61.27,1287500
"VRSK","11/06/2013",61,62.85,60.16,62,62,5231700
"VRSK","11/05/2013",67.91,68.23,67.53,67.8,67.8,799800
"VRSK","11/04/2013",68.05,68.34,67.65,68.33,68.33,517200
"VRSK","11/01/2013",68.79,68.79,67.26,67.98,67.98,847100
"VRSK","10/31/2013",68.11,68.69,67.87,68.52,68.52,474600
"VRSK","10/30/2013",68.68,69.07,67.82,68.15,68.15,415800
"VRSK","10/29/2013",68.21,68.74,68.14,68.74,68.74,371400
"VRSK","10/28/2013",68.51,68.94,67.9,67.94,67.94,685600
"VRSK","10/25/2013",68.45,68.45,67.86,68.39,68.39,345600
"VRSK","10/24/2013",68.43,69.09,67.94,68.02,68.02,658200
"VRSK","10/23/2013",68.06,68.83,67.68,68.53,68.53,633300
"VRSK","10/22/2013",68.74,69.03,68.25,68.35,68.35,491500
"VRSK","10/21/2013",68.71,68.86,67.75,68.38,68.38,652300
"VRSK","10/18/2013",68.72,68.73,68.11,68.69,68.69,718600
"VRSK","10/17/2013",67.6,68.77,67.36,68.71,68.71,523000
"VRSK","10/16/2013",67.43,67.99,67.11,67.77,67.77,494700
"VRSK","10/15/2013",66.96,67.15,66.74,66.97,66.97,551700
"VRSK","10/14/2013",66.86,67.29,66.56,67.26,67.26,519100
"VRSK","10/11/2013",66.33,67.17,66.16,67.07,67.07,445200
"VRSK","10/10/2013",65.35,66.66,65.35,66.45,66.45,477600
"VRSK","10/09/2013",65,65.21,64.4,65.14,65.14,1106600
"VRSK","10/08/2013",64.5,65.15,64.32,64.94,64.94,970100
"VRSK","10/07/2013",64.46,64.92,63.86,64.66,64.66,625500
"VRSK","10/04/2013",64.13,65.1,63.87,65.02,65.02,884700
"VRSK","10/03/2013",64.34,64.47,63.29,63.97,63.97,1134900
"VRSK","10/02/2013",64.86,64.86,64.28,64.37,64.37,731500
"VRSK","10/01/2013",65.04,65.53,64.82,65.16,65.16,478500
"VRSK","09/30/2013",64.96,65.26,64.54,64.96,64.96,578100
"VRSK","09/27/2013",65,65.44,64.56,65.34,65.34,287700
"VRSK","09/26/2013",65.4,65.78,64.9,65.25,65.25,391200
"VRSK","09/25/2013",65.46,65.57,64.88,65.07,65.07,424800
"VRSK","09/24/2013",65.37,65.79,64.92,65.52,65.52,377100
"VRSK","09/23/2013",65.52,65.83,65.29,65.37,65.37,656800
"VRSK","09/20/2013",66.15,66.44,65.47,65.8,65.8,924200
"VRSK","09/19/2013",66.75,66.77,65.96,66.39,66.39,826500
"VRSK","09/18/2013",66.03,66.65,65.48,66.53,66.53,745700
"VRSK","09/17/2013",65.99,66.46,65.82,66.02,66.02,422000
"VRSK","09/16/2013",65.59,66.09,65.39,66.09,66.09,1554900
"VRSK","09/13/2013",65.5,65.5,64.96,65.32,65.32,666800
"VRSK","09/12/2013",65.16,65.38,64.86,65.17,65.17,344500
"VRSK","09/11/2013",64.79,65.63,64.53,65.05,65.05,694200
"VRSK","09/10/2013",63.9,64.67,63.8,64.66,64.66,606500
"VRSK","09/09/2013",63.18,64.06,62.66,63.64,63.64,639800
"VRSK","09/06/2013",63.45,63.74,62.4,63.14,63.14,601700
"VRSK","09/05/2013",63.23,63.47,62.94,63.08,63.08,731200
"VRSK","09/04/2013",62.75,63.26,62.46,63.26,63.26,589900
"VRSK","09/03/2013",62.79,63.18,62.46,62.84,62.84,971200
"VRSK","08/30/2013",62.36,62.55,61.82,62.18,62.18,431100
"VRSK","08/29/2013",61.85,62.73,61.74,62.31,62.31,350500
"VRSK","08/28/2013",62.06,62.39,61.8,62.13,62.13,473800
"VRSK","08/27/2013",62.1,62.61,61.94,62.27,62.27,496100
"VRSK","08/26/2013",62.56,62.88,62.35,62.67,62.67,333500
"VRSK","08/23/2013",62.2,62.94,62,62.75,62.75,594600
"VRSK","08/22/2013",61.7,62.34,61.69,62.03,62.03,267700
"VRSK","08/21/2013",61.36,62.13,61.27,61.74,61.74,335000
"VRSK","08/20/2013",61.35,61.9,61.25,61.69,61.69,419800
"VRSK","08/19/2013",61.34,61.98,61,61.39,61.39,463600
"VRSK","08/16/2013",61.5,61.84,61.11,61.52,61.52,484300
"VRSK","08/15/2013",61.82,62.21,61.16,61.66,61.66,417100
"VRSK","08/14/2013",62.99,63.06,62.16,62.31,62.31,376400
"VRSK","08/13/2013",62.94,63.34,62.42,63.05,63.05,394500
"VRSK","08/12/2013",63.09,63.39,62.86,62.94,62.94,513300
"VRSK","08/09/2013",63,63.74,62.97,63.25,63.25,568500
"VRSK","08/08/2013",63.66,63.66,62.84,63.29,63.29,336800
"VRSK","08/07/2013",63.5,63.56,63.08,63.36,63.36,825300
"VRSK","08/06/2013",63.9,63.96,63.37,63.55,63.55,609800
"VRSK","08/05/2013",64,64.12,63.5,63.92,63.92,672600
"VRSK","08/02/2013",64.64,65.06,64.02,64.25,64.25,849400
"VRSK","08/01/2013",64.43,64.99,64.16,64.46,64.46,1478200
"VRSK","07/31/2013",64.52,65.59,62.84,64.36,64.36,2043500
"VRSK","07/30/2013",61.04,61.31,60.66,60.86,60.86,1010200
"VRSK","07/29/2013",61.31,61.64,61.13,61.23,61.23,325400
"VRSK","07/26/2013",61.25,61.86,60.67,61.47,61.47,290900
"VRSK","07/25/2013",61.67,62.22,61.51,61.7,61.7,471600
"VRSK","07/24/2013",61.9,62.5,61.41,61.57,61.57,456800
"VRSK","07/23/2013",61.97,62.28,61.41,61.68,61.68,353500
"VRSK","07/22/2013",62.37,62.37,61.54,62.04,62.04,523100
"VRSK","07/19/2013",61.75,62.59,61.46,61.87,61.87,705500
"VRSK","07/18/2013",61.75,62.11,61.69,61.75,61.75,414000
"VRSK","07/17/2013",62.34,62.34,61.73,61.75,61.75,297900
"VRSK","07/16/2013",62.81,62.88,61.9,62.1,62.1,541400
"VRSK","07/15/2013",63.12,63.42,62.45,62.88,62.88,396400
"VRSK","07/12/2013",63.12,63.45,62.76,63.24,63.24,813700
"VRSK","07/11/2013",62,62.69,61.84,62.64,62.64,484700
"VRSK","07/10/2013",61.39,61.9,61.19,61.67,61.67,611000
"VRSK","07/09/2013",61.9,62,61.39,61.5,61.5,779200
"VRSK","07/08/2013",61.39,61.63,61.39,61.55,61.55,673600
"VRSK","07/05/2013",61,61.25,60.48,61.23,61.23,575500
"VRSK","07/03/2013",60.5,61.05,60.22,60.91,60.91,277400
"VRSK","07/02/2013",60.55,61.02,60.43,60.47,60.47,510900
"VRSK","07/01/2013",59.95,61.33,59.95,60.71,60.71,834200
"VRSK","06/28/2013",58.9,60.11,58.75,59.7,59.7,1214300
"VRSK","06/27/2013",58.36,58.85,58.31,58.65,58.65,314100
"VRSK","06/26/2013",58.44,58.53,57.76,58,58,409000
"VRSK","06/25/2013",58.5,58.74,57.39,58.1,58.1,737700
"VRSK","06/24/2013",57.63,58.45,57.19,58.12,58.12,600700
"VRSK","06/21/2013",57.72,58.37,57.69,57.78,57.78,1034100
"VRSK","06/20/2013",59.1,59.1,57.43,57.7,57.7,673100
"VRSK","06/19/2013",59.82,60.36,59.29,59.29,59.29,492100
"VRSK","06/18/2013",59.93,60.42,59.56,60.11,60.11,537600
"VRSK","06/17/2013",59.09,60.25,58.71,59.66,59.66,711100
"VRSK","06/14/2013",58.78,59.07,58.55,58.81,58.81,436500
"VRSK","06/13/2013",58.76,58.97,58.09,58.75,58.75,543100
"VRSK","06/12/2013",59.6,59.74,58.53,58.65,58.65,581800
"VRSK","06/11/2013",58.51,59.52,58.48,59.37,59.37,580300
"VRSK","06/10/2013",59.2,59.47,58.94,59.26,59.26,442000
"VRSK","06/07/2013",58.68,59.31,58.23,59.18,59.18,368100
"VRSK","06/06/2013",57.87,58.6,57.84,58.6,58.6,626000
"VRSK","06/05/2013",58.79,58.79,57.51,57.75,57.75,695400
"VRSK","06/04/2013",59.17,59.49,58.6,58.85,58.85,546300
"VRSK","06/03/2013",58.82,59.41,58.02,59.41,59.41,565400
"VRSK","05/31/2013",58.9,59.58,58.68,58.82,58.82,1206700
"VRSK","05/30/2013",59.22,59.66,59.09,59.18,59.18,1440100
"VRSK","05/29/2013",59.31,59.56,58.67,59.3,59.3,1371000
"VRSK","05/28/2013",59,59.63,59,59.5,59.5,1468800
"VRSK","05/24/2013",59.96,59.99,58.96,59.34,59.34,1400800
"VRSK","05/23/2013",59.74,60.4,59.06,59.99,59.99,1053200
"VRSK","05/22/2013",60.5,61,59.59,59.9,59.9,832400
"VRSK","05/21/2013",60.27,60.56,60.25,60.41,60.41,831000
"VRSK","05/20/2013",60.56,60.73,60.14,60.33,60.33,540700
"VRSK","05/17/2013",60.86,60.91,60.47,60.72,60.72,592900
"VRSK","05/16/2013",59.76,60.92,58.62,60.4,60.4,642600
"VRSK","05/15/2013",60.87,61.04,60.7,60.8,60.8,607700
"VRSK","05/14/2013",60.44,60.82,60.44,60.7,60.7,641100
"VRSK","05/13/2013",60.39,60.68,60.11,60.4,60.4,669000
"VRSK","05/10/2013",61.01,61.13,60.56,60.59,60.59,490500
"VRSK","05/09/2013",61.18,61.36,60.64,60.81,60.81,563400
"VRSK","05/08/2013",60.73,61.3,60.44,61.02,61.02,892900
"VRSK","05/07/2013",60.71,60.97,60.51,60.85,60.85,681100
"VRSK","05/06/2013",60.74,61.25,60.36,60.46,60.46,783400
"VRSK","05/03/2013",60.6,60.96,60.32,60.58,60.58,747200
"VRSK","05/02/2013",59.83,61.17,59.16,60.65,60.65,501900
"VRSK","05/01/2013",56.4,62.39,54.68,60.62,60.62,1261900
"VRSK","04/30/2013",60.57,61.41,60.26,61.29,61.29,1019500
"VRSK","04/29/2013",59.85,60.5,59.71,60.49,60.49,690400
"VRSK","04/26/2013",59.91,59.99,59.59,59.82,59.82,486400
"VRSK","04/25/2013",59.88,60.42,59.74,60.11,60.11,576000
"VRSK","04/24/2013",59.76,60.25,59.55,59.63,59.63,583800
"VRSK","04/23/2013",59.48,60.25,59.48,59.87,59.87,609100
"VRSK","04/22/2013",59.25,59.47,58.8,59.18,59.18,474100
"VRSK","04/19/2013",60.13,60.5,58.72,59.03,59.03,1086100
"VRSK","04/18/2013",59.67,59.88,59.09,59.14,59.14,441300
"VRSK","04/17/2013",59.23,59.92,59.22,59.67,59.67,744800
"VRSK","04/16/2013",60.32,60.67,59.47,59.75,59.75,1501700
"VRSK","04/15/2013",60.9,61.09,59.92,59.93,59.93,553600
"VRSK","04/12/2013",61.18,61.26,60.73,61.15,61.15,363100
"VRSK","04/11/2013",61.16,61.48,60.77,61.03,61.03,509700
"VRSK","04/10/2013",59.92,61.31,59.87,61.23,61.23,756700
"VRSK","04/09/2013",60.1,60.25,59.24,59.78,59.78,489200
"VRSK","04/08/2013",58.9,60.22,58.9,59.93,59.93,625900
"VRSK","04/05/2013",59.03,59.36,58.42,58.9,58.9,1107500
"VRSK","04/04/2013",60.38,60.67,59.7,59.98,59.98,560900
"VRSK","04/03/2013",61.22,61.37,60.16,60.47,60.47,531200
"VRSK","04/02/2013",61.2,61.7,60.85,61.08,61.08,545800
"VRSK","04/01/2013",61.1,61.88,60.61,61.14,61.14,787900
"VRSK","03/28/2013",61.77,61.85,60.9,61.62,61.62,1221300
"VRSK","03/27/2013",61,61.72,60.72,61.55,61.55,463800
"VRSK","03/26/2013",61.39,61.64,61,61.38,61.38,438900
"VRSK","03/25/2013",61.45,61.57,60.48,61.1,61.1,561800
"VRSK","03/22/2013",60.31,61.42,60.31,61.23,61.23,719800
"VRSK","03/21/2013",59.67,60.28,59.59,60.02,60.02,588600
"VRSK","03/20/2013",60.26,60.49,59.45,60.07,60.07,719800
"VRSK","03/19/2013",59.75,59.96,59.38,59.83,59.83,641900
"VRSK","03/18/2013",59.38,60.01,59.28,59.73,59.73,621600
"VRSK","03/15/2013",58.88,60.12,58.88,60.05,60.05,1564300
"VRSK","03/14/2013",59.13,59.57,58.92,59.56,59.56,569700
"VRSK","03/13/2013",59.01,59.55,58.42,59.19,59.19,925200
"VRSK","03/12/2013",59.85,59.95,58.66,58.7,58.7,750700
"VRSK","03/11/2013",59.68,59.84,59.25,59.84,59.84,492300
"VRSK","03/08/2013",59.62,59.8,59.15,59.71,59.71,675000
"VRSK","03/07/2013",59.47,59.82,59,59.37,59.37,737600
"VRSK","03/06/2013",59.69,60.01,59.28,59.34,59.34,469600
"VRSK","03/05/2013",59.48,59.54,58.6,59.32,59.32,828700
"VRSK","03/04/2013",58.95,59.39,58.81,59.37,59.37,535900
"VRSK","03/01/2013",58.18,59.02,57.97,59,59,956900
"VRSK","02/28/2013",58.3,58.81,57.15,58.47,58.47,1249600
"VRSK","02/27/2013",55.41,60.29,55.02,58.05,58.05,2422900
"VRSK","02/26/2013",54.1,54.26,53.68,53.9,53.9,711000
"VRSK","02/25/2013",54.67,55.06,53.65,53.7,53.7,625700
"VRSK","02/22/2013",53.93,54.47,53.84,54.44,54.44,469500
"VRSK","02/21/2013",54.25,54.32,53.5,53.73,53.73,434800
"VRSK","02/20/2013",54.97,55.4,54.21,54.31,54.31,648800
"VRSK","02/19/2013",54.87,55.02,54.58,55,55,469200
"VRSK","02/15/2013",54.3,55.18,54.26,54.88,54.88,363500
"VRSK","02/14/2013",54.47,54.55,54.26,54.27,54.27,406300
"VRSK","02/13/2013",54.57,54.81,54.26,54.57,54.57,343900
"VRSK","02/12/2013",54.52,54.6,53.7,54.23,54.23,447000
"VRSK","02/11/2013",55,55,53.73,54.62,54.62,548600
"VRSK","02/08/2013",54.65,55.13,54.28,54.9,54.9,364200
"VRSK","02/07/2013",54.71,54.71,53.84,54.29,54.29,850900
"VRSK","02/06/2013",54.94,55.18,54.42,54.5,54.5,774800
"VRSK","02/05/2013",54.93,55.23,54.66,55.1,55.1,437400
"VRSK","02/04/2013",55.43,55.73,54.64,54.81,54.81,508600
"VRSK","02/01/2013",55.66,56.06,55.34,55.71,55.71,594400
"VRSK","01/31/2013",55.09,55.5,54.57,55.16,55.16,596400
"VRSK","01/30/2013",55.07,55.7,55.07,55.3,55.3,739700
"VRSK","01/29/2013",54.63,55.36,54.5,55.31,55.31,450600
"VRSK","01/28/2013",54.99,55.1,54.77,54.97,54.97,481400
"VRSK","01/25/2013",55.09,55.27,54.77,54.99,54.99,625900
"VRSK","01/24/2013",54.89,55.77,54.56,55.18,55.18,677300
"VRSK","01/23/2013",54.68,54.75,54.37,54.52,54.52,424100
"VRSK","01/22/2013",54.39,54.63,53.78,54.54,54.54,755900
"VRSK","01/18/2013",53.62,54.65,53.57,54.58,54.58,574600
"VRSK","01/17/2013",53.75,54.16,53.42,53.84,53.84,896800
"VRSK","01/16/2013",54.81,55.11,53.82,53.89,53.89,1044300
"VRSK","01/15/2013",54.14,55.09,54.14,55.03,55.03,1035200
"VRSK","01/14/2013",54.72,55.4,53.97,54.42,54.42,958000
"VRSK","01/11/2013",54.06,54.06,53.36,53.9,53.9,672200
"VRSK","01/10/2013",54.3,54.3,53.67,53.87,53.87,1141200
"VRSK","01/09/2013",53.82,54.2,53.58,53.95,53.95,668700
"VRSK","01/08/2013",53.37,53.91,53.26,53.9,53.9,626400
"VRSK","01/07/2013",53.24,53.49,53.08,53.26,53.26,1077500
"VRSK","01/04/2013",53.43,53.98,53.25,53.5,53.5,692300
"VRSK","01/03/2013",52.94,53.6,52.8,53.59,53.59,1201700
"VRSK","01/02/2013",51.66,53,51.17,52.98,52.98,1305600
