"symbol","date","open","high","low","close","adjclose","volume"
"WYN","12/31/2013",73.38,74.18,73.38,73.69,67.25747,608900
"WYN","12/30/2013",72.96,73.65,72.84,73.32,66.91978,525200
"WYN","12/27/2013",73.54,73.54,72.76,73.01,66.63683,405600
"WYN","12/26/2013",73,73.36,72.8,73.2,66.81024,567800
"WYN","12/24/2013",72.61,73.07,72.53,72.71,66.36302,236000
"WYN","12/23/2013",73.27,73.48,72.1,72.49,66.16221,829100
"WYN","12/20/2013",72.25,73.09,72.1,72.97,66.60032,1332800
"WYN","12/19/2013",71.97,72.73,71.49,71.95,65.66936,1243800
"WYN","12/18/2013",70.76,72.48,70.3,72.42,66.09832,1391600
"WYN","12/17/2013",71.15,71.2,69.87,70.41,64.26379,1134600
"WYN","12/16/2013",70.96,71.38,70.62,71.25,65.03046,1150600
"WYN","12/13/2013",70.46,70.96,70.13,70.59,64.42808,932900
"WYN","12/12/2013",70.9,71.21,69.95,70.25,64.11775,1528300
"WYN","12/11/2013",71.67,71.9,70.65,70.74,64.56499,889000
"WYN","12/10/2013",72.46,72.46,71.33,71.67,65.4138,1122100
"WYN","12/09/2013",72.59,72.8,71.92,72.46,66.13483,1082400
"WYN","12/06/2013",72.18,72.43,71.54,72.4,66.08006,921500
"WYN","12/05/2013",71.44,72.15,70.93,71.19,64.97571,966200
"WYN","12/04/2013",71.67,72.62,71.02,71.7,65.44117,1039100
"WYN","12/03/2013",72.47,72.95,71.71,72,65.71499,1663200
"WYN","12/02/2013",71.68,72.88,71.56,72.07,65.77888,1300400
"WYN","11/29/2013",72.22,72.25,71.47,71.71,65.4503,398900
"WYN","11/27/2013",71.62,72.38,71.18,72.26,65.95232,1058900
"WYN","11/26/2013",70.79,71.87,70.72,71.58,65.33167,1124400
"WYN","11/25/2013",71,71.29,70.48,70.8,64.61975,1108000
"WYN","11/22/2013",70,70.99,69.45,70.95,64.75665,1506700
"WYN","11/22/2013",0,0,0,0,0,0
"WYN","11/21/2013",68.58,70.95,68.41,70.15,63.7618,2556600
"WYN","11/20/2013",69.07,69.43,68.24,68.28,62.06209,941900
"WYN","11/19/2013",69.24,69.25,68.46,68.76,62.49836,995200
"WYN","11/18/2013",68.97,69.88,68.65,69.24,62.93465,2024600
"WYN","11/15/2013",67.9,69.1,67.58,68.92,62.64382,1039200
"WYN","11/14/2013",67.07,68,66.74,67.91,61.72579,772400
"WYN","11/13/2013",65.59,66.96,65.59,66.91,60.81685,570200
"WYN","11/12/2013",66.41,66.62,65.85,66.07,60.05335,717100
"WYN","11/11/2013",66.23,66.9,66.18,66.49,60.43509,540800
"WYN","11/08/2013",65.79,66.53,65.53,66.2,60.17149,1169200
"WYN","11/07/2013",67.47,67.5,65.54,65.6,59.62614,1187500
"WYN","11/06/2013",67.12,67.28,66.76,67.26,61.13498,1056300
"WYN","11/05/2013",67.06,67.26,66.45,66.99,60.88956,694200
"WYN","11/04/2013",66.93,67.45,66.8,67.44,61.29858,767200
"WYN","11/01/2013",66.7,67.03,66.07,66.8,60.71687,743100
"WYN","10/31/2013",66.25,66.9,65.78,66.4,60.35329,831400
"WYN","10/30/2013",67.36,67.52,65.63,66.25,60.21695,1009600
"WYN","10/29/2013",67.19,67.4,66.78,67.28,61.15315,1000800
"WYN","10/28/2013",67.4,67.4,66.69,67.02,60.91682,1268400
"WYN","10/25/2013",67.25,67.49,66.86,67.35,61.21679,859800
"WYN","10/24/2013",65.66,67.45,65.45,67.06,60.95319,2100400
"WYN","10/23/2013",64.57,65.43,63.32,65.27,59.32619,1583400
"WYN","10/22/2013",64.34,65.46,64.17,65.36,59.40801,1507200
"WYN","10/21/2013",64.31,64.47,63.61,64.18,58.33546,829400
"WYN","10/18/2013",64.02,64.38,63.95,64.21,58.36272,664000
"WYN","10/17/2013",62.53,63.87,62.48,63.81,57.99915,803800
"WYN","10/16/2013",61.98,62.81,61.8,62.75,57.03568,999200
"WYN","10/15/2013",61.79,61.95,61.51,61.6,55.9904,799700
"WYN","10/14/2013",61.17,61.98,61,61.93,56.29035,563100
"WYN","10/11/2013",60.46,61.61,60.31,61.56,55.95404,695500
"WYN","10/10/2013",60.28,61,60.23,60.54,55.02694,1849300
"WYN","10/09/2013",59.45,59.8,58.53,59.48,54.06345,1334200
"WYN","10/08/2013",60.37,60.79,59.22,59.36,53.95439,1193900
"WYN","10/07/2013",60.17,61.03,60.1,60.55,55.03602,969300
"WYN","10/04/2013",60.35,61.1,60.14,60.84,55.29961,926200
"WYN","10/03/2013",60.78,61.02,59.66,60.38,54.88149,1072200
"WYN","10/02/2013",60.6,61.08,60.48,60.9,55.35415,964200
"WYN","10/01/2013",60.8,61.37,60.61,60.96,55.40868,1197500
"WYN","09/30/2013",60.96,61.39,60.61,60.97,55.41778,842400
"WYN","09/27/2013",61.64,61.78,61.1,61.65,56.03585,497500
"WYN","09/26/2013",61.95,62.22,61.27,61.94,56.29944,602300
"WYN","09/25/2013",61.99,62.13,61.31,61.93,56.29035,548300
"WYN","09/24/2013",61.67,62.46,61.24,61.97,56.32671,890900
"WYN","09/23/2013",62.21,62.43,61.61,61.64,56.02676,845700
"WYN","09/20/2013",63,63.1,61.95,62.43,56.74481,1235100
"WYN","09/19/2013",63.7,63.89,63.01,63.09,57.34472,632100
"WYN","09/18/2013",62.58,63.67,62.28,63.62,57.82645,672800
"WYN","09/17/2013",62.77,63.29,62.47,62.6,56.89933,657900
"WYN","09/16/2013",62.93,63.41,62.37,62.77,57.05386,894600
"WYN","09/13/2013",61.74,62.26,61.74,62.09,56.43578,304300
"WYN","09/12/2013",62.17,62.17,61.51,61.75,56.12675,659000
"WYN","09/11/2013",61.57,62.32,61.36,62.1,56.44487,794900
"WYN","09/10/2013",61.38,61.74,61.28,61.5,55.89951,668700
