"symbol","date","open","high","low","close","adjclose","volume"
"XEC","12/31/2013",102.09,105.78,101.17,104.91,103.0989,582600
"XEC","12/30/2013",103.94,105.33,101.98,102.11,100.3472,380300
"XEC","12/27/2013",103.06,104.86,102.09,104.13,102.3323,417200
"XEC","12/26/2013",103.78,104.17,102.14,102.67,100.8976,301500
"XEC","12/24/2013",103,103.58,102.55,103.45,101.6641,316800
"XEC","12/23/2013",104.19,105.4,102.35,102.91,101.1334,612200
"XEC","12/20/2013",103.09,104.9,102.38,103.8,102.0081,1075900
"XEC","12/19/2013",100.17,102.72,98.06,102.6,100.8288,704300
"XEC","12/18/2013",99.98,100.98,98.09,99.54,97.82159,791500
"XEC","12/17/2013",98.99,100.57,97.75,99.89,98.16553,810400
"XEC","12/16/2013",97.88,99.17,96.35,98.8,97.09438,814400
"XEC","12/13/2013",97.62,99.09,95.28,97.47,95.78732,887700
"XEC","12/12/2013",95.48,97.96,95.12,97.14,95.46302,667700
"XEC","12/11/2013",95.58,97.21,94.28,95.08,93.43859,1096600
"XEC","12/10/2013",94.57,98.46,94.11,96.48,94.81443,1213500
"XEC","12/09/2013",95.67,96.34,94.16,94.57,92.9374,1147900
"XEC","12/06/2013",100.8,100.8,95.62,95.95,94.29356,869100
"XEC","12/05/2013",97.34,99.75,97.11,98.79,97.08454,1101300
"XEC","12/04/2013",99.18,100.1,97.9,99.03,97.3204,874500
"XEC","12/03/2013",98.4,100.5,97.32,98.98,97.27126,1159300
"XEC","12/02/2013",96.18,99.73,95,98.65,96.94696,1777900
"XEC","11/29/2013",96.5,96.9,94.28,94.58,92.94722,813200
"XEC","11/27/2013",99.56,100.41,95.72,96.84,95.16821,820000
"XEC","11/26/2013",98.48,101.42,97.82,100.57,98.83382,625400
"XEC","11/25/2013",100.67,101,96.29,98.32,96.62266,769700
"XEC","11/22/2013",101.35,101.95,99.28,101.24,99.49224,1038500
"XEC","11/21/2013",98.6,99.69,97.14,99.38,97.66435,1048100
"XEC","11/20/2013",97.6,98.75,96.11,96.32,94.65717,1090100
"XEC","11/19/2013",98.01,98.11,95.79,96.57,94.90287,1788700
"XEC","11/18/2013",104.68,104.9,97.12,98,96.30818,1083000
"XEC","11/15/2013",103.62,104.49,101.91,104.29,102.4896,633800
"XEC","11/14/2013",102.68,103.7,101.55,102.73,100.9565,719100
"XEC","11/13/2013",101.05,103.64,100.25,103.14,101.3594,799700
"XEC","11/13/2013",0,0,0,0,0,0
"XEC","11/12/2013",104.82,104.82,100.68,101.26,99.37431,1090500
"XEC","11/11/2013",102.56,105.47,102.17,105.1,103.1428,880200
"XEC","11/08/2013",100.83,104.44,100.6,102.66,100.7482,947400
"XEC","11/07/2013",100.54,101.42,94.73,100.57,98.69716,3027400
"XEC","11/06/2013",112.98,113,99.85,100.45,98.57941,2434900
"XEC","11/05/2013",106.6,106.67,103.62,103.87,101.9357,1297500
"XEC","11/04/2013",104.04,107.37,103.98,106,104.0261,1538200
"XEC","11/01/2013",103.82,105.25,101.64,102.92,101.0034,1630800
"XEC","10/31/2013",106.3,107.29,103.71,105.35,103.3882,1401500
"XEC","10/30/2013",108.5,111.27,105.25,106.21,104.2321,1174400
"XEC","10/29/2013",105.62,108.26,105.61,108.15,106.136,896000
"XEC","10/28/2013",106.18,106.65,104.4,105.25,103.29,921200
"XEC","10/25/2013",105.47,107.74,104.88,105.82,103.8494,567300
"XEC","10/24/2013",102.69,105.87,101.33,105.5,103.5354,1013700
"XEC","10/23/2013",103.99,104,99.13,102.49,100.5814,2097200
"XEC","10/22/2013",109.42,111.15,106.13,106.38,104.399,1308200
"XEC","10/21/2013",110.77,113.03,108.84,108.99,106.9604,972700
"XEC","10/18/2013",106.78,110.66,106.51,110.43,108.3736,1065500
"XEC","10/17/2013",105.79,107.87,105.24,106.48,104.4971,1128400
"XEC","10/16/2013",102.29,106.02,102.28,105.9,103.9279,1147200
"XEC","10/15/2013",100.84,103.14,100.42,101.87,99.97296,1035600
"XEC","10/14/2013",98.67,101.05,98.67,101.01,99.12895,826000
"XEC","10/11/2013",98.03,100.45,98.03,99.6,97.74524,905900
"XEC","10/10/2013",96.67,99.17,96.02,98.52,96.68533,1062200
"XEC","10/09/2013",97.26,97.69,95.02,95.21,93.43698,1295300
"XEC","10/08/2013",99.77,100.09,97.26,97.3,95.48805,1245700
"XEC","10/07/2013",100.52,100.98,99.59,99.63,97.77466,526500
"XEC","10/04/2013",99.81,102.12,99.39,101.46,99.57059,856600
"XEC","10/03/2013",99.51,99.71,97.76,99.44,97.58821,1005700
"XEC","10/02/2013",98.63,100.87,97.06,99.57,97.71577,944900
"XEC","10/01/2013",96.54,99.8,96.15,98.96,97.11716,1127300
"XEC","09/30/2013",93.16,96.96,93.16,96.4,94.60483,549700
"XEC","09/27/2013",95.61,97.6,94.93,96.3,94.50668,513800
"XEC","09/26/2013",95.5,95.8,93.88,95.79,94.00617,634400
"XEC","09/25/2013",94.01,96.04,93.66,95.23,93.45662,864000
"XEC","09/24/2013",93.17,94.56,92.08,93.88,92.13174,828600
"XEC","09/23/2013",90.59,94.02,90.59,93.27,91.53309,906600
"XEC","09/20/2013",91.4,92,90.32,91.41,89.70776,1495800
"XEC","09/19/2013",91.5,92.14,91.34,91.63,89.92365,973500
"XEC","09/18/2013",91.1,92.09,90.49,91.5,89.79607,815200
"XEC","09/17/2013",90.55,91.34,90.03,91.11,89.41332,1072900
"XEC","09/16/2013",91.1,91.37,90.2,90.47,88.78524,622000
"XEC","09/13/2013",91.58,91.58,89.87,90.65,88.9619,566700
"XEC","09/12/2013",90.59,92.18,89.81,90.97,89.27593,878900
"XEC","09/11/2013",88.51,90.54,87.27,90.51,88.82451,821400
"XEC","09/10/2013",89.97,90,87.54,88.84,87.1856,612200
"XEC","09/09/2013",87.01,89.91,87.01,88.88,87.22485,992100
"XEC","09/06/2013",86.23,86.67,84.76,85.82,84.22186,753500
"XEC","09/05/2013",85.29,86.86,85.21,85.92,84.31998,699200
"XEC","09/04/2013",83.58,85.29,82.92,85.11,83.52506,578900
"XEC","09/03/2013",85.2,85.93,82.99,83.9,82.3376,1014500
"XEC","08/30/2013",84.87,84.9,83.49,83.81,82.24926,719000
"XEC","08/29/2013",85.04,85.38,83.97,84.75,83.17176,866000
"XEC","08/28/2013",82.86,86.28,82.86,85.63,84.0354,969900
"XEC","08/27/2013",81.89,85.03,81.64,82.87,81.32677,1600500
"XEC","08/26/2013",81.02,83.27,81.02,82.31,80.7772,752200
"XEC","08/23/2013",80.74,81.03,79.68,80.81,79.30514,389700
"XEC","08/22/2013",78.88,81.28,78.53,80.78,79.2757,420900
"XEC","08/21/2013",78.89,79.86,78.16,78.84,77.37183,674200
"XEC","08/20/2013",78.34,79.58,77.92,78.89,77.42089,744200
"XEC","08/19/2013",80.08,80.18,77.87,78.45,76.98907,636000
"XEC","08/16/2013",78.82,80.5,78.5,79.96,78.47097,734200
"XEC","08/15/2013",79.16,80.12,78.59,79.17,77.69567,694100
"XEC","08/14/2013",82.16,82.16,79.53,80.1,78.60835,719300
"XEC","08/13/2013",79.54,79.96,78.31,79.65,78.16675,499100
"XEC","08/13/2013",0,0,0,0,0,0
"XEC","08/12/2013",79.78,80.62,79.12,79.63,78.00973,714300
"XEC","08/09/2013",79.6,80.82,79.36,80.49,78.85219,561600
"XEC","08/08/2013",78.75,80.15,78.29,79.78,78.15667,746800
"XEC","08/07/2013",80.51,82.19,77.22,78.51,76.91251,1573100
"XEC","08/06/2013",79.14,79.56,78.23,79.47,77.85297,1262800
"XEC","08/05/2013",79.62,80.39,78.67,79.09,77.4807,770400
"XEC","08/02/2013",80.1,80.31,79.11,79.76,78.13708,724800
"XEC","08/01/2013",77.52,81.87,77.4,80.48,78.84242,1406900
"XEC","07/31/2013",74.56,78.9,74.56,76.43,74.87482,1098500
"XEC","07/30/2013",75.64,76.03,75.19,75.89,74.34583,458900
"XEC","07/29/2013",75.03,75.7,74.55,75.69,74.14989,592000
"XEC","07/26/2013",75.5,76.32,74.81,75.44,73.90499,640400
"XEC","07/25/2013",74.64,76.13,74.64,75.48,73.94418,689000
"XEC","07/24/2013",75.32,75.32,74.22,74.44,72.92534,1006200
"XEC","07/23/2013",75,75.48,74.74,75.02,73.49353,714700
"XEC","07/22/2013",75.62,75.9,74.55,74.86,73.33678,521800
"XEC","07/19/2013",74.46,75.97,73.91,75.92,74.37521,444300
"XEC","07/18/2013",73.26,74.53,72.97,74.53,73.01349,810500
"XEC","07/17/2013",72.7,73.44,72.56,72.9,71.41666,547900
"XEC","07/16/2013",72.24,72.71,71.81,72.7,71.22071,815000
"XEC","07/15/2013",72.32,72.71,71.78,72.24,70.77009,1376100
"XEC","07/12/2013",71.08,72.39,70.82,72.33,70.85827,814400
"XEC","07/11/2013",71.37,72.54,70.27,71.28,69.82962,778400
"XEC","07/10/2013",70.5,70.87,69.65,70.4,68.96754,523300
"XEC","07/09/2013",69.37,70.68,68.89,70.18,68.75201,523200
"XEC","07/08/2013",69.43,69.93,68.79,69.09,67.68419,456800
"XEC","07/05/2013",68.2,69.47,67.3,69.43,68.01727,551600
"XEC","07/03/2013",67.85,68.16,67.02,67.73,66.35186,380000
"XEC","07/02/2013",66.7,67.88,66.14,67.49,66.11674,950100
"XEC","07/01/2013",65.73,66.96,65.17,66.37,65.01953,895900
"XEC","06/28/2013",65.4,66.27,64.99,64.99,63.66759,1018000
"XEC","06/27/2013",67.98,68.6,65.5,65.57,64.2358,707300
"XEC","06/26/2013",68.52,68.88,67.32,67.46,66.08733,1258800
"XEC","06/25/2013",65.43,68.27,65.22,68.24,66.85147,1534100
"XEC","06/24/2013",65.31,65.56,62.98,64.72,63.40311,1610700
"XEC","06/21/2013",66.71,67.4,65.23,65.94,64.59827,2010200
"XEC","06/20/2013",69.33,69.42,65.99,66.94,65.57793,1645800
"XEC","06/19/2013",72.41,73.06,70.86,71.16,69.71207,802900
"XEC","06/18/2013",72.53,73.23,72.1,72.38,70.90725,1047700
"XEC","06/17/2013",73.31,73.69,72.28,72.84,71.35787,418900
"XEC","06/14/2013",71.89,72.82,71.36,72.38,70.90725,1044000
"XEC","06/13/2013",71.07,72.09,70.8,71.77,70.30968,843700
"XEC","06/12/2013",73.4,73.4,70.85,71.11,69.66306,564000
"XEC","06/11/2013",73.52,73.8,72.21,72.62,71.14234,567400
"XEC","06/10/2013",75.37,75.44,74.28,74.75,73.22901,806100
"XEC","06/07/2013",72.93,75.34,72.78,75.15,73.62088,783900
"XEC","06/06/2013",71.03,72.67,71.02,72.59,71.11296,943800
"XEC","06/05/2013",70.84,71.25,70.47,70.76,69.32022,494600
"XEC","06/04/2013",69.93,71.06,69.69,70.87,69.42797,635600
"XEC","06/03/2013",70.37,70.63,69.15,70.12,68.69322,896700
"XEC","05/31/2013",72.13,72.3,70.12,70.14,68.71281,553000
"XEC","05/30/2013",73.09,73.09,71.98,72.59,71.11296,442200
"XEC","05/29/2013",73.25,74.3,72.66,73.12,71.63219,600300
"XEC","05/28/2013",72.95,74.24,69.25,73.54,72.04363,1082500
"XEC","05/24/2013",70.78,72.48,70.12,72.31,70.83865,815500
"XEC","05/23/2013",68.41,71.69,67.92,71.62,70.1627,1072200
"XEC","05/22/2013",70.64,71.96,68.52,68.76,67.36089,978000
"XEC","05/21/2013",71.5,72.08,70.38,70.55,69.11448,582200
"XEC","05/20/2013",70.89,71.99,70.68,71.53,70.07452,1345600
"XEC","05/17/2013",69.3,70.66,69.22,70.64,69.20264,1011700
"XEC","05/16/2013",69.94,70.13,68.75,68.82,67.41968,897900
"XEC","05/15/2013",70.41,70.96,69.29,69.86,68.43853,907100
"XEC","05/14/2013",70.29,71.2,70.11,70.95,69.50633,1352500
"XEC","05/13/2013",70.2,70.72,69.65,70.25,68.82059,779600
"XEC","05/13/2013",0,0,0,0,0,0
"XEC","05/10/2013",71.37,71.51,69.66,70.53,68.95773,937200
"XEC","05/09/2013",72.8,73.29,71.42,71.74,70.14075,763100
"XEC","05/08/2013",72.9,73.55,71.92,72.91,71.2847,1020600
"XEC","05/07/2013",74.89,76.61,72.75,72.84,71.21622,2042000
"XEC","05/06/2013",73.86,75.26,73.86,75,73.32809,958600
"XEC","05/03/2013",72.64,74.25,72.64,74.03,72.37968,756400
"XEC","05/02/2013",72.1,72.54,70.88,71.9,70.29721,934300
"XEC","05/01/2013",72.53,73.04,71.39,71.98,70.37541,652600
"XEC","04/30/2013",72.55,73.26,72.13,73.18,71.54865,711400
"XEC","04/29/2013",71.12,73.35,69.59,72.69,71.06958,627600
"XEC","04/26/2013",71.92,71.95,69.46,70.72,69.1435,958800
"XEC","04/25/2013",72.7,74.3,71.88,71.98,70.37541,862900
"XEC","04/24/2013",70.84,73.11,70.84,72.38,70.76649,565800
"XEC","04/23/2013",71.49,71.49,69.94,70.62,69.04572,934800
"XEC","04/22/2013",70.25,71.59,69.08,71.24,69.65189,516300
"XEC","04/19/2013",71,71.13,68.91,69.89,68.332,769900
"XEC","04/18/2013",69.28,71.73,68.17,70.67,69.0946,1032200
"XEC","04/17/2013",69.69,69.73,67.36,69.28,67.73559,845300
"XEC","04/16/2013",69.06,70.2,67.55,70.11,68.5471,699100
"XEC","04/15/2013",71.72,71.72,67.53,67.87,66.35704,1025300
"XEC","04/12/2013",72.35,72.68,70.6,72.33,70.71761,924200
"XEC","04/11/2013",72.63,73.19,71.78,73.07,71.44112,544500
"XEC","04/10/2013",72.85,73.25,71.81,72.53,70.91315,724000
"XEC","04/09/2013",71.97,72.99,70.88,72.8,71.17713,713200
"XEC","04/08/2013",71.01,71.85,70.43,71.67,70.07233,604100
"XEC","04/05/2013",68.71,71.58,68.43,70.89,69.30969,814300
"XEC","04/04/2013",68.65,69.75,68.05,69.72,68.16579,880400
"XEC","04/03/2013",71.82,72.4,68.43,68.85,67.31516,1085500
"XEC","04/02/2013",74.04,74.22,71.06,71.53,69.93544,813200
"XEC","04/01/2013",74.03,74.67,73.08,73.56,71.92019,763600
"XEC","03/28/2013",75.75,76.18,75.16,75.44,73.75829,628700
"XEC","03/27/2013",75.07,76.24,75.07,75.74,74.05159,524700
"XEC","03/26/2013",76.45,76.54,75.6,76.08,74.384,733500
"XEC","03/25/2013",75.88,76.67,75.35,75.97,74.27647,731900
"XEC","03/22/2013",75.03,75.92,74.91,75.89,74.19824,1117100
"XEC","03/21/2013",74.37,75.14,73.44,74.29,72.6339,1061200
"XEC","03/20/2013",76.4,76.54,74,75,73.32809,1608600
"XEC","03/19/2013",78.36,78.43,76.41,76.88,75.16618,730900
"XEC","03/18/2013",77.38,79.69,76.61,78.16,76.41764,1012100
"XEC","03/15/2013",77.16,79.23,76.88,78.1,76.35899,2035800
"XEC","03/14/2013",74.17,77,74.11,76.86,75.14661,1138000
"XEC","03/13/2013",72.12,74.71,72,74.03,72.37968,1277200
"XEC","03/12/2013",71.47,72.53,71.15,72.12,70.51228,861200
"XEC","03/11/2013",70.25,71.71,69.44,71.65,70.05276,764600
"XEC","03/08/2013",67.88,70.75,67.57,70.61,69.03593,1168200
"XEC","03/07/2013",65.1,67.57,65,67.49,65.9855,711400
"XEC","03/06/2013",65.18,65.49,64.65,65.01,63.56078,842700
"XEC","03/05/2013",64.28,65.23,64.16,64.86,63.41413,837200
"XEC","03/04/2013",65.29,65.44,63.12,63.67,62.25065,934200
"XEC","03/01/2013",66.87,67.04,65.1,65.47,64.01054,1057100
"XEC","02/28/2013",68.11,68.46,66.95,67.31,65.80952,826200
"XEC","02/27/2013",66.51,68.6,66.51,68.1,66.5819,767700
"XEC","02/26/2013",66.98,67.18,65.47,67,65.50643,1299700
"XEC","02/25/2013",69.34,69.46,66.52,66.53,65.04691,934400
"XEC","02/22/2013",69.94,70.36,68.55,68.84,67.30541,844600
"XEC","02/21/2013",68.52,68.9,66.56,68.81,67.27608,1917600
"XEC","02/20/2013",67.02,68.59,66.95,67.33,65.82907,1752600
"XEC","02/19/2013",66.48,67.09,64.95,66.95,65.45753,2306500
