"symbol","date","open","high","low","close","adjclose","volume"
"A","12/31/2014",41.39,41.79,40.9,40.94,39.70263,1421100
"A","12/30/2014",41.21,41.59,41.14,41.37,40.11963,1323500
"A","12/29/2014",41.36,41.57,41.31,41.33,40.08084,975900
"A","12/26/2014",41.34,41.57,41.29,41.38,40.12933,588000
"A","12/24/2014",41.42,41.53,40.96,41.13,39.88688,1426900
"A","12/23/2014",41.98,42.01,41.36,41.37,40.11963,1867200
"A","12/22/2014",41.38,41.88,41.38,41.88,40.61422,1585900
"A","12/19/2014",40.9,41.43,40.86,41.38,40.12933,3736300
"A","12/18/2014",40.48,40.8,40.11,40.7,39.46988,3104100
"A","12/17/2014",38.34,39.99,38.09,39.76,38.55829,3502700
"A","12/16/2014",38.3,39.48,38.1,38.47,37.30727,3842600
"A","12/15/2014",40.07,40.17,38.65,38.68,37.51093,4507400
"A","12/12/2014",40.2,40.62,39.71,39.72,38.5195,2333400
"A","12/11/2014",40.5,41.18,40.49,40.62,39.3923,1640900
"A","12/10/2014",41.36,41.36,40.31,40.34,39.12077,2650000
"A","12/09/2014",40.99,41.43,40.98,41.4,40.14872,1798100
"A","12/08/2014",42.23,42.51,41.42,41.51,40.25539,1425800
"A","12/05/2014",42.23,42.49,42.08,42.3,41.02151,1019500
"A","12/04/2014",42.15,42.68,42.02,42.27,40.99243,1345000
"A","12/03/2014",41.98,42.37,41.82,42.23,40.95364,2250300
"A","12/02/2014",41.6,42.1,41.55,41.98,40.71119,2014400
"A","12/01/2014",42.69,42.73,41.58,41.59,40.33298,4411200
"A","11/28/2014",42.74,42.99,42.59,42.74,41.44822,1091800
"A","11/26/2014",42.68,42.87,42.53,42.74,41.44822,1752700
"A","11/25/2014",42.33,42.87,42.31,42.71,41.41913,2713900
"A","11/24/2014",42.44,42.5,41.99,42.25,40.97304,2122400
"A","11/21/2014",41.75,42.38,41.7,42.25,40.97304,5306200
"A","11/20/2014",40.56,41.43,40.56,41.26,40.01296,2303800
"A","11/19/2014",40.82,41.33,40.7,40.8,39.56686,4012100
"A","11/18/2014",40.25,41.16,40.05,40.8,39.56686,5891400
"A","11/17/2014",41.57,41.7,41.21,41.24,39.99356,2697200
"A","11/14/2014",41.36,41.65,41.29,41.57,40.31358,1331300
"A","11/13/2014",41.55,41.74,41.26,41.45,40.19722,1805500
"A","11/12/2014",41.3,41.54,41.02,41.45,40.19722,2504300
"A","11/11/2014",41.52,42.11,41.34,41.66,40.40087,2163800
"A","11/10/2014",40.98,41.55,40.88,41.53,40.2748,2583900
"A","11/07/2014",41.39,41.48,40.86,40.93,39.69293,2458700
"A","11/06/2014",40.39,41.41,40.26,41.37,40.11963,2968300
"A","11/05/2014",40.61,40.67,39.98,40.13,38.91711,2341400
"A","11/04/2014",40.26,40.83,39.84,40.18,38.9656,5765200
"A","11/03/2014",39.9,41.24,39.49,40.84,39.60565,4559800
"A","11/03/2014",0,0,0,0,0,0
"A","10/31/2014",39.49213,39.63519,39.23462,39.5422,38.34707,2918700
"A","10/30/2014",38.56223,38.89843,38.44778,38.85551,37.68114,2883700
"A","10/29/2014",39.04864,39.11302,38.7196,38.98426,37.806,2074200
"A","10/28/2014",38.71245,39.10587,38.54077,39.09871,37.91698,2394700
"A","10/27/2014",38.58369,38.70529,38.34048,38.61946,37.45222,1545200
"A","10/24/2014",38.41202,38.70529,38.27611,38.66238,37.49385,2108400
"A","10/23/2014",38.33333,38.77682,38.33333,38.41917,37.25799,2453000
"A","10/22/2014",38.46209,38.52647,37.90415,37.94707,36.80015,3021200
"A","10/21/2014",37.81116,38.64807,37.81116,38.62661,37.45916,3120100
"A","10/20/2014",37.24607,37.46781,36.38054,37.44635,36.31458,6909100
