"symbol","date","open","high","low","close","adjclose","volume"
"AAPL","12/31/2014",112.82,113.13,110.21,110.38,104.4884,41403400
"AAPL","12/30/2014",113.64,113.92,112.11,112.52,106.5141,29881500
"AAPL","12/29/2014",113.79,114.77,113.7,113.91,107.83,27598900
"AAPL","12/26/2014",112.1,114.52,112.01,113.99,107.9057,33721000
"AAPL","12/24/2014",112.58,112.71,112.01,112.01,106.0314,14479600
"AAPL","12/23/2014",113.23,113.33,112.46,112.54,106.5331,26028400
"AAPL","12/22/2014",112.16,113.49,111.97,112.94,106.9117,45167500
"AAPL","12/19/2014",112.26,113.24,111.66,111.78,105.8136,88429800
"AAPL","12/18/2014",111.87,112.65,110.66,112.65,106.6372,59006200
"AAPL","12/17/2014",107.12,109.84,106.82,109.41,103.5702,53411800
"AAPL","12/16/2014",106.37,110.16,106.26,106.75,101.0521,60790700
"AAPL","12/15/2014",110.7,111.6,106.35,108.23,102.4531,67218100
"AAPL","12/12/2014",110.46,111.87,109.58,109.73,103.8731,56028100
"AAPL","12/11/2014",112.26,113.8,111.34,111.62,105.6622,41401700
"AAPL","12/10/2014",114.41,114.85,111.54,111.95,105.9746,44565300
"AAPL","12/09/2014",110.19,114.3,109.35,114.12,108.0288,60208000
"AAPL","12/08/2014",114.1,114.65,111.62,112.4,106.4006,57664900
"AAPL","12/05/2014",115.99,116.08,114.64,115,108.8618,38318900
"AAPL","12/04/2014",115.77,117.2,115.29,115.49,109.3256,42044500
"AAPL","12/03/2014",115.75,116.35,115.11,115.93,109.7421,43063400
"AAPL","12/02/2014",113.5,115.75,112.75,114.63,108.5115,59348900
"AAPL","12/01/2014",118.81,119.25,111.27,115.07,108.928,83814000
"AAPL","11/28/2014",119.27,119.4,118.05,118.93,112.582,24814400
"AAPL","11/26/2014",117.94,119.1,117.83,119,112.6483,40768300
"AAPL","11/25/2014",119.07,119.75,117.45,117.6,111.323,68840400
"AAPL","11/24/2014",116.85,118.77,116.62,118.63,112.298,47450800
"AAPL","11/21/2014",117.51,117.57,116.03,116.47,110.2533,57179300
"AAPL","11/20/2014",114.91,116.86,114.85,116.31,110.1019,43395500
"AAPL","11/19/2014",115.44,115.74,113.8,114.67,108.5494,41869200
"AAPL","11/18/2014",113.94,115.69,113.89,115.47,109.3067,44224000
"AAPL","11/17/2014",114.27,117.28,113.3,113.99,107.9057,46746700
"AAPL","11/14/2014",113.15,114.19,111.21,114.18,108.0856,44063600
"AAPL","11/13/2014",111.8,113.45,111.6,112.82,106.7981,59522900
"AAPL","11/12/2014",109.38,111.43,109.37,111.25,105.3119,46942400
"AAPL","11/11/2014",108.7,109.75,108.4,109.7,103.8447,27442300
"AAPL","11/10/2014",109.02,109.33,108.67,108.83,103.0211,27195500
"AAPL","11/07/2014",108.75,109.32,108.55,109.01,103.1915,33691500
"AAPL","11/06/2014",108.6,108.79,107.8,108.7,102.898,34968500
"AAPL","11/06/2014",0,0,0,0,0,0
"AAPL","11/05/2014",109.1,109.3,108.13,108.86,102.6046,37435900
"AAPL","11/04/2014",109.36,109.49,107.72,108.6,102.3595,41574400
"AAPL","11/03/2014",108.22,110.3,108.01,109.4,103.1136,52282600
