"symbol","date","open","high","low","close","adjclose","volume"
"ADI","12/31/2014",55.94,56.41,55.49,55.52,51.421,1746800
"ADI","12/30/2014",55.84,56.09,55.32,55.56,51.45805,1677700
"ADI","12/29/2014",56.2,56.38,55.74,56.08,51.93965,1777400
"ADI","12/26/2014",56.8,56.98,56.19,56.28,52.12489,1555500
"ADI","12/24/2014",56.9,56.98,56.56,56.71,52.52314,1262100
"ADI","12/23/2014",57.5,57.89,56.51,56.66,52.47684,3065300
"ADI","12/22/2014",56.88,57.5,56.77,57.49,53.24555,1008600
"ADI","12/19/2014",57.03,57.36,56.42,56.75,52.56018,3194100
"ADI","12/18/2014",56.82,57.06,56.02,57.06,52.8473,2337600
"ADI","12/17/2014",54.85,56.09,54.22,55.99,51.8563,2358300
"ADI","12/16/2014",55.43,56.03,54.73,54.78,50.73563,2362100
"ADI","12/15/2014",56.01,56.81,55.31,55.42,51.32838,2000700
"ADI","12/12/2014",55.52,56.39,55.43,55.92,51.79146,3175800
"ADI","12/11/2014",57.99,57.99,55.62,56.25,52.0971,2559400
"ADI","12/10/2014",56.36,56.65,55.42,55.64,51.53214,2177800
"ADI","12/09/2014",55.83,56.39,55.43,56.37,52.20824,2445900
"ADI","12/08/2014",56.95,57.34,55.82,56.18,52.03227,2124000
"ADI","12/05/2014",56.75,57.38,56.31,57.34,53.10662,2266400
"ADI","12/04/2014",56.46,56.7,55.99,56.62,52.43978,3137500
"ADI","12/03/2014",54.95,56.88,54.95,56.51,52.33791,6303000
"ADI","12/03/2014",0,0,0,0,0,0
"ADI","12/02/2014",54.54,55.25,54.28,55.21,50.7912,2182200
"ADI","12/01/2014",54.48,54.94,54.19,54.65,50.27602,2463400
"ADI","11/28/2014",54.95,54.95,54.32,54.64,50.26682,1336800
"ADI","11/26/2014",52.53,54.69,52.51,54.56,50.19322,5683400
"ADI","11/25/2014",51.74,51.98,51.5,51.71,47.57132,2500300
"ADI","11/24/2014",51.96,51.96,51.27,51.8,47.65413,1615600
"ADI","11/21/2014",51.95,51.95,51.15,51.65,47.51613,1638800
"ADI","11/20/2014",50.35,51.2,50.35,51.17,47.07455,1762700
"ADI","11/19/2014",51.42,51.44,50.5,50.75,46.68816,1795000
"ADI","11/18/2014",50.31,51.27,50.23,51.26,47.15734,2333300
"ADI","11/17/2014",50.34,50.49,49.81,50.35,46.32017,1662900
"ADI","11/14/2014",50.34,50.69,49.84,50.62,46.56857,1509900
"ADI","11/13/2014",50.43,50.64,49.95,50.21,46.19138,1113400
