"symbol","date","open","high","low","close","adjclose","volume"
"AGN","12/31/2014",259.88,261.88,257.34,257.41,253.9947,1396200
"AGN","12/30/2014",259.66,261.67,258.16,259.57,256.1261,1261800
"AGN","12/29/2014",256.73,261.21,255.8,260.22,256.7674,1437600
"AGN","12/26/2014",254.68,258.15,253.87,257.09,253.679,968700
"AGN","12/24/2014",256.28,258.66,254.07,254.2,250.8273,1169400
"AGN","12/23/2014",261.75,263.2,252.02,255.88,252.485,2613500
"AGN","12/22/2014",264.38,265.59,259.02,261.66,258.1883,1892900
"AGN","12/19/2014",263.75,267.61,261.79,265.39,261.8688,3528600
"AGN","12/18/2014",264.7,268.37,262.19,263.75,260.2506,3315500
"AGN","12/17/2014",257.76,261.2,254.56,260.9,257.4384,2860900
"AGN","12/16/2014",263,263.61,256.52,256.52,253.1165,3320800
"AGN","12/15/2014",259.5,264.82,259.5,263,259.5105,3061600
"AGN","12/12/2014",259.3,262.39,258.5,259,255.5636,2822300
"AGN","12/11/2014",259.66,265.1,259.66,263,259.5105,2732600
"AGN","12/10/2014",262.26,263.73,258.68,258.81,255.3761,2410100
"AGN","12/09/2014",260.89,263.88,259.8,263.73,260.2309,1977900
"AGN","12/08/2014",266.14,268.29,262.83,265.57,262.0465,2226500
"AGN","12/05/2014",267.46,268.6,264.53,266.06,262.5299,2491600
"AGN","12/04/2014",266.35,267.97,265.78,267.5,263.9509,2373100
"AGN","12/03/2014",264.24,266.45,262.86,265.84,262.3129,2212600
"AGN","12/02/2014",260.6,265.11,260.02,264.21,260.7045,2367900
"AGN","12/01/2014",269.34,269.34,262.64,263.07,259.5796,2749000
"AGN","11/28/2014",270.7,272.29,269.64,270.61,267.0196,1175400
"AGN","11/26/2014",271.63,272.75,267.17,270.47,266.8814,2087600
"AGN","11/25/2014",269.35,271.51,266.57,270.31,266.7235,3898300
"AGN","11/24/2014",261.28,268.34,261.06,266.88,263.3391,4185400
"AGN","11/21/2014",262.83,262.83,257.02,259.75,256.3036,4512500
"AGN","11/20/2014",264.58,267.2,257.35,258.49,255.0603,5876100
"AGN","11/19/2014",269,270.34,264.02,266.04,262.5102,6657400
"AGN","11/18/2014",249.86,269.66,249.86,269.6,266.023,13029900
"AGN","11/18/2014",0,0,0,0,0,0
"AGN","11/17/2014",243.34,255.51,243,247.94,244.601,16697900
"AGN","11/14/2014",242.31,245.49,241.69,243.77,240.4872,1836500
"AGN","11/13/2014",241.97,246.25,240.84,241.63,238.376,2198400
"AGN","11/12/2014",242.63,249.76,239.28,240.62,237.3796,3062100
"AGN","11/11/2014",245.58,246.82,240.4,243.63,240.3491,2111300
"AGN","11/10/2014",246.11,247.85,242.7,245.73,242.4208,1615700
"AGN","11/07/2014",250,250.05,243.61,245.91,242.5983,2038200
"AGN","11/06/2014",250.2,254.13,248.22,250.38,247.0082,3833900
"AGN","11/05/2014",251.75,254.41,244.14,247.91,244.5714,3242600
"AGN","11/04/2014",246.73,248.85,243.25,245.32,242.0163,2570100
"AGN","11/03/2014",242.39,249.35,242.33,247.5,244.1669,2399500
"AGN","10/31/2014",247,247.38,241.02,242.74,239.4711,1744200
"AGN","10/30/2014",238.36,243.87,237.36,243.21,239.9347,1695000
"AGN","10/29/2014",239.13,240.71,236.25,238.78,235.5644,1592300
"AGN","10/28/2014",240.4,240.87,237.25,239.03,235.811,1707000
"AGN","10/27/2014",240,240.48,235.8,238.43,235.2191,1257400
"AGN","10/24/2014",237.16,240.85,236.19,240.33,237.0935,1363200
"AGN","10/23/2014",233.72,239.18,233.1,237.21,234.0155,1889900
"AGN","10/22/2014",232.08,235.83,230.46,231.41,228.2936,1648300
"AGN","10/21/2014",228.79,233.5,227.06,232.13,229.0039,1689100
"AGN","10/20/2014",225.44,226.99,223.08,226.67,223.6174,1699500
"AGN","10/17/2014",224.28,229.98,222.32,224.73,221.7036,2345300
"AGN","10/16/2014",214.34,224.78,210.95,222.07,219.0794,2779900
"AGN","10/15/2014",213.94,221.11,208.64,217.24,214.3145,5092300
"AGN","10/14/2014",224.38,226.39,215.12,222.07,219.0794,4454100
"AGN","10/13/2014",236.45,238.32,221.55,222.8,219.7996,4663900
"AGN","10/10/2014",242.13,243.69,236.48,236.62,233.4335,2243600
"AGN","10/09/2014",246.75,248.56,242.01,242.28,239.0172,2209300
"AGN","10/08/2014",243.55,247.5,240.02,246.65,243.3284,2752700
"AGN","10/07/2014",240.67,247.99,240.44,243.39,240.1123,3455800
"AGN","10/06/2014",245.83,246.82,242.9,243.95,240.6647,1730300
"AGN","10/03/2014",240.11,246.9,238,246.07,242.7562,4055900
"AGN","10/02/2014",238.73,240.38,235.24,236,232.8218,2235400
"AGN","10/01/2014",241.2,242.5,236.13,238.48,235.2684,2045300
"AGN","09/30/2014",244.02,244.53,240.06,241.28,238.0307,1666200
"AGN","09/29/2014",243.5,246.83,242.16,244.39,241.0988,1734000
"AGN","09/26/2014",245.65,245.72,242.87,244.64,241.3454,1730400
"AGN","09/25/2014",248,249.94,244,244.53,241.237,1732200
"AGN","09/24/2014",241.85,248.5,238.51,248,244.6602,2994000
"AGN","09/23/2014",231.88,248.81,231.03,240.85,237.6065,6208900
"AGN","09/22/2014",239.84,240.26,234.4,235.62,232.4469,2595300
"AGN","09/19/2014",239.49,245.5,236.41,241.81,238.5536,3677000
"AGN","09/18/2014",239.46,240.34,236.41,237.93,234.7258,1616400
"AGN","09/17/2014",238.78,238.78,233.53,237.09,233.8971,2237700
"AGN","09/16/2014",234.6,239.58,234,238.76,235.5446,1934300
"AGN","09/15/2014",233.62,235.8,232.51,234.84,231.6774,1609500
"AGN","09/12/2014",232.14,239.15,231.02,234.38,231.2236,2611000
"AGN","09/11/2014",230.88,233.37,229.79,232.74,229.6057,1180500
"AGN","09/10/2014",230.15,231.82,229.51,231.25,228.1358,2204800
"AGN","09/09/2014",233.12,234,231.13,232.61,229.4774,1617400
"AGN","09/08/2014",228.84,233.34,228.84,232.97,229.8326,1408300
"AGN","09/05/2014",229.85,231.29,227.02,231.29,228.1752,1304800
"AGN","09/04/2014",229.7,232.39,228.55,229.86,226.7645,1794700
"AGN","09/03/2014",230.58,230.86,226.8,228.55,225.4722,1065100
"AGN","09/02/2014",227,229.41,225.26,229.07,225.9852,1511900
"AGN","08/29/2014",227.02,227.23,225.5,226.98,223.9233,845700
"AGN","08/28/2014",224.97,227.06,224.81,226.59,223.5385,678000
"AGN","08/27/2014",227.5,228.21,224.94,226.31,223.2623,1091600
"AGN","08/26/2014",227.34,228.62,226,227.72,224.6533,1264400
"AGN","08/25/2014",227.81,229.61,226,226.61,223.5583,1049400
"AGN","08/22/2014",226.64,227.85,224.8,227.31,224.2488,1122000
"AGN","08/21/2014",227,228.12,223.52,226.25,223.2031,2144200
