"symbol","date","open","high","low","close","adjclose","volume"
"ALGN","12/31/2014",56.42,57.36,55.85,55.91,55.91,221800
"ALGN","12/30/2014",56.3,56.85,56.18,56.36,56.36,163900
"ALGN","12/29/2014",56.57,57.04,56.29,56.33,56.33,272400
"ALGN","12/26/2014",57.33,57.52,56.49,56.66,56.66,146600
"ALGN","12/24/2014",57,57.64,56.89,57.01,57.01,142000
"ALGN","12/23/2014",57.32,57.35,55.8,56.84,56.84,322000
"ALGN","12/22/2014",56.74,57.33,56.21,56.88,56.88,299700
"ALGN","12/19/2014",56.27,57.21,55.89,56.83,56.83,736400
"ALGN","12/18/2014",56.44,56.64,55.55,56.1,56.1,494800
"ALGN","12/17/2014",54.84,55.57,54.01,55.45,55.45,639500
"ALGN","12/16/2014",55.69,56.13,54.87,55.08,55.08,423400
"ALGN","12/15/2014",56.07,56.11,54.99,55.41,55.41,539000
"ALGN","12/12/2014",55.9,56.75,55.58,55.73,55.73,446900
"ALGN","12/11/2014",56.96,57.67,56.44,56.46,56.46,460900
"ALGN","12/10/2014",57.52,57.7,56.51,56.57,56.57,692200
"ALGN","12/09/2014",56,57.72,55.56,57.63,57.63,532200
"ALGN","12/08/2014",56.6,57.35,56.6,56.84,56.84,619800
"ALGN","12/05/2014",56.3,56.87,56.11,56.79,56.79,467900
"ALGN","12/04/2014",56.39,56.74,56,56.33,56.33,658100
"ALGN","12/03/2014",57.39,57.39,55.96,56.32,56.32,938200
"ALGN","12/02/2014",56,57.13,55.76,57,57,505000
"ALGN","12/01/2014",56.74,56.81,55.84,55.85,55.85,647100
"ALGN","11/28/2014",57.34,57.58,56.76,56.9,56.9,646600
"ALGN","11/26/2014",56.95,57.38,56.85,57.34,57.34,867600
"ALGN","11/25/2014",57.54,57.71,56.58,57.3,57.3,1038400
"ALGN","11/24/2014",55.64,57.02,55.55,56.98,56.98,593900
"ALGN","11/21/2014",55.66,56.01,55.18,55.66,55.66,580200
"ALGN","11/20/2014",54.01,55.13,53.66,55.13,55.13,423000
"ALGN","11/19/2014",54.58,54.58,53.89,54.42,54.42,374600
"ALGN","11/18/2014",54.4,55.11,54.11,54.76,54.76,395700
"ALGN","11/17/2014",54.37,54.91,54.07,54.25,54.25,402700
"ALGN","11/14/2014",54.62,54.92,54.08,54.27,54.27,319700
"ALGN","11/13/2014",54.81,54.95,54.27,54.71,54.71,1042000
"ALGN","11/12/2014",53.11,54.91,53.11,54.86,54.86,920000
"ALGN","11/11/2014",52.28,53.6,52.01,53.57,53.57,534500
"ALGN","11/10/2014",52.63,53.21,52.01,52.37,52.37,585800
"ALGN","11/07/2014",52.77,52.8,52.14,52.39,52.39,611000
