"symbol","date","open","high","low","close","adjclose","volume"
"AMG","12/31/2014",214.65,215.24,212.11,212.24,211.2332,244300
"AMG","12/30/2014",214.03,214.92,212.91,213.33,212.318,282900
"AMG","12/29/2014",213.5,215.43,212.53,214.19,213.174,176200
"AMG","12/26/2014",213.83,215.52,213.56,213.76,212.746,177500
"AMG","12/24/2014",214.11,215.77,212.92,213.8,212.7858,117200
"AMG","12/23/2014",214.54,216.49,213.97,214.07,213.0545,216800
"AMG","12/22/2014",212.99,213.8,210.96,213.76,212.746,284900
"AMG","12/19/2014",213.65,214.09,208.07,211.16,210.1583,650000
"AMG","12/18/2014",206.7,212.26,206,212.13,211.1237,571300
"AMG","12/17/2014",191.6,202.94,191.17,202.54,201.5792,961600
"AMG","12/16/2014",191.44,193.98,189.25,189.53,188.6309,623500
"AMG","12/15/2014",196.62,198.27,191.86,193.26,192.3432,410400
"AMG","12/12/2014",202.28,203,194.77,194.8,193.8759,567500
"AMG","12/11/2014",203.83,205.51,201.8,203.82,202.8531,567100
"AMG","12/10/2014",205.8,206.83,201.69,201.98,201.0219,420000
"AMG","12/09/2014",203.19,206.31,202.46,206.09,205.1124,320900
"AMG","12/08/2014",206.58,209.25,205.38,206.29,205.3114,469200
"AMG","12/05/2014",203.53,206.24,203.12,206,205.0228,275200
"AMG","12/04/2014",203.65,203.65,201.39,202.85,201.8877,296300
"AMG","12/03/2014",201.27,203.89,200.88,203.63,202.664,395900
"AMG","12/02/2014",201.61,203.04,200.93,202.13,201.1712,572300
"AMG","12/01/2014",201.94,203.13,198.75,201.94,200.9821,523000
"AMG","11/28/2014",203.92,204.38,202.61,203.59,202.6242,171400
"AMG","11/26/2014",203.71,204.45,202.37,203.17,202.2062,386800
"AMG","11/25/2014",203.19,204.03,200.8,203.56,202.5944,399400
"AMG","11/24/2014",202.06,203.53,200.19,203.32,202.3555,332500
"AMG","11/21/2014",200.73,202,199.6,200.94,199.9868,362600
"AMG","11/20/2014",196.29,200.16,196.2,198.93,197.9863,254900
"AMG","11/19/2014",196.82,198.31,195.83,197.95,197.011,211800
"AMG","11/18/2014",195.39,198.24,195.39,197.76,196.8219,252800
"AMG","11/17/2014",196.61,196.61,194.63,195.46,194.5328,180500
"AMG","11/14/2014",198.74,199.81,196.77,196.94,196.0058,180300
"AMG","11/13/2014",200.29,201.15,197.78,199.01,198.0659,261900
