"symbol","date","open","high","low","close","adjclose","volume"
"AVB","12/31/2014",166.76,167.61,163.2,163.39,150.4777,552200
"AVB","12/30/2014",166.95,167.91,165.86,166.16,153.0288,548700
"AVB","12/29/2014",166.24,167.56,165.46,167.44,154.2077,605600
"AVB","12/29/2014",0,0,0,0,0,0
"AVB","12/26/2014",167.3,167.79,166.76,167.44,153.1393,394900
"AVB","12/24/2014",167.91,168.59,166.47,166.95,152.6912,292500
"AVB","12/23/2014",169.63,170.14,167.36,168.22,153.8527,1012500
"AVB","12/22/2014",166.29,169.32,166.28,169.2,154.749,750300
"AVB","12/19/2014",166.6,166.67,164.97,165.6,151.4565,1650100
"AVB","12/18/2014",165.75,166.62,164.99,165.89,151.7217,942900
"AVB","12/17/2014",162.1,165.88,161.94,164.9,150.8163,918100
"AVB","12/16/2014",162.16,162.87,159.64,161.09,147.3317,1089500
"AVB","12/15/2014",163.18,164.42,161.16,161.98,148.1456,749400
"AVB","12/12/2014",163.87,166,162.84,162.96,149.042,751000
"AVB","12/11/2014",165,165.29,163.67,164.31,150.2766,686000
"AVB","12/10/2014",162.87,165.16,162.87,164.64,150.5785,640300
"AVB","12/09/2014",161.91,164.45,161.7,163.19,149.2523,456500
"AVB","12/08/2014",161,163.47,161,162.94,149.0237,694800
"AVB","12/05/2014",161.2,161.27,159.3,160.62,146.9018,889300
"AVB","12/04/2014",161.92,162.22,161.14,162.02,148.1823,600300
"AVB","12/03/2014",162.17,162.22,160.5,161.58,147.7798,530900
"AVB","12/02/2014",161.44,162.47,160.77,162.16,148.3103,546400
"AVB","12/01/2014",160.82,163.57,160.32,161.72,147.9079,702200
"AVB","11/28/2014",160.9,162.55,160.3,160.79,147.0573,455600
"AVB","11/26/2014",157.86,160.78,157.86,160.41,146.7097,862900
"AVB","11/25/2014",157.49,158.01,156.98,157.13,143.7099,1159800
"AVB","11/24/2014",158.24,158.43,157.32,157.65,144.1855,703600
"AVB","11/21/2014",157.64,158.16,157.01,157.43,143.9843,849600
"AVB","11/20/2014",156.76,157.2,156.1,157.2,143.7739,349900
"AVB","11/19/2014",157.75,158.56,156.7,156.87,143.4721,408400
"AVB","11/18/2014",157.82,158.58,156.97,158.25,144.7343,521800
"AVB","11/17/2014",156.81,158.36,156.44,158.16,144.6519,452400
"AVB","11/14/2014",158.36,158.64,156.42,156.75,143.3624,528800
"AVB","11/13/2014",157.47,158.64,156.6,158.35,144.8257,484900
"AVB","11/12/2014",158.08,158.33,156.4,156.93,143.527,594400
"AVB","11/11/2014",158.73,158.77,157.33,158.22,144.7068,387300
"AVB","11/10/2014",157.15,159.09,156.95,159.03,145.4476,585300
"AVB","11/07/2014",156.78,158.26,156.03,157.3,143.8654,917400
"AVB","11/06/2014",158.32,159.01,156.89,157.2,143.7739,620400
"AVB","11/05/2014",159.49,159.49,157.16,158.11,144.6062,855400
"AVB","11/04/2014",158.67,159.75,157.16,159.61,145.9781,805000
"AVB","11/03/2014",156.14,158.21,155.9,158.13,144.6245,939300
"AVB","10/31/2014",154.5,155.85,153.56,155.84,142.53,1073200
"AVB","10/30/2014",151.72,153.63,151.38,153.56,140.4448,541000
"AVB","10/29/2014",151.59,152.82,151.23,152.4,139.3839,850300
"AVB","10/28/2014",150.15,152.39,150,151.56,138.6156,985900
"AVB","10/27/2014",151.41,152.57,151.14,152.46,139.4388,893500
"AVB","10/24/2014",151.78,152.49,150.3,151.23,138.3138,819200
"AVB","10/23/2014",151.9,152.32,151.04,151.59,138.6431,903300
"AVB","10/22/2014",151.22,151.88,150.39,151.29,138.3687,704900
"AVB","10/21/2014",150.91,150.91,149.27,150.68,137.8108,971000
"AVB","10/20/2014",149.12,150.44,148.89,150.35,137.509,836500
"AVB","10/17/2014",149.13,149.38,147.33,149.37,136.6127,1045700
"AVB","10/16/2014",148.43,149.77,147,148.53,135.8444,780500
"AVB","10/15/2014",149,150.92,148.64,149.71,136.9236,1303300
"AVB","10/14/2014",147.86,150.48,147.34,150.06,137.2437,1164300
"AVB","10/13/2014",146.19,148.15,146.19,147.26,134.6828,1306600
"AVB","10/10/2014",146.25,147.8,146.23,146.25,133.7591,990600
"AVB","10/09/2014",145.6,147.58,145.23,145.91,133.4482,1000200
"AVB","10/08/2014",142.36,145.39,142.36,145.37,132.9543,902200
"AVB","10/07/2014",142.75,143.84,142.16,142.23,130.0825,583400
"AVB","10/06/2014",142.78,143.85,142.16,142.91,130.7044,606900
"AVB","10/03/2014",142.38,143.13,141.55,142.69,130.5032,856900
"AVB","10/02/2014",141.15,142.61,141.15,141.92,129.799,1085600
"AVB","10/01/2014",141.13,142.62,141,141.59,129.4971,1555700
"AVB","09/30/2014",140.93,141.6,139.65,140.97,128.9301,1382600
"AVB","09/29/2014",140.39,140.98,139.4,140.93,128.8935,747400
"AVB","09/26/2014",140.92,141.42,139.27,141.03,128.9849,995700
"AVB","09/26/2014",0,0,0,0,0,0
"AVB","09/25/2014",142.17,142.58,140.6,140.94,127.8417,1068700
"AVB","09/24/2014",144.23,145.47,141.95,142.05,128.8486,1409700
"AVB","09/23/2014",145.04,146.18,144.34,144.37,130.9529,917900
"AVB","09/22/2014",144.71,145.31,144.22,145,131.5244,1253300
"AVB","09/19/2014",144.94,145.71,144.07,145,131.5244,2732200
"AVB","09/18/2014",145.46,146.12,143.82,144.25,130.8441,1678900
"AVB","09/17/2014",145.91,146.74,145.06,145.35,131.8419,994000
"AVB","09/16/2014",144.41,145.84,144.39,145.41,131.8963,943000
"AVB","09/15/2014",144.7,146.22,143.36,144.1,130.7081,946000
"AVB","09/12/2014",149.29,149.29,144.1,144.97,131.4972,1124900
"AVB","09/11/2014",148.99,150.17,148.43,149.48,135.588,1332500
"AVB","09/10/2014",152.5,153,148.79,148.98,135.1345,2372300
"AVB","09/09/2014",156.24,156.47,155.32,155.83,141.3479,433300
"AVB","09/08/2014",156.15,157.16,156.13,156.64,142.0826,787000
"AVB","09/05/2014",154.67,155.96,154.06,155.86,141.3751,712600
"AVB","09/04/2014",154.11,155.67,153.74,154.49,140.1325,535100
"AVB","09/03/2014",154.2,154.54,153.29,154.31,139.9692,758100
"AVB","09/02/2014",154.35,154.49,153.14,154.15,139.824,510900
"AVB","08/29/2014",153,154.49,152.63,154.1,139.7787,747200
"AVB","08/28/2014",152.42,153.75,151.93,152.65,138.4634,517500
"AVB","08/27/2014",153.38,154.01,152.61,153.2,138.9623,618600
"AVB","08/26/2014",153.2,153.58,152.75,153.15,138.917,503300
"AVB","08/25/2014",154.33,154.5,152.72,153.21,138.9714,712100
"AVB","08/22/2014",155.07,155.32,152.63,153.63,139.3523,904200
"AVB","08/21/2014",154.99,156.16,154.88,155.43,140.9851,757800
"AVB","08/20/2014",153.61,155.62,152.91,155.02,140.6132,968000
"AVB","08/19/2014",153.65,154.39,152.59,154.05,139.7333,550100
"AVB","08/18/2014",151.82,153.33,151.56,153.28,139.0349,609100
"AVB","08/15/2014",151.43,151.8,150.11,150.96,136.9305,1613000
"AVB","08/14/2014",152.27,152.82,150.87,151.49,137.4112,529400
"AVB","08/13/2014",150.4,152.95,150.4,152.45,138.282,582200
"AVB","08/12/2014",150.12,151.13,150.06,150.44,136.4588,576300
"AVB","08/11/2014",149.8,151.26,149.48,150.54,136.5495,507200
"AVB","08/08/2014",149.57,149.84,148.46,149.8,135.8783,508100
"AVB","08/07/2014",149.55,150.06,148.46,149.07,135.2162,570800
"AVB","08/06/2014",149.21,149.6,148.16,149.38,135.4973,566400
"AVB","08/05/2014",149.39,150.32,148.29,148.83,134.9984,610100
"AVB","08/04/2014",148.6,150.72,147.53,150.31,136.3409,535300
"AVB","08/01/2014",148.21,149.77,147.91,148.68,134.8624,898100
"AVB","07/31/2014",150.32,150.86,148.06,148.08,134.3182,978200
"AVB","07/30/2014",149.64,151.4,149.64,150.98,136.9486,844600
"AVB","07/29/2014",149.59,150.45,148.67,149.64,135.7332,668100
"AVB","07/28/2014",148.1,150.87,148.1,150.2,136.2411,682300
"AVB","07/25/2014",148.87,148.96,147.57,147.98,134.2275,594800
"AVB","07/24/2014",150,151,146.4,149.15,135.2887,1495300
