"symbol","date","open","high","low","close","adjclose","volume"
"BHF","12/31/2014",0.003,0.003,0.003,0.003,0.003,0
"BHF","12/30/2014",0.003,0.003,0.003,0.003,0.003,0
"BHF","12/29/2014",0.003,0.003,0.003,0.003,0.003,0
"BHF","12/26/2014",0.003,0.003,0.003,0.003,0.003,0
"BHF","12/24/2014",0.003,0.003,0.003,0.003,0.003,0
"BHF","12/23/2014",0.003,0.003,0.003,0.003,0.003,0
"BHF","12/22/2014",0.003,0.003,0.003,0.003,0.003,0
"BHF","12/19/2014",0.002,0.002,0.002,0.002,0.002,0
"BHF","12/18/2014",0.005,0.005,0.005,0.005,0.005,0
"BHF","12/17/2014",0.005,0.005,0.005,0.005,0.005,0
"BHF","12/16/2014",0.005,0.005,0.005,0.005,0.005,0
"BHF","12/15/2014",0.005,0.005,0.005,0.005,0.005,0
"BHF","12/12/2014",0.005,0.005,0.005,0.005,0.005,0
"BHF","12/11/2014",0.003,0.005,0.003,0.005,0.005,0
"BHF","12/10/2014",0.003,0.003,0.003,0.003,0.003,0
"BHF","12/09/2014",0.003,0.003,0.003,0.003,0.003,0
"BHF","12/08/2014",0.003,0.003,0.003,0.003,0.003,0
"BHF","12/05/2014",0.003,0.003,0.003,0.003,0.003,0
"BHF","12/04/2014",0.003,0.003,0.003,0.003,0.003,0
"BHF","12/03/2014",0.002,0.002,0.002,0.002,0.002,0
"BHF","12/02/2014",0.002,0.002,0.002,0.002,0.002,0
"BHF","12/01/2014",0.001,0.001,0.001,0.001,0.001,0
"BHF","11/28/2014",0.001,0.001,0.001,0.001,0.001,0
"BHF","11/26/2014",0,0,0,0,0,0
"BHF","11/25/2014",0,0,0,0,0,0
"BHF","11/24/2014",0,0,0,0,0,0
"BHF","11/21/2014",0,0,0,0,0,0
"BHF","11/20/2014",0,0,0,0,0,0
"BHF","11/19/2014",0,0,0,0,0,0
"BHF","11/18/2014",0,0,0,0,0,0
"BHF","11/17/2014",0,0,0,0,0,0
"BHF","11/14/2014",0.004,0.004,0.004,0.004,0.004,0
"BHF","11/13/2014",0.004,0.004,0.004,0.004,0.004,0
"BHF","11/12/2014",0.004,0.004,0.004,0.004,0.004,0
"BHF","11/11/2014",0.004,0.004,0.004,0.004,0.004,0
"BHF","11/10/2014",0.008,0.008,0.008,0.008,0.008,0
"BHF","11/07/2014",0.008,0.008,0.008,0.008,0.008,0
"BHF","11/06/2014",0.008,0.008,0.008,0.008,0.008,0
"BHF","11/05/2014",0.007,0.007,0.007,0.007,0.007,0
"BHF","11/04/2014",0.008,0.008,0.008,0.008,0.008,0
"BHF","11/03/2014",0.008,0.008,0.008,0.008,0.008,0
"BHF","10/31/2014",0.008,0.008,0.008,0.008,0.008,0
"BHF","10/30/2014",0.011,0.011,0.011,0.011,0.011,0
"BHF","10/29/2014",0.008,0.008,0.008,0.008,0.008,0
"BHF","10/28/2014",0.008,0.008,0.008,0.008,0.008,0
"BHF","10/27/2014",0.008,0.008,0.008,0.008,0.008,0
"BHF","10/24/2014",0.008,0.008,0.008,0.008,0.008,0
"BHF","10/23/2014",0.008,0.008,0.008,0.008,0.008,0
"BHF","10/22/2014",0.011,0.011,0.011,0.011,0.011,0
"BHF","10/21/2014",0.011,0.011,0.011,0.011,0.011,0
"BHF","10/20/2014",0.011,0.011,0.011,0.011,0.011,0
"BHF","10/17/2014",0.011,0.011,0.011,0.011,0.011,0
"BHF","10/16/2014",0.011,0.011,0.011,0.011,0.011,0
"BHF","10/15/2014",0.011,0.011,0.011,0.011,0.011,0
"BHF","10/14/2014",0,0,0,0,0,0
"BHF","10/13/2014",0.011,0.011,0.011,0.011,0.011,0
"BHF","10/10/2014",0.015,0.015,0.015,0.015,0.015,0
"BHF","10/09/2014",0,0,0,0,0,0
"BHF","10/08/2014",0,0,0,0,0,0
"BHF","10/07/2014",0,0,0,0,0,0
"BHF","10/06/2014",0,0,0,0,0,0
"BHF","10/03/2014",0.016,0.016,0.016,0.016,0.016,0
"BHF","10/02/2014",0.011,0.011,0.011,0.011,0.011,0
"BHF","10/01/2014",0.011,0.011,0.011,0.011,0.011,0
"BHF","09/30/2014",0.011,0.011,0.011,0.011,0.011,0
"BHF","09/29/2014",0.011,0.011,0.011,0.011,0.011,0
"BHF","09/26/2014",0.011,0.011,0.011,0.011,0.011,0
"BHF","09/25/2014",0.011,0.011,0.011,0.011,0.011,0
"BHF","09/24/2014",0.011,0.011,0.011,0.011,0.011,0
"BHF","09/23/2014",0.011,0.011,0.011,0.011,0.011,0
"BHF","09/22/2014",0.015,0.015,0.015,0.015,0.015,0
"BHF","09/19/2014",0.011,0.011,0.011,0.011,0.011,0
"BHF","09/18/2014",0.011,0.011,0.011,0.011,0.011,0
"BHF","09/17/2014",0.011,0.011,0.011,0.011,0.011,0
"BHF","09/16/2014",0.011,0.011,0.011,0.011,0.011,0
"BHF","09/15/2014",0.014,0.014,0.014,0.014,0.014,0
"BHF","09/12/2014",0.015,0.015,0.015,0.015,0.015,0
"BHF","09/11/2014",0.015,0.015,0.015,0.015,0.015,0
"BHF","09/10/2014",0.015,0.015,0.015,0.015,0.015,0
"BHF","09/09/2014",0.015,0.015,0.015,0.015,0.015,0
"BHF","09/08/2014",0.015,0.015,0.015,0.015,0.015,0
"BHF","09/05/2014",0.015,0.015,0.015,0.015,0.015,0
"BHF","09/04/2014",0.014,0.014,0.014,0.014,0.014,0
"BHF","09/03/2014",0.014,0.014,0.014,0.014,0.014,0
"BHF","09/02/2014",0.015,0.015,0.014,0.014,0.014,0
"BHF","08/29/2014",0.011,0.011,0.011,0.011,0.011,0
"BHF","08/28/2014",0.011,0.011,0.011,0.011,0.011,0
"BHF","08/27/2014",0.011,0.011,0.011,0.011,0.011,0
"BHF","08/26/2014",0.011,0.011,0.011,0.011,0.011,0
"BHF","08/25/2014",0.011,0.011,0.011,0.011,0.011,0
"BHF","08/22/2014",0.011,0.011,0.011,0.011,0.011,0
"BHF","08/21/2014",0.011,0.011,0.011,0.011,0.011,0
"BHF","08/20/2014",0.011,0.011,0.011,0.011,0.011,0
"BHF","08/19/2014",0.011,0.011,0.011,0.011,0.011,0
