"symbol","date","open","high","low","close","adjclose","volume"
"BXP","12/31/2014",131.57,132.37,128.49,128.69,120.0664,1107500
"BXP","12/30/2014",130.95,131.93,130.12,131.02,122.2402,550400
"BXP","12/29/2014",131.25,131.55,129.9,130.75,121.9883,700700
"BXP","12/29/2014",0,0,0,0,0,0
"BXP","12/26/2014",135.16,136.03,135.12,135.29,121.4192,528300
"BXP","12/24/2014",136.56,137.15,134.92,135.18,121.3205,360500
"BXP","12/23/2014",135.84,136.54,135.38,136.28,122.3077,797600
"BXP","12/22/2014",134.04,135.84,133.71,135.77,121.85,741600
"BXP","12/19/2014",134.79,134.84,132.66,133.71,120.0012,1392800
"BXP","12/18/2014",132.98,134.12,132.14,134.1,120.3512,859600
"BXP","12/17/2014",129.23,132.18,128.82,131.99,118.4576,781100
"BXP","12/16/2014",128.96,130.73,128.35,128.82,115.6126,1003100
"BXP","12/15/2014",131.09,131.26,128.69,128.93,115.7113,1231400
"BXP","12/12/2014",131.37,132.24,130.61,130.65,117.2549,687000
"BXP","12/11/2014",133.51,133.57,131.57,131.77,118.2601,1017700
"BXP","12/10/2014",132.74,133.48,132.16,132.99,119.355,810700
"BXP","12/09/2014",130.98,133.69,130.98,133.16,119.5076,849200
"BXP","12/08/2014",131.63,132.83,131.35,131.82,118.305,884800
"BXP","12/05/2014",131.07,131.45,129.32,131.39,117.9191,772500
"BXP","12/04/2014",131.25,131.79,130.41,131.52,118.0357,872400
"BXP","12/03/2014",131.25,131.43,130.34,131.08,117.6409,1191400
"BXP","12/02/2014",129.91,131.72,129.14,131.49,118.0088,808200
"BXP","12/01/2014",129.48,130.73,129.18,129.98,116.6536,951800
"BXP","11/28/2014",129.58,131.15,128.85,129.64,116.3485,484400
"BXP","11/26/2014",128.73,129.64,128.48,129.22,115.9715,823000
"BXP","11/25/2014",128.25,129.1,127.81,128.54,115.3613,949300
"BXP","11/24/2014",128.83,128.98,127.91,128.37,115.2087,707000
"BXP","11/21/2014",127.74,128.39,127.27,128.38,115.2177,1665300
"BXP","11/20/2014",127.08,127.88,126.45,127.01,113.9881,846100
"BXP","11/19/2014",127.43,128.83,127.07,127.91,114.7959,1046900
"BXP","11/18/2014",126.69,127.9,126.26,127.77,114.6702,849200
"BXP","11/17/2014",126.58,127.24,126.24,126.43,113.4676,721800
"BXP","11/14/2014",127.64,128.11,126.04,126.34,113.3868,624300
"BXP","11/13/2014",126.81,127.94,126.38,127.84,114.733,847400
"BXP","11/12/2014",128.29,128.3,126.47,126.8,113.7997,776000
"BXP","11/11/2014",128.47,128.52,127.05,127.64,114.5535,643300
"BXP","11/10/2014",127.67,128.41,127.4,128.29,115.1369,722300
"BXP","11/07/2014",127.75,128.31,126.76,127.82,114.7151,1416800
"BXP","11/06/2014",128.94,129.39,127.68,127.92,114.8048,1173700
"BXP","11/05/2014",129.19,129.61,128.01,128.85,115.6395,804000
"BXP","11/04/2014",128.81,129.33,127.97,129.03,115.801,943900
"BXP","11/03/2014",127.07,128.69,126.61,128.69,115.4959,1484600
"BXP","10/31/2014",126,126.92,125.43,126.75,113.7548,1159000
"BXP","10/30/2014",124.14,125.6,123.88,125.57,112.6958,859600
"BXP","10/29/2014",124.63,125.57,122.88,124.74,111.9509,1320800
"BXP","10/28/2014",122.85,123.12,121.91,123.12,110.497,789500
"BXP","10/27/2014",122,123.02,121.41,122.9,110.2995,841900
"BXP","10/24/2014",121.92,122.45,121.33,121.85,109.3572,755300
"BXP","10/23/2014",122.2,122.69,121.45,121.9,109.402,1057900
"BXP","10/22/2014",122.3,122.8,121.62,121.77,109.2854,792200
"BXP","10/21/2014",121.29,122.16,120.44,122.11,109.5905,829900
"BXP","10/20/2014",119.68,120.94,119.37,120.92,108.5225,594400
"BXP","10/17/2014",118.89,119.8,117.57,119.56,107.3019,1167500
"BXP","10/16/2014",118.51,119.37,117.46,118.44,106.2968,1239100
"BXP","10/15/2014",120.26,121.03,118.11,119.48,107.2301,1443100
"BXP","10/14/2014",119.67,122.31,119.3,120.67,108.2981,947500
"BXP","10/13/2014",119.03,120.79,119.03,119.3,107.0686,739500
"BXP","10/10/2014",119.14,120.71,119.04,119.34,107.1045,818400
"BXP","10/09/2014",118.5,119.85,118.08,118.78,106.6019,1214000
"BXP","10/08/2014",115.59,118.62,115.3,118.59,106.4314,1397400
"BXP","10/07/2014",115.9,116.71,115.06,115.1,103.2992,916700
"BXP","10/06/2014",116.54,117.17,115.89,116.35,104.4211,624300
"BXP","10/03/2014",116.33,116.82,115.6,116.44,104.5018,878200
"BXP","10/02/2014",115.76,116.57,115.44,115.99,104.098,829500
"BXP","10/01/2014",115.44,117.03,115.31,115.98,104.089,988200
"BXP","09/30/2014",115.9,116.31,114.86,115.76,103.8915,1036500
"BXP","09/29/2014",115.67,115.89,114.32,115.87,103.9903,1054600
"BXP","09/26/2014",112.84,115.67,112.75,115.25,103.4338,984500
"BXP","09/26/2014",0,0,0,0,0,0
"BXP","09/25/2014",115.41,115.53,113.61,113.66,101.4235,1379000
"BXP","09/24/2014",115.27,117.03,114.89,115.11,102.7174,847800
"BXP","09/23/2014",116.18,116.62,115.3,115.46,103.0297,739000
"BXP","09/22/2014",116.8,117.57,116.39,116.48,103.9399,535600
"BXP","09/19/2014",117.99,117.99,116.99,117.21,104.5913,984600
"BXP","09/18/2014",118.93,118.93,117.04,117.36,104.7252,749300
"BXP","09/17/2014",117.26,118.67,117.09,117.94,105.2427,1113500
"BXP","09/16/2014",114.99,116.77,114.44,116.31,103.7882,781400
"BXP","09/15/2014",115.55,116.05,114.16,114.86,102.4943,686300
"BXP","09/12/2014",119,119.01,114.55,115.3,102.8869,1078900
"BXP","09/11/2014",118.91,119.59,118.53,119.28,106.4384,452800
"BXP","09/10/2014",120.98,121.04,118.9,119.05,106.2332,602900
"BXP","09/09/2014",122.33,122.82,121.11,121.4,108.3302,357900
"BXP","09/08/2014",122.91,123.33,122.23,122.66,109.4546,318500
"BXP","09/05/2014",120.78,122.89,120.78,122.79,109.5706,571000
"BXP","09/04/2014",121.77,122.37,120.31,120.67,107.6788,624100
"BXP","09/03/2014",121.73,122.3,121.23,121.85,108.7318,520600
"BXP","09/02/2014",121.27,121.89,121.03,121.23,108.1785,565300
"BXP","08/29/2014",121.27,121.52,120.67,121.42,108.3481,814900
"BXP","08/28/2014",121.29,121.67,120.73,121.07,108.0357,437900
"BXP","08/27/2014",121.35,122.22,121.18,121.49,108.4105,449600
"BXP","08/26/2014",121.36,121.96,121.04,121.14,108.0982,454200
"BXP","08/25/2014",122.72,122.72,120.83,121.38,108.3124,422700
"BXP","08/22/2014",122.85,123.34,121.22,121.98,108.8478,335000
"BXP","08/21/2014",123.41,124.04,122.71,122.99,109.749,470500
"BXP","08/20/2014",122.58,123.8,121.89,123.41,110.1238,405600
"BXP","08/19/2014",122.55,123.15,121.79,122.94,109.7044,381800
"BXP","08/18/2014",121.24,122.5,120.89,122.42,109.2404,533900
"BXP","08/15/2014",121.34,121.66,120.31,120.54,107.5628,598400
"BXP","08/14/2014",121.77,122,120.87,120.93,107.9108,450100
"BXP","08/13/2014",120.75,122.18,120.54,121.48,108.4016,453900
"BXP","08/12/2014",120.51,120.97,120.1,120.51,107.536,360900
"BXP","08/11/2014",120.61,121.38,120.16,120.65,107.661,482500
"BXP","08/08/2014",119.8,120.12,118.46,120.05,107.1255,515600
"BXP","08/07/2014",119.17,119.8,118.43,118.67,105.8941,456300
"BXP","08/06/2014",118.21,119.23,118.07,118.96,106.1529,637100
"BXP","08/05/2014",119.18,119.64,117.76,118.31,105.5729,710600
"BXP","08/04/2014",118.82,120.24,118.08,119.82,106.9203,542600
"BXP","08/01/2014",119.52,120.07,118.72,118.78,105.9923,518900
"BXP","07/31/2014",120.71,121.29,119.38,119.45,106.5901,715100
"BXP","07/30/2014",120.35,121.91,120.25,120.98,107.9554,700400
"BXP","07/29/2014",121.26,121.35,119.88,120.51,107.536,568700
"BXP","07/28/2014",120.47,122,120.37,121.45,108.3748,604500
"BXP","07/25/2014",120.8,121.25,119.79,120.08,107.1523,655200
"BXP","07/24/2014",121.54,121.79,120.72,121.29,108.2321,601400
"BXP","07/23/2014",121.85,121.85,121.06,121.21,108.1607,531400
"BXP","07/22/2014",121.55,121.9,121.35,121.68,108.5801,659900
"BXP","07/21/2014",121.2,121.6,120.88,121,107.9733,473800
"BXP","07/18/2014",120.7,121.84,120.45,121.69,108.589,543900
"BXP","07/17/2014",120.7,121.11,120.19,120.32,107.3665,560000
"BXP","07/16/2014",120.55,121.17,120.24,120.79,107.7859,418100
"BXP","07/15/2014",120.39,120.72,119.65,120.45,107.4825,415000
"BXP","07/14/2014",119.52,120.44,119.19,120.37,107.4111,660700
"BXP","07/11/2014",119.69,119.69,118.91,119.42,106.5634,458500
"BXP","07/10/2014",117.93,120.19,117.93,119.69,106.8043,736800
"BXP","07/09/2014",118.69,118.9,117.74,118.63,105.8584,474900
"BXP","07/08/2014",118.53,118.9,118.19,118.6,105.8317,526300
"BXP","07/07/2014",117.53,118.8,117.11,118.56,105.796,1041200
"BXP","07/03/2014",117.81,117.99,116.97,117.38,104.743,728200
"BXP","07/02/2014",118.17,118.61,117.59,117.94,105.2427,630400
