"symbol","date","open","high","low","close","adjclose","volume"
"CCI","12/31/2014",79.19,79.45,78.56,78.7,69.83657,1548900
"CCI","12/30/2014",79.14,79.17,78.44,78.92,70.0318,1369500
"CCI","12/29/2014",78.91,79.68,78.74,79.06,70.15604,1225300
"CCI","12/26/2014",79.11,79.36,78.98,79.05,70.14717,735900
"CCI","12/24/2014",79.28,79.64,79.01,79.05,70.14717,753200
"CCI","12/23/2014",78.69,79.48,78.42,79.18,70.26252,2430300
"CCI","12/22/2014",77.5,78.67,77.26,78.29,69.47276,3296000
"CCI","12/19/2014",76.93,77.5,76.5,77.3,68.59425,5889500
"CCI","12/18/2014",75.62,76.95,75.51,76.53,67.91097,5421000
"CCI","12/17/2014",75,75.85,74.45,75.11,66.65089,4307600
"CCI","12/17/2014",0,0,0,0,0,0
"CCI","12/16/2014",75.59,76.8,74.88,75.47,66.2427,2591200
"CCI","12/15/2014",76.14,76.38,75.3,75.72,66.46214,3566100
"CCI","12/12/2014",76.57,76.79,75.8,75.85,66.57623,4770100
"CCI","12/11/2014",77.49,77.56,76.6,76.82,67.42764,3434500
"CCI","12/10/2014",78.21,78.43,77.24,77.46,67.9894,2967100
"CCI","12/09/2014",78.61,79.27,78.21,78.97,69.31478,2606800
"CCI","12/08/2014",79.54,80.06,78.97,79.15,69.47278,2230200
"CCI","12/05/2014",79.93,80.08,79.05,79.27,69.5781,3138000
"CCI","12/04/2014",79.98,80.14,79.73,79.95,70.17495,1785200
"CCI","12/03/2014",80.12,80.41,79.64,79.9,70.13108,1951100
"CCI","12/02/2014",80.71,81.21,79.59,80.06,70.2715,5064200
"CCI","12/01/2014",82.81,83.19,82.15,82.25,72.19374,3145100
"CCI","11/28/2014",82.46,83.58,82.46,83.09,72.93105,1355000
"CCI","11/26/2014",82.56,82.84,82.14,82.51,72.42196,2255800
"CCI","11/25/2014",82.17,82.56,81.77,82.38,72.30784,2860000
"CCI","11/24/2014",81.91,82.36,81.73,82.17,72.12351,5980900
"CCI","11/21/2014",81.76,81.85,81.21,81.7,71.711,2810800
"CCI","11/20/2014",80.97,81.33,80.6,80.98,71.07903,3473800
"CCI","11/19/2014",80.42,81,80.27,80.77,70.8947,1961000
"CCI","11/18/2014",80.19,80.73,79.34,80.52,70.67526,1640500
"CCI","11/17/2014",80.05,80.3,79.86,80.12,70.32417,1537800
"CCI","11/14/2014",80.17,80.45,79.92,80.39,70.56116,1615600
"CCI","11/13/2014",80.57,81.24,80.14,80.21,70.40316,3152900
"CCI","11/12/2014",79.21,80.63,78.88,80.51,70.6665,4824800
"CCI","11/11/2014",80.09,80.09,79.4,79.61,69.87651,2158600
"CCI","11/10/2014",79.21,80.01,78.95,79.91,70.13986,3299300
"CCI","11/07/2014",79.8,80,79.06,79.8,70.04329,2793100
"CCI","11/06/2014",79.43,80.04,79.35,79.86,70.09595,4319700
