"symbol","date","open","high","low","close","adjclose","volume"
"CCL","12/31/2014",45.76,45.96,45.25,45.33,41.73133,2275300
"CCL","12/30/2014",46.29,46.31,45.38,45.48,41.86942,2733700
"CCL","12/29/2014",45.94,46.28,45.71,45.95,42.30211,6098700
"CCL","12/26/2014",45.85,46.06,45.58,45.78,42.14561,2888500
"CCL","12/24/2014",45.4,46.02,45.34,45.39,41.78657,1804100
"CCL","12/23/2014",44.71,45.52,44.64,45.3,41.70371,4519400
"CCL","12/22/2014",44.81,44.92,44.64,44.86,41.29865,4139600
"CCL","12/19/2014",44.52,44.99,43.6,44.79,41.2342,9827000
"CCL","12/18/2014",44.94,44.98,44.17,44.5,40.96722,7754900
"CCL","12/17/2014",43.87,44.76,43.53,44.61,41.06849,9447200
"CCL","12/16/2014",43.34,44.02,42.91,43.12,39.69677,5304200
"CCL","12/15/2014",43.35,43.61,42.72,43.19,39.76122,5909700
"CCL","12/12/2014",43.75,43.79,42.93,42.95,39.54028,4809700
"CCL","12/11/2014",43.72,44.45,43.41,43.53,40.07423,4639600
"CCL","12/10/2014",43.91,44,43.09,43.3,39.86249,3680000
"CCL","12/09/2014",42.99,44.01,42.97,43.97,40.47929,3635700
"CCL","12/08/2014",44.19,44.55,43.83,44.07,40.57135,4373300
"CCL","12/05/2014",43.89,44.74,43.81,44.62,41.0777,4424000
"CCL","12/04/2014",43.07,43.59,42.89,43.58,40.12027,3975200
"CCL","12/03/2014",42.63,43.16,42.4,43.03,39.61391,5087000
"CCL","12/02/2014",42.84,43.02,42.51,42.84,39.43901,5461900
"CCL","12/01/2014",43.75,43.78,41.86,42.39,39.02473,6841600
"CCL","11/28/2014",43.55,44.44,43.44,44.16,40.65421,4318300
"CCL","11/26/2014",42.13,42.17,41.85,42.12,38.77617,1642900
"CCL","11/25/2014",42.2,42.4,41.94,42.26,38.90505,2882900
"CCL","11/24/2014",41.96,42.06,41.81,41.99,38.65649,2569500
"CCL","11/21/2014",41.72,41.87,41.45,41.57,38.26984,3728700
"CCL","11/20/2014",41.43,41.78,41.38,41.6,38.29745,2142500
"CCL","11/19/2014",41.76,41.88,41.52,41.59,38.28824,4427200
"CCL","11/19/2014",0,0,0,0,0,0
"CCL","11/18/2014",41.61,42.5,41.56,42.27,38.6841,3545700
"CCL","11/17/2014",41.52,41.64,41.19,41.51,37.98858,2669400
"CCL","11/14/2014",40.8,41.57,40.66,41.5,37.97943,2872100
"CCL","11/13/2014",40.76,41.14,40.55,40.9,37.43032,3638300
"CCL","11/12/2014",40.32,40.52,40.12,40.43,37.0002,2838000
"CCL","11/11/2014",40.82,40.83,40.4,40.63,37.18324,3509800
"CCL","11/10/2014",40.33,40.37,40.01,40.31,36.89038,3043700
"CCL","11/07/2014",39.92,40.4,39.88,40.4,36.97276,4076800
"CCL","11/06/2014",40.09,40.57,39.93,40.57,37.12832,4279300
"CCL","11/05/2014",40.16,40.2,39.67,39.99,36.59752,2906700
"CCL","11/04/2014",40.28,40.28,39.61,39.97,36.57922,2510000
"CCL","11/03/2014",40.15,40.35,39.94,40.07,36.67073,2839700
"CCL","10/31/2014",40.42,40.52,39.91,40.15,36.74395,3735400
"CCL","10/30/2014",39.01,40.1,39.01,40.07,36.67073,5302700
"CCL","10/29/2014",39.26,39.59,39,39.38,36.03928,4039100
"CCL","10/28/2014",38.62,39.09,38.28,39.09,35.77387,3785500
"CCL","10/27/2014",38.38,38.63,38.07,38.33,35.07836,3205800
"CCL","10/24/2014",37.49,38.6,37.44,38.52,35.25223,4473400
"CCL","10/23/2014",37.65,38.28,37.25,37.83,34.62077,7430300
"CCL","10/22/2014",37.4,38.44,37.36,37.76,34.55671,5696800
"CCL","10/21/2014",36.85,38.01,36.61,38,34.77634,8699800
"CCL","10/20/2014",35.36,36.14,35.25,35.92,32.8728,6960800
"CCL","10/17/2014",34.1,35.37,34.02,34.92,31.95762,10288600
"CCL","10/16/2014",34.02,35.11,33.89,34.69,31.74714,9474400
"CCL","10/15/2014",34.41,34.99,33.11,34.41,31.4909,16257500
"CCL","10/14/2014",34.63,35.34,34.4,34.64,31.70139,9873200
"CCL","10/13/2014",35.82,35.82,33.74,33.88,31.00585,9915600
"CCL","10/10/2014",35.64,36.33,35.43,35.51,32.49758,6236500
"CCL","10/09/2014",37.43,37.71,35.65,35.67,32.644,10500800
"CCL","10/08/2014",37.44,37.74,36.66,37.67,34.47434,6118600
"CCL","10/07/2014",38.85,38.89,37.32,37.34,34.17234,9767100
"CCL","10/06/2014",39.91,40.12,39.47,39.5,36.1491,6188700
"CCL","10/03/2014",38.94,39.72,38.82,39.58,36.22231,3655500
"CCL","10/02/2014",39.1,39.12,37.67,38.58,35.30714,9583500
"CCL","10/01/2014",40,40.05,39.06,39.14,35.81963,4786400
"CCL","09/30/2014",40.33,40.5,40.15,40.17,36.76225,3092800
"CCL","09/29/2014",40.57,40.73,40.3,40.4,36.97276,3584100
"CCL","09/26/2014",40.5,40.96,40.42,40.87,37.40288,2590800
"CCL","09/25/2014",40.91,41.19,40.46,40.46,37.02765,4341200
"CCL","09/24/2014",40.5,41.16,40.28,41.12,37.63166,6976300
"CCL","09/23/2014",42.04,42.31,39.93,40.51,37.07341,14964600
"CCL","09/22/2014",40.46,40.53,40.22,40.34,36.91784,5160600
"CCL","09/19/2014",40.62,41.16,40.43,40.72,37.2656,8677200
"CCL","09/18/2014",39.83,40.12,39.82,40.11,36.70735,3395000
"CCL","09/17/2014",39.5,39.87,39.43,39.71,36.34127,3042000
"CCL","09/16/2014",39.14,39.66,39.06,39.5,36.1491,3078500
"CCL","09/15/2014",39.1,39.43,38.98,39.41,36.06673,3266500
"CCL","09/12/2014",39.39,39.39,39,39.18,35.85625,2506500
"CCL","09/11/2014",38.73,39.29,38.71,39.28,35.94776,2766200
"CCL","09/10/2014",38.69,38.9,38.5,38.87,35.57254,2840900
