"symbol","date","open","high","low","close","adjclose","volume"
"CL","12/31/2014",70.09,70.41,69.12,69.19,64.73486,2202300
"CL","12/30/2014",70.34,70.69,69.85,70.04,65.53012,2085900
"CL","12/29/2014",70.65,70.86,70.33,70.48,65.94179,1715200
"CL","12/26/2014",70.57,71.02,70.57,70.88,66.31602,1303300
"CL","12/24/2014",71,71.31,70.43,70.47,65.93244,1126900
"CL","12/23/2014",70.38,71.21,70.3,71,66.42829,2251200
"CL","12/22/2014",69.96,70.49,69.8,70.26,65.73596,2562700
"CL","12/19/2014",69.66,70.31,69.58,69.98,65.47398,5595600
"CL","12/18/2014",69.4,69.48,68.61,69.48,65.00618,4104900
"CL","12/17/2014",67.59,69.02,67.53,68.66,64.23897,3811700
"CL","12/16/2014",67.76,68.51,67.25,67.51,63.16302,4427400
"CL","12/15/2014",68.65,69.16,67.78,67.95,63.57468,4459400
"CL","12/12/2014",68.77,69.6,68.56,68.57,64.15477,3369900
"CL","12/11/2014",68.96,69.98,68.96,69.28,64.81905,2607000
"CL","12/10/2014",69.42,69.69,68.82,68.87,64.43546,2323100
"CL","12/09/2014",68.93,69.37,68.77,69.33,64.86584,2781900
"CL","12/08/2014",69.5,69.81,69.22,69.44,64.96874,2613700
"CL","12/05/2014",69.25,69.38,68.56,69.37,64.90327,2521900
"CL","12/04/2014",69.06,69.57,68.83,69.45,64.97811,3071000
"CL","12/03/2014",69.7,69.7,68.78,69.06,64.61322,2408700
"CL","12/02/2014",69.51,69.9,69.15,69.86,65.3617,2365500
"CL","12/01/2014",68.67,69.8,68.63,69.4,64.93133,2507600
"CL","11/28/2014",68.88,69.9,68.83,69.59,65.10908,1876700
"CL","11/26/2014",68.47,68.74,68.33,68.69,64.26705,1895200
"CL","11/25/2014",67.97,68.45,67.82,68.33,63.93022,2570600
"CL","11/24/2014",68.5,68.54,67.91,67.95,63.57468,2521200
"CL","11/21/2014",68.63,68.86,68.33,68.34,63.93959,3142700
"CL","11/20/2014",68.11,68.4,67.91,68.06,63.67761,1654400
"CL","11/19/2014",67.92,68.32,67.64,68.29,63.89281,2136700
"CL","11/18/2014",68,68.11,67.63,67.97,63.59341,1880800
"CL","11/17/2014",67.48,67.97,67.34,67.92,63.54663,1950200
"CL","11/14/2014",68.2,68.34,67.51,67.56,63.20982,3054800
"CL","11/13/2014",68.94,68.99,68.26,68.29,63.89281,2316700
"CL","11/12/2014",68.24,68.87,68.13,68.7,64.2764,2156300
"CL","11/11/2014",68.51,68.7,68.3,68.47,64.06121,1510000
"CL","11/10/2014",67.92,68.56,67.82,68.55,64.13607,2475000
"CL","11/07/2014",68.08,68.2,67.55,68.05,63.66826,1892500
"CL","11/06/2014",68.18,68.2,67.74,68.11,63.72439,2507300
"CL","11/05/2014",68.81,68.81,67.88,68.15,63.76181,2529900
"CL","11/04/2014",67.17,68.15,67.14,68.05,63.66826,3836300
"CL","11/03/2014",66.8,67.46,66.71,67.41,63.06947,2817400
"CL","10/31/2014",67.02,67.12,66.46,66.88,62.57358,4362600
"CL","10/30/2014",65.76,66.66,65.52,66.41,62.13386,2161800
"CL","10/29/2014",65.79,66.11,65.32,65.85,61.60992,2384200
"CL","10/28/2014",66.37,66.43,65.58,65.79,61.55378,2840000
"CL","10/27/2014",65.33,66.32,65.26,66.11,61.85317,3265300
"CL","10/24/2014",64.17,65.8,64,65.35,61.14211,4384400
"CL","10/23/2014",65.74,65.77,64.84,65.05,60.86143,4083000
"CL","10/22/2014",65.41,65.7,65.26,65.32,61.11404,4656000
"CL","10/21/2014",64.85,65.57,64.31,65.42,61.2076,3013100
"CL","10/20/2014",63.58,64.6,63.58,64.54,60.38427,3018100
"CL","10/17/2014",63.5,63.88,63.02,63.73,59.62642,3832000
"CL","10/16/2014",62.81,63.4,62.53,63.11,59.04634,4995000
"CL","10/15/2014",63.67,64.04,62.68,63.53,59.43929,5418100
"CL","10/15/2014",0,0,0,0,0,0
"CL","10/14/2014",64.36,66.12,64,64.41,59.92582,4631700
"CL","10/13/2014",65.35,65.35,64.16,64.19,59.72113,3706800
"CL","10/10/2014",65.39,65.76,65.24,65.29,60.74455,3860900
"CL","10/09/2014",65.52,65.92,65.15,65.2,60.66081,4065400
"CL","10/08/2014",64.9,65.86,64.85,65.82,61.23765,3696600
"CL","10/07/2014",64.76,65.28,64.64,64.9,60.38169,4280100
"CL","10/06/2014",65.16,65.49,64.94,65.27,60.72594,3154700
"CL","10/03/2014",65.21,65.61,64.86,65.46,60.90271,3793100
"CL","10/02/2014",64.75,64.98,64.51,64.78,60.27006,3230500
"CL","10/01/2014",65.22,65.29,64.8,64.89,60.3724,3385200
"CL","09/30/2014",65.76,65.83,65.16,65.22,60.67943,5033900
"CL","09/29/2014",65.41,65.69,65.19,65.63,61.06087,3073900
"CL","09/26/2014",65.43,65.85,65.06,65.7,61.126,1988000
"CL","09/25/2014",66.02,66.06,65.46,65.48,60.92132,2553000
"CL","09/24/2014",65.46,66.36,65.46,66.23,61.61911,4024400
"CL","09/23/2014",65.46,65.84,65.35,65.4,60.8469,3138500
"CL","09/22/2014",65.45,65.89,65.31,65.69,61.11671,2871100
"CL","09/19/2014",65.6,65.67,65.23,65.28,60.73525,5260800
"CL","09/18/2014",65.28,65.45,65.04,65.31,60.76316,3443400
"CL","09/17/2014",65.41,65.42,64.84,65.24,60.69803,3709500
"CL","09/16/2014",64.38,65.4,64.25,65.14,60.60498,4466400
"CL","09/15/2014",64.22,64.79,64.13,64.51,60.01886,3135900
"CL","09/12/2014",64.18,64.56,64.08,64.48,59.99094,3230400
"CL","09/11/2014",63.97,64.5,63.78,64.42,59.93512,3271900
"CL","09/10/2014",63.5,64.08,63.36,64,59.54436,2769700
"CL","09/09/2014",63.5,63.72,63.37,63.43,59.01404,3520600
"CL","09/08/2014",64.44,64.53,63.63,63.64,59.20941,3739100
"CL","09/05/2014",64.27,64.88,64.12,64.86,60.34449,3441700
"CL","09/04/2014",64.48,64.63,64.08,64.31,59.83278,3288600
"CL","09/03/2014",64.85,64.89,64.31,64.42,59.93512,3304200
"CL","09/02/2014",64.44,64.7,64.16,64.42,59.93512,3045400
"CL","08/29/2014",64.74,64.76,64.4,64.73,60.22354,2102500
"CL","08/28/2014",64.63,64.74,64.45,64.51,60.01886,2204600
"CL","08/27/2014",64.79,64.93,64.58,64.83,60.31657,2084400
"CL","08/26/2014",64.9,65.11,64.71,64.79,60.27936,2390400
"CL","08/25/2014",64.92,65.14,64.72,64.87,60.3538,1556800
"CL","08/22/2014",64.9,64.97,64.53,64.57,60.07468,1642200
"CL","08/21/2014",64.55,65.01,64.55,64.81,60.29796,2500000
"CL","08/20/2014",64.42,64.81,64.24,64.67,60.16772,2815800
"CL","08/19/2014",64.53,64.54,64.04,64.26,59.78626,3273800
"CL","08/18/2014",64.35,65,64.3,64.62,60.1212,3797400
"CL","08/15/2014",64.4,64.67,63.69,64.13,59.66531,3972300
"CL","08/14/2014",64.4,64.55,64.04,64.21,59.73974,4143700
"CL","08/13/2014",64.6,64.7,64.05,64.38,59.8979,3686800
"CL","08/12/2014",64.53,64.84,64.33,64.42,59.93512,4138700
"CL","08/11/2014",65.34,65.7,65.01,65.06,60.53057,4085500
"CL","08/08/2014",64.37,65.22,64.32,65.18,60.64221,2175300
"CL","08/07/2014",64.97,65.07,64.31,64.45,59.96303,2797600
"CL","08/06/2014",63.92,65.25,63.92,64.8,60.28866,5742500
"CL","08/05/2014",63.5,64.07,63.48,63.77,59.33038,4336500
"CL","08/04/2014",63.88,64.13,63.56,63.76,59.32106,4342400
"CL","08/01/2014",63.06,64.67,62.89,63.95,59.49784,5261900
"CL","07/31/2014",64.73,64.99,63.4,63.4,58.98613,6849300
"CL","07/30/2014",66.46,66.73,66.02,66.11,61.50747,3740600
"CL","07/29/2014",67.07,67.32,66.26,66.36,61.74006,4919000
"CL","07/28/2014",67.64,67.89,67.09,67.33,62.64253,1711600
"CL","07/25/2014",68.1,68.17,67.53,67.59,62.88443,1594300
"CL","07/24/2014",68.33,68.34,67.99,68.11,63.36822,1917300
"CL","07/23/2014",68.6,68.69,67.97,68.17,63.42403,1919700
"CL","07/22/2014",68.76,68.99,68.4,68.59,63.8148,1965700
"CL","07/21/2014",68.56,68.89,68.44,68.76,63.97297,1516400
"CL","07/18/2014",68.78,69.01,68.55,68.9,64.10324,2395800
"CL","07/17/2014",69.36,69.5,68.6,68.6,63.82412,2366300
"CL","07/16/2014",69.6,69.9,69.33,69.45,64.61493,2499400
"CL","07/16/2014",0,0,0,0,0,0
"CL","07/15/2014",69.66,69.8,69.35,69.66,64.47539,2835200
"CL","07/14/2014",69.78,70.11,69.73,69.79,64.59571,2198500
"CL","07/11/2014",69.47,69.62,69.25,69.52,64.3458,1681500
"CL","07/10/2014",69.33,69.72,69.3,69.42,64.25324,2933900
"CL","07/09/2014",69.53,69.89,69.42,69.65,64.46613,2497500
"CL","07/08/2014",68.59,69.58,68.55,69.5,64.32728,3835000
"CL","07/07/2014",68.79,68.95,68.61,68.86,63.73494,1951800
"CL","07/03/2014",68.44,68.82,68.44,68.82,63.69789,1205500
"CL","07/02/2014",68.36,68.75,68.3,68.47,63.37393,1194200
"CL","07/01/2014",68.5,68.6,67.95,68.48,63.38321,2150000
"CL","06/30/2014",68.31,68.86,67.92,68.18,63.10552,2711400
"CL","06/27/2014",67.78,68.49,67.57,68.43,63.33692,4109300
"CL","06/26/2014",67.84,68.03,67.51,67.9,62.84636,2154600
"CL","06/25/2014",67.91,68.09,67.7,67.95,62.89264,2117200
"CL","06/24/2014",67.76,68.22,67.55,67.95,62.89264,2438700
"CL","06/23/2014",68.35,68.36,67.71,67.83,62.78157,2656100
"CL","06/20/2014",69.3,69.47,68.33,68.38,63.29065,4035200
"CL","06/19/2014",68.91,69.45,68.91,69.43,64.2625,3072200
"CL","06/18/2014",67.76,68.77,67.76,68.73,63.61461,2337700
"CL","06/17/2014",68.03,68.05,67.67,67.89,62.83712,1644400
"CL","06/16/2014",67.63,68.18,67.33,68.09,63.02224,1810000
"CL","06/13/2014",67.78,67.97,67.72,67.86,62.80935,1559000
"CL","06/12/2014",68.35,68.6,67.63,67.84,62.79082,2131500
"CL","06/11/2014",68.61,68.7,68.31,68.62,63.51279,2063900
"CL","06/10/2014",68.29,68.94,68.27,68.69,63.57756,2931800
"CL","06/09/2014",67.89,68.64,67.88,68.44,63.34618,2260000
"CL","06/06/2014",68.05,68.2,67.86,68.02,62.95744,2941800
