"symbol","date","open","high","low","close","adjclose","volume"
"CNP","12/31/2014",23.87,23.9,23.39,23.43,20.422,2303100
"CNP","12/30/2014",24.3,24.38,23.8,23.82,20.76193,2260600
"CNP","12/29/2014",23.93,24.35,23.93,24.29,21.17159,2916200
"CNP","12/26/2014",23.81,24.11,23.8,23.93,20.85781,2806900
"CNP","12/24/2014",23.45,23.8,23.43,23.76,20.70963,1894200
"CNP","12/23/2014",23.37,23.55,23.29,23.45,20.43943,2715900
"CNP","12/22/2014",23.11,23.29,22.88,23.27,20.28254,3546000
"CNP","12/19/2014",23.08,23.23,22.91,23.1,20.13437,6554700
"CNP","12/18/2014",22.55,23,22.49,23,20.0472,4709000
"CNP","12/17/2014",21.86,22.53,21.7,22.49,19.60267,5405400
"CNP","12/16/2014",21.53,22.25,21.41,21.71,18.92281,5647900
"CNP","12/15/2014",22.07,22.12,21.48,21.54,18.77464,5500300
"CNP","12/12/2014",22.51,22.59,22,22,19.17558,5688700
"CNP","12/11/2014",22.7,23,22.56,22.58,19.68112,4688400
"CNP","12/10/2014",23.43,23.48,22.52,22.65,19.74213,6864200
"CNP","12/09/2014",23.19,23.6,23.19,23.45,20.43943,3913300
"CNP","12/08/2014",23.52,23.83,23.21,23.3,20.30869,4249200
"CNP","12/05/2014",23.74,23.93,23.48,23.55,20.52659,3944600
"CNP","12/04/2014",24.06,24.17,23.87,23.92,20.84909,4794300
"CNP","12/03/2014",23.81,24.15,23.76,24.09,20.99727,3590000
"CNP","12/02/2014",23.47,23.9,23.41,23.77,20.71835,5478200
"CNP","12/01/2014",23.85,23.88,23.4,23.5,20.48301,5473000
"CNP","11/28/2014",24.25,24.37,23.85,23.94,20.86652,3599900
"CNP","11/26/2014",24.37,24.43,24.22,24.27,21.15416,1887800
"CNP","11/25/2014",24.42,24.44,24.15,24.31,21.18902,3464500
"CNP","11/24/2014",24.4,24.55,24.3,24.35,21.22388,2973200
"CNP","11/21/2014",24.59,24.61,24.18,24.34,21.21517,6072900
"CNP","11/20/2014",24.31,24.51,24.22,24.33,21.20646,1806000
"CNP","11/19/2014",24.5,24.63,24.34,24.38,21.25003,2604800
"CNP","11/18/2014",24.37,24.66,24.24,24.59,21.43307,2906000
"CNP","11/17/2014",24.05,24.45,23.95,24.38,21.25003,2971500
"CNP","11/14/2014",24.11,24.21,23.98,24.04,20.95368,3989700
"CNP","11/13/2014",24.62,24.73,24.16,24.19,21.08442,4326600
"CNP","11/12/2014",24.74,24.94,24.56,24.57,21.41564,5329600
"CNP","11/12/2014",0,0,0,0,0,0
"CNP","11/11/2014",25.43,25.56,25.13,25.3,21.84448,3106600
"CNP","11/10/2014",25.25,25.39,25.1,25.38,21.91355,3213700
"CNP","11/07/2014",24.98,25.27,24.92,25.23,21.78404,4157700
"CNP","11/06/2014",25.08,25.11,24.53,24.94,21.53364,5957100
"CNP","11/05/2014",24.95,25.21,24.43,25.13,21.6977,9388400
"CNP","11/04/2014",24.79,24.92,24.39,24.64,21.27462,4808700
"CNP","11/03/2014",24.63,25.1,24.56,24.88,21.48184,6256500
"CNP","10/31/2014",24.5,24.58,24.24,24.55,21.19691,5079900
"CNP","10/30/2014",24.22,24.56,24.18,24.41,21.07604,4420500
"CNP","10/29/2014",24.33,24.45,23.88,24.2,20.89472,2371000
"CNP","10/28/2014",24.1,24.29,24.04,24.29,20.97243,3193000
"CNP","10/27/2014",24.02,24.22,23.9,24.01,20.73067,3847700
"CNP","10/24/2014",23.88,24.14,23.8,24,20.72203,2016700
"CNP","10/23/2014",23.69,24.02,23.58,23.82,20.56662,3148200
"CNP","10/22/2014",23.87,24.16,23.51,23.52,20.3076,5155000
"CNP","10/21/2014",23.63,23.99,23.53,23.87,20.60979,3943400
"CNP","10/20/2014",23.16,23.65,23.06,23.54,20.32486,3750900
"CNP","10/17/2014",22.73,23.32,22.53,23.17,20.0054,7457600
"CNP","10/16/2014",21.9,22.83,21.77,22.55,19.47008,9922700
"CNP","10/15/2014",22.51,22.59,21.07,22.14,19.11607,9788900
"CNP","10/14/2014",23.28,23.31,22.63,22.81,19.69456,9142700
"CNP","10/13/2014",24.04,24.15,23.13,23.16,19.99676,10151100
"CNP","10/10/2014",24.29,24.46,23.94,24.08,20.79111,5240900
"CNP","10/09/2014",24.75,24.84,24.1,24.19,20.88608,4097900
"CNP","10/08/2014",24.47,24.79,24.41,24.75,21.36959,4941800
"CNP","10/07/2014",24.58,24.72,24.47,24.48,21.13648,3213800
"CNP","10/06/2014",24.75,24.84,24.51,24.62,21.25735,1999300
"CNP","10/03/2014",24.57,24.83,24.46,24.73,21.35233,2168500
"CNP","10/02/2014",24.54,24.68,24.43,24.53,21.17964,3064400
"CNP","10/01/2014",24.52,24.75,24.49,24.54,21.18828,2987000
"CNP","09/30/2014",24.49,24.7,24.39,24.47,21.12784,3960300
"CNP","09/29/2014",24.35,24.51,24.29,24.46,21.1192,3074000
"CNP","09/26/2014",23.94,24.5,23.81,24.39,21.05877,6338500
"CNP","09/25/2014",23.84,24.21,23.8,23.94,20.67023,4138900
"CNP","09/24/2014",23.89,24.01,23.79,23.87,20.60979,3851000
"CNP","09/23/2014",23.8,23.88,23.73,23.86,20.60116,5104800
"CNP","09/22/2014",24.17,24.17,23.83,23.85,20.59252,4821000
"CNP","09/19/2014",24.22,24.28,24.03,24.06,20.77384,7954100
"CNP","09/18/2014",24.37,24.43,24.14,24.22,20.91198,2475700
"CNP","09/17/2014",24.5,24.62,24.16,24.36,21.03287,4665200
"CNP","09/16/2014",24.23,24.53,24.22,24.43,21.0933,2780800
"CNP","09/15/2014",24.29,24.44,24.23,24.27,20.95516,2884600
"CNP","09/12/2014",24.67,24.7,24.19,24.25,20.93789,2217800
"CNP","09/11/2014",24.62,24.78,24.57,24.75,21.36959,1775700
"CNP","09/10/2014",24.69,24.74,24.5,24.61,21.24872,3226700
"CNP","09/09/2014",24.79,24.95,24.67,24.69,21.31779,2935500
"CNP","09/08/2014",25.02,25.09,24.75,24.85,21.45594,2578200
"CNP","09/05/2014",24.77,25.06,24.77,25.02,21.60272,2073500
"CNP","09/04/2014",24.84,24.92,24.62,24.75,21.36959,2362100
"CNP","09/03/2014",24.76,24.97,24.76,24.88,21.48184,1577300
"CNP","09/02/2014",24.85,24.9,24.61,24.74,21.36097,2273100
"CNP","08/29/2014",24.87,24.9,24.7,24.84,21.44731,2789100
"CNP","08/28/2014",24.55,24.85,24.55,24.84,21.44731,993200
"CNP","08/27/2014",24.61,24.72,24.55,24.63,21.26599,1759500
"CNP","08/26/2014",24.86,24.88,24.52,24.56,21.20555,1718700
"CNP","08/25/2014",24.55,24.85,24.53,24.79,21.40413,2845300
"CNP","08/22/2014",24.65,24.75,24.46,24.52,21.17101,2102600
"CNP","08/21/2014",24.74,24.9,24.67,24.69,21.31779,1732300
"CNP","08/20/2014",24.83,24.91,24.53,24.73,21.35233,2588500
"CNP","08/19/2014",24.4,24.66,24.38,24.65,21.28325,2548900
"CNP","08/18/2014",24.58,24.69,24.34,24.39,21.05877,2434200
"CNP","08/15/2014",24.5,24.7,24.29,24.51,21.16238,4625800
"CNP","08/14/2014",24.28,24.54,24.21,24.5,21.15374,2438800
"CNP","08/13/2014",24.17,24.35,24.07,24.23,20.92062,2980500
"CNP","08/13/2014",0,0,0,0,0,0
"CNP","08/12/2014",24.36,24.53,24.29,24.39,20.85327,3571700
"CNP","08/11/2014",24.36,24.55,24.26,24.36,20.82763,4147700
"CNP","08/08/2014",23.99,24.35,23.97,24.33,20.80198,2854600
"CNP","08/07/2014",23.6,24.01,23.6,23.88,20.41722,3876000
"CNP","08/06/2014",23.98,24.01,23.47,23.56,20.14363,9841000
"CNP","08/05/2014",24.3,24.36,23.87,23.94,20.46852,4632300
"CNP","08/04/2014",24.48,24.48,23.98,24.45,20.90457,5408500
"CNP","08/01/2014",24.29,24.65,24.25,24.49,20.93877,3434700
"CNP","07/31/2014",24.45,24.65,24.3,24.32,20.79342,4623500
"CNP","07/30/2014",25.02,25.1,24.48,24.56,20.99862,3241200
"CNP","07/29/2014",25.18,25.23,24.89,24.98,21.35772,2983300
"CNP","07/28/2014",24.84,25.24,24.83,25.15,21.50307,2244700
"CNP","07/25/2014",25.07,25.14,24.86,24.87,21.26367,1339600
"CNP","07/24/2014",25.05,25.22,24.91,25.16,21.51162,2250300
"CNP","07/23/2014",25.12,25.13,24.99,25,21.37482,1192200
"CNP","07/22/2014",25.17,25.28,25.12,25.12,21.47742,1288900
"CNP","07/21/2014",24.99,25.23,24.94,25.13,21.48597,2195700
"CNP","07/18/2014",25,25.1,24.8,25.07,21.43467,2906300
"CNP","07/17/2014",24.83,25.14,24.78,24.81,21.21237,3407500
"CNP","07/16/2014",24.9,24.95,24.69,24.92,21.30642,2523400
"CNP","07/15/2014",24.76,24.95,24.72,24.9,21.28932,2708000
"CNP","07/14/2014",25,25.09,24.69,24.72,21.13542,2253600
"CNP","07/11/2014",25.04,25.15,24.91,24.97,21.34917,1817400
"CNP","07/10/2014",24.85,25.06,24.77,25.06,21.42611,2049800
"CNP","07/09/2014",24.9,25.02,24.77,24.9,21.28932,2051900
"CNP","07/08/2014",24.74,25.03,24.74,24.83,21.22947,2977100
"CNP","07/07/2014",24.76,24.93,24.72,24.78,21.18672,2465900
"CNP","07/03/2014",24.92,25.01,24.66,24.77,21.17817,1931600
"CNP","07/02/2014",25.34,25.35,24.86,24.91,21.29787,2982100
"CNP","07/01/2014",25.58,25.62,25.38,25.38,21.69971,4410300
"CNP","06/30/2014",25.38,25.75,25.31,25.54,21.83652,6810900
"CNP","06/27/2014",25.16,25.41,25.08,25.36,21.68261,3334900
"CNP","06/26/2014",25.01,25.21,24.85,25.16,21.51162,5318200
"CNP","06/25/2014",24.71,25.09,24.71,25.06,21.42611,3452700
"CNP","06/24/2014",24.63,24.92,24.56,24.76,21.16962,9087400
"CNP","06/23/2014",24.65,24.78,24.56,24.61,21.04137,3397700
"CNP","06/20/2014",24.99,25.01,24.53,24.58,21.01572,12311000
"CNP","06/19/2014",24.8,24.99,24.74,24.97,21.34917,5703200
"CNP","06/18/2014",24.49,24.82,24.45,24.77,21.17817,5618200
"CNP","06/17/2014",24.55,24.61,24.17,24.48,20.93022,4779900
