"symbol","date","open","high","low","close","adjclose","volume"
"DHI","12/31/2014",25.03,25.62,25.03,25.29,24.47035,3382900
"DHI","12/30/2014",24.82,25.08,24.81,24.94,24.13169,2716100
"DHI","12/29/2014",24.95,25.31,24.79,24.9,24.09299,2930500
"DHI","12/26/2014",24.82,25.06,24.8,24.91,24.10266,1847300
"DHI","12/24/2014",24.81,24.95,24.7,24.8,23.99623,1303600
"DHI","12/23/2014",24.98,25.23,24.73,24.81,24.0059,3339400
"DHI","12/22/2014",24.8,25,24.54,24.95,24.14137,4023600
"DHI","12/19/2014",24.7,24.9,24.28,24.83,24.02526,8121500
"DHI","12/18/2014",24.48,24.6,24.12,24.47,23.67692,4066800
"DHI","12/17/2014",23.47,24.23,23.39,24.19,23.406,4707200
"DHI","12/16/2014",23.59,23.92,23.35,23.37,22.61257,4613600
"DHI","12/15/2014",23.86,24.3,23.67,23.78,23.00929,4502000
"DHI","12/12/2014",24.01,24.34,23.92,23.99,23.21248,6277400
"DHI","12/11/2014",24.15,24.68,23.76,24.36,23.57049,7415500
"DHI","12/10/2014",24.6,24.87,23.73,23.76,22.98993,6296100
"DHI","12/09/2014",24.66,25.08,24.41,24.63,23.83174,7340500
"DHI","12/08/2014",24.84,25.08,24.79,24.91,24.10266,3807600
"DHI","12/05/2014",24.53,25.04,24.45,24.89,24.08331,5538100
"DHI","12/04/2014",25.1,25.13,24.54,24.57,23.77368,7921000
"DHI","12/03/2014",25.34,25.57,25.07,25.1,24.28651,5381900
"DHI","12/02/2014",25.15,25.47,25.08,25.37,24.54775,3472500
"DHI","12/01/2014",25.49,25.49,25.05,25.1,24.28651,4397300
"DHI","11/28/2014",25.48,25.65,25.19,25.49,24.66386,2038000
"DHI","11/26/2014",25.49,25.56,25.08,25.36,24.53808,2948000
"DHI","11/26/2014",0,0,0,0,0,0
"DHI","11/25/2014",25.6,25.84,25.47,25.53,24.64161,5109700
"DHI","11/24/2014",25.6,25.89,25.53,25.58,24.68987,5810700
"DHI","11/21/2014",25.67,25.94,25.49,25.49,24.603,8477300
"DHI","11/20/2014",24.75,25.59,24.64,25.3,24.41961,9452100
"DHI","11/19/2014",24.57,24.93,24.57,24.86,23.99493,4962400
"DHI","11/18/2014",24.53,24.75,24.44,24.63,23.77293,4053200
"DHI","11/17/2014",24.24,24.6,24.2,24.49,23.6378,3969000
"DHI","11/14/2014",24.24,24.61,24.16,24.38,23.53163,3851000
"DHI","11/13/2014",24,24.4,24,24.29,23.44476,5674200
"DHI","11/12/2014",23.59,24.21,23.51,24.01,23.1745,8018800
"DHI","11/11/2014",23.3,24.27,23.25,23.95,23.11659,11141300
"DHI","11/10/2014",23.46,23.79,23.37,23.43,22.61469,8041800
