"symbol","date","open","high","low","close","adjclose","volume"
"DIS","12/31/2014",95.13,95.52,94.03,94.19,90.26827,4797000
"DIS","12/30/2014",95.21,95.5,94.5,94.7,90.75704,3490100
"DIS","12/29/2014",94.74,95.93,94.69,95.5,91.52373,3584400
"DIS","12/26/2014",94.74,95.31,94.52,95.03,91.0733,3142400
"DIS","12/24/2014",94.69,95.12,94.37,94.42,90.48869,2165700
"DIS","12/23/2014",94.48,95.07,94.4,94.69,90.74746,5385800
"DIS","12/22/2014",93.39,94.36,93.22,94.2,90.27785,7477500
"DIS","12/19/2014",92.34,93.2,91.88,92.89,89.0224,12837900
"DIS","12/18/2014",92.19,92.61,91.86,92.61,88.75406,9387500
"DIS","12/17/2014",90.36,91.68,90.2,91.38,87.57527,6885900
"DIS","12/16/2014",90.5,92,90.13,90.17,86.41565,6549400
"DIS","12/15/2014",92.03,92.69,90.19,90.9,87.11526,6746800
"DIS","12/12/2014",91.18,92.61,90.95,91.49,87.68069,7890900
"DIS","12/11/2014",91.09,92.66,90.66,91.75,87.92987,8227800
"DIS","12/11/2014",0,0,0,0,0,0
"DIS","12/10/2014",92.52,92.83,91.55,91.63,86.71275,10346100
"DIS","12/09/2014",93.51,93.57,91.76,92.94,87.95245,9519900
"DIS","12/08/2014",94.21,94.5,93.41,93.8,88.76631,6682200
"DIS","12/05/2014",93.69,93.98,93.34,93.76,88.72845,5226800
"DIS","12/04/2014",93.61,93.63,92.57,93.23,88.22688,6017300
"DIS","12/03/2014",93.54,93.66,92.5,93.11,88.11332,5492400
"DIS","12/02/2014",92.65,93.81,92.42,93.47,88.454,6664200
"DIS","12/01/2014",92.63,93.14,92.1,92.7,87.72533,6714700
"DIS","11/28/2014",92.53,92.96,92.23,92.51,87.54552,3853000
"DIS","11/26/2014",91.96,92.28,91.67,91.92,86.98718,4607200
"DIS","11/25/2014",90.71,91.92,90.71,91.65,86.73167,7404200
"DIS","11/24/2014",89.32,90.66,89.32,90.58,85.71909,6504100
"DIS","11/21/2014",89.69,89.8,88.76,88.96,84.18604,7383500
"DIS","11/20/2014",89.25,89.46,88.75,88.9,84.12925,8604000
"DIS","11/19/2014",90.26,90.28,89.19,89.82,84.99989,7710000
"DIS","11/18/2014",90.33,90.69,90.13,90.28,85.43519,4461600
"DIS","11/17/2014",90.5,90.78,90.05,90.41,85.55822,4148400
"DIS","11/14/2014",90.68,90.85,90.38,90.8,85.92729,4281100
"DIS","11/13/2014",90.1,90.71,90.03,90.49,85.63393,5098800
"DIS","11/12/2014",89.77,90.12,89.33,89.9,85.07558,5262500
"DIS","11/11/2014",90.01,90.03,89.13,89.98,85.15129,5896800
"DIS","11/10/2014",90.24,90.42,88.95,89.78,84.96202,8155700
"DIS","11/07/2014",89.39,90.02,88.65,90,85.17023,16176300
"DIS","11/06/2014",91.29,92,91.15,92,87.06289,9938800
"DIS","11/05/2014",91.6,91.6,89.59,91,86.11655,7021000
"DIS","11/04/2014",91.97,91.98,89.8,90.35,85.50144,7928500
"DIS","11/03/2014",91.24,91.82,91,91.71,86.78846,5447700
"DIS","10/31/2014",91.51,91.98,90.75,91.38,86.47616,7472200
"DIS","10/30/2014",89.44,90.54,88.91,90.22,85.37842,4445300
"DIS","10/29/2014",89.84,90.25,88.95,89.53,84.72544,5442100
"DIS","10/28/2014",89.04,89.96,88.95,89.93,85.10397,4554400
"DIS","10/27/2014",88.47,88.99,88.24,88.45,83.7034,5644300
"DIS","10/24/2014",87.91,88.66,87.58,88.61,83.85481,4937500
"DIS","10/23/2014",88.21,88.63,87.76,87.99,83.26808,7245300
"DIS","10/22/2014",87.94,88.61,86.98,87.1,82.42584,9314500
"DIS","10/21/2014",86.32,87.68,86.25,87.54,82.84223,9170400
"DIS","10/20/2014",84.23,85.61,84.15,85.52,80.93063,8302100
"DIS","10/17/2014",82.68,84.66,82.68,83.83,79.33132,12381800
"DIS","10/16/2014",79.93,82.47,79.55,81.74,77.35348,13216500
"DIS","10/15/2014",82.39,83.76,78.54,82.08,77.67525,21844400
"DIS","10/14/2014",84.75,85.52,83.9,84.14,79.62469,8607100
"DIS","10/13/2014",85.92,86.39,83.76,83.91,79.40704,9039800
"DIS","10/10/2014",85.92,87,85.4,86.27,81.64039,12675300
"DIS","10/09/2014",88.03,88.16,85.57,85.71,81.11044,8726200
"DIS","10/08/2014",87.06,88.15,86.33,88.11,83.38165,7008000
"DIS","10/07/2014",88,88.26,87.04,87.11,82.4353,6217600
"DIS","10/06/2014",88.79,89.18,88.07,88.56,83.80749,4047800
"DIS","10/03/2014",88.1,88.9,87.55,88.45,83.7034,7549000
"DIS","10/02/2014",87.5,87.66,84.65,86.79,82.13248,11051100
"DIS","10/01/2014",89.08,89.24,87.2,87.49,82.79492,7512500
"DIS","09/30/2014",88.84,89.54,88.54,89.03,84.25227,4824500
"DIS","09/29/2014",88.12,89.05,87.36,88.83,84.063,5188600
"DIS","09/26/2014",88.15,88.89,87.91,88.74,83.97783,5786400
"DIS","09/25/2014",89.26,89.6,88.06,88.07,83.34378,7077400
"DIS","09/24/2014",88.36,89.64,88.24,89.45,84.64973,5607000
"DIS","09/23/2014",89.12,89.24,88.23,88.31,83.57092,6155800
"DIS","09/22/2014",90.49,90.61,89.19,89.29,84.49832,5003000
"DIS","09/19/2014",90.8,91.15,90.39,90.49,85.63393,13382900
"DIS","09/18/2014",90.31,90.5,89.91,90.34,85.49197,4343600
"DIS","09/17/2014",90.58,90.77,89.97,90.33,85.48251,4058100
"DIS","09/16/2014",89.71,90.43,89.46,90.27,85.42572,4324600
"DIS","09/15/2014",89.74,90.37,89.56,90.08,85.24593,4910000
"DIS","09/12/2014",90.1,90.2,89.25,89.67,84.85792,3870200
"DIS","09/11/2014",89.2,90.04,89.06,89.97,85.14183,4065500
"DIS","09/10/2014",89.54,89.82,88.75,89.52,84.71598,5078600
"DIS","09/09/2014",90.5,90.54,89.51,89.6,84.79168,4797700
"DIS","09/08/2014",90.76,90.84,90.16,90.56,85.70015,4331200
"DIS","09/05/2014",90.14,90.94,90.1,90.94,86.05978,4597100
"DIS","09/04/2014",90.87,91.2,90.01,90.14,85.3027,5458700
"DIS","09/03/2014",91.06,91.16,90.67,90.94,86.05978,3684000
"DIS","09/02/2014",90.18,90.93,90.15,90.8,85.92729,5602000
"DIS","08/29/2014",90.32,90.38,89.33,89.88,85.05665,4179400
"DIS","08/28/2014",89.98,90.49,89.96,90.23,85.38787,2678400
