"symbol","date","open","high","low","close","adjclose","volume"
"DPS","12/31/2014",72.8,72.91,71.68,71.68,66.65396,871300
"DPS","12/30/2014",72.63,73.14,72.5,72.7,67.60247,813000
"DPS","12/29/2014",72.98,73.26,72.25,72.91,67.79773,599500
"DPS","12/26/2014",73.4,73.48,73.08,73.11,67.9837,461500
"DPS","12/24/2014",73.42,73.98,73.39,73.48,68.32776,500900
"DPS","12/23/2014",73.12,73.6,73,73.45,68.29987,936000
"DPS","12/22/2014",71.92,72.8,71.92,72.76,67.65825,1073000
"DPS","12/19/2014",72.21,72.84,71.32,71.66,66.63538,2703800
"DPS","12/18/2014",71.29,72.31,70.73,72.31,67.23979,2347600
"DPS","12/17/2014",69.83,70.79,69.71,70.51,65.56602,2068100
"DPS","12/16/2014",69.75,71.45,69.39,69.89,64.98948,1227900
"DPS","12/15/2014",70.58,70.89,69.78,69.91,65.00809,1364100
"DPS","12/12/2014",70.63,71.63,70.17,70.21,65.28705,1435500
"DPS","12/11/2014",70.88,71.68,70.71,71.03,66.04954,1283200
"DPS","12/11/2014",0,0,0,0,0,0
"DPS","12/10/2014",71.27,72.16,71.1,71.24,65.86358,1572100
"DPS","12/09/2014",71.24,71.84,70.5,71.25,65.87283,1631700
"DPS","12/08/2014",72.04,72.44,71.54,71.76,66.34434,1480000
"DPS","12/05/2014",71.99,72.25,71.58,71.94,66.51075,1389200
"DPS","12/04/2014",72.46,72.8,71.97,72.12,66.67716,1788500
"DPS","12/03/2014",73.48,73.68,72.29,72.4,66.93603,2774600
"DPS","12/02/2014",72.94,73.96,72.7,73.59,68.03622,2106400
"DPS","12/01/2014",72.84,73.66,72.46,73.03,67.51848,1529300
"DPS","11/28/2014",73.19,74.28,73.19,74,68.41529,708700
"DPS","11/26/2014",73.07,73.41,72.64,72.89,67.38905,1329300
"DPS","11/25/2014",72.65,73.73,72.55,73.26,67.73113,1764900
"DPS","11/24/2014",72.25,72.81,72.04,72.69,67.20415,1673500
"DPS","11/21/2014",72.55,72.63,71.59,71.98,66.54774,1815100
"DPS","11/20/2014",70.87,72.12,70.87,71.76,66.34434,1494300
"DPS","11/19/2014",71.17,71.2,70.69,71.18,65.8081,2333100
"DPS","11/18/2014",71.16,71.45,70.67,70.9,65.54925,1970700
"DPS","11/17/2014",70,70.77,69.83,70.75,65.41057,1258300
"DPS","11/14/2014",70.73,70.77,69.81,70.1,64.80962,1215100
"DPS","11/13/2014",70.83,71.5,70.19,70.71,65.37357,1408000
"DPS","11/12/2014",69.32,70.74,69.04,70.66,65.32735,1552700
"DPS","11/11/2014",70.48,70.56,69.62,69.74,64.47678,1254700
"DPS","11/10/2014",69.95,70.56,69.6,70.47,65.1517,1184700
"DPS","11/07/2014",69.93,70.35,69.49,69.95,64.67093,1168500
"DPS","11/06/2014",69.25,70.03,69.13,69.94,64.66169,1792300
"DPS","11/05/2014",70.98,70.99,68.84,69,63.79262,1889800
"DPS","11/04/2014",69.64,70.54,69.63,70.35,65.04075,1617500
"DPS","11/03/2014",69.09,69.69,69.08,69.53,64.28262,1468500
"DPS","10/31/2014",69.68,69.88,68.96,69.25,64.02376,1884300
"DPS","10/30/2014",67.87,69.26,67.52,68.94,63.73717,1683400
