"symbol","date","open","high","low","close","adjclose","volume"
"DTE","12/31/2014",88.37,88.5,86.25,86.37,78.73727,1094700
"DTE","12/30/2014",89.81,89.83,87.82,87.97,80.19587,714900
"DTE","12/29/2014",89.19,90.77,89.08,90.18,82.21056,1080300
"DTE","12/26/2014",88,89.43,88,89.32,81.42657,881100
"DTE","12/24/2014",86.48,88.15,86.48,87.94,80.16853,457200
"DTE","12/23/2014",86.54,86.86,86.21,86.41,78.77374,700100
"DTE","12/22/2014",85.75,86.24,85.2,86.23,78.60965,723100
"DTE","12/19/2014",85.74,86.49,85.4,85.75,78.17206,1872700
"DTE","12/18/2014",83.86,85.48,83.47,85.48,77.92592,828000
"DTE","12/17/2014",82.3,83.99,82.3,83.75,76.34881,1167500
"DTE","12/16/2014",81.62,83.47,81.13,82.07,74.81728,906700
"DTE","12/15/2014",82.21,82.76,80.91,81.54,74.33411,1221100
"DTE","12/12/2014",82.94,83.83,81.85,81.89,74.65318,936300
"DTE","12/11/2014",81.79,83.73,81.6,82.73,75.41894,887000
"DTE","12/11/2014",0,0,0,0,0,0
"DTE","12/10/2014",83.36,84.22,81.92,81.98,74.10621,1238100
"DTE","12/09/2014",82.46,83.57,82.31,83.31,75.30847,1100000
"DTE","12/08/2014",82.14,83.43,81.97,82.69,74.748,1332900
"DTE","12/05/2014",82.19,82.75,81.69,82,74.12428,710700
"DTE","12/04/2014",82.48,82.91,82,82.65,74.71185,896900
"DTE","12/03/2014",82.19,82.54,81.53,82.45,74.53106,949500
"DTE","12/02/2014",81.23,82.38,80.71,82.27,74.36834,989000
"DTE","12/01/2014",81.06,82.34,80.81,81.54,73.70846,1182900
"DTE","11/28/2014",81.08,82.15,80.72,81.46,73.63614,554000
"DTE","11/26/2014",80.63,80.96,80.3,80.67,72.92201,677700
"DTE","11/25/2014",80.64,80.64,79.89,80.39,72.66891,627300
"DTE","11/24/2014",80.79,81.04,80.42,80.53,72.79546,1088100
"DTE","11/21/2014",81.25,81.46,79.8,80.65,72.90394,1220400
"DTE","11/20/2014",81.12,81.25,80.42,80.64,72.8949,953800
"DTE","11/19/2014",81.22,81.55,80.68,81.21,73.41016,1130700
"DTE","11/18/2014",81.39,81.94,80.67,81.51,73.68134,1795800
"DTE","11/17/2014",79.59,81.13,79.59,81.1,73.31071,1020400
"DTE","11/14/2014",79.8,80.22,79.54,79.87,72.19886,1030700
"DTE","11/13/2014",81.12,81.48,79.62,79.78,72.11749,1650100
"DTE","11/12/2014",82.07,82.24,80.61,80.9,73.12994,1580000
"DTE","11/11/2014",83.61,83.67,82.45,82.79,74.8384,1170300
"DTE","11/10/2014",83.05,83.91,82.83,83.85,75.79659,720500
"DTE","11/07/2014",82.73,83.34,82.5,83.31,75.30847,850300
"DTE","11/06/2014",83.89,83.89,82.16,82.67,74.72992,2236000
"DTE","11/05/2014",82.95,84.42,82.48,84.16,76.07682,1896400
"DTE","11/04/2014",82.94,83.47,82.17,82.39,74.47684,643600
"DTE","11/03/2014",82.36,82.99,82.28,82.8,74.84744,967700
"DTE","10/31/2014",82.33,82.33,81.47,82.16,74.26891,1135000
"DTE","10/30/2014",80.22,82.01,80.13,81.99,74.11524,1355400
"DTE","10/29/2014",80.45,81.09,79.33,80.05,72.36157,1431300
"DTE","10/28/2014",80.64,81.21,80.1,81.2,73.40112,1530700
"DTE","10/27/2014",80,81.15,80,80.61,72.86779,1482200
"DTE","10/24/2014",80.12,80.96,79.86,80.2,72.49715,1547800
"DTE","10/23/2014",80.35,80.85,79.83,80,72.31638,1238200
"DTE","10/22/2014",79.97,80.78,79.59,79.86,72.18982,969100
"DTE","10/21/2014",79.13,79.85,78.77,79.75,72.09037,1386700
"DTE","10/20/2014",77,78.74,77,78.64,71.08699,1372600
"DTE","10/17/2014",77.05,77.42,75.76,76.98,69.58643,2901100
"DTE","10/16/2014",77.3,77.72,76.43,76.88,69.49603,2571800
"DTE","10/15/2014",79.56,80.25,76.35,77.9,70.41806,1690200
"DTE","10/14/2014",79.38,80.2,78.82,79.51,71.87344,2131200
"DTE","10/13/2014",78.68,79.88,78.44,78.9,71.32202,1290000
"DTE","10/10/2014",78.28,79.36,78.14,78.73,71.16835,1549000
"DTE","10/09/2014",79.29,80.2,77.8,77.87,70.39095,1966400
"DTE","10/08/2014",76.95,79.24,76.95,79.1,71.5028,1696100
"DTE","10/07/2014",76.67,77.7,76.63,77.02,69.62258,843500
"DTE","10/06/2014",76.92,77.37,76.49,76.85,69.4689,614000
