"symbol","date","open","high","low","close","adjclose","volume"
"ECL","12/31/2014",105.52,105.85,104.5,104.52,101.1747,1036500
"ECL","12/30/2014",106.6,106.83,105.23,105.27,101.9007,1158200
"ECL","12/29/2014",106.77,107.48,106.61,106.74,103.3236,990900
"ECL","12/26/2014",106.9,107.73,106.8,107.11,103.6818,661000
"ECL","12/24/2014",107.6,107.72,107.16,107.18,103.7495,417200
"ECL","12/23/2014",107.33,107.93,106.97,107.45,104.0109,1278500
"ECL","12/22/2014",106.76,107.06,106.08,106.83,103.4107,1344000
"ECL","12/19/2014",106.08,107.06,105.44,106.63,103.2171,1976800
"ECL","12/18/2014",105.42,106.17,104.49,105.29,101.92,2203800
"ECL","12/17/2014",102.36,104.6,102.09,104.43,101.0876,2495000
"ECL","12/16/2014",101.66,103.71,101.26,101.55,98.29976,1650600
"ECL","12/15/2014",103.36,103.88,101.68,102.03,98.76439,2096300
"ECL","12/12/2014",103.51,103.98,102.31,102.33,99.05478,1637400
"ECL","12/12/2014",0,0,0,0,0,0
"ECL","12/11/2014",104.36,105.58,103.72,104.64,100.9714,1689400
"ECL","12/10/2014",105.28,105.28,103.8,104.21,100.5565,2089400
"ECL","12/09/2014",102.81,105.61,102.52,105.45,101.753,1687800
"ECL","12/08/2014",107.93,108.37,103.65,103.85,100.2091,2827000
"ECL","12/05/2014",109.68,110.41,108.82,109.04,105.2171,1328300
"ECL","12/04/2014",109.2,109.82,108.85,109.53,105.69,1603300
"ECL","12/03/2014",106.13,109.3,106.07,109.25,105.4198,2633200
"ECL","12/02/2014",104,106.46,103.81,106.23,102.5057,2826600
"ECL","12/01/2014",106.6,108.01,103.92,104.3,100.6433,3253800
"ECL","11/28/2014",113.35,113.35,108.09,108.95,105.1303,1678100
"ECL","11/26/2014",113.31,113.8,112.5,113.75,109.762,787200
"ECL","11/25/2014",114.4,114.72,113.42,113.5,109.5208,1046200
"ECL","11/24/2014",114.57,114.81,113.55,114.5,110.4857,786700
"ECL","11/21/2014",114.53,115.19,114.14,114.56,110.5436,1051600
"ECL","11/20/2014",112.48,113.63,112.45,113.46,109.4822,590000
"ECL","11/19/2014",113.26,113.48,112.74,113.22,109.2506,913300
"ECL","11/18/2014",112.44,113.39,112,113.18,109.212,893200
"ECL","11/17/2014",112.34,113.13,112.13,112.19,108.2567,641400
"ECL","11/14/2014",112.84,112.88,112.18,112.41,108.469,1040400
"ECL","11/13/2014",113.3,113.67,112.44,112.95,108.9901,1061000
"ECL","11/12/2014",112.78,113.4,112.44,112.98,109.019,652000
"ECL","11/11/2014",112.15,113.37,111.95,112.79,108.8357,536900
"ECL","11/10/2014",112.45,112.82,112.17,112.73,108.7778,505100
"ECL","11/07/2014",112.02,112.63,111.95,112.48,108.5365,737200
"ECL","11/06/2014",110.82,111.99,110.27,111.94,108.0155,875300
"ECL","11/05/2014",110.16,110.81,109.5,110.46,106.5873,1325300
"ECL","11/04/2014",110.05,110.28,108.71,109.35,105.5163,1253500
"ECL","11/03/2014",111.64,111.64,109.89,110.1,106.24,1634500
"ECL","10/31/2014",109.91,111.35,109.05,111.23,107.3304,1526900
"ECL","10/30/2014",107.7,108.71,106.9,108.35,104.5513,865400
"ECL","10/29/2014",110.3,110.44,107.06,108.16,104.368,4439500
"ECL","10/28/2014",111.74,113.57,110.13,110.61,106.7321,1626700
"ECL","10/27/2014",112.54,112.54,110.26,110.64,106.761,1847800
"ECL","10/24/2014",112.56,112.99,111.66,112.72,108.7681,833800
"ECL","10/23/2014",113.72,113.72,112.3,112.56,108.6137,1080400
"ECL","10/22/2014",112.92,114.15,112.39,112.41,108.469,1398600
"ECL","10/21/2014",110.56,112.79,110.28,112.7,108.7488,1187200
"ECL","10/20/2014",107.98,109.96,107.92,109.95,106.0952,885100
"ECL","10/17/2014",106.22,109.19,106.22,107.89,104.1075,1865900
"ECL","10/16/2014",103.55,106.35,103.4,105.39,101.6951,2736400
