"symbol","date","open","high","low","close","adjclose","volume"
"EQIX","12/31/2014",229.6,230,225.76,226.73,204.2534,351000
"EQIX","12/30/2014",229.49,231.25,227.97,229.68,206.9109,279300
"EQIX","12/29/2014",232.71,233.54,229.7,229.98,207.1813,291100
"EQIX","12/26/2014",234.37,235.38,232.22,232.76,209.6856,324900
"EQIX","12/24/2014",233.23,234.28,232,233.16,210.046,153300
"EQIX","12/23/2014",235.47,235.47,231.83,231.98,208.983,304700
"EQIX","12/22/2014",234.81,235.84,232.66,233.6,210.4424,460200
"EQIX","12/19/2014",227.82,234.98,226.57,234.1,210.8928,1006100
"EQIX","12/18/2014",229.01,231.22,227.18,228.2,205.5777,1052700
"EQIX","12/17/2014",220,224.94,218.47,224.67,202.3976,454300
"EQIX","12/16/2014",220.34,223.22,217.68,220.02,198.2086,682200
"EQIX","12/15/2014",227.25,229.91,220.24,221.86,199.8662,1163100
"EQIX","12/12/2014",229.66,232.36,225.76,226.33,203.8931,1008400
"EQIX","12/11/2014",231.13,233.82,230.21,232.25,209.2262,652600
"EQIX","12/10/2014",229.85,231.39,228.23,229.73,206.956,919300
"EQIX","12/09/2014",225.93,231.14,225.04,229.86,207.0732,664000
"EQIX","12/08/2014",230.6,231.46,227.09,229.01,206.3074,375700
"EQIX","12/05/2014",231,232.23,229.94,231.68,208.7127,564400
"EQIX","12/04/2014",228.47,230.56,226.22,230.44,207.5957,420400
"EQIX","12/03/2014",225.69,228.35,224.61,227.87,205.2804,327000
"EQIX","12/02/2014",224.09,225.62,222.68,225.41,203.0643,406800
"EQIX","12/01/2014",227.15,227.22,224,224.18,201.9562,438400
"EQIX","11/28/2014",227,229.16,223.82,227.17,204.6498,284300
"EQIX","11/26/2014",226,226.85,224.65,226.46,204.0102,403400
"EQIX","11/25/2014",224.95,226.62,224,226.53,204.0733,527900
"EQIX","11/24/2014",223.74,224.57,221.19,224.5,202.2445,538100
"EQIX","11/21/2014",225.35,225.91,221.47,223.68,201.5058,469700
"EQIX","11/20/2014",223.82,224.81,221.23,222.57,200.5058,529400
"EQIX","11/19/2014",223.88,226.29,222.18,225.68,203.3075,323900
"EQIX","11/18/2014",223.77,226.74,223.04,225.11,202.794,440900
"EQIX","11/17/2014",222.83,224.3,220.84,224.27,202.0373,419900
"EQIX","11/14/2014",221.27,222.25,220.81,222.09,200.0734,477000
"EQIX","11/13/2014",222.18,224.15,221.72,221.97,199.9653,665400
"EQIX","11/12/2014",220.33,222.46,219.4,222.19,200.1635,741500
"EQIX","11/11/2014",218.41,222.88,216.87,222,199.9923,826700
"EQIX","11/10/2014",213.49,218.75,213.24,218.03,196.4159,759200
"EQIX","11/07/2014",215.73,215.73,212.82,214.03,192.8125,403000
"EQIX","11/06/2014",213.52,215.75,212.86,214.87,193.5692,475500
"EQIX","11/05/2014",212.93,213.56,208.84,212.85,191.7494,460800
"EQIX","11/04/2014",210.02,211.39,209.05,210.74,189.8486,678300
"EQIX","11/03/2014",208.84,210.92,208.04,210.82,189.9206,1358900
"EQIX","10/31/2014",210.65,210.9,206.93,208.9,188.191,884800
"EQIX","10/30/2014",194.44,207.86,192.02,207.37,186.8127,1641100
"EQIX","10/29/2014",193.66,194.96,189.55,192.43,173.3537,1262200
"EQIX","10/28/2014",192.78,193.89,191.93,193.01,173.8762,1244100
"EQIX","10/27/2014",194.7,195.86,190.5,191.96,172.9303,929700
"EQIX","10/24/2014",195.17,195.49,192.06,194.87,175.5518,923800
"EQIX","10/23/2014",196.54,199.06,195.33,197.73,178.1283,872500
"EQIX","10/23/2014",0,0,0,0,0,0
"EQIX","10/22/2014",206.81,207.52,200.13,200.46,173.7681,1513800
"EQIX","10/21/2014",204.38,208.63,204.23,207.05,179.4807,633900
"EQIX","10/20/2014",205.19,207.35,201.07,203.68,176.5594,846600
"EQIX","10/17/2014",195.17,208.59,195.17,206.38,178.8999,1275200
"EQIX","10/16/2014",190,194.56,190,192.24,166.6426,496800
"EQIX","10/15/2014",193.24,196.48,190.42,193.4,167.6482,843200
"EQIX","10/14/2014",193.86,196.3,192.99,196.26,170.1273,860600
"EQIX","10/13/2014",194.62,196.58,192.58,192.9,167.2148,693700
"EQIX","10/10/2014",200,201.13,193.66,194.12,168.2723,1100600
"EQIX","10/09/2014",206.65,207.41,199.88,200.7,173.9762,663500
"EQIX","10/08/2014",202.2,206.97,201.32,206.69,179.1685,664800
"EQIX","10/07/2014",204.94,205.84,201.93,202.33,175.3891,441700
"EQIX","10/06/2014",209.62,210.37,205.93,206.52,179.0212,545700
"EQIX","10/03/2014",205.44,209.88,205.05,208.77,180.9716,407800
"EQIX","10/02/2014",206.79,207.48,202.91,204.66,177.4089,655600
"EQIX","10/01/2014",212.41,212.41,205.34,206.4,178.9172,1170300
"EQIX","09/30/2014",211.84,213.54,210.36,212.48,184.1876,593700
"EQIX","09/29/2014",208.27,212.12,207.09,212.07,183.8322,483900
"EQIX","09/26/2014",206.17,210.25,205.51,209.71,181.7865,588000
"EQIX","09/25/2014",210.04,210.29,205.77,206.26,178.7958,531100
"EQIX","09/24/2014",208.69,210.5,208.05,210.09,182.1159,859600
"EQIX","09/23/2014",210.07,212.46,209.2,209.26,181.3964,594600
"EQIX","09/22/2014",216.38,216.54,212.5,214.24,185.7133,414700
"EQIX","09/19/2014",220.27,221.39,217.29,217.48,188.5218,1178900
"EQIX","09/18/2014",216.68,219.19,216.24,219.11,189.9348,522500
"EQIX","09/17/2014",216.96,218.13,215.64,216.74,187.8804,1302100
"EQIX","09/16/2014",215.45,218.2,215.26,216.61,187.7677,666900
"EQIX","09/15/2014",216.48,216.93,214.65,215.65,186.9355,338400
"EQIX","09/12/2014",217.43,218.06,213.91,216.73,187.8717,525200
"EQIX","09/11/2014",216.7,217.83,215.27,217.15,188.2358,345600
"EQIX","09/10/2014",217.58,218.45,216.09,217.77,188.7733,449700
"EQIX","09/09/2014",218.11,218.65,216.07,216.71,187.8544,346100
"EQIX","09/08/2014",218.81,219.92,217.83,218.92,189.7701,638800
"EQIX","09/05/2014",218.29,220.15,218.11,219.32,190.1169,825800
"EQIX","09/04/2014",218.58,220,218.11,218.66,189.5448,431900
"EQIX","09/03/2014",219.06,219.95,217.37,219.26,190.0648,546400
"EQIX","09/02/2014",217.65,219.97,217.62,219.45,190.2295,634200
"EQIX","08/29/2014",217.6,218.85,216.2,218.26,189.198,445100
"EQIX","08/28/2014",217.04,217.28,215.29,216.19,187.4036,434200
"EQIX","08/27/2014",218.8,218.8,216.57,217.38,188.4352,385000
"EQIX","08/26/2014",221.37,222.32,216.63,217.25,188.3225,600100
"EQIX","08/25/2014",224.13,224.13,220.14,221.69,192.1713,252800
"EQIX","08/22/2014",223.56,224.44,221.35,222.8,193.1335,964200
"EQIX","08/21/2014",220.94,224.48,219.69,223.58,193.8096,445800
"EQIX","08/20/2014",220.44,220.71,219,220.38,191.0357,420800
"EQIX","08/19/2014",219.8,221.79,216.53,220.7,191.3131,341000
"EQIX","08/18/2014",218.01,220.47,216.58,219.88,190.6023,551500
"EQIX","08/15/2014",218.63,218.63,215.12,216.95,188.0624,389200
"EQIX","08/14/2014",215.4,217.71,214.49,217.63,188.6519,362000
"EQIX","08/13/2014",212.71,215.39,211.62,214.87,186.2594,355200
"EQIX","08/12/2014",211.19,213,210.01,212.63,184.3176,436700
"EQIX","08/11/2014",210.54,213.2,209.31,211.37,183.2254,720900
"EQIX","08/08/2014",210.4,210.73,208.39,210.4,182.3846,491800
"EQIX","08/07/2014",210.3,211.61,207.55,209.6,181.6911,259800
"EQIX","08/06/2014",208.8,210.34,208.28,208.92,181.1016,306000
"EQIX","08/05/2014",210.74,212.42,208.92,210.62,182.5753,459500
"EQIX","08/04/2014",211.7,212.52,209.26,211.73,183.5375,493700
"EQIX","08/01/2014",213.56,214.99,209.3,211.38,183.2341,617800
"EQIX","07/31/2014",216,220.85,210,214.52,185.956,1502500
"EQIX","07/30/2014",214.55,217.81,214.55,215.75,187.0222,450800
"EQIX","07/29/2014",217.78,217.78,214.78,215.09,186.4501,509400
"EQIX","07/28/2014",217.56,219.61,216.7,217.33,188.3918,1152800
"EQIX","07/25/2014",215.9,218.53,215.61,218.01,188.9813,885400
"EQIX","07/24/2014",214.45,217.56,213.17,217.11,188.2011,635800
"EQIX","07/23/2014",213.64,216.03,212.48,215.51,186.8141,579200
"EQIX","07/22/2014",211,214.07,210.88,213.19,184.8031,497400
"EQIX","07/21/2014",209.65,211.1,208.58,210.38,182.3672,250500
"EQIX","07/18/2014",218.84,218.84,209.48,210.67,182.6186,332000
"EQIX","07/17/2014",209.62,210.53,207.76,208.53,180.7636,315000
"EQIX","07/16/2014",212.08,212.08,208.99,210.01,182.0465,407700
"EQIX","07/15/2014",211.2,212.43,210.11,211.46,183.3034,368100
"EQIX","07/14/2014",212.52,212.86,210.93,211.16,183.0434,627300
"EQIX","07/11/2014",211.86,212.49,210.74,211.41,183.2601,272100
"EQIX","07/10/2014",208.53,212.26,207.03,211.51,183.3468,688100
"EQIX","07/09/2014",210.06,212.69,208.92,212.59,184.283,793700
