"symbol","date","open","high","low","close","adjclose","volume"
"ETFC","12/31/2014",24.24,24.58,24.03,24.26,24.26,1854000
"ETFC","12/30/2014",24.25,24.25,23.94,24.1,24.1,1242400
"ETFC","12/29/2014",24.25,24.53,24.06,24.32,24.32,1251400
"ETFC","12/26/2014",24.5,24.58,23.58,24.3,24.3,1068900
"ETFC","12/24/2014",24.44,24.53,24.18,24.45,24.45,1223000
"ETFC","12/23/2014",24.35,24.45,24.25,24.27,24.27,1433800
"ETFC","12/22/2014",24.23,24.29,24.04,24.23,24.23,1660000
"ETFC","12/19/2014",23.94,24.22,23.83,24.17,24.17,3418000
"ETFC","12/18/2014",23.67,23.94,23.36,23.94,23.94,2709100
"ETFC","12/17/2014",22.39,23.35,22.22,23.26,23.26,3701000
"ETFC","12/16/2014",22.35,22.71,22.03,22.22,22.22,2517700
"ETFC","12/15/2014",22.77,23.05,22.29,22.56,22.56,3698400
"ETFC","12/12/2014",23.19,23.37,22.56,22.58,22.58,3747800
"ETFC","12/11/2014",23.64,24.09,23.47,23.52,23.52,2531200
"ETFC","12/10/2014",23.58,23.85,23.28,23.36,23.36,2836700
"ETFC","12/09/2014",23.25,23.84,23.09,23.64,23.64,2168200
"ETFC","12/08/2014",23.72,24.08,23.59,23.68,23.68,2347700
"ETFC","12/05/2014",23.5,24.08,23.28,23.86,23.86,3524000
"ETFC","12/04/2014",22.94,23.14,22.77,23.09,23.09,1574200
"ETFC","12/03/2014",22.6,23.06,22.4,23.04,23.04,2431500
"ETFC","12/02/2014",22.17,22.68,21.53,22.67,22.67,2166600
"ETFC","12/01/2014",22.66,22.77,21.85,22.06,22.06,3797500
"ETFC","11/28/2014",22.97,23,22.67,22.81,22.81,1128300
"ETFC","11/26/2014",22.84,23,22.73,22.9,22.9,1199100
"ETFC","11/25/2014",23.18,23.29,22.83,22.88,22.88,2340000
"ETFC","11/24/2014",23.14,23.32,22.93,23.17,23.17,1619900
"ETFC","11/21/2014",23.14,23.16,22.92,23.03,23.03,2736900
"ETFC","11/20/2014",22.4,22.84,22.09,22.83,22.83,2285200
"ETFC","11/19/2014",22.9,22.96,22.45,22.67,22.67,2113200
"ETFC","11/18/2014",22.89,23.3,22.86,22.91,22.91,1982300
"ETFC","11/17/2014",23.04,23.23,22.88,22.93,22.93,1896000
"ETFC","11/14/2014",23.07,23.3,21.94,23.19,23.19,2211400
"ETFC","11/13/2014",23.24,23.3,22.81,23.15,23.15,2600700
"ETFC","11/12/2014",23.29,23.36,22.57,22.83,22.83,3595200
"ETFC","11/11/2014",22.92,23.31,22.74,23.11,23.11,2706000
"ETFC","11/10/2014",22.26,22.9,22.21,22.89,22.89,2282000
"ETFC","11/07/2014",22.79,22.8,22.23,22.28,22.28,3471400
"ETFC","11/06/2014",22.73,22.94,22.62,22.83,22.83,2153900
"ETFC","11/05/2014",22.68,22.83,22.37,22.67,22.67,1784200
"ETFC","11/04/2014",22.33,22.47,22.04,22.44,22.44,2202100
"ETFC","11/03/2014",22.31,22.92,22.31,22.44,22.44,2704100
"ETFC","10/31/2014",22.22,22.63,21.96,22.3,22.3,3403500
"ETFC","10/30/2014",21.67,21.84,21.33,21.7,21.7,3331600
"ETFC","10/29/2014",21.46,21.86,21.21,21.8,21.8,5084700
"ETFC","10/28/2014",21.21,21.48,20.88,21.43,21.43,2044200
"ETFC","10/27/2014",21.14,21.14,20.69,21.09,21.09,2928900
"ETFC","10/24/2014",20.96,21.2,20.81,21.17,21.17,2070600
"ETFC","10/23/2014",21.01,21.24,20.78,20.95,20.95,4238500
"ETFC","10/22/2014",21.26,21.64,20.56,20.7,20.7,7340000
"ETFC","10/21/2014",20.64,21.14,20.48,20.94,20.94,3763400
"ETFC","10/20/2014",20.27,20.51,20,20.44,20.44,3731000
"ETFC","10/17/2014",20.22,20.55,19.84,20.12,20.12,4925700
"ETFC","10/16/2014",18.81,20.19,18.76,19.88,19.88,4846600
"ETFC","10/15/2014",18.76,19.43,18.2,19.36,19.36,7244300
"ETFC","10/14/2014",19.2,19.66,18.72,19.21,19.21,5966900
"ETFC","10/13/2014",19.44,19.69,18.98,19.09,19.09,5277300
"ETFC","10/10/2014",20.1,20.51,19.54,19.55,19.55,7051800
"ETFC","10/09/2014",21.2,21.3,20.34,20.36,20.36,5213500
"ETFC","10/08/2014",21.59,21.6,20.73,21.3,21.3,8206800
"ETFC","10/07/2014",22.22,22.39,21.51,21.51,21.51,3473200
"ETFC","10/06/2014",22.88,22.88,22.24,22.41,22.41,2189800
"ETFC","10/03/2014",22.4,22.83,22.22,22.76,22.76,3958600
"ETFC","10/02/2014",22,22.28,21.67,22.15,22.15,3165900
"ETFC","10/01/2014",22.52,22.58,21.93,22.03,22.03,3231300
"ETFC","09/30/2014",22.72,22.88,22.48,22.59,22.59,1961400
"ETFC","09/29/2014",22.52,22.79,22.38,22.64,22.64,2021500
"ETFC","09/26/2014",22.8,23.01,22.66,22.84,22.84,1953700
"ETFC","09/25/2014",23.44,23.52,22.61,22.7,22.7,3378000
"ETFC","09/24/2014",23.42,23.52,22.94,23.49,23.49,3316000
"ETFC","09/23/2014",23.5,23.72,23.24,23.35,23.35,2088200
"ETFC","09/22/2014",23.7,23.72,23.11,23.52,23.52,3197500
"ETFC","09/19/2014",24.16,24.38,23.51,23.73,23.73,5124400
"ETFC","09/18/2014",24.01,24.57,23.93,24.13,24.13,4447000
"ETFC","09/17/2014",23.39,24.15,23.09,23.87,23.87,5017300
"ETFC","09/16/2014",22.94,23.37,22.8,23.36,23.36,3445100
"ETFC","09/15/2014",23.04,23.08,22.74,22.99,22.99,3426400
"ETFC","09/12/2014",22.76,23.36,22.74,23.14,23.14,3737800
"ETFC","09/11/2014",22.58,22.76,22.4,22.71,22.71,2791600
"ETFC","09/10/2014",22.22,22.78,22.19,22.73,22.73,2015800
"ETFC","09/09/2014",22.34,22.44,22.03,22.17,22.17,1903600
"ETFC","09/08/2014",21.85,22.44,21.8,22.4,22.4,2517800
"ETFC","09/05/2014",21.83,21.95,21.53,21.91,21.91,1897900
"ETFC","09/04/2014",21.98,22.35,21.86,21.93,21.93,1939900
"ETFC","09/03/2014",22.2,22.52,21.79,21.85,21.85,2093600
"ETFC","09/02/2014",22.38,22.57,22.15,22.29,22.29,1714300
"ETFC","08/29/2014",22.24,22.47,22.18,22.26,22.26,1049500
"ETFC","08/28/2014",22.1,22.38,21.87,22.16,22.16,1110200
"ETFC","08/27/2014",22.54,22.77,22.26,22.28,22.28,1825000
"ETFC","08/26/2014",22.72,22.88,22.55,22.57,22.57,1516700
"ETFC","08/25/2014",22.6,22.77,22.5,22.68,22.68,1375700
"ETFC","08/22/2014",22.16,22.47,21.92,22.4,22.4,1670100
"ETFC","08/21/2014",21.82,22.21,21.64,22.16,22.16,1710300
"ETFC","08/20/2014",21.69,21.99,21.6,21.8,21.8,1750400
"ETFC","08/19/2014",21.71,21.79,21.56,21.76,21.76,1949200
"ETFC","08/18/2014",21.37,21.7,21.37,21.64,21.64,1974200
"ETFC","08/15/2014",21.61,21.63,21.04,21.35,21.35,2297400
"ETFC","08/14/2014",21.43,21.51,21.19,21.49,21.49,1469100
"ETFC","08/13/2014",20.91,21.48,20.88,21.34,21.34,1120000
"ETFC","08/12/2014",21.45,21.63,21.18,21.28,21.28,1918900
"ETFC","08/11/2014",21.41,21.69,21.25,21.51,21.51,1781900
"ETFC","08/08/2014",20.66,21.37,20.63,21.3,21.3,3599700
"ETFC","08/07/2014",21.13,21.32,20.54,20.57,20.57,2255500
"ETFC","08/06/2014",20.57,21.27,20.57,21.01,21.01,2406000
"ETFC","08/05/2014",20.78,21.08,20.66,20.71,20.71,3177100
"ETFC","08/04/2014",20.82,21.02,20.62,20.94,20.94,2142100
"ETFC","08/01/2014",20.94,21.05,20.37,20.75,20.75,4042500
"ETFC","07/31/2014",21.49,21.67,21.02,21.02,21.02,3674100
"ETFC","07/30/2014",21.18,21.7,21.04,21.69,21.69,4331400
"ETFC","07/29/2014",20.54,21.55,20.43,20.98,20.98,6818200
"ETFC","07/28/2014",20.43,20.73,20.38,20.5,20.5,3426000
"ETFC","07/25/2014",20.71,20.87,20.36,20.38,20.38,3988300
"ETFC","07/24/2014",20.62,21.13,20.13,20.73,20.73,7990700
"ETFC","07/23/2014",21.21,21.36,21,21.27,21.27,3067500
"ETFC","07/22/2014",21.49,21.54,21.03,21.09,21.09,3130900
"ETFC","07/21/2014",20.99,21.37,20.94,21.35,21.35,2866600
"ETFC","07/18/2014",20.72,21.5,20.7,21.4,21.4,4179400
"ETFC","07/17/2014",21.02,21.3,20.64,20.68,20.68,3557700
"ETFC","07/16/2014",21.3,21.47,21,21.12,21.12,4204600
"ETFC","07/15/2014",21.56,21.73,21.19,21.3,21.3,2574400
"ETFC","07/14/2014",21.91,22.04,21.42,21.42,21.42,3174600
"ETFC","07/11/2014",21.34,21.74,21.2,21.67,21.67,2650800
"ETFC","07/10/2014",20.92,21.59,20.76,21.43,21.43,3225200
"ETFC","07/09/2014",21.8,21.89,21.39,21.51,21.51,4259700
"ETFC","07/08/2014",22.36,22.44,21.59,21.79,21.79,5093900
"ETFC","07/07/2014",22.38,22.73,22.19,22.45,22.45,4446900
"ETFC","07/03/2014",22.41,22.95,22.35,22.77,22.77,4492900
"ETFC","07/02/2014",21.52,22.21,21.52,22.14,22.14,6543500
"ETFC","07/01/2014",21.32,21.93,21.22,21.66,21.66,5714700
"ETFC","06/30/2014",21.21,21.36,21.12,21.26,21.26,4591200
"ETFC","06/27/2014",20.83,21.28,20.83,21.21,21.21,6559000
"ETFC","06/26/2014",20.89,21.04,20.55,20.96,20.96,3668000
"ETFC","06/25/2014",20.67,21.28,20.55,20.95,20.95,4948600
"ETFC","06/24/2014",20.83,21.25,20.7,20.85,20.85,5103300
"ETFC","06/23/2014",21.28,21.34,20.96,20.97,20.97,3797700
"ETFC","06/20/2014",21.46,21.47,21.2,21.24,21.24,5211000
"ETFC","06/19/2014",21.95,21.97,21.22,21.28,21.28,6827300
"ETFC","06/18/2014",21.81,22.06,21.45,21.87,21.87,5549600
"ETFC","06/17/2014",20.37,22.19,20.37,22,22,9428500
"ETFC","06/16/2014",20.07,20.55,19.97,20.42,20.42,4309000
"ETFC","06/13/2014",20.06,20.42,19.97,20.17,20.17,3813200
"ETFC","06/12/2014",20.41,20.59,19.97,20.02,20.02,3679200
"ETFC","06/11/2014",20.64,20.78,20.29,20.48,20.48,3788100
"ETFC","06/10/2014",21.08,21.13,20.53,20.83,20.83,3880500
"ETFC","06/09/2014",20.67,21.22,20.6,21.15,21.15,4957700
"ETFC","06/06/2014",19.98,21.04,19.96,20.74,20.74,9459400
"ETFC","06/05/2014",19.78,20.07,19.7,19.87,19.87,3845700
"ETFC","06/04/2014",19.66,19.88,19.24,19.7,19.7,8276700
"ETFC","06/03/2014",20.33,20.42,19.65,19.66,19.66,5885800
"ETFC","06/02/2014",20.42,20.58,19.92,20.46,20.46,3496300
"ETFC","05/30/2014",20.32,20.79,20.26,20.37,20.37,3215900
"ETFC","05/29/2014",20.23,20.44,20.04,20.42,20.42,4383700
"ETFC","05/28/2014",20.19,20.32,19.87,20.19,20.19,2746900
"ETFC","05/27/2014",21.48,21.48,20.16,20.27,20.27,4220800
"ETFC","05/23/2014",20.43,20.46,20.22,20.32,20.32,1478400
"ETFC","05/22/2014",20.26,20.56,20.15,20.44,20.44,2492500
"ETFC","05/21/2014",19.91,20.32,19.81,20.25,20.25,3890500
"ETFC","05/20/2014",20.07,20.16,19.72,19.77,19.77,2532600
