"symbol","date","open","high","low","close","adjclose","volume"
"FB","12/31/2014",79.54,79.8,77.86,78.02,78.02,20040400
"FB","12/30/2014",79.85,80.59,79.1,79.22,79.22,14370800
"FB","12/29/2014",80.49,80.96,79.71,80.02,80.02,14134700
"FB","12/26/2014",81.02,81.28,80.51,80.78,80.78,10647400
"FB","12/24/2014",81.03,81.43,80.75,80.77,80.77,7685500
"FB","12/23/2014",82.02,82.17,80.4,80.61,80.61,19865800
"FB","12/22/2014",80.08,81.89,80,81.45,81.45,31395800
"FB","12/19/2014",78.75,80,78.33,79.88,79.88,43335000
"FB","12/18/2014",76.89,78.4,76.51,78.4,78.4,34222100
"FB","12/17/2014",75.01,76.41,74.9,76.11,76.11,29203900
"FB","12/16/2014",76.19,77.39,74.59,74.69,74.69,31554600
"FB","12/15/2014",78.46,78.58,76.56,76.99,76.99,29396500
"FB","12/12/2014",77.16,78.88,77.02,77.83,77.83,28091600
"FB","12/11/2014",76.52,78.52,76.48,77.73,77.73,33462100
"FB","12/10/2014",76.65,77.55,76.07,76.18,76.18,32210500
"FB","12/09/2014",75.2,76.93,74.78,76.84,76.84,25358600
"FB","12/08/2014",76.18,77.25,75.4,76.52,76.52,25733900
"FB","12/05/2014",75.8,76.76,75.36,76.36,76.36,24306400
"FB","12/04/2014",74.83,75.55,74.66,75.24,75.24,14362800
"FB","12/03/2014",75.38,75.73,74.4,74.88,74.88,16689900
"FB","12/02/2014",75.33,75.91,75.04,75.46,75.46,16773900
"FB","12/01/2014",77.26,77.31,74.8,75.1,75.1,31789900
"FB","11/28/2014",77.67,78.27,77.23,77.7,77.7,15992000
"FB","11/26/2014",75.53,77.78,75.51,77.62,77.62,32695300
"FB","11/25/2014",74.21,75.74,74.13,75.63,75.63,32250200
"FB","11/24/2014",73.54,74.35,73.35,74.01,74.01,22103800
"FB","11/21/2014",74.5,74.5,73.5,73.75,73.75,23060400
"FB","11/20/2014",72.8,73.99,72.51,73.6,73.6,19154900
"FB","11/19/2014",74.01,74.54,73.11,73.33,73.33,25441200
"FB","11/18/2014",74.45,74.8,73.9,74.34,74.34,20690500
"FB","11/17/2014",74.88,75.66,73.88,74.24,74.24,28701200
"FB","11/14/2014",74.27,74.93,74.04,74.88,74.88,19476900
"FB","11/13/2014",74.74,75.24,73.64,74.25,74.25,26448500
"FB","11/12/2014",74.28,75.14,73.54,74.72,74.72,26536600
"FB","11/11/2014",74.95,74.98,74.03,74.61,74.61,18715700
"FB","11/10/2014",75.36,75.48,74.61,75,75,21575100
"FB","11/07/2014",75.39,75.86,75.02,75.6,75.6,20774000
"FB","11/06/2014",74.89,75.6,74.31,75.26,75.26,21383000
"FB","11/05/2014",76.51,76.8,74.42,74.83,74.83,35913000
