"symbol","date","open","high","low","close","adjclose","volume"
"FCX","12/31/2014",23.55,23.67,23.19,23.36,22.67115,12414500
"FCX","12/30/2014",23.27,23.77,23.24,23.58,22.88466,14736600
"FCX","12/29/2014",23.58,23.75,23.19,23.26,22.5741,12152500
"FCX","12/26/2014",23.05,23.89,23.01,23.51,22.81673,11115300
"FCX","12/24/2014",22.67,23,22.51,22.91,22.23442,5619600
"FCX","12/23/2014",22.64,23.18,22.52,22.84,22.16648,11175800
"FCX","12/22/2014",23.48,23.52,22.36,22.55,21.88503,14568400
"FCX","12/19/2014",22.9,23.47,22.71,23.4,22.70997,23998400
"FCX","12/18/2014",22.59,22.83,22.16,22.82,22.14707,21206700
"FCX","12/17/2014",21.29,22.24,21.22,22.13,21.47742,22364900
"FCX","12/16/2014",21.27,21.95,20.94,21.19,20.56514,23220400
"FCX","12/15/2014",22.09,22.12,21.03,21.03,20.40986,22011500
"FCX","12/12/2014",22.98,22.99,21.77,21.78,21.13774,27925300
"FCX","12/11/2014",23.33,23.83,22.86,22.98,22.30235,26720400
"FCX","12/10/2014",24.92,25.01,23.95,23.96,23.25346,16762200
"FCX","12/09/2014",24.64,25.13,24.39,25.13,24.38895,21675900
"FCX","12/08/2014",25.92,26.15,25.07,25.13,24.38895,14821300
"FCX","12/05/2014",26.22,26.37,25.84,26.01,25.24301,9935800
"FCX","12/04/2014",26.6,26.84,26.29,26.43,25.65062,8734000
"FCX","12/03/2014",26.13,26.89,26.06,26.7,25.91266,14662700
"FCX","12/02/2014",25.76,26.49,25.45,25.87,25.10714,17127600
"FCX","12/01/2014",26.71,26.75,25.5,26.2,25.42741,21161500
"FCX","11/28/2014",27.36,27.38,26.64,26.85,26.05824,21626500
"FCX","11/26/2014",29.26,29.68,29.14,29.34,28.47481,7975000
"FCX","11/25/2014",29.06,29.38,29.05,29.28,28.41658,7990700
"FCX","11/24/2014",29.71,29.75,29.01,29.11,28.25159,10754000
"FCX","11/21/2014",29.75,29.92,29.25,29.59,28.71744,17097700
"FCX","11/20/2014",27.8,28.62,27.75,28.57,27.72751,8810200
"FCX","11/19/2014",28.18,28.26,27.67,28.08,27.25197,9737900
"FCX","11/18/2014",28.5,28.6,28.02,28.19,27.35872,11127200
"FCX","11/17/2014",28.23,28.58,27.97,28.42,27.58194,10184800
"FCX","11/14/2014",27.76,28.34,27.6,28.3,27.46548,12669400
"FCX","11/13/2014",28.61,28.71,27.82,27.9,27.07727,11509600
"FCX","11/12/2014",28.48,28.98,28.4,28.56,27.71781,11476800
"FCX","11/11/2014",27.95,28.51,27.9,28.43,27.59164,10499100
"FCX","11/10/2014",28.39,28.55,27.95,28.02,27.19374,11418600
"FCX","11/07/2014",27.75,28.39,27.75,28.34,27.5043,14414200
"FCX","11/06/2014",27.21,27.78,27.07,27.57,26.75701,13550400
"FCX","11/05/2014",27.72,27.82,27.1,27.13,26.32998,16168800
"FCX","11/04/2014",27.68,28.14,27.6,27.79,26.97052,10305000
"FCX","11/03/2014",28.7,28.78,27.6,27.79,26.97052,18723700
"FCX","10/31/2014",28.2,28.53,27.72,28.5,27.65958,14971000
"FCX","10/30/2014",28.63,28.64,28.06,28.08,27.25197,16474500
"FCX","10/29/2014",29.22,29.41,28.7,28.99,28.13513,25454000
"FCX","10/28/2014",29.98,30.04,28.64,29.03,28.17395,27699900
"FCX","10/27/2014",30.47,30.6,30.19,30.29,29.3968,15259100
"FCX","10/24/2014",30.76,30.96,30.57,30.8,29.89176,10725600
"FCX","10/23/2014",31.02,31.18,30.76,30.96,30.04704,10839300
"FCX","10/22/2014",31.57,31.68,30.89,30.89,29.9791,10494100
"FCX","10/21/2014",31.6,31.75,31.28,31.5,30.57111,11306100
"FCX","10/20/2014",30.55,30.94,30.46,30.76,29.85294,9478600
"FCX","10/17/2014",30.64,30.94,30.34,30.34,29.44532,12102700
"FCX","10/16/2014",29.49,30.75,29.42,30.24,29.34827,13667200
"FCX","10/15/2014",30.4,30.5,29.43,30.03,29.14446,20231800
"FCX","10/14/2014",31.12,31.54,30.62,30.79,29.88205,12609000
"FCX","10/13/2014",31.06,31.6,30.7,30.72,29.81412,11839100
"FCX","10/10/2014",30.78,31.47,30.46,30.66,29.75588,13808700
"FCX","10/10/2014",0,0,0,0,0,0
"FCX","10/09/2014",32.34,32.35,31.04,31.14,29.91796,13000500
"FCX","10/08/2014",31.67,32.34,31.26,32.3,31.03244,11356800
"FCX","10/07/2014",32.19,32.42,31.57,31.6,30.35991,12799600
"FCX","10/06/2014",32.46,32.91,31.95,32.49,31.21498,15101200
"FCX","10/03/2014",32.17,32.43,31.84,32.32,31.05165,12907100
"FCX","10/02/2014",31.9,32.12,31.25,32.07,30.81146,14230700
"FCX","10/01/2014",32.8,32.8,31.84,31.88,30.62892,13884600
"FCX","09/30/2014",32.69,32.78,32.29,32.65,31.3687,12312400
"FCX","09/29/2014",32.42,32.75,32.3,32.4,31.12852,7360400
"FCX","09/26/2014",32.65,32.92,32.58,32.87,31.58007,5333800
"FCX","09/25/2014",32.99,33,32.44,32.67,31.38792,9216400
"FCX","09/24/2014",33.1,33.4,32.8,33.25,31.94515,10398000
"FCX","09/23/2014",33.04,33.21,32.64,32.96,31.66653,9104700
"FCX","09/22/2014",33.63,33.69,33.08,33.17,31.86829,10698200
"FCX","09/19/2014",34.36,34.38,33.8,34.06,32.72337,8586800
"FCX","09/18/2014",34.41,34.65,34.17,34.31,32.96356,9330700
"FCX","09/17/2014",34.87,34.9,34.4,34.51,33.15571,8450400
"FCX","09/16/2014",34.3,35.1,34.12,34.89,33.52079,9558000
"FCX","09/15/2014",34.24,34.39,34.11,34.32,32.97317,4811400
"FCX","09/12/2014",34.39,34.61,34.1,34.24,32.89631,6336800
"FCX","09/11/2014",34.35,34.73,34.12,34.56,33.20375,6740500
"FCX","09/10/2014",34.35,34.62,33.91,34.56,33.20375,7824900
"FCX","09/09/2014",34.68,35,34.2,34.44,33.08846,7772800
"FCX","09/08/2014",34.96,35.02,34.74,34.91,33.54001,7045300
"FCX","09/05/2014",35.16,35.19,34.73,35.02,33.64569,12034600
"FCX","09/04/2014",35.32,35.67,35.05,35.22,33.83785,6082900
"FCX","09/03/2014",35.62,35.66,35.21,35.3,33.91471,6491200
"FCX","09/02/2014",36.04,36.22,35.45,35.49,34.09726,10918600
"FCX","08/29/2014",36.3,36.48,36.16,36.37,34.94271,4573100
"FCX","08/28/2014",36.14,36.17,35.63,36.16,34.74096,7663200
"FCX","08/27/2014",36.58,36.65,36.26,36.44,35.00997,5740300
"FCX","08/26/2014",36.54,36.63,36.3,36.39,34.96193,6707500
"FCX","08/25/2014",36.58,36.76,36.4,36.47,35.0388,4373200
"FCX","08/22/2014",36.62,36.62,36.3,36.44,35.00997,4128300
"FCX","08/21/2014",36.86,36.9,36.45,36.68,35.24055,5189100
"FCX","08/20/2014",36.42,37.1,36.38,36.98,35.52878,9754000
"FCX","08/19/2014",36.27,36.57,36.12,36.29,34.86586,5843800
"FCX","08/18/2014",36.1,36.39,36,36.37,34.94271,6405600
"FCX","08/15/2014",36.14,36.14,35.7,36.1,34.68331,6985600
"FCX","08/14/2014",35.95,36.08,35.78,36.05,34.63528,8077400
"FCX","08/13/2014",36.83,36.87,36.32,36.39,34.96193,7134600
"FCX","08/12/2014",36.74,37.07,36.68,36.88,35.43271,4620900
"FCX","08/11/2014",36.91,37.07,36.67,36.9,35.45192,6954700
"FCX","08/08/2014",36.13,36.57,36.01,36.49,35.05801,5753200
"FCX","08/07/2014",36.83,37,35.72,36.15,34.73135,12685800
"FCX","08/06/2014",36.59,37.53,36.57,36.7,35.25977,9300600
"FCX","08/05/2014",36.9,37.15,36.7,36.93,35.48074,5929600
"FCX","08/04/2014",37.03,37.32,36.84,37.24,35.77858,6426600
"FCX","08/01/2014",37.12,37.42,36.47,36.78,35.33663,10008800
"FCX","07/31/2014",37.51,37.77,37.14,37.22,35.75937,8271500
"FCX","07/30/2014",38.09,38.22,37.67,37.88,36.39346,6046000
"FCX","07/29/2014",38.04,38.26,37.88,37.91,36.42228,7732200
"FCX","07/28/2014",38.05,38.2,37.72,38.06,36.56639,7513000
"FCX","07/25/2014",37.43,38.22,37.35,37.99,36.49915,11138800
"FCX","07/24/2014",38.12,38.14,37.3,37.53,36.05719,16150300
"FCX","07/23/2014",38.7,39.05,38.28,38.55,37.03717,11631600
"FCX","07/22/2014",38.91,39.04,38.67,38.72,37.2005,9729300
"FCX","07/21/2014",38.3,38.75,38.27,38.67,37.15245,7194900
"FCX","07/18/2014",38.55,38.61,38.12,38.35,36.84501,8637100
"FCX","07/17/2014",38.6,38.85,38.33,38.5,36.98913,14014500
"FCX","07/16/2014",38.62,39,38.62,38.83,37.30618,8486700
"FCX","07/15/2014",38.69,38.87,38,38.29,36.78737,11065000
"FCX","07/14/2014",38.63,38.73,38.51,38.7,37.18128,6388400
"FCX","07/11/2014",38.63,38.81,38.31,38.71,37.19089,9705600
"FCX","07/11/2014",0,0,0,0,0,0
"FCX","07/10/2014",38.77,39.32,38.51,38.86,37.03429,13141400
"FCX","07/09/2014",38.95,39.3,38.74,39.04,37.20583,11054500
"FCX","07/08/2014",38.48,38.9,38.43,38.74,36.91992,12041400
"FCX","07/07/2014",38.47,38.9,38.29,38.67,36.85321,12834200
"FCX","07/03/2014",38.16,38.59,38.03,38.51,36.70073,12172000
"FCX","07/02/2014",37.03,37.99,36.99,37.83,36.05268,14137300
"FCX","07/01/2014",36.88,37.32,36.83,36.85,35.11872,11556400
"FCX","06/30/2014",35.98,36.51,35.66,36.5,34.78517,11345200
"FCX","06/27/2014",35.64,36.14,35.58,36.07,34.37536,8689300
"FCX","06/26/2014",35.79,35.93,35.49,35.7,34.02275,6065100
"FCX","06/25/2014",35.61,36.04,35.46,35.77,34.08946,7313500
"FCX","06/24/2014",35.96,36.15,35.56,35.66,33.98463,8812300
"FCX","06/23/2014",35.02,36.12,35,36.04,34.34677,13584500
"FCX","06/20/2014",34.56,34.91,34.35,34.86,33.22221,8908800
"FCX","06/19/2014",34.99,34.99,34.56,34.61,32.98396,7706400
"FCX","06/18/2014",34.08,34.84,33.9,34.79,33.15551,7674800
"FCX","06/17/2014",33.96,34.11,33.8,34.05,32.45027,5181600
"FCX","06/16/2014",34.06,34.1,33.81,34,32.40262,4635500
"FCX","06/13/2014",33.56,34.09,33.39,33.97,32.37403,6436400
"FCX","06/12/2014",33.87,34.01,33.52,33.67,32.08811,7158400
"FCX","06/11/2014",34.3,34.34,33.92,34.08,32.47887,6362600
"FCX","06/10/2014",34.54,34.68,34.08,34.36,32.7457,8408200
"FCX","06/09/2014",34.83,34.96,34.51,34.66,33.03161,7586500
"FCX","06/06/2014",34.52,34.98,34.33,34.93,33.28893,7249700
"FCX","06/05/2014",34.51,34.93,34.36,34.77,33.13644,7490400
"FCX","06/04/2014",33.97,34.62,33.84,34.51,32.88866,8947300
"FCX","06/03/2014",33.94,34.09,33.78,34.07,32.46933,4343100
"FCX","06/02/2014",34.32,34.34,33.98,34.12,32.51698,6475600
"FCX","05/30/2014",33.94,34.08,33.67,34.05,32.45027,10731300
"FCX","05/29/2014",33.85,34.39,33.81,34.27,32.65993,6381800
"FCX","05/28/2014",34,34.02,33.43,33.83,32.24061,8029500
"FCX","05/27/2014",34.44,34.46,33.91,33.96,32.36449,6863800
"FCX","05/23/2014",34.49,34.57,34.27,34.43,32.81242,6173300
"FCX","05/22/2014",34.42,34.52,34.21,34.3,32.68852,6503600
"FCX","05/21/2014",34.33,34.62,34.13,34.26,32.6504,6907200
"FCX","05/20/2014",34.87,34.87,34.17,34.44,32.82195,10030500
"FCX","05/19/2014",35.13,35.29,34.93,35.05,33.40329,5532000
"FCX","05/16/2014",35.2,35.21,34.52,34.99,33.3461,8784700
"FCX","05/15/2014",35.32,35.47,34.92,35.21,33.55577,8285200
"FCX","05/14/2014",35.63,35.88,35.42,35.5,33.83214,12660500
"FCX","05/13/2014",34.91,35.82,34.86,35.56,33.88933,12955100
"FCX","05/12/2014",34.51,35.23,34.46,34.89,33.2508,9810400
"FCX","05/09/2014",33.81,33.98,33.64,33.91,32.31685,6132500
"FCX","05/08/2014",33.85,34.12,33.63,33.84,32.25013,7345100
"FCX","05/07/2014",34.05,34.28,33.85,33.99,32.39309,7313900
"FCX","05/06/2014",34.05,34.15,33.78,33.84,32.25013,6739800
"FCX","05/05/2014",34.56,34.56,34.06,34.07,32.46933,7703700
"FCX","05/02/2014",34.31,34.95,34.11,34.68,33.05067,9087400
"FCX","05/01/2014",34.22,34.48,34.04,34.17,32.56463,6567700
"FCX","04/30/2014",34.25,34.4,34,34.37,32.75523,6133200
"FCX","04/29/2014",33.83,34.45,33.75,34.44,32.82195,9046400
"FCX","04/28/2014",34.04,34.05,33.51,33.89,32.29779,7778300
"FCX","04/25/2014",33.95,34.34,33.68,34.01,32.41214,7511700
"FCX","04/24/2014",34.28,34.48,33.8,33.93,32.3359,12376600
"FCX","04/23/2014",33.31,33.6,33.12,33.5,31.92611,7256000
"FCX","04/22/2014",33.05,33.49,32.73,33.3,31.7355,8483100
"FCX","04/21/2014",33.07,33.09,32.64,32.98,31.43054,4828800
"FCX","04/17/2014",33.06,33.29,32.99,33.01,31.45913,7186800
"FCX","04/16/2014",33.31,33.36,32.8,33.01,31.45913,6410800
"FCX","04/15/2014",32.83,33.08,32.35,33.01,31.45913,9316500
"FCX","04/14/2014",32.87,33.33,32.65,33.3,31.7355,9738100
"FCX","04/11/2014",32.76,33.15,32.5,32.56,31.03027,7898700
"FCX","04/11/2014",0,0,0,0,0,0
"FCX","04/10/2014",34,34,32.89,33.19,31.33238,12864600
"FCX","04/09/2014",33.63,34.17,33.46,33.98,32.07816,10178800
"FCX","04/08/2014",33.18,33.99,33.14,33.62,31.73831,13391500
"FCX","04/07/2014",33.27,33.56,32.85,33.08,31.22854,10664700
"FCX","04/04/2014",33.65,33.8,33.18,33.32,31.4551,9815400
"FCX","04/03/2014",33.63,33.66,33.23,33.41,31.54007,8074900
"FCX","04/02/2014",33.26,33.67,33.14,33.32,31.4551,10772100
"FCX","04/01/2014",33.01,33.29,32.64,32.92,31.07749,6962500
"FCX","03/31/2014",33.01,33.12,32.79,33.07,31.2191,6815000
"FCX","03/28/2014",32.82,33.09,32.65,32.86,31.02085,8679100
"FCX","03/27/2014",31.81,32.77,31.81,32.41,30.59603,9929200
"FCX","03/26/2014",32.27,32.33,31.64,31.69,29.91633,8995400
"FCX","03/25/2014",31.89,32.43,31.89,32.08,30.28451,8909800
"FCX","03/24/2014",32.25,32.3,31.5,31.62,29.85025,10665200
"FCX","03/21/2014",31.52,32.31,31.26,32.31,30.50164,23212100
"FCX","03/20/2014",30.78,31.08,30.57,30.9,29.17055,9039100
"FCX","03/19/2014",31.33,31.84,30.85,31.07,29.33103,14784300
"FCX","03/18/2014",31.42,31.67,31.27,31.63,29.85969,8445700
"FCX","03/17/2014",31.27,31.78,31.15,31.5,29.73697,12495700
"FCX","03/14/2014",30.71,31.27,30.68,31.06,29.32159,13581700
"FCX","03/13/2014",30.99,31.13,30.38,30.64,28.9251,11172600
"FCX","03/12/2014",30.81,31.43,30.74,30.77,29.04782,14057300
"FCX","03/11/2014",31.45,31.62,30.54,30.71,28.99118,19074900
"FCX","03/10/2014",31.69,31.69,30.87,31.38,29.62368,16031400
"FCX","03/07/2014",33.31,33.46,32.03,32.19,30.38835,24873400
"FCX","03/06/2014",33.96,34.21,33.71,33.83,31.93656,6516200
"FCX","03/05/2014",33.51,34.14,33.28,33.91,32.01208,8726600
"FCX","03/04/2014",33.12,33.63,32.92,33.53,31.65335,9433400
"FCX","03/03/2014",32.71,33.16,32.5,32.83,30.99253,17342700
"FCX","02/28/2014",33.1,33.2,32.41,32.62,30.79428,12450400
"FCX","02/27/2014",33.38,33.51,33.15,33.47,31.59671,5621200
"FCX","02/26/2014",32.86,33.58,32.84,33.41,31.54007,9190600
"FCX","02/25/2014",33.09,33.13,32.67,32.77,30.93588,14869100
