"symbol","date","open","high","low","close","adjclose","volume"
"FMC","12/31/2014",57.61,57.94,56.93,57.03,55.01609,941900
"FMC","12/30/2014",57.48,57.9,57.35,57.55,55.51773,602900
"FMC","12/29/2014",57.32,57.89,57.31,57.63,55.5949,669400
"FMC","12/29/2014",0,0,0,0,0,0
"FMC","12/26/2014",57.96,58,57.52,57.56,55.38268,518300
"FMC","12/24/2014",57.83,57.99,57.48,57.74,55.55587,356400
"FMC","12/23/2014",56.6,57.95,56.55,57.92,55.72905,1245400
"FMC","12/22/2014",56.78,57.12,55.83,56.51,54.3724,1399400
"FMC","12/19/2014",56.84,57.17,56.47,56.96,54.80537,2470900
"FMC","12/18/2014",57.71,57.72,55.39,56.5,54.36277,1805700
"FMC","12/17/2014",54.55,56.01,54.35,56,53.88169,1054300
"FMC","12/16/2014",54.81,55.67,54.24,54.3,52.24599,1292400
"FMC","12/15/2014",55.66,56.01,54.88,54.99,52.90989,1637700
"FMC","12/12/2014",55.44,55.51,54.98,55,52.91952,1887100
"FMC","12/11/2014",55.01,56.23,55.01,55.82,53.70849,1934500
"FMC","12/10/2014",56.06,56.37,54.98,55.16,53.07347,1256900
"FMC","12/09/2014",55.91,56.39,55.64,56.34,54.20882,910900
"FMC","12/08/2014",56.89,56.93,56.06,56.21,54.08375,1197800
"FMC","12/05/2014",55.41,57.42,55.27,56.96,54.80537,2186800
"FMC","12/04/2014",54.88,55.53,54.87,55.25,53.16006,970900
"FMC","12/03/2014",53.99,55.11,53.7,55.04,52.958,1884000
"FMC","12/02/2014",53.6,54.25,53.52,54.07,52.0247,1158200
"FMC","12/01/2014",54.29,54.72,53.7,53.75,51.7168,1517900
"FMC","11/28/2014",55.44,55.73,54.29,54.4,52.34222,546000
"FMC","11/26/2014",55.99,56.21,55.51,55.69,53.58342,849400
"FMC","11/25/2014",56.8,56.83,56.18,56.21,54.08375,918100
"FMC","11/24/2014",56.5,56.82,56.12,56.73,54.58407,1567200
"FMC","11/21/2014",56.89,57.17,56.33,56.5,54.36277,1191100
"FMC","11/20/2014",56.05,56.4,55.81,55.97,53.85283,1488700
"FMC","11/19/2014",56.8,56.8,56.14,56.37,54.23769,751900
"FMC","11/18/2014",56.43,56.96,56.29,56.79,54.6418,1461300
"FMC","11/17/2014",56.61,57.05,56.27,56.32,54.18959,1064600
"FMC","11/14/2014",56.39,56.84,56.33,56.62,54.47823,768600
"FMC","11/13/2014",56.9,57.06,56.07,56.39,54.25694,728400
"FMC","11/12/2014",56.68,56.82,56.34,56.76,54.61293,660300
"FMC","11/11/2014",56.8,57.23,56.67,56.82,54.67067,1374100
"FMC","11/10/2014",56.93,57.33,56.68,56.79,54.6418,1018800
"FMC","11/07/2014",57.24,57.46,56.81,57,54.84386,1380900
"FMC","11/06/2014",56.74,57.26,56.43,57.24,55.07478,1225300
"FMC","11/05/2014",56.05,56.67,55.78,56.62,54.47823,1038500
"FMC","11/04/2014",56.4,56.48,55.7,55.78,53.67001,1317400
"FMC","11/03/2014",57.48,57.71,56.09,56.26,54.13186,1355600
"FMC","10/31/2014",58.56,58.73,57.09,57.35,55.18062,2731700
"FMC","10/30/2014",55.49,58.47,55.15,58.12,55.92149,2971100
"FMC","10/29/2014",57.7,58,56.55,57.47,55.29609,2195900
"FMC","10/28/2014",57.11,57.79,56.87,57.78,55.59436,1398000
"FMC","10/27/2014",57.57,57.58,56.39,56.79,54.6418,1051400
"FMC","10/24/2014",58.13,58.38,57.28,58.12,55.92149,1036100
"FMC","10/23/2014",59.15,59.28,58.01,58.18,55.97923,1650800
"FMC","10/22/2014",59.6,59.67,58.34,58.45,56.23901,2326600
"FMC","10/21/2014",57.25,59.02,57.06,58.96,56.72972,1618000
"FMC","10/20/2014",56.34,56.84,56.33,56.8,54.65143,1216000
"FMC","10/17/2014",56.65,57.68,56.12,56.49,54.35316,1752200
"FMC","10/16/2014",54.08,56.49,53.75,56.14,54.01639,2593100
"FMC","10/15/2014",52.71,54.51,51.57,54.31,52.25563,2632000
"FMC","10/14/2014",51.48,53.56,51.04,52.82,50.82198,1987700
"FMC","10/13/2014",52.78,53.23,51.58,51.6,49.64812,1298500
"FMC","10/10/2014",53.35,53.92,52.64,52.75,50.75462,1163900
"FMC","10/09/2014",54.92,55.07,53.28,53.49,51.46664,1566900
"FMC","10/08/2014",55.07,55.19,54.34,54.87,52.79443,2193300
"FMC","10/07/2014",56.46,56.47,54.97,54.98,52.90027,2352700
"FMC","10/06/2014",57.22,57.64,56.99,56.99,54.83424,1355900
"FMC","10/03/2014",57.25,57.41,56.83,56.97,54.815,1533600
"FMC","10/02/2014",56.1,57.11,56,56.93,54.77651,2330600
"FMC","10/01/2014",56.69,57.16,56.16,56.31,54.17996,2137500
"FMC","09/30/2014",57.37,57.76,56.98,57.19,55.02667,3674300
"FMC","09/29/2014",57.87,58.07,57.31,57.45,55.27685,1164500
"FMC","09/26/2014",58.13,58.45,58.05,58.22,56.01772,1103200
"FMC","09/26/2014",0,0,0,0,0,0
"FMC","09/25/2014",59.29,59.35,58.08,58.22,55.87339,1952100
"FMC","09/24/2014",60,60.12,59.49,59.51,57.1114,1415400
"FMC","09/23/2014",60.41,60.55,60.01,60.03,57.61043,860500
"FMC","09/22/2014",60.77,60.87,60.36,60.4,57.96552,1084700
"FMC","09/19/2014",61.03,61.05,60.46,60.62,58.17665,1552300
"FMC","09/18/2014",61.38,61.75,60.74,60.87,58.41657,2468200
"FMC","09/17/2014",63.5,63.53,61.28,61.3,58.82925,3480000
"FMC","09/16/2014",63.38,63.43,62.89,63.22,60.67186,1000900
"FMC","09/15/2014",62.41,63.66,62.27,63.38,60.82541,1962500
"FMC","09/12/2014",63.66,63.67,62.08,62.43,59.9137,1625200
"FMC","09/11/2014",63.25,64.18,63.16,63.59,61.02695,1359300
"FMC","09/10/2014",64.01,64.02,63,63.51,60.95016,1768400
"FMC","09/09/2014",65.74,66.24,63.87,64.01,61.43002,1497800
"FMC","09/08/2014",65.61,66.65,65.61,66.12,63.45498,1569900
"FMC","09/05/2014",65.34,65.62,65.12,65.6,62.95593,540700
"FMC","09/04/2014",65.75,65.97,65.39,65.44,62.80238,1087800
"FMC","09/03/2014",66.12,66.32,65.58,65.7,63.0519,679800
"FMC","09/02/2014",66.27,66.33,65.51,65.97,63.31102,1051700
"FMC","08/29/2014",66.15,66.56,65.9,66.14,63.47418,764500
"FMC","08/28/2014",65.6,66.36,65.54,66.14,63.47418,1790700
"FMC","08/27/2014",65.53,65.98,65.52,65.72,63.07109,1189700
"FMC","08/26/2014",65.72,65.98,65.28,65.4,62.764,994700
"FMC","08/25/2014",65.75,65.83,65.37,65.53,62.88876,852600
"FMC","08/22/2014",65.85,66.25,65.04,65.36,62.72561,1136300
"FMC","08/21/2014",66.57,66.57,65.89,65.94,63.28223,1219700
"FMC","08/20/2014",66.34,66.87,66.11,66.42,63.74288,1026500
"FMC","08/19/2014",66.39,66.56,66.22,66.34,63.6661,805200
"FMC","08/18/2014",66.41,66.87,66.33,66.41,63.73329,1483900
"FMC","08/15/2014",66.64,66.83,65.29,66.04,63.37821,1785200
"FMC","08/14/2014",64.99,66.4,64.99,66,63.33981,3628500
"FMC","08/13/2014",65.11,65.54,64.69,64.69,62.08261,974500
"FMC","08/12/2014",64.85,65.2,64.54,64.79,62.17858,599100
"FMC","08/11/2014",65.18,65.6,64.86,64.9,62.28415,609500
"FMC","08/08/2014",64.51,65.06,64.29,64.97,62.35132,734600
"FMC","08/07/2014",64.92,65.03,64.05,64.18,61.59317,516500
"FMC","08/06/2014",64.7,64.99,64.5,64.8,62.18818,743500
"FMC","08/05/2014",65.33,65.44,64.47,64.81,62.19777,1111600
"FMC","08/04/2014",65.5,65.85,65.24,65.59,62.94633,1242900
"FMC","08/01/2014",64.95,65.63,64.94,65.48,62.84078,962100
"FMC","07/31/2014",66.95,67.46,65,65.22,62.59126,1648700
"FMC","07/30/2014",68.04,68.37,66.89,67.02,64.3187,1673400
