"symbol","date","open","high","low","close","adjclose","volume"
"FRT","12/31/2014",136.82,137.77,133.26,133.46,123.8159,311300
"FRT","12/30/2014",136.51,137.33,136.01,136.34,126.4877,186600
"FRT","12/30/2014",0,0,0,0,0,0
"FRT","12/29/2014",136.58,137.46,136.5,137.18,126.4599,276500
"FRT","12/26/2014",136.21,137.09,136.21,136.46,125.7962,104700
"FRT","12/24/2014",136.41,137.8,135.9,136.26,125.6118,89200
"FRT","12/23/2014",136.93,137.51,135.89,136.39,125.7316,219900
"FRT","12/22/2014",134.54,137.06,134.35,136.93,126.2294,229100
"FRT","12/19/2014",135.22,135.63,133.61,134.09,123.6114,809500
"FRT","12/18/2014",133.31,135.25,133.08,135.21,124.6438,414900
"FRT","12/17/2014",129.68,132.86,128.72,132.82,122.4406,381500
"FRT","12/16/2014",129.28,130.35,128.1,129.16,119.0666,456100
"FRT","12/15/2014",131.18,132.27,129.51,129.69,119.5552,401100
"FRT","12/12/2014",132.24,133.2,131.22,131.29,121.0302,268400
"FRT","12/11/2014",133.28,133.3,132.15,132.47,122.118,263700
"FRT","12/10/2014",132.78,133.5,131.85,132.56,122.2009,225200
"FRT","12/09/2014",131.98,133.52,131.98,133.09,122.6895,299900
"FRT","12/08/2014",131.99,134.04,131.99,133.12,122.7172,286200
"FRT","12/05/2014",132.6,132.6,131.2,132.39,122.0442,241500
"FRT","12/04/2014",132.31,133.08,131.91,132.81,122.4314,353400
"FRT","12/03/2014",132.53,133.18,132.11,132.68,122.3115,283300
"FRT","12/02/2014",131.62,132.61,130.81,132.53,122.1733,263400
"FRT","12/01/2014",132.25,133.24,131.8,131.95,121.6386,414300
"FRT","11/28/2014",133.26,134.9,132.41,132.66,122.2931,218800
"FRT","11/26/2014",131.07,133.01,130.71,132.95,122.5605,390100
"FRT","11/25/2014",130.9,131.3,130.68,130.79,120.5692,509400
"FRT","11/24/2014",130.68,132.19,130.68,131.05,120.809,422700
"FRT","11/21/2014",130.65,131.42,130.45,130.67,120.4586,450600
"FRT","11/20/2014",130.94,130.94,129.57,130.34,120.1544,354300
"FRT","11/19/2014",131.96,132.44,130.62,130.75,120.5324,427800
"FRT","11/18/2014",132.01,132.61,131.52,132.13,121.8045,337300
"FRT","11/17/2014",130.8,132.31,130.76,131.62,121.3344,276600
"FRT","11/14/2014",132.24,132.76,130.82,131.21,120.9564,234800
"FRT","11/13/2014",131.91,132.92,131.5,132.18,121.8506,429400
"FRT","11/12/2014",133.58,133.89,131.33,131.47,121.1961,591000
"FRT","11/11/2014",134.95,135.05,133.63,133.68,123.2334,335600
"FRT","11/10/2014",132.88,134.83,132.64,134.72,124.1921,403900
"FRT","11/07/2014",134.18,134.49,132.81,132.9,122.5144,739100
"FRT","11/06/2014",135.2,135.84,133.98,134.17,123.6851,369700
"FRT","11/05/2014",136.5,136.54,134.16,134.92,124.3765,360700
"FRT","11/04/2014",134.83,135.97,134.44,135.91,125.2891,295600
"FRT","11/03/2014",132.57,135.35,132.35,135.31,124.736,503100
"FRT","10/31/2014",133.6,133.6,130.22,131.8,121.5003,497700
"FRT","10/30/2014",130.21,131.09,129.43,131.09,120.8458,293600
"FRT","10/29/2014",129.83,130.56,129.06,130.5,120.3019,316800
"FRT","10/28/2014",129.2,130.09,128.69,130.09,119.924,249800
"FRT","10/27/2014",127.97,129.33,127.88,129.17,119.0759,367300
"FRT","10/24/2014",127.49,128.22,127.22,127.99,117.9881,241400
"FRT","10/23/2014",127.11,127.8,126.5,127.7,117.7207,381700
"FRT","10/22/2014",125.53,127.09,125.02,126.49,116.6053,341700
"FRT","10/21/2014",123.46,125.4,123.4,125.38,115.582,294000
"FRT","10/20/2014",122.01,123.62,121.97,123.57,113.9135,256600
"FRT","10/17/2014",123.18,123.18,120.77,122.14,112.5952,598600
"FRT","10/16/2014",121.55,122.52,120.16,122.17,112.6229,505700
"FRT","10/15/2014",121.66,123.72,120.9,122.55,112.9732,582400
"FRT","10/14/2014",120.18,122.84,120.18,122.45,112.881,455700
"FRT","10/13/2014",120.98,121.76,120.16,120.31,110.9082,428100
"FRT","10/10/2014",121.83,122.93,120.92,120.96,111.5074,319400
"FRT","10/09/2014",120.93,122.48,120.93,121.43,111.9407,364700
"FRT","10/08/2014",118.33,120.97,117.86,120.94,111.489,286200
"FRT","10/07/2014",119.12,119.63,118.2,118.28,109.0369,331100
"FRT","10/06/2014",119.45,120.16,119.01,119.78,110.4196,244800
"FRT","10/03/2014",118.92,119.67,118.13,119.28,109.9587,315600
"FRT","10/02/2014",118.88,119.29,117.57,118.57,109.3042,344500
"FRT","10/01/2014",118.44,119.51,118.02,118.71,109.4333,691500
"FRT","09/30/2014",119.02,119.18,117.62,118.46,109.2028,503500
"FRT","09/29/2014",117.78,118.64,117.25,118.59,109.3226,347300
"FRT","09/26/2014",117,118.73,116.63,118.54,109.2766,298100
"FRT","09/25/2014",117.47,117.93,116.5,117.12,107.9675,286400
"FRT","09/24/2014",118.42,119.19,117.28,117.5,108.3178,328700
"FRT","09/23/2014",118.68,119.36,118.14,118.18,108.9447,394600
"FRT","09/22/2014",119.26,119.59,118.36,118.85,109.5623,391600
"FRT","09/19/2014",119.2,119.97,118.98,119.39,110.0601,531000
"FRT","09/18/2014",120.52,120.71,119.08,119.1,109.7928,239100
"FRT","09/18/2014",0,0,0,0,0,0
"FRT","09/17/2014",120.99,122.04,120.54,121.19,110.9174,520200
"FRT","09/16/2014",119.68,121.15,119.04,120.59,110.3683,547700
"FRT","09/15/2014",120.17,120.7,119.35,119.58,109.4439,233800
"FRT","09/12/2014",123.24,123.24,119.15,119.78,109.627,357900
"FRT","09/11/2014",123.18,124.05,123,123.67,113.1872,208000
"FRT","09/10/2014",124.64,124.79,123.34,123.54,113.0683,321100
"FRT","09/09/2014",125.33,125.53,124.88,125.23,114.615,241600
"FRT","09/08/2014",125.51,125.83,124.89,125.65,114.9994,306100
"FRT","09/05/2014",124.9,126,124.84,125.72,115.0635,441800
