"symbol","date","open","high","low","close","adjclose","volume"
"HD","12/31/2014",104.75,106.02,104.56,104.97,98.48562,5821600
"HD","12/30/2014",104.44,104.74,103.85,104.27,97.82887,2927800
"HD","12/29/2014",103.58,104.8,103.26,104.53,98.0728,3492700
"HD","12/26/2014",103.98,104.32,103.48,103.75,97.34099,2594900
"HD","12/24/2014",104.05,104.38,103.56,103.56,97.16271,1819000
"HD","12/23/2014",103.66,104.2,103.32,103.76,97.35036,4067700
"HD","12/22/2014",102.25,103.57,102.23,103.5,97.10641,5418900
"HD","12/19/2014",100.92,102,100.81,101.93,95.6334,12500600
"HD","12/18/2014",100.34,100.69,99.3,100.67,94.45123,6594000
"HD","12/17/2014",97.59,99.14,97.09,98.94,92.8281,6096400
"HD","12/16/2014",99.38,100.23,96.99,97.06,91.06424,7829300
"HD","12/15/2014",100.01,101.24,99.29,100.05,93.86955,5488300
"HD","12/12/2014",99.69,101.25,99.39,99.78,93.61622,5983300
"HD","12/11/2014",99.28,101.4,99.15,100.27,94.07596,6864000
"HD","12/10/2014",99.36,100.23,98.82,98.94,92.8281,5357000
"HD","12/09/2014",99.69,99.98,98.59,99.64,93.48487,5280500
"HD","12/08/2014",99.71,100.95,99.66,100.43,94.22606,6624300
"HD","12/05/2014",98.77,99.68,98.66,99.64,93.48487,4649100
"HD","12/04/2014",98.15,99.11,97.78,98.95,92.83749,5220000
"HD","12/03/2014",98.1,98.74,98.04,98.59,92.49972,4357200
"HD","12/02/2014",98.62,99,97.99,98.16,92.0963,4677700
"HD","12/02/2014",0,0,0,0,0,0
"HD","12/01/2014",99.49,99.61,98.31,98.88,92.33083,4393700
"HD","11/28/2014",98.06,99.8,98,99.4,92.8164,3305800
"HD","11/26/2014",97.06,97.71,97.01,97.7,91.229,4337900
"HD","11/25/2014",98.64,98.87,96.41,97.01,90.58471,7992000
"HD","11/24/2014",98.68,98.9,98.22,98.4,91.88264,5043600
"HD","11/21/2014",98.98,99.1,97.82,98.28,91.77058,6806800
"HD","11/20/2014",96.08,97.97,96.02,97.57,91.1076,4958800
"HD","11/19/2014",96.55,97.31,96,96.7,90.29523,6831100
