"symbol","date","open","high","low","close","adjclose","volume"
"HOG","12/31/2014",66.4,66.61,65.83,65.91,60.81262,993300
"HOG","12/30/2014",66.38,66.55,65.95,66.33,61.20013,652100
"HOG","12/29/2014",65.64,66.85,65.49,66.36,61.22781,843500
"HOG","12/26/2014",65.84,66.25,65.64,65.78,60.69266,597700
"HOG","12/24/2014",65.86,65.97,65.36,65.56,60.48969,311200
"HOG","12/23/2014",65.53,66.25,65.42,65.6,60.52658,1067800
"HOG","12/22/2014",65.17,65.33,64.71,65.31,60.25902,1114600
"HOG","12/19/2014",64.64,65.28,64.2,64.79,59.77924,2484000
"HOG","12/18/2014",63.7,64.45,63.08,64.43,59.44707,1780100
"HOG","12/17/2014",62.96,63.15,61.59,62.98,58.10921,2658200
"HOG","12/16/2014",64.44,64.84,62.49,62.7,57.85087,4592300
"HOG","12/15/2014",66.87,67.55,66.17,66.35,61.21858,1326900
"HOG","12/12/2014",66.69,67.53,66.42,66.42,61.28317,1496500
"HOG","12/12/2014",0,0,0,0,0,0
"HOG","12/11/2014",67.88,68.76,67.22,67.39,61.92442,1393000
"HOG","12/10/2014",68.7,69.15,67.46,67.57,62.08983,1304900
"HOG","12/09/2014",68.56,69.24,67.83,68.96,63.36709,1490100
"HOG","12/08/2014",69.98,70.15,69.02,69.09,63.48654,1334800
"HOG","12/05/2014",69.74,70.41,69.54,70.15,64.46057,1191500
"HOG","12/04/2014",68.82,69.69,68.44,69.69,64.0379,1521300
"HOG","12/03/2014",68.28,69.61,68.28,69.14,63.53249,1133600
"HOG","12/02/2014",68.83,69.66,68.71,68.78,63.20171,838700
"HOG","12/01/2014",69.69,69.85,68.67,68.74,63.16494,1157000
"HOG","11/28/2014",68.5,69.94,68.5,69.68,64.02869,925500
"HOG","11/26/2014",69.17,69.45,68.21,68.29,62.75142,1320700
"HOG","11/25/2014",69.68,70.05,69.04,69.1,63.49574,1234500
"HOG","11/24/2014",69.05,69.78,68.95,69.29,63.67033,1517800
"HOG","11/21/2014",69.94,70.14,68.62,68.66,63.09143,1797300
"HOG","11/20/2014",68.78,69.92,68.66,69.36,63.73465,927700
"HOG","11/19/2014",68.61,69.36,68.49,69.2,63.58763,1028200
"HOG","11/18/2014",68.54,68.98,68.29,68.81,63.22926,1006000
"HOG","11/17/2014",68.25,68.67,68.17,68.64,63.07306,1100200
"HOG","11/14/2014",69.33,69.38,68.29,68.4,62.85252,2023000
"HOG","11/13/2014",67.18,67.72,67.07,67.65,62.16335,1158900
"HOG","11/12/2014",66.44,67.43,66.37,67.11,61.66713,1095700
"HOG","11/11/2014",66.5,67.39,66.48,66.73,61.31796,998700
"HOG","11/10/2014",66.02,66.66,65.81,66.48,61.08823,928000
"HOG","11/07/2014",65.57,66.29,65.41,66.04,60.68391,1256700
"HOG","11/06/2014",64.48,66.07,64.37,65.71,60.38068,1651400
"HOG","11/05/2014",64.6,64.64,64.03,64.36,59.14017,1760100
"HOG","11/04/2014",65.03,65.11,64.08,64.11,58.91044,1633000
"HOG","11/03/2014",65.86,65.89,65.04,65.28,59.98555,1153800
"HOG","10/31/2014",65.77,65.88,65.22,65.7,60.37149,2148400
"HOG","10/30/2014",63.7,65.63,63.61,64.94,59.67313,1882900
"HOG","10/29/2014",64.25,64.82,63.62,64.02,58.82774,1518600
"HOG","10/28/2014",63.6,64.61,63.48,64.45,59.22287,2009700
"HOG","10/27/2014",62.88,63.64,62.31,63.37,58.23046,1759500
"HOG","10/24/2014",62.91,63.45,62.21,63.35,58.21208,2197100
"HOG","10/23/2014",62.8,63.7,62.53,63.01,57.89966,2539700
"HOG","10/22/2014",62.52,62.75,61.84,61.94,56.91644,2705000
"HOG","10/21/2014",63,63.43,60.88,62.65,57.56886,6836400
"HOG","10/20/2014",58.62,58.7,57.88,58.38,53.64516,2993800
"HOG","10/17/2014",57.78,58.76,57.77,58.63,53.87489,3033100
"HOG","10/16/2014",54.5,57.24,54.42,57.08,52.45061,3085300
"HOG","10/15/2014",55.25,55.82,54.22,55.48,50.98037,3263900
"HOG","10/14/2014",56.74,57.35,56.24,56.4,51.82575,1870800
"HOG","10/13/2014",56.61,57.25,55.88,56.49,51.90845,1946100
"HOG","10/10/2014",57.25,57.73,56.45,56.46,51.88088,2435900
"HOG","10/09/2014",58.92,59.03,57.37,57.39,52.73546,1304100
"HOG","10/08/2014",57.78,59.07,57.18,58.97,54.18732,1527300
"HOG","10/07/2014",59.45,59.46,57.84,57.84,53.14896,2071800
"HOG","10/06/2014",60.62,60.8,59.63,59.85,54.99594,1937200
"HOG","10/03/2014",58.34,59.56,58.34,59.39,54.57325,1984500
"HOG","10/02/2014",57.5,58.31,57.48,58.11,53.39707,1889100
"HOG","10/01/2014",58.27,58.58,57.58,57.64,52.96519,2805300
"HOG","09/30/2014",59.22,59.3,58.08,58.2,53.47977,2108000
"HOG","09/29/2014",60,60.19,59.27,59.34,54.52731,1924300
"HOG","09/26/2014",60.86,61.04,60.24,60.54,55.62998,1989600
"HOG","09/25/2014",61.2,61.73,60.89,60.98,56.03429,2335100
"HOG","09/24/2014",61.92,62.14,60.75,60.98,56.03429,2699400
"HOG","09/23/2014",61.93,62.44,61.81,61.83,56.81536,1186700
"HOG","09/22/2014",62.26,62.78,61.95,62.18,57.13697,1121000
"HOG","09/19/2014",62.98,63.03,62.34,62.56,57.48616,2416200
"HOG","09/18/2014",62.54,63.17,62.34,62.64,57.55966,2135600
"HOG","09/17/2014",63.54,63.73,62.25,62.37,57.31157,2546300
"HOG","09/16/2014",64.23,64.24,63.51,63.57,58.41425,1848100
"HOG","09/15/2014",64.4,64.83,64.21,64.43,59.2045,1187300
"HOG","09/12/2014",64.73,64.89,64.23,64.42,59.19531,1378400
"HOG","09/12/2014",0,0,0,0,0,0
"HOG","09/11/2014",64.38,65.88,64.3,65.21,59.66852,3090200
"HOG","09/10/2014",64.8,64.86,63.95,64.27,58.80841,1371400
"HOG","09/09/2014",65.15,65.16,64.73,64.81,59.30252,958600
"HOG","09/08/2014",64.92,65.3,64.9,65.29,59.74174,1026500
"HOG","09/05/2014",63.9,65.43,63.69,65.32,59.76918,1608500
"HOG","09/04/2014",63.74,64.3,63.49,64.01,58.57051,1466900
"HOG","09/03/2014",63.74,63.74,63.23,63.48,58.08555,1059600
"HOG","09/02/2014",63.97,64.07,63.22,63.32,57.93915,884400
"HOG","08/29/2014",63.68,64.06,63.44,63.56,58.15875,571400
"HOG","08/28/2014",63.38,63.62,62.95,63.46,58.06725,538100
