"symbol","date","open","high","low","close","adjclose","volume"
"HP","12/31/2014",66.47,68.67,65.25,67.42,58.58145,1777300
"HP","12/30/2014",67.87,68.01,66.56,66.96,58.18177,1165700
"HP","12/29/2014",67.78,69.31,67.3,68.24,59.29395,1340600
"HP","12/26/2014",67.46,68.79,66.5,67.19,58.3816,1202000
"HP","12/24/2014",67.69,67.89,65.67,67.25,58.43373,810500
"HP","12/23/2014",69.75,70.41,66.85,67.91,59.00722,2042300
"HP","12/22/2014",71.05,71.05,67.93,69.93,60.7624,2759600
"HP","12/19/2014",67.69,71.91,67.01,71.85,62.43068,3402700
"HP","12/18/2014",67.49,68.04,64.75,66.43,57.72124,2198600
"HP","12/17/2014",61.5,66.19,61.17,65.02,56.49608,2591400
"HP","12/16/2014",60,63.53,59.24,60.49,52.55995,2658700
"HP","12/15/2014",60.69,62,60.09,60.41,52.49043,1826200
"HP","12/12/2014",60.74,62.39,60.34,60.34,52.42962,2015100
"HP","12/11/2014",63.94,64.19,61.35,61.67,53.58526,2521700
"HP","12/10/2014",63.18,63.18,61.23,61.98,53.85462,3934800
"HP","12/09/2014",62.37,64.82,61.44,64.53,56.07032,3433700
"HP","12/08/2014",66.26,66.26,62.14,62.42,54.23693,2618500
"HP","12/05/2014",68.47,68.99,66.21,67.44,58.59883,2066600
"HP","12/04/2014",69,70.11,68.3,68.91,59.87611,1704700
"HP","12/03/2014",69.22,70.69,68.83,69.99,60.81453,1845100
"HP","12/02/2014",68.02,71.44,68.02,68.83,59.8066,2571500
"HP","12/01/2014",68.88,69.77,66.99,69.07,60.01514,3036800
"HP","11/28/2014",73.84,73.99,68.79,69.55,60.43222,2847400
"HP","11/26/2014",79.66,80.41,77.3,77.73,67.53985,2008500
"HP","11/25/2014",80.84,81.41,79.01,79.49,69.06911,1626300
"HP","11/24/2014",81.35,82.34,80.03,80.55,69.99016,1895000
"HP","11/21/2014",81.95,84.12,80.8,81.81,71.08498,1918600
"HP","11/20/2014",77.97,80.59,77.81,80.36,69.82508,1540200
"HP","11/19/2014",78.24,78.5,77.04,77.97,67.74839,1470900
"HP","11/18/2014",76.26,78.99,76.26,77.9,67.68755,2326700
"HP","11/17/2014",78.71,79.16,76.67,78.25,67.99167,3433100
"HP","11/14/2014",79.79,81.11,77.77,79.01,68.65205,2787700
"HP","11/13/2014",82.08,84.47,77.33,79.79,69.32978,4410300
"HP","11/12/2014",84.4,87.42,84.21,85.56,74.34335,1887900
"HP","11/12/2014",0,0,0,0,0,0
"HP","11/11/2014",86.3,86.87,84.62,86.01,74.13655,1531300
"HP","11/10/2014",87.86,89.35,85.74,86.4,74.47272,1560700
"HP","11/07/2014",85.44,87.84,85.44,86.7,74.73131,1377100
"HP","11/06/2014",83.32,85.75,82.49,85.72,73.8866,1371400
"HP","11/05/2014",82.25,85.7,81,84.26,72.62815,1695200
"HP","11/04/2014",82.43,82.61,80.52,80.69,69.55098,1775900
"HP","11/03/2014",87.29,87.75,83.92,84.29,72.65401,2064800
"HP","10/31/2014",85.18,86.97,83.53,86.82,74.83473,1342100
"HP","10/30/2014",84.86,86.32,83.44,84.81,73.10221,1054500
"HP","10/29/2014",86.46,88.37,84.37,85.69,73.86073,1821700
"HP","10/28/2014",81.61,85.85,81.26,85.77,73.92967,2157100
