"symbol","date","open","high","low","close","adjclose","volume"
"HRS","12/31/2014",72.8,72.97,71.73,71.82,67.19328,369800
"HRS","12/30/2014",73.04,73.2,72.37,72.79,68.10079,459700
"HRS","12/29/2014",73.7,73.82,73.24,73.33,68.60601,214100
"HRS","12/26/2014",73.85,73.94,73.54,73.78,69.02702,147500
"HRS","12/24/2014",73.78,73.93,73.47,73.59,68.84926,122700
"HRS","12/23/2014",73.5,74.27,73.45,73.57,68.83054,351100
"HRS","12/22/2014",73.13,73.98,72.74,73.69,68.94281,476300
"HRS","12/19/2014",72.05,72.95,70.6,72.85,68.15693,993300
"HRS","12/18/2014",70.72,71.53,70.65,71.49,66.88454,748100
"HRS","12/17/2014",68.71,70.01,68.38,69.95,65.44375,562600
"HRS","12/16/2014",68.64,70.05,68.31,68.33,63.92811,653900
"HRS","12/15/2014",69.69,69.79,68.41,68.76,64.3304,513000
"HRS","12/12/2014",70.22,70.38,69.11,69.12,64.66722,454700
"HRS","12/11/2014",69.83,71.41,69.83,70.61,66.06123,561800
"HRS","12/10/2014",70.85,71.24,69.64,69.67,65.18178,814700
"HRS","12/09/2014",70.36,70.91,70.16,70.87,66.30447,897700
"HRS","12/08/2014",71.38,72.19,70.99,71.26,66.66936,953000
"HRS","12/05/2014",70.93,71.42,70.78,71.3,66.70678,804000
"HRS","12/04/2014",70.59,70.95,70.08,70.73,66.1735,1488300
"HRS","12/03/2014",70.43,71.09,68.44,70.36,65.82735,3529000
"HRS","12/02/2014",71.49,71.61,70.21,70.57,66.02381,791900
"HRS","12/01/2014",71.6,72.11,71,71.72,67.09974,492700
"HRS","11/28/2014",71.82,72,71.47,71.67,67.05294,306400
"HRS","11/26/2014",71.73,71.97,71.43,71.57,66.9594,368900
"HRS","11/25/2014",70.98,72.13,70.94,71.85,67.22134,583700
"HRS","11/24/2014",71.79,72,70.45,71.05,66.47289,887100
"HRS","11/21/2014",71.97,72.06,71.71,71.95,67.3149,550000
"HRS","11/20/2014",70.65,71.78,70.58,71.49,66.88454,484000
"HRS","11/19/2014",70.82,71.01,70.24,70.88,66.31384,393600
"HRS","11/18/2014",69.91,71.34,69.89,70.82,66.25771,660600
"HRS","11/18/2014",0,0,0,0,0,0
"HRS","11/17/2014",70.27,70.51,69.76,70.38,65.40633,512000
"HRS","11/14/2014",70.61,70.73,70.22,70.62,65.62936,356300
"HRS","11/13/2014",71.29,71.53,70.32,70.51,65.52714,442400
"HRS","11/12/2014",70.93,71.37,70.69,71.04,66.01968,448600
"HRS","11/11/2014",71.05,71.92,71.05,71.33,66.28921,488000
"HRS","11/10/2014",70.6,71.43,70.32,71.16,66.13121,551500
"HRS","11/07/2014",70.51,71.08,70.32,70.8,65.79664,505000
"HRS","11/06/2014",70.9,71.04,70.52,70.66,65.66654,528200
"HRS","11/05/2014",70.76,70.9,70.15,70.72,65.72229,466900
"HRS","11/04/2014",70.03,70.77,69.93,70.47,65.48996,547000
"HRS","11/03/2014",69.7,70.15,69.55,70.11,65.1554,550700
"HRS","10/31/2014",69.9,70.05,69.4,69.6,64.68144,660800
"HRS","10/30/2014",68.07,69.25,67.65,68.98,64.10526,645100
"HRS","10/29/2014",68.58,68.95,67.86,68.56,63.71495,698900
"HRS","10/28/2014",68.4,68.99,67.64,68.35,63.51978,762400
"HRS","10/27/2014",67.42,68.05,66.52,67.99,63.18521,807700
"HRS","10/24/2014",66.68,67.37,66.28,67.33,62.57186,318900
"HRS","10/23/2014",66.88,67.22,66.39,66.77,62.05143,320700
"HRS","10/22/2014",66.81,67.25,65.99,66.01,61.34515,760600
"HRS","10/21/2014",65.27,66.68,65.27,66.61,61.90275,503300
"HRS","10/20/2014",64.1,64.94,63.98,64.74,60.1649,624200
"HRS","10/17/2014",63.62,64.52,63.38,64.23,59.69094,698500
"HRS","10/16/2014",61.7,63.36,61.7,62.99,58.53857,551800
"HRS","10/15/2014",61.05,62.95,60.78,62.78,58.34341,858200
"HRS","10/14/2014",61.73,62.57,61.53,61.82,57.45124,476800
"HRS","10/13/2014",62.03,62.83,61.5,61.52,57.17245,588000
"HRS","10/10/2014",63.31,63.42,61.87,61.9,57.5256,787800
