"symbol","date","open","high","low","close","adjclose","volume"
"HUM","12/31/2014",145.81,148.14,143.48,143.63,141.0847,662700
"HUM","12/30/2014",144.35,146.14,144.15,145.77,143.1868,689400
"HUM","12/29/2014",144.75,145.43,143.05,144.48,141.9196,536000
"HUM","12/29/2014",0,0,0,0,0,0
"HUM","12/26/2014",145.12,145.74,144.31,145.07,142.2242,695700
"HUM","12/24/2014",145.16,145.23,144.19,144.38,141.5477,267300
"HUM","12/23/2014",147.49,148.04,143.74,144.69,141.8516,1300900
"HUM","12/22/2014",146.24,147.86,146.23,146.34,143.4693,1188500
"HUM","12/19/2014",149.84,151.52,146.42,146.47,143.5967,2094000
"HUM","12/18/2014",144.81,149.09,143.37,149.07,146.1457,1393800
"HUM","12/17/2014",141.21,144.47,141.21,143.33,140.5183,1194700
"HUM","12/16/2014",142.71,145.6,141,141.15,138.3811,1409100
"HUM","12/15/2014",144,144.54,141.01,143.08,140.2732,1051800
"HUM","12/12/2014",141.72,146,141.65,143.6,140.783,1421400
"HUM","12/11/2014",141.67,144.49,141.67,142.48,139.685,777200
"HUM","12/10/2014",142.25,142.79,140.4,141.44,138.6654,1333100
"HUM","12/09/2014",142.23,143.92,142.02,143.45,140.6359,699700
"HUM","12/08/2014",143.97,145.26,143.76,144.57,141.734,1121100
"HUM","12/05/2014",141.62,145.76,141.47,144.32,141.4889,2356100
"HUM","12/04/2014",141.12,141.58,139.52,141.12,138.3516,983000
"HUM","12/03/2014",141.12,144.3,140.56,141.71,138.9301,1475400
"HUM","12/02/2014",138.36,140.22,137.18,140.12,137.3713,1041800
"HUM","12/01/2014",137.65,140.62,137.26,139.08,136.3517,1114800
"HUM","11/28/2014",137.54,138.98,137.45,137.97,135.2634,814500
"HUM","11/26/2014",138.18,138.69,136.67,137.49,134.7929,806200
"HUM","11/25/2014",139.84,140.92,137.63,137.69,134.9889,1667400
"HUM","11/24/2014",137.3,140.46,136.71,139.84,137.0967,1388800
"HUM","11/21/2014",137.5,137.79,136.02,136.42,133.7439,1118300
"HUM","11/20/2014",136.12,136.71,135.38,136.2,133.5282,984600
"HUM","11/19/2014",139.02,139.44,136.17,136.56,133.8811,1041000
"HUM","11/18/2014",137.91,140.76,137.56,139.29,136.5576,1114700
"HUM","11/17/2014",136,138.09,135.57,137.47,134.7733,721900
"HUM","11/14/2014",138.11,138.43,135.41,135.77,133.1066,1179800
"HUM","11/13/2014",137.49,139.3,136.96,138.41,135.6948,1485700
"HUM","11/12/2014",136.09,137.75,134.44,137.25,134.5576,1376100
"HUM","11/11/2014",132.95,136.59,132.95,136.44,133.7635,1411100
"HUM","11/10/2014",131.51,133.21,131.16,132.46,129.8615,2620300
"HUM","11/07/2014",131.4,135.75,129.31,130.58,128.0184,5468300
"HUM","11/06/2014",139.06,140.65,138.73,139.87,137.1262,1395500
"HUM","11/05/2014",139.45,139.94,137.13,138.94,136.2144,1582000
"HUM","11/04/2014",138.5,139.65,137.22,137.75,135.0478,1138300
"HUM","11/03/2014",139,139.75,137.64,138.48,135.7634,818000
"HUM","10/31/2014",138.93,139.87,138.31,138.85,136.1262,1219100
"HUM","10/30/2014",134.51,138,134.51,137.18,134.489,847500
"HUM","10/29/2014",135,136.6,134.26,134.95,132.3027,741500
"HUM","10/28/2014",131.14,134.91,130.51,134.73,132.087,806800
"HUM","10/27/2014",133.1,133.71,132.44,132.73,130.1262,1092600
"HUM","10/24/2014",132.72,133.16,131.62,133.11,130.4988,610000
"HUM","10/23/2014",132.88,133.38,132.25,132.63,130.0282,727300
"HUM","10/22/2014",133.75,133.78,131.1,131.47,128.891,1497800
"HUM","10/21/2014",131.44,133.78,130.24,133.27,130.6557,924300
"HUM","10/20/2014",128.14,130.17,128.1,130.1,127.5478,868400
"HUM","10/17/2014",126.78,128.54,125.66,128.23,125.7145,1004500
"HUM","10/16/2014",122.96,129.48,122.96,125.73,123.2636,1668200
