"symbol","date","open","high","low","close","adjclose","volume"
"ICE","12/31/2014",44.422,44.552,43.858,43.858,39.15557,1710000
"ICE","12/30/2014",44.4,44.618,44.28,44.358,39.60197,2118000
"ICE","12/29/2014",44.474,44.838,44.298,44.426,39.66267,1892500
"ICE","12/26/2014",44.468,44.792,44.042,44.376,39.61803,2265000
"ICE","12/24/2014",44.734,45.088,44.304,44.346,39.59125,1460000
"ICE","12/23/2014",45.088,45.538,44.646,44.686,39.8948,3804500
"ICE","12/22/2014",44.296,45.146,44.296,45.018,40.19119,4237000
"ICE","12/19/2014",45.148,45.336,43.954,44.324,39.57161,7756000
"ICE","12/18/2014",44.452,44.802,44.336,44.798,39.99479,3213500
"ICE","12/17/2014",43.196,44.436,43.024,44.318,39.56626,4444000
"ICE","12/16/2014",43.85,43.85,42.94,42.994,38.38421,5262000
"ICE","12/15/2014",43.884,44.384,43.676,43.896,39.1895,3735500
"ICE","12/12/2014",44.722,45.108,43.782,43.818,39.11987,3837000
"ICE","12/12/2014",0,0,0,0,0,0
"ICE","12/11/2014",44.794,45.35,44.794,45.09,40.13942,5927000
"ICE","12/10/2014",44.886,45.068,44.592,44.61,39.71211,3708500
"ICE","12/09/2014",45.02,45.044,44.454,44.894,39.96493,4748000
"ICE","12/08/2014",44.87,45.418,44.65,45.168,40.20884,2776500
"ICE","12/05/2014",44.996,45.758,44.77,44.954,40.01834,3951500
"ICE","12/04/2014",45.312,45.542,45.05,45.41,40.42428,2818500
"ICE","12/03/2014",44.856,45.312,44.752,45.266,40.29609,3474000
"ICE","12/02/2014",44.902,45.174,44.696,44.946,40.01122,2796000
"ICE","12/01/2014",45.202,45.22,44.646,44.764,39.84921,2721500
"ICE","11/28/2014",44.39,45.332,44.074,45.198,40.23556,2720000
"ICE","11/26/2014",44,44.22,43.832,44.164,39.31508,2785500
"ICE","11/25/2014",44.254,44.478,43.91,44.216,39.36138,2830500
"ICE","11/24/2014",44.166,44.638,43.88,44.344,39.47532,3979500
"ICE","11/21/2014",44.25,44.448,43.876,44.058,39.22073,3354000
"ICE","11/20/2014",43.9,44.184,43.8,43.97,39.14238,2662500
"ICE","11/19/2014",44.206,44.248,43.82,44.144,39.29728,2471500
"ICE","11/18/2014",44.44,44.702,43.966,43.99,39.16019,3317500
"ICE","11/17/2014",44.312,44.848,44.224,44.44,39.56077,2262000
"ICE","11/14/2014",44.53,44.672,44.264,44.512,39.62488,3463500
"ICE","11/13/2014",44.37,44.71,44.11,44.642,39.7406,3992000
"ICE","11/12/2014",44.232,44.4,44.078,44.24,39.38274,4218000
"ICE","11/11/2014",43.846,44.29,43.816,44.248,39.38986,3190000
"ICE","11/10/2014",43.6,43.89,42.87,43.866,39.0498,3919500
"ICE","11/07/2014",44.092,44.092,43.65,43.708,38.90915,3727500
"ICE","11/06/2014",43.238,44.05,43.238,43.984,39.15485,4463000
"ICE","11/05/2014",43.668,43.992,43.248,43.484,38.70974,6165500
"ICE","11/04/2014",42.032,43.544,41.69,43.504,38.72755,7890000
"ICE","11/03/2014",41.69,42.23,41.69,41.958,37.35129,5635000
"ICE","10/31/2014",40.914,41.66,40.914,41.658,37.08423,3601500
"ICE","10/30/2014",41.052,41.22,40.52,40.746,36.27235,2953500
"ICE","10/29/2014",40.996,41.254,40.62,41.186,36.66405,2409000
"ICE","10/28/2014",41.166,41.32,40.736,41.082,36.57147,2290000
"ICE","10/27/2014",41.302,41.438,40.786,41.134,36.61776,2123500
"ICE","10/24/2014",40.672,41.346,40.65,41.318,36.78156,3524000
