"symbol","date","open","high","low","close","adjclose","volume"
"ISRG","12/31/2014",176.0633,178.6667,175.14,176.3133,176.3133,446700
"ISRG","12/30/2014",175.0967,177.5767,175.0833,175.3033,175.3033,323700
"ISRG","12/29/2014",177.3567,177.7867,175.8,176.5767,176.5767,331800
"ISRG","12/26/2014",177.13,178.2267,175.8533,177.08,177.08,243600
"ISRG","12/24/2014",176.2033,178.09,174.6,176.98,176.98,222900
"ISRG","12/23/2014",179.0033,179.3033,174.85,175.3867,175.3867,455400
"ISRG","12/22/2014",177.5433,179.61,175.1667,177.9467,177.9467,451200
"ISRG","12/19/2014",173.6067,178.2133,173.41,177.32,177.32,1454100
"ISRG","12/18/2014",171.5967,174.5033,170.3333,174.5033,174.5033,808500
"ISRG","12/17/2014",166.3433,170.85,165.84,170.07,170.07,784500
"ISRG","12/16/2014",166.5267,168.9267,165.5533,165.7233,165.7233,417300
"ISRG","12/15/2014",168.04,169.77,165.82,166.3367,166.3367,542400
"ISRG","12/12/2014",167,170.49,167,167.59,167.59,546300
"ISRG","12/11/2014",168.2,170.41,168,168.7067,168.7067,501600
"ISRG","12/10/2014",170.9767,170.9767,166.36,166.93,166.93,776100
"ISRG","12/09/2014",169.6667,171.81,168.54,171.6433,171.6433,518100
"ISRG","12/08/2014",167.1333,171.9333,167.1333,171.7067,171.7067,744300
"ISRG","12/05/2014",169.6667,171.58,169.34,169.6233,169.6233,357300
"ISRG","12/04/2014",170.8333,173.3167,169.6667,170.2333,170.2333,540600
"ISRG","12/03/2014",170.57,173.27,170.2967,172.87,172.87,474600
"ISRG","12/02/2014",171.98,172.0167,169.8467,170.7933,170.7933,538800
"ISRG","12/01/2014",171.9567,173.09,170.56,171.2433,171.2433,394200
"ISRG","11/28/2014",171.67,173.23,171.4467,172.59,172.59,282600
"ISRG","11/26/2014",168.08,172.0533,168.08,171.67,171.67,440400
"ISRG","11/25/2014",173.3333,174.55,171.7167,172.1633,172.1633,1036500
"ISRG","11/24/2014",171.6667,174.0933,171.2667,173.7767,173.7767,791100
"ISRG","11/21/2014",173.3333,173.3333,169.7067,171.81,171.81,792300
"ISRG","11/20/2014",170.61,171.77,170.4533,171.1733,171.1733,342000
"ISRG","11/19/2014",171.51,171.9133,170.48,171.01,171.01,632700
"ISRG","11/18/2014",170.1167,172.6167,170,172.0633,172.0633,666900
"ISRG","11/17/2014",170.1,172.7767,169.9833,170.4633,170.4633,520500
"ISRG","11/14/2014",172.47,172.61,170.25,170.7367,170.7367,588300
"ISRG","11/13/2014",171.45,174.47,171.38,172.0333,172.0333,1023000
"ISRG","11/12/2014",171.4467,172.27,169.8267,171.08,171.08,477600
"ISRG","11/11/2014",169.9467,171.6267,167.6667,171.4467,171.4467,775800
"ISRG","11/10/2014",166.3733,169.82,166.3733,169.6633,169.6633,803100
"ISRG","11/07/2014",170.1233,170.4667,165.6667,166.6733,166.6733,757200
"ISRG","11/06/2014",168.0033,170.7433,166.34,169.55,169.55,809100
