"symbol","date","open","high","low","close","adjclose","volume"
"KEY","12/31/2014",14.14,14.14,13.89,13.9,12.9915,5081400
"KEY","12/30/2014",14.01,14.18,13.91,14.1,13.17843,4651900
"KEY","12/29/2014",13.98,14.16,13.96,14.07,13.15039,4590200
"KEY","12/26/2014",14.02,14.09,13.98,14,13.08496,2502400
"KEY","12/24/2014",14.1,14.1,13.95,14.01,13.09431,2391800
"KEY","12/23/2014",13.89,14.1,13.84,14.06,13.14104,5105100
"KEY","12/22/2014",13.81,13.86,13.74,13.84,12.93542,6788200
"KEY","12/19/2014",13.83,13.92,13.79,13.8,12.89804,13703900
"KEY","12/18/2014",13.6,13.81,13.58,13.81,12.90738,9273100
"KEY","12/17/2014",13.18,13.48,13.11,13.43,12.55222,13780100
"KEY","12/16/2014",13.02,13.31,13,13.11,12.25313,15726400
"KEY","12/15/2014",13.34,13.44,13.1,13.11,12.25313,14229200
"KEY","12/12/2014",13.42,13.51,13.28,13.3,12.43072,9526400
"KEY","12/11/2014",13.58,13.68,13.48,13.53,12.64568,7512500
"KEY","12/10/2014",13.79,13.89,13.46,13.48,12.59895,10956400
"KEY","12/09/2014",13.64,13.83,13.56,13.82,12.91673,8360400
"KEY","12/08/2014",13.78,13.97,13.69,13.73,12.83261,7976100
"KEY","12/05/2014",13.59,13.92,13.59,13.78,12.87934,12666000
"KEY","12/04/2014",13.34,13.5,13.3,13.49,12.6083,11942600
"KEY","12/03/2014",13.2,13.37,13.19,13.32,12.44941,8244300
"KEY","12/02/2014",13.21,13.4,13.16,13.2,12.33725,11577200
"KEY","12/01/2014",13.44,13.46,13.04,13.18,12.31856,17273000
"KEY","11/28/2014",13.64,13.66,13.47,13.5,12.61764,5158900
"KEY","11/28/2014",0,0,0,0,0,0
"KEY","11/26/2014",13.52,13.63,13.52,13.62,12.66905,6521200
"KEY","11/25/2014",13.57,13.58,13.47,13.54,12.59464,11647000
"KEY","11/24/2014",13.32,13.56,13.32,13.53,12.58533,13013500
"KEY","11/21/2014",13.38,13.51,13.23,13.24,12.31558,8791000
"KEY","11/20/2014",13.17,13.35,13.16,13.35,12.4179,6733100
"KEY","11/19/2014",13.31,13.32,13.17,13.29,12.36209,9216100
"KEY","11/18/2014",13.26,13.34,13.19,13.31,12.38069,11595200
"KEY","11/17/2014",13.3,13.33,13.2,13.24,12.31558,8666100
"KEY","11/14/2014",13.41,13.5,13.31,13.35,12.4179,7740900
"KEY","11/13/2014",13.46,13.53,13.36,13.45,12.51092,9893600
"KEY","11/12/2014",13.39,13.52,13.39,13.48,12.53883,8028200
"KEY","11/11/2014",13.47,13.54,13.42,13.48,12.53883,5476800
"KEY","11/10/2014",13.36,13.51,13.35,13.48,12.53883,5061100
"KEY","11/07/2014",13.43,13.5,13.32,13.39,12.45511,7201800
"KEY","11/06/2014",13.38,13.5,13.29,13.48,12.53883,7552800
"KEY","11/05/2014",13.35,13.38,13.19,13.32,12.39,9318600
"KEY","11/04/2014",13.24,13.28,13.1,13.25,12.32488,7629400
"KEY","11/03/2014",13.19,13.31,13.15,13.22,12.29698,11754500
"KEY","10/31/2014",13.25,13.28,13.12,13.2,12.27838,15564000
"KEY","10/30/2014",13.07,13.15,12.95,13.04,12.12955,13566400
"KEY","10/29/2014",12.96,13.16,12.91,13.11,12.19466,8078000
"KEY","10/28/2014",12.82,13.03,12.81,13,12.09234,7594800
"KEY","10/27/2014",12.76,12.8,12.71,12.79,11.897,6264600
"KEY","10/24/2014",12.7,12.79,12.68,12.79,11.897,7344700
"KEY","10/23/2014",12.73,12.83,12.67,12.7,11.81329,10407700
"KEY","10/22/2014",12.69,12.76,12.52,12.58,11.70166,16548000
"KEY","10/21/2014",12.59,12.72,12.55,12.63,11.74817,14156900
"KEY","10/20/2014",12.41,12.52,12.37,12.5,11.62725,11995300
"KEY","10/17/2014",12.3,12.41,12.14,12.35,11.48772,20074700
"KEY","10/16/2014",11.81,12.28,11.72,12.19,11.33889,21244700
"KEY","10/15/2014",11.7,12.36,11.55,12.14,11.29238,45868700
"KEY","10/14/2014",12.8,13.02,12.71,12.89,11.99002,16224200
"KEY","10/13/2014",12.93,13,12.75,12.77,11.8784,7961200
"KEY","10/10/2014",13.06,13.23,12.88,12.88,11.98072,13086200
"KEY","10/09/2014",13.43,13.48,13.09,13.09,12.17606,10366700
"KEY","10/08/2014",13.18,13.54,13.17,13.5,12.55743,15438400
"KEY","10/07/2014",13.35,13.42,13.14,13.14,12.22256,13057600
"KEY","10/06/2014",13.6,13.63,13.4,13.4,12.46441,11491500
"KEY","10/03/2014",13.31,13.58,13.27,13.52,12.57603,13351300
"KEY","10/02/2014",13.15,13.27,12.97,13.21,12.28768,13433400
"KEY","10/01/2014",13.35,13.42,13.15,13.18,12.25977,7788400
"KEY","09/30/2014",13.41,13.5,13.3,13.33,12.3993,11184500
"KEY","09/29/2014",13.35,13.51,13.31,13.43,12.49232,7364600
"KEY","09/26/2014",13.45,13.52,13.38,13.49,12.54813,5279200
"KEY","09/25/2014",13.51,13.55,13.38,13.41,12.47371,7013700
"KEY","09/24/2014",13.61,13.65,13.47,13.56,12.61324,10384000
"KEY","09/23/2014",13.75,13.8,13.56,13.59,12.64114,9442000
"KEY","09/22/2014",13.94,13.98,13.75,13.76,12.79927,7495800
"KEY","09/19/2014",14.2,14.21,13.93,13.96,12.98531,10492900
"KEY","09/18/2014",14,14.18,13.96,14.13,13.14344,10224000
"KEY","09/17/2014",13.85,14.06,13.78,13.96,12.98531,10122400
"KEY","09/16/2014",13.76,13.96,13.76,13.82,12.85509,5517400
"KEY","09/15/2014",13.94,13.96,13.77,13.81,12.84579,7347200
"KEY","09/12/2014",13.85,14.03,13.82,13.93,12.95741,11756800
"KEY","09/11/2014",13.83,13.9,13.76,13.84,12.87369,6990800
