"symbol","date","open","high","low","close","adjclose","volume"
"KMI","12/31/2014",42.64,42.88,42.21,42.31,38.02111,8255700
"KMI","12/30/2014",43,43.18,42.44,42.5,38.19184,10105900
"KMI","12/29/2014",42.69,43.18,42.6,43.01,38.65014,13006000
"KMI","12/26/2014",42.06,42.81,42.04,42.7,38.37157,11264000
"KMI","12/24/2014",41.89,42.09,41.67,42.01,37.75151,5081500
"KMI","12/23/2014",41.83,41.97,41.62,41.91,37.66164,12495100
"KMI","12/22/2014",40.59,41.58,40.5,41.55,37.33814,16284300
"KMI","12/19/2014",40.95,41.75,40.69,41.63,37.41003,52574900
"KMI","12/18/2014",40.56,40.75,39.56,40.56,36.4485,21714600
"KMI","12/17/2014",38.43,39.99,38.36,39.89,35.84642,23025300
"KMI","12/16/2014",37.87,39.09,37.06,38.07,34.2109,27586400
"KMI","12/15/2014",39.37,39.85,38.1,38.28,34.39962,24830500
"KMI","12/12/2014",39.29,39.86,38.88,39.17,35.1994,21666400
"KMI","12/11/2014",39.52,40.22,39.52,39.88,35.83743,24181200
"KMI","12/10/2014",40.22,40.23,39.22,39.44,35.44203,27681600
"KMI","12/09/2014",39.55,40.79,39.42,40.65,36.52937,27811100
"KMI","12/08/2014",40.98,41.08,39.5,39.84,35.80148,31484000
"KMI","12/05/2014",41.91,41.91,41.08,41.12,36.95173,37490800
"KMI","12/04/2014",41.56,41.8,41.01,41.46,37.25726,39118600
"KMI","12/03/2014",41.67,42.16,41.5,41.83,37.58976,58148500
"KMI","12/02/2014",40.82,41.8,40.54,41.62,37.40105,32261700
"KMI","12/01/2014",41.15,41.35,39.91,40.94,36.78997,63805600
"KMI","11/28/2014",41.38,42.35,41.01,41.35,37.15842,38714200
"KMI","11/26/2014",40.86,42.41,40.66,42.32,38.03009,251528800
"KMI","11/25/2014",41.5,41.74,40.74,40.75,36.61923,36331600
"KMI","11/24/2014",40.08,41.01,39.99,40.79,36.65518,29888000
"KMI","11/21/2014",40.08,40.42,39.44,39.75,35.7206,58602500
"KMI","11/20/2014",40.66,41.45,39.91,39.92,35.87338,52560800
"KMI","11/19/2014",40.29,41,40.23,40.94,36.78997,22296600
"KMI","11/18/2014",40.2,40.86,40.17,40.41,36.3137,20728500
"KMI","11/17/2014",39.34,40.46,39.23,40.25,36.16992,21588000
"KMI","11/14/2014",38.42,39.56,38.35,39.37,35.37912,19616300
"KMI","11/13/2014",38.44,38.84,38.17,38.38,34.48948,22025200
"KMI","11/12/2014",38.41,38.79,38.35,38.53,34.62428,16220500
"KMI","11/11/2014",38.58,38.85,38.29,38.54,34.63326,12002200
"KMI","11/10/2014",38.88,38.98,38.35,38.5,34.59732,14236400
