"symbol","date","open","high","low","close","adjclose","volume"
"KO","12/31/2014",42.92,42.94,42.22,42.22,38.28703,9369500
"KO","12/30/2014",42.74,42.99,42.65,42.76,38.77673,9222000
"KO","12/29/2014",42.8,43.06,42.49,42.86,38.86741,8694500
"KO","12/26/2014",42.97,43.3,42.93,42.96,38.9581,6466900
"KO","12/24/2014",43.1,43.23,42.92,42.94,38.93995,6405900
"KO","12/23/2014",42.54,43.14,42.47,42.97,38.96716,13411300
"KO","12/22/2014",42.14,42.44,42.09,42.35,38.40491,11190900
"KO","12/19/2014",42.44,42.79,41.89,41.95,38.04218,24009500
"KO","12/18/2014",41.86,42.39,41.75,42.39,38.44119,18030700
"KO","12/17/2014",40.44,41.76,40.38,41.55,37.67944,20223900
"KO","12/16/2014",40.2,41.31,39.8,40.39,36.6275,23475400
"KO","12/15/2014",41.13,41.18,40.56,40.57,36.79073,23378500
"KO","12/12/2014",41.39,41.61,40.87,40.91,37.09906,18432400
"KO","12/11/2014",41.62,42.01,41.5,41.53,37.6613,16201500
"KO","12/10/2014",42.04,42.24,41.56,41.6,37.72478,18324100
"KO","12/09/2014",42.15,42.53,41.67,42.04,38.1238,25714600
"KO","12/08/2014",43.51,43.63,43.09,43.14,39.12133,12802300
"KO","12/05/2014",43.5,43.61,43.2,43.53,39.475,12536900
"KO","12/04/2014",43.62,43.84,43.37,43.5,39.44779,13779700
"KO","12/03/2014",44.42,44.44,43.76,43.8,39.71984,15246500
"KO","12/02/2014",44.37,44.67,44.23,44.54,40.39091,9878100
"KO","12/01/2014",44.18,44.77,44.13,44.55,40.39998,10065700
"KO","11/28/2014",44.15,45,44.15,44.83,40.6539,10502000
"KO","11/26/2014",43.99,44.37,43.97,44.29,40.1642,9199200
"KO","11/26/2014",0,0,0,0,0,0
"KO","11/25/2014",44.27,44.59,44.12,44.43,40.01456,10741700
"KO","11/24/2014",44.51,44.78,44.2,44.27,39.87047,12890800
"KO","11/21/2014",44.58,44.74,44.28,44.5,40.07761,14382700
"KO","11/20/2014",43.96,44.42,43.85,44.25,39.85246,13465400
"KO","11/19/2014",43.67,44.43,43.56,44.22,39.82544,25402300
"KO","11/18/2014",42.95,43.86,42.75,43.53,39.20401,26143000
"KO","11/17/2014",42.75,42.99,42.73,42.92,38.65463,10664000
"KO","11/14/2014",42.7,42.97,42.5,42.73,38.48351,10939500
"KO","11/13/2014",42.65,43.08,42.63,42.79,38.53755,12007700
"KO","11/12/2014",42.51,42.89,42.31,42.71,38.4655,12768800
"KO","11/11/2014",42.38,42.71,42.36,42.51,38.28537,8563700
"KO","11/10/2014",42.25,42.57,42.09,42.39,38.1773,9088900
"KO","11/07/2014",42.45,42.46,42.14,42.32,38.11425,11803800
"KO","11/06/2014",42.43,42.62,42.11,42.29,38.08724,11528800
"KO","11/05/2014",42.3,42.54,41.99,42.31,38.10526,20676800
"KO","11/04/2014",41.77,42.05,41.66,41.82,37.66396,10105300
"KO","11/03/2014",41.79,42.28,41.59,41.81,37.65495,13230600
"KO","10/31/2014",41.83,41.89,41.4,41.88,37.71799,18477700
"KO","10/30/2014",41,41.59,40.83,41.4,37.28569,18295600
"KO","10/29/2014",40.65,41.03,40.52,40.96,36.88942,25761800
"KO","10/28/2014",40.76,40.86,40.51,40.56,36.52917,18658700
"KO","10/27/2014",40.7,40.91,40.56,40.76,36.70929,17222500
"KO","10/24/2014",40.98,41.27,40.92,41.03,36.95247,13396000
"KO","10/23/2014",40.94,41.38,40.74,40.86,36.79935,23346800
"KO","10/22/2014",40.19,41.11,40.1,40.62,36.5832,27728200
"KO","10/21/2014",40.8,41.19,40.26,40.68,36.63724,55953500
"KO","10/20/2014",42.75,43.47,42.71,43.29,38.98786,17647800
"KO","10/17/2014",42.69,43.03,42.31,42.88,38.61861,23236000
"KO","10/16/2014",42.65,42.94,42.38,42.56,38.33041,22519200
"KO","10/15/2014",42.7,43.53,42.7,43.23,38.93383,22988600
"KO","10/14/2014",44.04,44.12,43.47,43.64,39.30309,21027400
"KO","10/13/2014",44.28,44.63,44.03,44.07,39.69035,20175200
"KO","10/10/2014",43.88,44.87,43.85,44.47,40.0506,25920800
"KO","10/09/2014",44.44,44.75,43.87,43.87,39.51022,25029300
"KO","10/08/2014",43.58,44.56,43.51,44.55,40.12264,26115600
"KO","10/07/2014",43.48,44.14,43.48,43.92,39.55525,24936600
"KO","10/06/2014",43.03,43.68,42.97,43.6,39.26705,20328100
"KO","10/03/2014",42.86,43.07,42.66,43,38.72668,14046300
"KO","10/02/2014",42.6,42.78,42.42,42.66,38.42047,16643200
"KO","10/01/2014",42.55,42.85,42.37,42.74,38.49252,30409700
"KO","09/30/2014",42.1,42.81,42.08,42.66,38.42047,22613700
"KO","09/29/2014",41.9,42.26,41.88,42.25,38.05122,12441100
"KO","09/26/2014",42,42.25,41.71,42.2,38.00618,9939600
"KO","09/25/2014",42.06,42.17,41.77,41.78,37.62792,11076300
"KO","09/24/2014",41.85,42.34,41.85,42.27,38.06923,13540900
"KO","09/23/2014",42,42.16,41.88,41.89,37.72699,10251300
"KO","09/22/2014",41.85,42.25,41.73,42.22,38.0242,11518100
"KO","09/19/2014",41.98,42.35,41.75,42.05,37.87109,47559700
"KO","09/18/2014",41.75,41.88,41.55,41.79,37.63694,12586400
"KO","09/17/2014",41.77,41.78,41.32,41.61,37.47482,16693800
"KO","09/16/2014",41.29,41.8,41.18,41.64,37.50184,15232800
"KO","09/15/2014",41.45,41.58,41.33,41.5,37.37575,12259600
"KO","09/12/2014",41.9,41.92,41.36,41.46,37.33973,12966800
"KO","09/11/2014",41.68,42.06,41.66,41.95,37.78103,19614000
"KO","09/11/2014",0,0,0,0,0,0
"KO","09/10/2014",41.9,42.19,41.83,42.17,37.70448,17558000
"KO","09/09/2014",41.77,42.03,41.75,41.94,37.49883,11892500
"KO","09/08/2014",41.67,41.94,41.63,41.78,37.35578,9097700
"KO","09/05/2014",41.86,41.86,41.61,41.84,37.40943,12768100
"KO","09/04/2014",41.8,42.17,41.73,41.87,37.43625,16785300
"KO","09/03/2014",41.69,41.85,41.66,41.78,37.35578,8635400
"KO","09/02/2014",41.52,41.84,41.31,41.64,37.23059,9798100
"KO","08/29/2014",41.6,41.75,41.47,41.72,37.30214,7666700
"KO","08/28/2014",41.51,41.7,41.44,41.63,37.22166,9746400
"KO","08/27/2014",41.53,41.71,41.44,41.6,37.19484,7693100
"KO","08/26/2014",41.41,41.7,41.41,41.6,37.19484,8416500
"KO","08/25/2014",41.32,41.45,41.12,41.41,37.02496,10229300
"KO","08/22/2014",41.29,41.52,41.05,41.12,36.76566,11244600
"KO","08/21/2014",41.29,41.69,41.22,41.41,37.02496,11951000
"KO","08/20/2014",41.15,41.34,41.09,41.25,36.8819,6782500
"KO","08/19/2014",41.35,41.48,41.16,41.26,36.89084,10260400
"KO","08/18/2014",40.79,41.42,40.79,41.35,36.97131,14891500
"KO","08/15/2014",40.85,41.15,40.66,40.88,36.55109,23221600
"KO","08/14/2014",39.93,40.19,39.93,40.18,35.92521,6902000
"KO","08/13/2014",39.7,40.1,39.7,39.94,35.71062,9638900
"KO","08/12/2014",39.56,39.84,39.54,39.68,35.47815,13297500
"KO","08/11/2014",39.52,39.87,39.52,39.57,35.3798,14102600
"KO","08/08/2014",39.34,39.58,39.26,39.45,35.2725,13667000
"KO","08/07/2014",39.96,40.01,39.33,39.35,35.1831,14367400
"KO","08/06/2014",39.13,39.96,39.13,39.92,35.69273,17567500
"KO","08/05/2014",39.34,39.53,39.1,39.18,35.0311,11639200
"KO","08/04/2014",39.41,39.46,39.12,39.4,35.22781,11012900
"KO","08/01/2014",39.13,39.49,39.06,39.29,35.12945,13566700
"KO","07/31/2014",39.53,39.73,39.25,39.29,35.12945,15434700
"KO","07/30/2014",40.45,40.5,39.61,39.62,35.42451,20346200
"KO","07/29/2014",40.75,40.78,40.35,40.35,36.0772,10863600
"KO","07/28/2014",40.99,41,40.61,40.68,36.37226,11709100
"KO","07/25/2014",40.92,41.04,40.81,41,36.65837,10809900
"KO","07/24/2014",40.97,41.1,40.66,40.97,36.63155,14856000
"KO","07/23/2014",40.98,41.05,40.63,40.81,36.48849,17531700
"KO","07/22/2014",41.1,41.33,40.61,41.19,36.82825,24706000
"KO","07/21/2014",42.12,42.57,42.09,42.4,37.91013,17607200
"KO","07/18/2014",42.14,42.47,42.02,42.43,37.93694,19272400
"KO","07/17/2014",41.93,42.15,41.83,42.02,37.57037,9983500
"KO","07/16/2014",42.26,42.39,42.02,42.12,37.65977,10331400
"KO","07/15/2014",42.41,42.43,41.95,42.1,37.64189,10541900
"KO","07/14/2014",41.99,42.39,41.98,42.38,37.89224,11857700
"KO","07/11/2014",42.12,42.25,41.88,41.97,37.52567,9773000
"KO","07/10/2014",41.56,42.29,41.55,42.26,37.78495,12564500
"KO","07/09/2014",41.93,42.16,41.79,41.95,37.50777,9891600
"KO","07/08/2014",41.97,42.25,41.91,41.94,37.49883,10090500
"KO","07/07/2014",41.96,42.2,41.93,42.14,37.67765,8991900
"KO","07/03/2014",42.26,42.32,42.01,42.23,37.75812,7537700
"KO","07/02/2014",42.31,42.41,42.15,42.29,37.81177,6707000
"KO","07/01/2014",42.39,42.45,42.15,42.29,37.81177,11497700
"KO","06/30/2014",41.98,42.49,41.82,42.36,37.87436,14058700
"KO","06/27/2014",41.99,42.29,41.91,42.19,37.72235,18674400
"KO","06/26/2014",41.91,42.05,41.78,42.03,37.57931,16903300
"KO","06/25/2014",41.6,41.98,41.46,41.96,37.51671,17621800
"KO","06/24/2014",41.52,41.89,41.47,41.85,37.41836,14962800
"KO","06/23/2014",41.46,41.74,41.33,41.73,37.31107,13099300
"KO","06/20/2014",41.87,41.88,41.53,41.69,37.27531,23402600
"KO","06/19/2014",41.54,41.87,41.53,41.79,37.36472,13275200
"KO","06/18/2014",40.79,41.57,40.75,41.56,37.15907,18518200
