"symbol","date","open","high","low","close","adjclose","volume"
"KR","12/31/2014",32.255,32.49,32.065,32.105,30.6048,4850800
"KR","12/30/2014",32.18,32.415,32.175,32.255,30.74779,3740000
"KR","12/29/2014",32.13,32.32,32,32.195,30.69059,3483200
"KR","12/26/2014",32.145,32.285,32.12,32.145,30.64293,1914000
"KR","12/24/2014",32.215,32.29,32.025,32.025,30.52854,1957400
"KR","12/23/2014",32.25,32.31,31.875,32.14,30.63816,4472400
"KR","12/22/2014",31.845,32.335,31.845,32.11,30.60956,6956000
"KR","12/19/2014",31.98,32.065,31.7,31.775,30.29022,10496800
"KR","12/18/2014",31.545,31.825,31.4,31.82,30.33311,6272400
"KR","12/17/2014",30.88,31.285,30.69,31.23,29.77069,7001600
"KR","12/16/2014",30.75,31.325,30.735,30.75,29.31311,7459000
"KR","12/15/2014",30.825,31.175,30.675,30.765,29.32741,8693200
"KR","12/12/2014",30.695,31.17,30.6,30.775,29.33695,9239600
"KR","12/11/2014",30.7,31.095,30.7,30.945,29.499,5059000
"KR","12/10/2014",31.195,31.195,30.66,30.68,29.24639,10056200
"KR","12/09/2014",30.5,30.75,30.24,30.745,29.30835,5334000
"KR","12/08/2014",30.5,30.99,30.39,30.68,29.24639,5167200
"KR","12/05/2014",30.49,30.665,30.365,30.49,29.06526,6459600
"KR","12/04/2014",30.27,30.58,29.805,30.38,28.9604,12551600
"KR","12/03/2014",29.825,29.86,29.27,29.33,27.95947,9098400
"KR","12/02/2014",29.98,30.095,29.62,29.745,28.35508,7051400
"KR","12/01/2014",29.905,30.16,29.835,29.91,28.51237,7546800
"KR","11/28/2014",29.805,30.19,29.78,29.92,28.5219,4108200
"KR","11/26/2014",29.405,29.635,29.29,29.61,28.22638,4667800
"KR","11/25/2014",29.29,29.69,29.115,29.41,28.03573,10915800
"KR","11/24/2014",29.275,29.395,29.22,29.255,27.88797,5371200
"KR","11/21/2014",29.395,29.49,29.135,29.185,27.82124,4861000
"KR","11/20/2014",29.16,29.415,29.025,29.11,27.74975,4682200
"KR","11/19/2014",29.375,29.375,29.18,29.245,27.87844,4479000
"KR","11/18/2014",29.145,29.35,29.05,29.26,27.89274,8561400
"KR","11/17/2014",28.865,29.19,28.85,29.145,27.78311,4945000
"KR","11/14/2014",29.2,29.205,28.81,28.855,27.50666,4927800
"KR","11/13/2014",29.25,29.325,29.005,29.195,27.83077,4219800
"KR","11/12/2014",29.045,29.245,28.635,29.19,27.82601,4838400
"KR","11/12/2014",0,0,0,0,0,0
"KR","11/11/2014",29.37,29.41,29.02,29.14,27.69016,4831400
"KR","11/10/2014",28.92,29.285,28.875,29.28,27.82321,3017000
"KR","11/07/2014",28.8,29.035,28.73,28.9,27.46211,4719000
"KR","11/06/2014",28.885,29.04,28.69,28.88,27.4431,4925800
"KR","11/05/2014",28.895,29.075,28.6,28.755,27.32432,5906200
"KR","11/04/2014",28.25,28.56,28.225,28.54,27.12002,7229200
"KR","11/03/2014",27.865,28.265,27.85,28.22,26.81594,5586200
"KR","10/31/2014",27.81,28.055,27.76,27.855,26.4691,6813200
"KR","10/30/2014",27.24,27.56,27.15,27.53,26.16027,4536600
"KR","10/29/2014",27.335,27.5,27.085,27.275,25.91796,5229400
"KR","10/28/2014",27.345,27.345,27.185,27.315,25.95597,6588600
"KR","10/27/2014",27.11,27.365,27.085,27.285,25.92746,4527600
"KR","10/24/2014",27.17,27.215,26.97,27.095,25.74692,4990200
"KR","10/23/2014",27.165,27.425,27.1,27.145,25.79443,4595200
"KR","10/22/2014",26.96,27.415,26.96,27.045,25.6994,6784800
"KR","10/21/2014",26.57,26.94,26.46,26.845,25.50935,5088600
"KR","10/20/2014",25.795,26.46,25.77,26.425,25.11025,5854800
"KR","10/17/2014",25.78,25.895,25.505,25.825,24.5401,10514000
"KR","10/16/2014",25.65,25.945,25.52,25.61,24.3358,12207400
"KR","10/15/2014",26.32,26.425,25.42,26.17,24.86794,15423800
"KR","10/14/2014",26.585,26.74,26.53,26.7,25.37157,8453400
"KR","10/13/2014",26.975,27.04,26.42,26.455,25.13875,11953000
"KR","10/10/2014",26.75,27.19,26.73,26.96,25.61863,10202800
"KR","10/09/2014",27,27.125,26.555,26.63,25.30504,9906000
"KR","10/08/2014",26.555,27.065,26.44,27.035,25.6899,9136800
"KR","10/07/2014",26.47,26.545,26.3,26.475,25.15776,8173200
"KR","10/06/2014",26.63,26.815,26.445,26.51,25.19102,7057600
"KR","10/03/2014",25.915,26.475,25.895,26.44,25.12451,7326000
"KR","10/02/2014",25.88,25.94,25.635,25.75,24.46883,3775200
"KR","10/01/2014",25.96,25.98,25.77,25.8,24.51635,5078600
"KR","09/30/2014",26.165,26.25,25.905,26,24.70639,6503000
"KR","09/29/2014",25.75,26.025,25.725,25.985,24.69214,3305200
"KR","09/26/2014",25.875,25.98,25.725,25.865,24.57811,3435000
"KR","09/25/2014",26.275,26.345,25.84,25.845,24.5591,6037400
"KR","09/24/2014",26.09,26.48,26.025,26.39,25.07699,5837200
"KR","09/23/2014",25.96,26.13,25.915,26.015,24.72065,5293000
"KR","09/22/2014",26.085,26.125,25.97,26.015,24.72065,4751000
"KR","09/19/2014",26.355,26.385,26.04,26.075,24.77766,10609200
"KR","09/18/2014",26.195,26.275,26.085,26.245,24.93921,4559600
"KR","09/17/2014",26.09,26.275,26.04,26.15,24.84893,4750000
"KR","09/16/2014",25.725,26.225,25.71,26.11,24.81092,6832400
"KR","09/15/2014",25.92,25.93,25.71,25.775,24.49259,6002800
"KR","09/12/2014",26.085,26.09,25.725,25.915,24.62562,11857000
"KR","09/11/2014",26.295,26.35,25.59,26.085,24.78716,13102400
"KR","09/10/2014",25.875,26.015,25.695,25.935,24.64463,6685600
"KR","09/09/2014",26.285,26.295,25.84,25.87,24.58287,4820800
"KR","09/08/2014",26.165,26.36,25.97,26.085,24.78716,5032800
"KR","09/05/2014",25.915,26.215,25.88,26.205,24.9012,4309000
"KR","09/04/2014",25.795,26.12,25.78,25.925,24.63513,4174800
"KR","09/03/2014",25.81,25.86,25.725,25.8,24.51635,4223400
"KR","09/02/2014",25.515,25.8,25.485,25.665,24.38806,4784200
"KR","08/29/2014",25.555,25.555,25.4,25.49,24.22177,4367000
"KR","08/28/2014",25.375,25.54,25.345,25.5,24.23128,3881000
"KR","08/27/2014",25.215,25.435,25.13,25.43,24.16475,3839600
"KR","08/26/2014",25.145,25.315,25.065,25.24,23.98421,4456800
"KR","08/25/2014",25.28,25.325,25.01,25.065,23.81792,3945400
"KR","08/22/2014",25.225,25.335,25.1,25.15,23.89869,3925600
"KR","08/21/2014",25.265,25.355,25.21,25.225,23.96996,3559400
"KR","08/20/2014",25.215,25.29,25.01,25.265,24.00796,3893000
"KR","08/19/2014",25.11,25.285,24.99,25.2,23.9462,6518600
"KR","08/18/2014",25.17,25.24,25.03,25.095,23.84642,5591000
"KR","08/15/2014",25.275,25.37,24.965,25.085,23.83692,5743200
"KR","08/14/2014",24.92,25.285,24.83,25.275,24.01746,3582000
"KR","08/13/2014",25.015,25.08,24.855,24.87,23.63262,5230600
"KR","08/13/2014",0,0,0,0,0,0
"KR","08/12/2014",25.085,25.175,25,25.055,23.73002,4224000
"KR","08/11/2014",24.795,25.22,24.795,25.125,23.79632,4341200
"KR","08/08/2014",24.485,24.735,24.425,24.705,23.39853,2452400
"KR","08/07/2014",24.765,24.765,24.415,24.485,23.19016,2764400
"KR","08/06/2014",24.345,24.72,24.29,24.61,23.30855,4966600
"KR","08/05/2014",24.525,24.77,24.295,24.355,23.06704,4302400
"KR","08/04/2014",24.66,24.715,24.5,24.68,23.37485,3212400
"KR","08/01/2014",24.5,24.705,24.44,24.625,23.32276,4099800
"KR","07/31/2014",24.77,24.77,24.48,24.49,23.1949,4937800
"KR","07/30/2014",25.18,25.225,24.85,24.865,23.55007,7465800
"KR","07/29/2014",25.22,25.265,25.08,25.13,23.80105,5532200
"KR","07/28/2014",25.375,25.47,25.06,25.065,23.73949,4480800
"KR","07/25/2014",25.45,25.54,25.31,25.355,24.01415,3837800
"KR","07/24/2014",25.16,25.745,25.12,25.5,24.15148,5618400
"KR","07/23/2014",25.12,25.155,24.89,25.085,23.75843,4475000
"KR","07/22/2014",24.81,25.145,24.78,25.085,23.75843,7864400
"KR","07/21/2014",24.74,24.875,24.71,24.74,23.43168,3227600
"KR","07/18/2014",24.635,24.84,24.59,24.8,23.4885,4050800
"KR","07/17/2014",24.5,24.745,24.44,24.64,23.33696,4959600
"KR","07/16/2014",24.565,24.68,24.515,24.675,23.37011,4298000
"KR","07/15/2014",24.81,24.835,24.53,24.665,23.36064,6200800
"KR","07/14/2014",24.485,24.65,24.445,24.63,23.32749,5351800
"KR","07/11/2014",24.495,24.575,24.39,24.41,23.11912,5544200
"KR","07/10/2014",24.455,24.605,24.405,24.485,23.19016,4860400
"KR","07/09/2014",24.63,24.715,24.47,24.645,23.3417,6516200
"KR","07/08/2014",24.69,24.75,24.405,24.485,23.19016,6829200
"KR","07/07/2014",24.75,24.84,24.61,24.735,23.42694,3860400
"KR","07/03/2014",24.785,24.995,24.73,24.83,23.51692,4028800
"KR","07/02/2014",24.715,24.84,24.58,24.715,23.408,5129400
"KR","07/01/2014",24.6,24.9,24.555,24.765,23.45535,5479600
"KR","06/30/2014",24.855,24.945,24.67,24.715,23.408,6681400
"KR","06/27/2014",24.74,24.975,24.605,24.96,23.64004,8548400
"KR","06/26/2014",24.625,24.88,24.51,24.695,23.38906,6871600
"KR","06/25/2014",24.61,24.71,24.51,24.61,23.30855,6478400
"KR","06/24/2014",24.645,24.75,24.545,24.585,23.28487,5368000
"KR","06/23/2014",24.8,24.88,24.66,24.7,23.39379,5081000
"KR","06/20/2014",24.955,25.1,24.805,24.92,23.60216,15289000
"KR","06/19/2014",24.975,25.1,24.655,24.83,23.51692,15676400
"KR","06/18/2014",23.435,23.64,23.385,23.635,22.38511,6994800
"KR","06/17/2014",23.575,23.72,23.42,23.445,22.20516,6349200
"KR","06/16/2014",23.565,23.69,23.485,23.54,22.29514,5234000
"KR","06/13/2014",23.665,23.74,23.525,23.575,22.32829,3254200
"KR","06/12/2014",23.92,23.925,23.53,23.62,22.37091,6153800
"KR","06/11/2014",24.025,24.135,23.745,24.005,22.73554,6902600
"KR","06/10/2014",24.205,24.215,23.785,23.955,22.68819,5700800
"KR","06/09/2014",24.065,24.28,24.06,24.23,22.94865,4087600
"KR","06/06/2014",24.11,24.215,24.03,24.065,22.79238,5189800
"KR","06/05/2014",23.995,24.175,23.905,24.09,22.81605,4632600
"KR","06/04/2014",23.88,24.095,23.82,24.02,22.74975,2981600
"KR","06/03/2014",23.805,23.965,23.68,23.925,22.65978,6210800
"KR","06/02/2014",23.9,23.95,23.62,23.755,22.49877,4962600
"KR","05/30/2014",23.34,23.885,23.34,23.87,22.60768,5766800
"KR","05/29/2014",23.44,23.515,23.25,23.35,22.11518,8303800
"KR","05/28/2014",23.48,23.595,23.345,23.345,22.11045,3661000
"KR","05/27/2014",23.47,23.505,23.375,23.5,22.25725,3105800
"KR","05/23/2014",23.21,23.435,23.135,23.425,22.18622,3697000
"KR","05/22/2014",23.925,23.95,23.14,23.155,21.9305,8004600
"KR","05/21/2014",23.345,23.535,23.315,23.495,22.25252,6456000
"KR","05/20/2014",23.365,23.47,23.22,23.27,22.03942,5552800
"KR","05/19/2014",23.455,23.545,23.33,23.405,22.16727,5369200
"KR","05/16/2014",23.18,23.56,23.18,23.495,22.25252,10518000
"KR","05/15/2014",23.235,23.305,22.985,23.145,21.92102,7026000
"KR","05/14/2014",23.22,23.465,23.21,23.335,22.10098,5476000
"KR","05/13/2014",23.25,23.38,23.15,23.295,22.06309,5602000
"KR","05/13/2014",0,0,0,0,0,0
"KR","05/12/2014",23.275,23.395,23.215,23.345,22.03231,6585000
"KR","05/09/2014",23.05,23.245,23.05,23.18,21.87659,5799200
"KR","05/08/2014",23.14,23.4,23,23.025,21.73031,9131400
"KR","05/07/2014",22.995,23.22,22.655,23.175,21.87187,10081800
"KR","05/06/2014",23.17,23.265,23.065,23.195,21.89075,7528600
"KR","05/05/2014",23.18,23.32,23.095,23.225,21.91906,6020200
"KR","05/02/2014",23.07,23.375,22.985,23.255,21.94737,10983400
"KR","05/01/2014",23.055,23.165,22.94,23.085,21.78693,6882400
"KR","04/30/2014",22.745,23.02,22.67,23.02,21.72559,6402600
"KR","04/29/2014",22.835,22.945,22.765,22.775,21.49436,5772800
"KR","04/28/2014",22.635,22.875,22.605,22.77,21.48965,6537800
"KR","04/25/2014",22.605,22.67,22.36,22.575,21.30561,6063000
"KR","04/24/2014",22.715,22.825,22.43,22.675,21.39998,6508000
"KR","04/23/2014",22.565,22.835,22.53,22.725,21.44717,6599000
"KR","04/22/2014",22.35,22.79,22.255,22.6,21.3292,7749600
"KR","04/21/2014",22.125,22.41,22.12,22.355,21.09798,4793200
"KR","04/17/2014",22.07,22.2,22.035,22.14,20.89507,6430000
"KR","04/16/2014",22.135,22.21,21.98,22.16,20.91394,7530000
"KR","04/15/2014",22.265,22.33,21.895,22.01,20.77238,7123800
"KR","04/14/2014",22.085,22.3,22.045,22.29,21.03664,6138800
"KR","04/11/2014",21.85,22.08,21.845,22,20.76294,8886200
"KR","04/10/2014",22.34,22.47,21.935,21.935,20.7016,8109000
"KR","04/09/2014",22.27,22.48,22.195,22.36,21.1027,8130000
"KR","04/08/2014",22.105,22.295,22.07,22.155,20.90923,8786200
"KR","04/07/2014",22.34,22.5,22.055,22.07,20.829,8312400
"KR","04/04/2014",22.44,22.685,22.325,22.34,21.08382,9958400
"KR","04/03/2014",22.665,22.735,22.385,22.48,21.21595,8943200
"KR","04/02/2014",21.87,22.645,21.84,22.63,21.35752,14690400
"KR","04/01/2014",21.865,22.02,21.665,21.81,20.58362,8196400
"KR","03/31/2014",22.065,22.095,21.75,21.825,20.59778,6973600
"KR","03/28/2014",21.83,22.055,21.715,21.975,20.73935,8429000
"KR","03/27/2014",21.64,21.85,21.51,21.815,20.58834,7152600
"KR","03/26/2014",21.88,21.995,21.635,21.635,20.41846,5961800
"KR","03/25/2014",21.88,21.995,21.66,21.755,20.53171,5130800
"KR","03/24/2014",22.085,22.17,21.755,21.805,20.5789,5483400
"KR","03/21/2014",22.05,22.28,21.865,21.985,20.74879,11104200
"KR","03/20/2014",21.82,22.06,21.805,21.995,20.75822,3917000
"KR","03/19/2014",22.025,22.13,21.705,21.845,20.61665,5726800
"KR","03/18/2014",22.04,22.095,21.98,22,20.76294,5301800
"KR","03/17/2014",22.02,22.08,21.81,22.01,20.77238,5924400
"KR","03/14/2014",21.73,22.035,21.73,21.955,20.72047,6568200
"KR","03/13/2014",21.945,22.225,21.72,21.745,20.52228,12758600
"KR","03/12/2014",21.705,21.94,21.625,21.935,20.7016,8528200
"KR","03/11/2014",21.95,22.05,21.595,21.67,20.45149,12498400
"KR","03/10/2014",21.85,21.905,21.8,21.875,20.64497,11286200
"KR","03/07/2014",21.745,22.185,21.69,21.89,20.65912,17548400
"KR","03/06/2014",22.41,22.625,21.55,21.685,20.46565,25929800
"KR","03/05/2014",21.22,21.865,21.14,21.84,20.61194,20707000
"KR","03/04/2014",21.125,21.49,21.035,21.195,20.0032,14353800
"KR","03/03/2014",20.84,21.16,20.6,20.995,19.81445,14587000
"KR","02/28/2014",20.095,20.98,20.07,20.97,19.79086,16041200
"KR","02/27/2014",20.015,20.175,19.98,20.07,18.94147,3955200
"KR","02/26/2014",19.905,20.15,19.825,20.015,18.88955,8942400
"KR","02/25/2014",19.86,19.98,19.735,19.825,18.71024,6977600
"KR","02/24/2014",19.81,20.055,19.8,19.89,18.77159,8086400
"KR","02/21/2014",19.615,19.82,19.47,19.8,18.68664,9633800
"KR","02/20/2014",19.385,19.785,19.365,19.64,18.53564,11835000
"KR","02/19/2014",18.775,19.445,18.705,19.385,18.29498,11245200
"KR","02/18/2014",18.815,18.82,18.62,18.8,17.74287,5716200
"KR","02/14/2014",18.525,18.795,18.505,18.69,17.63906,5281600
"KR","02/13/2014",18.28,18.585,18.185,18.545,17.50221,4809600
"KR","02/12/2014",18.48,18.585,18.4,18.465,17.42671,5237800
"KR","02/12/2014",0,0,0,0,0,0
"KR","02/11/2014",18.045,18.545,17.99,18.545,17.42435,10430800
"KR","02/10/2014",18.115,18.205,18.055,18.095,17.00155,5670800
"KR","02/07/2014",18.415,18.435,18.08,18.14,17.04383,8040400
"KR","02/06/2014",17.78,18.405,17.765,18.38,17.26933,10456800
"KR","02/05/2014",17.635,17.805,17.565,17.725,16.6539,6950600
"KR","02/04/2014",17.665,17.8,17.615,17.735,16.6633,7052600
"KR","02/03/2014",18.05,18.06,17.62,17.69,16.62102,10704400
