"symbol","date","open","high","low","close","adjclose","volume"
"LLY","12/31/2014",69.94,70.5,68.93,68.99,63.77475,2491000
"LLY","12/30/2014",69.88,70.16,69.44,69.64,64.37563,2726100
"LLY","12/29/2014",69.92,70.39,69.89,70.1,64.80085,1739600
"LLY","12/26/2014",70.29,70.99,70.26,70.39,65.06892,1438200
"LLY","12/24/2014",70.04,70.71,70.04,70.16,64.85632,1507000
"LLY","12/23/2014",71.67,71.73,69.01,69.74,64.46806,4768100
"LLY","12/22/2014",70.94,71.59,70.25,71.42,66.02106,4622900
"LLY","12/19/2014",72.24,72.66,71.33,72.4,66.92697,8311300
"LLY","12/18/2014",71.2,72.48,70.91,72.45,66.97321,5875600
"LLY","12/17/2014",69.56,70.7,69.23,70.28,64.96723,5506500
"LLY","12/16/2014",69.39,71.35,69.03,69.26,64.02434,4916700
"LLY","12/15/2014",69.68,70.72,69.42,69.67,64.40335,5718800
"LLY","12/12/2014",71.46,71.65,69.47,69.55,64.29242,7844400
"LLY","12/11/2014",73.63,75.1,71.54,71.61,66.19671,10901500
"LLY","12/10/2014",71.9,72.2,71,71.05,65.67903,4117600
"LLY","12/09/2014",72.18,72.26,71.53,72.21,66.75134,3794600
"LLY","12/08/2014",71.97,72.86,71.82,72.83,67.32448,4915100
"LLY","12/05/2014",72.09,72.21,71.68,71.85,66.41855,5787500
"LLY","12/04/2014",70.98,72.44,70.84,72.38,66.9085,6516600
"LLY","12/03/2014",70.28,71.16,70,71.13,65.75299,6423400
"LLY","12/02/2014",68.63,70.77,68.59,70.38,65.05968,8413400
"LLY","12/01/2014",67.97,68.77,67.6,68.51,63.33105,4669500
"LLY","11/28/2014",67.73,68.55,67.6,68.12,62.97052,2237800
"LLY","11/26/2014",67.03,67.39,66.89,67.32,62.23098,2372900
"LLY","11/25/2014",66.86,67.22,66.75,66.85,61.79652,4380000
"LLY","11/24/2014",67.61,67.67,66.85,66.93,61.87048,4574100
"LLY","11/21/2014",67.45,67.5,67.03,67.36,62.26797,5892000
"LLY","11/20/2014",66.96,67.08,66.56,66.8,61.75031,2467600
"LLY","11/19/2014",67.66,67.66,66.91,67.21,62.12931,3126000
"LLY","11/18/2014",67.19,68,67.01,67.78,62.65622,3705400
"LLY","11/17/2014",67.07,67.35,66.94,67.29,62.20327,3309300
"LLY","11/14/2014",67.68,67.72,67.12,67.33,62.24024,2333300
"LLY","11/13/2014",67.68,68.16,67.41,67.68,62.5638,3292700
"LLY","11/12/2014",67.35,67.85,67.02,67.4,62.30495,4499400
"LLY","11/12/2014",0,0,0,0,0,0
"LLY","11/11/2014",68.35,68.67,67.81,67.85,62.26797,5282300
"LLY","11/10/2014",66.82,68.42,66.42,68.35,62.72684,4438100
"LLY","11/07/2014",66.82,66.93,66.25,66.6,61.12081,3796800
